run_id,timestamp_utc,study,arm,selector,inferencer,model,model_tag,level,seed,runtime_seed,d,k,n_obs,n_int,budget,opt_set_size,true_edges,cpdag_undirected,status,error,wall_sec,skeleton_precision,skeleton_recall,skeleton_f1,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency,interventions_used,optimal_interventions,submit_directed,submit_undirected,steps_taken,pc_skeleton_f1_ceiling,pc_truth_in_class,pc_undirected_edges,pc_directed_edges,mec_size_initial,mec_entropy_initial,belief_undirected_final,selection_regret_total,selection_regret_mean,eig_regret_total,selection_quality_mean,wasted_steps,orientations_correct,orientations_wrong,orientation_accuracy,select_wasted_targets,select_repeat_targets,infer_rule,infer_repairs,infer_dropped_malformed,infer_dropped_self_loop,infer_dropped_out_of_range,infer_dropped_cycle,infer_dropped_overlap,infer_dropped_duplicate,llm_calls,llm_failed_calls,llm_repair_calls,prompt_tokens,completion_tokens,cached_tokens,total_tokens,cost_usd,llm_latency_sec
20260819T074713Z,2026-08-19T07:47:13.202122+00:00,study1,eig+llm,eig,llm,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,1470120545,14701205450108,6,6,300,150,3,2,6,3,success,,8.254,0.8,0.6666666666666666,0.7272727272727272,0.5,0.2,0.16666666666666666,0.1818181818181818,6,1.0,2,2,5,0,2,1.0,1,3,3,6,1.79176,0,0.0,0.0,0.0,1.0,0,3,0,1.0,,,llm,0,0,0,0,0,0,0,1,0,0,15479,84,0,15563,0.00237225,2.3127
20260819T074713Z,2026-08-19T07:47:13.201714+00:00,study1,oracle+llm,oracle,llm,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,1470120545,14701205450108,6,6,300,150,3,2,6,3,success,,8.328,0.8,0.6666666666666666,0.7272727272727272,1.0,0.8,0.6666666666666666,0.7272727272727272,3,1.0,2,2,5,0,2,1.0,1,3,3,6,1.79176,0,0.0,0.0,0.0,1.0,0,3,0,1.0,,,llm,0,0,0,0,0,0,0,1,0,0,15479,86,0,15565,0.00237345,2.3847
20260819T074713Z,2026-08-19T07:47:21.493868+00:00,study1,oracle+llm,oracle,llm,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,1004126917,10041269170108,6,6,300,150,3,2,6,6,success,,4.56,1.0,0.8333333333333334,0.9090909090909091,1.0,0.5,0.3333333333333333,0.4,4,1.0,1,2,4,1,1,0.909091,0,2,3,3,1.09861,0,0.0,0.0,0.0,1.0,0,2,0,1.0,,,llm,0,0,0,0,0,0,0,1,0,0,16863,233,0,17096,0.00527319,4.5433
20260819T074713Z,2026-08-19T07:47:13.202421+00:00,study1,llm+llm,llm,llm,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,1470120545,14701205450108,6,6,300,150,3,2,6,3,success,,14.041,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,0.6666666666666666,3,2,6,0,3,1.0,1,3,3,6,1.79176,0,1.0,0.33333,0.4621,0.83333,0,3,0,1.0,0,0,llm,0,0,0,0,0,0,0,4,0,0,20804,390,0,21194,0.0033546,8.1114
20260819T074713Z,2026-08-19T07:47:13.201965+00:00,study1,eig+llm,eig,llm,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,1470120545,14701205450108,6,6,300,150,3,2,6,3,success,,14.987,1.0,0.8333333333333334,0.9090909090909091,1.0,0.8,0.6666666666666666,0.7272727272727272,2,1.0,2,2,5,0,2,1.0,1,3,3,6,1.79176,0,0.0,0.0,0.0,1.0,0,3,0,1.0,,,llm,0,0,0,0,0,0,0,1,0,0,22302,454,0,22756,0.00718731,9.048
20260819T074713Z,2026-08-19T07:47:27.338266+00:00,study1,eig+llm,eig,llm,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,1004126917,10041269170108,6,6,300,150,3,2,6,6,success,,2.2,0.6,1.0,0.7499999999999999,1.0,0.2,0.3333333333333333,0.25,8,1.0,1,2,10,0,1,0.909091,0,2,3,3,1.09861,0,0.0,0.0,0.0,1.0,0,2,0,1.0,,,llm,0,0,0,0,3,0,2,1,0,0,11615,133,11520,11748,0.00095805,2.1778
20260819T074713Z,2026-08-19T07:47:13.201499+00:00,study1,oracle+llm,oracle,llm,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,1470120545,14701205450108,6,6,300,150,3,2,6,3,success,,17.637,1.0,0.8333333333333334,0.9090909090909091,1.0,0.8,0.6666666666666666,0.7272727272727272,2,1.0,2,2,5,0,2,1.0,1,3,3,6,1.79176,0,0.0,0.0,0.0,1.0,0,3,0,1.0,,,llm,0,0,0,0,0,0,0,1,0,0,22302,835,0,23137,0.00774452,11.6916
20260819T074713Z,2026-08-19T07:47:26.077911+00:00,study1,eig+llm,eig,llm,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,1004126917,10041269170108,6,6,300,150,3,2,6,6,success,,4.958,1.0,0.6666666666666666,0.8,1.0,0.5,0.3333333333333333,0.4,4,1.0,1,2,4,0,1,0.909091,0,2,3,3,1.09861,0,0.0,0.0,0.0,1.0,0,2,0,1.0,,,llm,0,0,0,0,0,0,0,1,0,0,16863,285,0,17148,0.00534924,4.9431
20260819T074713Z,2026-08-19T07:47:13.202269+00:00,study1,llm+llm,llm,llm,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,1470120545,14701205450108,6,6,300,150,3,2,6,3,success,,19.062,1.0,0.8333333333333334,0.9090909090909091,1.0,0.8,0.6666666666666666,0.7272727272727272,2,1.0,2,2,5,0,2,1.0,1,3,3,6,1.79176,0,0.0,0.0,0.0,1.0,0,3,0,1.0,0,0,llm,0,0,0,0,0,0,0,3,0,0,23833,959,0,24792,0.00837369,13.1281
20260819T074713Z,2026-08-19T07:47:28.228491+00:00,study1,llm+llm,llm,llm,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,1004126917,10041269170108,6,6,300,150,3,2,6,6,success,,4.981,1.0,0.6666666666666666,0.8,1.0,0.5,0.3333333333333333,0.4,4,1.0,1,2,4,0,1,0.909091,0,2,3,3,1.09861,0,0.0,0.0,0.0,1.0,0,2,0,1.0,0,0,llm,0,0,0,0,0,0,0,2,0,0,17571,353,0,17924,0.00565578,4.9659
