arm,model_tag,level,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,selection_regret_total_mean,selection_regret_total_sd,selection_regret_total_ci95_lo,selection_regret_total_ci95_hi,selection_regret_mean_mean,selection_regret_mean_sd,selection_regret_mean_ci95_lo,selection_regret_mean_ci95_hi,selection_quality_mean_mean,selection_quality_mean_sd,selection_quality_mean_ci95_lo,selection_quality_mean_ci95_hi,eig_regret_total_mean,eig_regret_total_sd,eig_regret_total_ci95_lo,eig_regret_total_ci95_hi,orientation_accuracy_mean,orientation_accuracy_sd,orientation_accuracy_ci95_lo,orientation_accuracy_ci95_hi,wasted_steps_mean,wasted_steps_sd,wasted_steps_ci95_lo,wasted_steps_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,pc_truth_in_class_mean,pc_truth_in_class_sd,pc_truth_in_class_ci95_lo,pc_truth_in_class_ci95_hi,mec_size_initial_mean,mec_size_initial_sd,mec_size_initial_ci95_lo,mec_size_initial_ci95_hi,mec_entropy_initial_mean,mec_entropy_initial_sd,mec_entropy_initial_ci95_lo,mec_entropy_initial_ci95_hi,belief_undirected_final_mean,belief_undirected_final_sd,belief_undirected_final_ci95_lo,belief_undirected_final_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi
eig+llm,gpt-4o-mini-2024-07-18,1,10,10,0,0.536515,0.198564,0.413444,0.659587,0.842381,0.234066,0.697305,0.987457,0.861061,0.129317,0.780909,0.941212,3.7,2.162817,2.359472,5.040528,0.9,0.210819,0.769333,1.030667,0.1,0.316228,-0.096,0.296,0.05,0.158114,-0.048,0.148,0.9875,0.039528,0.963,1.012,0.0,0.0,0.0,0.0,0.85,0.337474,0.640831,1.059169,0.0,0.0,0.0,0.0,1.7,0.483046,1.400605,1.999395,1.7,0.483046,1.400605,1.999395,0.956061,0.060795,0.918379,0.993742,0.5,0.527046,0.173333,0.826667,4.6,1.646545,3.579461,5.620539,1.47271,0.338733,1.262761,1.682659,0.0,0.0,0.0,0.0,14255.5,1842.746275,13113.354026,15397.645974,113.9,24.722684,98.576722,129.223278,14369.4,1828.867786,13235.856003,15502.943997,0.001463,0.000534,0.001132,0.001794,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.329,2.214923,1.956177,4.701823
eig+llm,gpt-4o-mini-2024-07-18,2,10,10,0,0.610556,0.293058,0.428917,0.792194,0.802222,0.350496,0.584982,1.019462,0.854579,0.123383,0.778106,0.931053,4.9,3.754997,2.572629,7.227371,0.95,0.158114,0.852,1.048,0.1,0.316228,-0.096,0.296,0.055556,0.166667,-0.053333,0.164444,0.986111,0.041667,0.958889,1.013333,0.0,0.0,0.0,0.0,0.95,0.1,0.884667,1.015333,0.0,0.0,0.0,0.0,1.8,0.632456,1.408,2.192,1.8,0.632456,1.408,2.192,0.945714,0.070136,0.902243,0.989185,0.5,0.527046,0.173333,0.826667,6.5,2.838231,4.740846,8.259154,1.725285,0.677652,1.305272,2.145298,0.0,0.0,0.0,0.0,20244.9,145.718488,20154.582745,20335.217255,411.2,942.506917,-172.971839,995.371839,20656.1,1073.210392,19990.917308,21321.282692,0.002224,0.000826,0.001712,0.002735,1.1,0.316228,0.904,1.296,0.1,0.316228,-0.096,0.296,5.4804,10.400546,-0.965925,11.926725
eig+llm,qwen3-coder-30b-a3b-instruct,1,10,10,0,0.55316,0.161872,0.452831,0.653489,0.892381,0.204315,0.765745,1.019017,0.892221,0.096305,0.832531,0.951911,3.4,1.505545,2.466853,4.333147,0.9,0.210819,0.769333,1.030667,0.1,0.316228,-0.096,0.296,0.05,0.158114,-0.048,0.148,0.9875,0.039528,0.963,1.012,0.0,0.0,0.0,0.0,0.85,0.337474,0.640831,1.059169,0.0,0.0,0.0,0.0,1.7,0.483046,1.400605,1.999395,1.7,0.483046,1.400605,1.999395,0.956061,0.060795,0.918379,0.993742,0.5,0.527046,0.173333,0.826667,4.6,1.646545,3.579461,5.620539,1.47271,0.338733,1.262761,1.682659,0.0,0.0,0.0,0.0,20779.1,2691.785465,19110.714084,22447.485916,568.0,214.319077,435.16366,700.83634,21347.1,2842.406549,19585.358169,23108.841831,0.006909,0.001027,0.006272,0.007545,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.4416,3.172635,7.475181,11.408019
eig+llm,qwen3-coder-30b-a3b-instruct,2,10,10,0,0.631355,0.164259,0.529547,0.733164,0.868889,0.220101,0.732469,1.005309,0.876548,0.119678,0.80237,0.950725,3.9,1.595131,2.911327,4.888673,0.95,0.158114,0.852,1.048,0.1,0.316228,-0.096,0.296,0.055556,0.166667,-0.053333,0.164444,0.986111,0.041667,0.958889,1.013333,0.0,0.0,0.0,0.0,0.95,0.1,0.884667,1.015333,0.0,0.0,0.0,0.0,1.8,0.632456,1.408,2.192,1.8,0.632456,1.408,2.192,0.945714,0.070136,0.902243,0.989185,0.5,0.527046,0.173333,0.826667,6.5,2.838231,4.740846,8.259154,1.725285,0.677652,1.305272,2.145298,0.0,0.0,0.0,0.0,27916.7,4536.648226,25104.856298,30728.543702,1067.4,887.474469,517.337625,1617.462375,28984.1,4930.426834,25928.189788,32040.010212,0.009727,0.002169,0.008383,0.011071,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,16.1305,10.28371,9.75659,22.50441
llm+llm,gpt-4o-mini-2024-07-18,1,10,10,0,0.626923,0.130645,0.545949,0.707898,0.905714,0.191923,0.786759,1.024669,0.913217,0.083134,0.86169,0.964744,2.7,1.05935,2.043408,3.356592,0.866667,0.219427,0.730664,1.002669,0.4,0.699206,-0.033372,0.833372,0.233333,0.417222,-0.025264,0.49193,0.908333,0.168737,0.803749,1.012917,0.149095,0.218395,0.013732,0.284458,0.85,0.337474,0.640831,1.059169,0.0,0.0,0.0,0.0,1.8,0.632456,1.408,2.192,1.8,0.632456,1.408,2.192,0.956061,0.060795,0.918379,0.993742,0.5,0.527046,0.173333,0.826667,4.6,1.646545,3.579461,5.620539,1.47271,0.338733,1.262761,1.682659,0.0,0.0,0.0,0.0,15490.2,2758.880643,13780.228062,17200.171938,212.7,64.776625,172.551032,252.848968,15702.9,2810.902522,13960.684567,17445.115433,0.001936,0.000788,0.001447,0.002424,2.8,0.632456,2.408,3.192,0.0,0.0,0.0,0.0,5.8514,3.005173,3.988774,7.714026
llm+llm,gpt-4o-mini-2024-07-18,2,10,10,0,0.54467,0.299037,0.359325,0.730015,0.793131,0.345946,0.578712,1.007551,0.785228,0.211452,0.654169,0.916287,7.4,6.850791,3.153836,11.646164,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.056675,0.146199,-0.03394,0.14729,0.95,0.1,0.884667,1.015333,0.0,0.0,0.0,0.0,1.7,0.674949,1.281663,2.118337,1.7,0.674949,1.281663,2.118337,0.945714,0.070136,0.902243,0.989185,0.5,0.527046,0.173333,0.826667,6.5,2.838231,4.740846,8.259154,1.725285,0.677652,1.305272,2.145298,0.0,0.0,0.0,0.0,21622.5,7870.423118,16744.361212,26500.638788,504.4,937.531179,-76.687845,1085.487845,22126.9,8700.060184,16734.546831,27519.253169,0.002148,0.001202,0.001403,0.002893,2.8,0.788811,2.31109,3.28891,0.1,0.316228,-0.096,0.296,7.9144,10.792792,1.224958,14.603842
llm+llm,qwen3-coder-30b-a3b-instruct,1,10,10,0,0.544662,0.121434,0.469397,0.619927,0.792381,0.343263,0.579625,1.005137,0.874639,0.08651,0.821019,0.928258,3.5,1.080123,2.830533,4.169467,0.9,0.210819,0.769333,1.030667,0.2,0.632456,-0.192,0.592,0.1,0.316228,-0.096,0.296,0.975,0.079057,0.926,1.024,0.010465,0.033093,-0.010046,0.030976,0.9,0.316228,0.704,1.096,0.0,0.0,0.0,0.0,1.7,0.483046,1.400605,1.999395,1.7,0.483046,1.400605,1.999395,0.956061,0.060795,0.918379,0.993742,0.5,0.527046,0.173333,0.826667,4.6,1.646545,3.579461,5.620539,1.47271,0.338733,1.262761,1.682659,0.0,0.0,0.0,0.0,22055.4,3081.932914,20145.198189,23965.601811,604.5,232.90067,460.146669,748.853331,22659.9,3208.2303,20671.418259,24648.381741,0.007335,0.001116,0.006644,0.008027,2.7,0.483046,2.400605,2.999395,0.0,0.0,0.0,0.0,10.0243,4.453784,7.263816,12.784784
llm+llm,qwen3-coder-30b-a3b-instruct,2,10,10,0,0.679231,0.177877,0.568981,0.78948,0.868889,0.220101,0.732469,1.005309,0.914048,0.086157,0.860647,0.967449,3.4,1.646545,2.379461,4.420539,1.0,0.0,1.0,1.0,0.1,0.316228,-0.096,0.296,0.055556,0.166667,-0.053333,0.164444,0.972222,0.083333,0.917778,1.026667,0.051012,0.128813,-0.028827,0.130851,0.95,0.1,0.884667,1.015333,0.0,0.0,0.0,0.0,1.7,0.674949,1.281663,2.118337,1.7,0.674949,1.281663,2.118337,0.945714,0.070136,0.902243,0.989185,0.5,0.527046,0.173333,0.826667,6.5,2.838231,4.740846,8.259154,1.725285,0.677652,1.305272,2.145298,0.0,0.0,0.0,0.0,28571.6,5388.426429,25231.818698,31911.381302,1115.3,838.730131,595.449679,1635.150321,29686.9,5866.488339,26050.812856,33322.987144,0.009988,0.002447,0.008471,0.011505,2.7,0.674949,2.281663,3.118337,0.0,0.0,0.0,0.0,16.2888,10.725971,9.640774,22.936826
oracle+llm,gpt-4o-mini-2024-07-18,1,10,10,0,0.622727,0.148627,0.530607,0.714847,0.865714,0.249462,0.711096,1.020332,0.882727,0.105506,0.817334,0.948121,2.8,1.229273,2.038089,3.561911,0.95,0.158114,0.852,1.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.056675,0.146199,-0.03394,0.14729,0.85,0.337474,0.640831,1.059169,0.0,0.0,0.0,0.0,1.6,0.516398,1.279933,1.920067,1.6,0.516398,1.279933,1.920067,0.956061,0.060795,0.918379,0.993742,0.5,0.527046,0.173333,0.826667,4.6,1.646545,3.579461,5.620539,1.47271,0.338733,1.262761,1.682659,0.0,0.0,0.0,0.0,15040.8,3400.512635,12933.140433,17148.459567,414.6,937.077988,-166.206954,995.406954,15455.4,4225.837016,12836.199081,18074.600919,0.002418,0.00077,0.001941,0.002896,1.1,0.316228,0.904,1.296,0.1,0.316228,-0.096,0.296,7.2944,10.028666,1.078568,13.510232
oracle+llm,gpt-4o-mini-2024-07-18,2,10,10,0,0.63084,0.231374,0.487433,0.774248,0.852222,0.242305,0.70204,1.002405,0.861211,0.147609,0.769722,0.952701,4.8,4.2374,2.173633,7.426367,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.102885,0.290449,-0.077137,0.282907,0.977778,0.066667,0.934222,1.021333,0.0,0.0,0.0,0.0,1.7,0.674949,1.281663,2.118337,1.7,0.674949,1.281663,2.118337,0.945714,0.070136,0.902243,0.989185,0.5,0.527046,0.173333,0.826667,6.5,2.838231,4.740846,8.259154,1.725285,0.677652,1.305272,2.145298,0.0,0.0,0.0,0.0,18716.4,3363.426038,16631.726944,20801.073056,119.8,40.435958,94.737534,144.862466,18836.2,3342.001456,16764.806037,20907.593963,0.002879,0.000492,0.002574,0.003184,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.8907,0.775382,2.410113,3.371287
