run_id,arm,model_tag,prompt,level,seed,step,target,a,b,z,se,mu_obs,mu_int,truth,decision,correct,rationale
20260819T070128Z,local_mechanical,none,,0,295485567,1,1,1,0,34.12861,0.12316,0.04046,4.2438,a_to_b,a_to_b,1,
20260819T070128Z,local_mechanical,none,,0,295485567,1,1,1,2,37.07431,0.18801,0.0935,7.0638,a_to_b,a_to_b,1,
20260819T070128Z,local_mechanical,none,,0,295485567,1,1,1,3,37.14989,0.14615,0.13347,5.56281,a_to_b,a_to_b,1,
20260819T070128Z,local_mechanical,none,,0,295485567,2,2,2,3,1.28394,0.20975,0.13347,-0.13584,b_to_a,b_to_a,1,
20260819T070128Z,local_mechanical,none,,0,325160078,1,2,2,3,0.31525,0.10078,-0.04381,-0.01204,b_to_a,b_to_a,1,
20260819T070128Z,local_mechanical,none,,0,1719885688,1,0,0,1,1.54117,0.10269,0.01223,-0.14603,b_to_a,b_to_a,1,
20260819T070128Z,local_mechanical,none,,0,1719885688,1,0,0,3,33.89884,0.21754,-0.0381,-7.4125,a_to_b,a_to_b,1,
20260819T070128Z,local_mechanical,none,,0,1719885688,2,1,1,2,25.42274,0.11247,0.00581,-2.85359,a_to_b,a_to_b,1,
20260819T070128Z,local_mechanical,none,,0,239607114,1,0,0,3,1.56733,0.23348,0.27663,-0.0893,b_to_a,b_to_a,1,
20260819T070128Z,local_mechanical,none,,0,1279549348,1,1,1,0,15.20735,0.15384,0.06653,-2.27301,a_to_b,a_to_b,1,
20260819T070128Z,local_mechanical,none,,0,1279549348,1,1,1,2,1.09761,0.10272,-0.10614,0.00661,b_to_a,b_to_a,1,
20260819T070128Z,local_mechanical,none,,0,1279549348,1,1,1,3,22.599,0.1074,0.04471,-2.38242,a_to_b,a_to_b,1,
20260819T070128Z,local_mechanical,none,,0,1943031107,1,0,0,1,16.82322,0.21341,-0.41421,3.17605,a_to_b,a_to_b,1,
20260819T070128Z,local_mechanical,none,,0,1580201974,1,2,2,0,40.55076,0.22081,0.27342,-8.68061,a_to_b,a_to_b,1,
20260819T070128Z,local_mechanical,none,,0,1078156455,1,2,2,1,26.83215,0.27087,0.06072,7.32876,a_to_b,a_to_b,1,
20260819T070128Z,local_mechanical,none,,0,1158667886,1,0,0,1,23.40054,0.15708,0.01397,-3.66172,a_to_b,a_to_b,1,
20260819T070128Z,local_mechanical,none,,1,1470120545,1,5,5,1,23.53367,0.11117,0.05535,2.67164,a_to_b,a_to_b,1,
20260819T070128Z,local_mechanical,none,,1,1470120545,1,5,5,4,37.51743,0.16422,-0.19433,-6.35542,a_to_b,a_to_b,1,
