run_id,timestamp_utc,study,arm,selector,readout,prompt,model,model_tag,level,seed,runtime_seed,d,k,n_obs,n_int,budget,opt_set_size,true_edges,status,error,wall_sec,skeleton_f1,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,interventions_used,submit_directed,submit_undirected,steps_taken,pc_skeleton_f1_ceiling,pc_truth_in_class,belief_undirected_final,decisions,decisions_correct,decisions_wrong,decisions_abstain,orientations_correct,orientations_wrong,llm_calls,llm_failed_calls,llm_repair_calls,prompt_tokens,completion_tokens,total_tokens,cost_usd,llm_latency_sec
20260819T070424Z,2026-08-19T07:04:24.011146+00:00,study1_local,local_mechanical,eig,mechanical,,,none,0,123393401,1233934010007,4,4,300,150,2,1,4,success,,1.615,0.8571428571428571,1.0,1.0,0.75,0.8571428571428571,1,0,3,0,0,0.857143,0,0,0,0,0,0,0,0,,,,,,,,
20260819T070424Z,2026-08-19T07:04:25.627158+00:00,study1_local,local_mechanical,eig,mechanical,,,none,0,295485567,2954855670007,4,4,300,150,3,2,4,success,,0.005,1.0,1.0,1.0,1.0,1.0,0,2,4,0,2,1.0,1,0,4,4,0,0,4,0,,,,,,,,
20260819T070424Z,2026-08-19T07:04:25.633000+00:00,study1_local,local_mechanical,eig,mechanical,,,none,0,325160078,3251600780007,4,4,300,150,3,2,4,success,,0.005,0.8571428571428571,1.0,0.6666666666666666,0.5,0.5714285714285715,2,1,3,0,1,0.857143,0,0,1,1,0,0,1,0,,,,,,,,
20260819T070424Z,2026-08-19T07:04:25.638342+00:00,study1_local,local_mechanical,eig,mechanical,,,none,0,1719885688,17198856880007,4,4,300,150,3,2,4,success,,0.011,1.0,1.0,1.0,1.0,1.0,0,2,4,0,2,1.0,1,0,4,4,0,0,4,0,,,,,,,,
20260819T070424Z,2026-08-19T07:04:25.650228+00:00,study1_local,local_mechanical,eig,mechanical,,,none,0,239607114,2396071140007,4,4,300,150,2,1,4,success,,0.003,0.8571428571428571,1.0,0.3333333333333333,0.25,0.28571428571428575,3,1,3,0,1,0.857143,0,0,1,1,0,0,1,0,,,,,,,,
20260819T070424Z,2026-08-19T07:04:25.653893+00:00,study1_local,local_mechanical,eig,mechanical,,,none,0,1279549348,12795493480007,4,4,300,150,2,1,4,success,,0.004,1.0,1.0,1.0,1.0,1.0,0,1,4,0,1,1.0,1,0,3,3,0,0,4,0,,,,,,,,
20260819T070424Z,2026-08-19T07:04:25.658774+00:00,study1_local,local_mechanical,eig,mechanical,,,none,0,1943031107,19430311070007,4,4,300,150,3,2,4,success,,0.004,0.8571428571428571,1.0,1.0,0.75,0.8571428571428571,1,2,3,0,2,0.857143,0,0,3,3,0,0,3,0,,,,,,,,
20260819T070424Z,2026-08-19T07:04:25.663334+00:00,study1_local,local_mechanical,eig,mechanical,,,none,0,1580201974,15802019740007,4,4,300,150,2,1,4,success,,0.004,0.8571428571428571,1.0,0.6666666666666666,0.5,0.5714285714285715,2,2,3,0,2,0.857143,0,0,3,2,1,0,2,1,,,,,,,,
20260819T070424Z,2026-08-19T07:04:25.667701+00:00,study1_local,local_mechanical,eig,mechanical,,,none,0,1078156455,10781564550007,4,4,300,150,2,1,4,success,,0.004,0.8571428571428571,1.0,1.0,0.75,0.8571428571428571,1,2,3,0,2,0.857143,0,0,3,3,0,0,3,0,,,,,,,,
20260819T070424Z,2026-08-19T07:04:25.672033+00:00,study1_local,local_mechanical,eig,mechanical,,,none,0,1158667886,11586678860007,4,4,300,150,2,1,4,success,,0.004,0.8571428571428571,1.0,1.0,0.75,0.8571428571428571,1,1,3,0,1,0.857143,0,0,3,3,0,0,3,0,,,,,,,,
