arm,model_tag,n,directed_f1,compelled_f1,skeleton_f1,dag_shd,interventions_used,efficiency,prompt_tokens,completion_tokens,total_tokens,cost_usd,llm_calls,wall_sec
eig+llm,gpt-4o-mini-2024-07-18,20,0.627 ±0.089,0.894 ±0.112,0.886 ±0.055,4.100 ±1.318,1.800 ±0.336,0.858 ±0.090,671.050 ±34.147,124.000 ±10.485,795.050 ±36.481,0.000 ±0.000,1.000 ±0.000,2.296 ±0.290
eig+llm,qwen3-coder-30b-a3b-instruct,20,0.677 ±0.080,0.891 ±0.114,0.944 ±0.046,2.850 ±0.820,1.800 ±0.336,0.858 ±0.090,1165.300 ±190.939,603.800 ±418.946,1769.100 ±605.941,0.001 ±0.001,1.100 ±0.135,13.522 ±7.166
eig+meek,none,20,0.914 ±0.068,0.929 ±0.082,0.981 ±0.015,0.750 ±0.567,1.800 ±0.336,0.858 ±0.090,—,—,—,—,—,0.018 ±0.002
llm+llm,gpt-4o-mini-2024-07-18,20,0.643 ±0.091,0.861 ±0.117,0.897 ±0.054,4.100 ±1.570,1.800 ±0.336,0.858 ±0.090,1598.350 ±238.259,199.300 ±19.569,1797.650 ±254.867,0.000 ±0.000,2.800 ±0.336,3.963 ±0.348
llm+llm,qwen3-coder-30b-a3b-instruct,20,0.704 ±0.071,0.899 ±0.109,0.973 ±0.017,2.350 ±0.537,1.800 ±0.336,0.858 ±0.090,2504.100 ±339.152,543.550 ±298.657,3047.650 ±493.608,0.001 ±0.001,2.850 ±0.327,13.650 ±5.524
llm+meek,gpt-4o-mini-2024-07-18,20,0.917 ±0.058,0.940 ±0.064,0.981 ±0.015,0.750 ±0.510,1.800 ±0.336,0.858 ±0.090,926.350 ±204.382,74.400 ±14.095,1000.750 ±218.294,0.000 ±0.000,1.800 ±0.336,1.865 ±0.333
llm+meek,qwen3-coder-30b-a3b-instruct,20,0.918 ±0.061,0.938 ±0.067,0.981 ±0.015,0.750 ±0.510,1.850 ±0.327,0.833 ±0.095,1456.300 ±298.020,100.150 ±17.390,1556.450 ±314.566,0.000 ±0.000,1.850 ±0.327,3.641 ±1.026
llm_e2e,gpt-4o-mini-2024-07-18,20,0.000 ±0.000,0.150 ±0.161,0.115 ±0.078,8.900 ±1.231,2.600 ±0.220,0.600 ±0.037,104593.700 ±9201.134,213.050 ±13.782,104806.750 ±9209.813,0.010 ±0.001,3.600 ±0.220,5.553 ±0.372
llm_e2e,qwen3-coder-30b-a3b-instruct,20,0.152 ±0.084,0.362 ±0.167,0.364 ±0.075,10.150 ±1.250,2.600 ±0.220,0.600 ±0.037,152051.500 ±13449.397,464.500 ±46.182,152516.000 ±13470.620,0.030 ±0.003,3.600 ±0.220,57.527 ±5.850
maxdeg+llm,gpt-4o-mini-2024-07-18,20,0.624 ±0.081,0.861 ±0.117,0.913 ±0.041,3.600 ±0.893,1.800 ±0.336,0.858 ±0.090,671.100 ±34.160,127.650 ±10.626,798.750 ±34.726,0.000 ±0.000,1.000 ±0.000,2.487 ±0.563
maxdeg+llm,qwen3-coder-30b-a3b-instruct,20,0.668 ±0.098,0.899 ±0.109,0.933 ±0.046,2.700 ±0.740,1.800 ±0.336,0.858 ±0.090,1288.600 ±254.272,877.200 ±549.859,2165.800 ±801.853,0.002 ±0.001,1.200 ±0.180,17.804 ±12.071
maxdeg+meek,none,20,0.919 ±0.060,0.938 ±0.067,0.981 ±0.015,0.700 ±0.495,1.800 ±0.336,0.858 ±0.090,—,—,—,—,—,0.305 ±0.562
oracle+llm,gpt-4o-mini-2024-07-18,20,0.644 ±0.093,0.841 ±0.141,0.912 ±0.048,3.650 ±1.192,1.550 ±0.224,0.950 ±0.067,650.250 ±25.067,113.650 ±9.033,763.900 ±24.155,0.000 ±0.000,1.000 ±0.000,2.171 ±0.255
oracle+llm,qwen3-coder-30b-a3b-instruct,20,0.682 ±0.076,0.899 ±0.109,0.967 ±0.023,2.450 ±0.559,1.550 ±0.224,0.950 ±0.067,1013.600 ±33.865,267.000 ±55.318,1280.600 ±72.330,0.001 ±0.000,1.000 ±0.000,7.442 ±3.289
oracle+meek,none,20,0.912 ±0.076,0.938 ±0.067,0.981 ±0.015,0.750 ±0.618,1.550 ±0.224,0.950 ±0.067,—,—,—,—,—,0.018 ±0.003
random+llm,gpt-4o-mini-2024-07-18,20,0.595 ±0.081,0.814 ±0.134,0.863 ±0.036,3.950 ±0.785,2.000 ±0.246,0.750 ±0.105,686.450 ±26.567,114.200 ±9.034,800.650 ±31.811,0.000 ±0.000,1.000 ±0.000,2.395 ±0.613
random+llm,qwen3-coder-30b-a3b-instruct,20,0.633 ±0.103,0.881 ±0.123,0.945 ±0.033,3.200 ±0.799,2.000 ±0.246,0.750 ±0.105,1116.300 ±107.879,412.000 ±328.702,1528.300 ±431.819,0.001 ±0.001,1.050 ±0.098,8.603 ±6.819
random+meek,none,20,0.879 ±0.061,0.938 ±0.067,0.981 ±0.015,1.150 ±0.518,2.000 ±0.246,0.750 ±0.105,—,—,—,—,—,0.307 ±0.563
