arm,model_tag,level,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,selection_regret_total_mean,selection_regret_total_sd,selection_regret_total_ci95_lo,selection_regret_total_ci95_hi,selection_regret_mean_mean,selection_regret_mean_sd,selection_regret_mean_ci95_lo,selection_regret_mean_ci95_hi,selection_quality_mean_mean,selection_quality_mean_sd,selection_quality_mean_ci95_lo,selection_quality_mean_ci95_hi,eig_regret_total_mean,eig_regret_total_sd,eig_regret_total_ci95_lo,eig_regret_total_ci95_hi,orientation_accuracy_mean,orientation_accuracy_sd,orientation_accuracy_ci95_lo,orientation_accuracy_ci95_hi,wasted_steps_mean,wasted_steps_sd,wasted_steps_ci95_lo,wasted_steps_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,pc_truth_in_class_mean,pc_truth_in_class_sd,pc_truth_in_class_ci95_lo,pc_truth_in_class_ci95_hi,mec_size_initial_mean,mec_size_initial_sd,mec_size_initial_ci95_lo,mec_size_initial_ci95_hi,mec_entropy_initial_mean,mec_entropy_initial_sd,mec_entropy_initial_ci95_lo,mec_entropy_initial_ci95_hi,belief_undirected_final_mean,belief_undirected_final_sd,belief_undirected_final_ci95_lo,belief_undirected_final_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi
eig+llm,gpt-4o-mini-2024-07-18,1,10,10,0,0.685175,0.175093,0.576651,0.793698,0.9,0.316228,0.704,1.096,0.910023,0.11144,0.840952,0.979095,2.7,1.337494,1.871013,3.528987,0.916667,0.180021,0.805089,1.028245,0.4,0.966092,-0.19879,0.99879,0.15,0.337474,-0.059169,0.359169,0.958889,0.088587,0.903982,1.013796,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.6,0.699206,1.166628,2.033372,1.6,0.699206,1.166628,2.033372,0.981818,0.038331,0.958061,1.005576,0.7,0.483046,0.400605,0.999395,5.1,2.726414,3.410151,6.789849,1.523794,0.472523,1.230921,1.816667,0.0,0.0,0.0,0.0,624.8,51.723195,592.741632,656.858368,118.7,20.412687,106.048086,131.351914,743.5,58.995763,706.934048,780.065952,0.000165,1.6e-05,0.000155,0.000175,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.3603,0.855435,1.830096,2.890504
eig+llm,gpt-4o-mini-2024-07-18,2,10,10,0,0.569504,0.219726,0.433317,0.705692,0.887143,0.196159,0.765562,1.008724,0.862585,0.140736,0.775355,0.949814,5.5,3.597839,3.270036,7.729964,0.8,0.219427,0.663998,0.936002,0.6,0.699206,0.166628,1.033372,0.233333,0.262937,0.070363,0.396303,0.935278,0.069907,0.89195,0.978606,0.0,0.0,0.0,0.0,0.883333,0.219428,0.74733,1.019336,0.0,0.0,0.0,0.0,2.0,0.816497,1.49393,2.50607,2.0,0.816497,1.49393,2.50607,0.980784,0.031014,0.961562,1.000007,0.6,0.516398,0.279933,0.920067,8.7,4.270051,6.053395,11.346605,2.049544,0.52046,1.726959,2.372129,0.1,0.316228,-0.096,0.296,717.3,73.392476,671.810872,762.789128,129.3,27.002263,112.563824,146.036176,846.6,72.39736,801.727651,891.472349,0.000185,1.7e-05,0.000174,0.000196,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.2314,0.429554,1.96516,2.49764
eig+llm,qwen3-coder-30b-a3b-instruct,1,10,10,0,0.651818,0.201775,0.526757,0.77688,0.9,0.316228,0.704,1.096,0.931169,0.144494,0.84161,1.020727,2.7,1.946507,1.493543,3.906457,0.916667,0.180021,0.805089,1.028245,0.4,0.966092,-0.19879,0.99879,0.15,0.337474,-0.059169,0.359169,0.958889,0.088587,0.903982,1.013796,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.6,0.699206,1.166628,2.033372,1.6,0.699206,1.166628,2.033372,0.981818,0.038331,0.958061,1.005576,0.7,0.483046,0.400605,0.999395,5.1,2.726414,3.410151,6.789849,1.523794,0.472523,1.230921,1.816667,0.0,0.0,0.0,0.0,1096.1,423.048053,833.8921,1358.3079,530.1,992.569331,-85.100845,1145.300845,1626.2,1412.128008,750.953993,2501.446007,0.001051,0.001778,-5.1e-05,0.002153,1.1,0.316228,0.904,1.296,0.1,0.316228,-0.096,0.296,7.9275,15.11073,-1.438227,17.293227
eig+llm,qwen3-coder-30b-a3b-instruct,2,10,10,0,0.701604,0.165539,0.599002,0.804206,0.881587,0.208726,0.752217,1.010957,0.957173,0.049417,0.926544,0.987802,3.0,1.885618,1.831282,4.168718,0.8,0.219427,0.663998,0.936002,0.6,0.699206,0.166628,1.033372,0.233333,0.262937,0.070363,0.396303,0.935278,0.069907,0.89195,0.978606,0.0,0.0,0.0,0.0,0.883333,0.219428,0.74733,1.019336,0.0,0.0,0.0,0.0,2.0,0.816497,1.49393,2.50607,2.0,0.816497,1.49393,2.50607,0.980784,0.031014,0.961562,1.000007,0.6,0.516398,0.279933,0.920067,8.7,4.270051,6.053395,11.346605,2.049544,0.52046,1.726959,2.372129,0.1,0.316228,-0.096,0.296,1234.5,459.443444,949.734003,1519.265997,677.5,965.295493,79.203655,1275.796345,1912.0,1412.776856,1036.351833,2787.648167,0.001355,0.001677,0.000316,0.002394,1.1,0.316228,0.904,1.296,0.1,0.316228,-0.096,0.296,19.1167,16.325532,8.99803,29.23537
eig+meek,none,1,10,10,0,0.94697,0.095627,0.8877,1.00624,0.966667,0.105409,0.901333,1.032,0.981818,0.038331,0.958061,1.005576,0.4,0.699206,-0.033372,0.833372,0.916667,0.180021,0.805089,1.028245,0.4,0.966092,-0.19879,0.99879,0.15,0.337474,-0.059169,0.359169,0.958889,0.088587,0.903982,1.013796,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.6,0.699206,1.166628,2.033372,1.6,0.699206,1.166628,2.033372,0.981818,0.038331,0.958061,1.005576,0.7,0.483046,0.400605,0.999395,5.1,2.726414,3.410151,6.789849,1.523794,0.472523,1.230921,1.816667,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0147,0.002214,0.013328,0.016072
eig+meek,none,2,10,10,0,0.880308,0.196476,0.758531,1.002085,0.891111,0.244658,0.739471,1.042751,0.980784,0.031014,0.961562,1.000007,1.1,1.66333,0.069057,2.130943,0.8,0.219427,0.663998,0.936002,0.6,0.699206,0.166628,1.033372,0.233333,0.262937,0.070363,0.396303,0.935278,0.069907,0.89195,0.978606,0.0,0.0,0.0,0.0,0.883333,0.219428,0.74733,1.019336,0.0,0.0,0.0,0.0,2.0,0.816497,1.49393,2.50607,2.0,0.816497,1.49393,2.50607,0.980784,0.031014,0.961562,1.000007,0.6,0.516398,0.279933,0.920067,8.7,4.270051,6.053395,11.346605,2.049544,0.52046,1.726959,2.372129,0.1,0.316228,-0.096,0.296,,,,,,,,,,,,,,,,,,,,,,,,,0.0218,0.003795,0.019448,0.024152
llm+llm,gpt-4o-mini-2024-07-18,1,10,10,0,0.647739,0.212508,0.516025,0.779453,0.866667,0.322031,0.66707,1.066263,0.943357,0.074187,0.897375,0.989338,2.8,1.47573,1.885333,3.714667,0.966667,0.105409,0.901333,1.032,0.3,0.948683,-0.288,0.888,0.1,0.316228,-0.096,0.296,0.975556,0.077299,0.927646,1.023466,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5,0.707107,1.061731,1.938269,1.5,0.707107,1.061731,1.938269,0.981818,0.038331,0.958061,1.005576,0.7,0.483046,0.400605,0.999395,5.1,2.726414,3.410151,6.789849,1.523794,0.472523,1.230921,1.816667,0.0,0.0,0.0,0.0,1334.9,439.557214,1062.459616,1607.340384,176.4,33.964688,155.348469,197.451531,1511.3,466.58429,1222.108061,1800.491939,0.000306,8.3e-05,0.000255,0.000357,2.5,0.707107,2.061731,2.938269,0.0,0.0,0.0,0.0,3.6212,0.752009,3.1551,4.0873
llm+llm,gpt-4o-mini-2024-07-18,2,10,10,0,0.638288,0.215434,0.50476,0.771815,0.854444,0.217761,0.719475,0.989414,0.849804,0.148027,0.758056,0.941552,5.4,4.599517,2.54919,8.25081,0.75,0.225668,0.61013,0.88987,1.2,1.316561,0.383987,2.016013,0.516667,0.630745,0.125727,0.907607,0.865,0.151039,0.771385,0.958615,0.052665,0.0901,-0.003179,0.108509,0.908333,0.216774,0.773975,1.042691,0.0,0.0,0.0,0.0,2.1,0.737865,1.642667,2.557333,2.1,0.737865,1.642667,2.557333,0.980784,0.031014,0.961562,1.000007,0.6,0.516398,0.279933,0.920067,8.7,4.270051,6.053395,11.346605,2.049544,0.52046,1.726959,2.372129,0.2,0.421637,-0.061333,0.461333,1861.8,525.806217,1535.90193,2187.69807,222.2,43.471063,195.256356,249.143644,2084.0,560.3719,1736.677898,2431.322102,0.000413,0.000101,0.00035,0.000475,3.1,0.737865,2.642667,3.557333,0.0,0.0,0.0,0.0,4.3044,0.711444,3.863442,4.745358
llm+llm,qwen3-coder-30b-a3b-instruct,1,10,10,0,0.679091,0.191021,0.560695,0.797487,0.9,0.316228,0.704,1.096,0.972727,0.043913,0.94551,0.999945,2.2,1.135292,1.496338,2.903662,0.916667,0.180021,0.805089,1.028245,0.4,0.966092,-0.19879,0.99879,0.15,0.337474,-0.059169,0.359169,0.958889,0.088587,0.903982,1.013796,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.6,0.699206,1.166628,2.033372,1.6,0.699206,1.166628,2.033372,0.981818,0.038331,0.958061,1.005576,0.7,0.483046,0.400605,0.999395,5.1,2.726414,3.410151,6.789849,1.523794,0.472523,1.230921,1.816667,0.0,0.0,0.0,0.0,2264.6,630.98991,1873.508402,2655.691598,607.3,950.997844,17.865429,1196.734571,2871.9,1246.007352,2099.616642,3644.183358,0.001381,0.001651,0.000358,0.002404,2.7,0.674949,2.281663,3.118337,0.1,0.316228,-0.096,0.296,12.4492,12.922468,4.439772,20.458628
llm+llm,qwen3-coder-30b-a3b-instruct,2,10,10,0,0.728565,0.135063,0.644852,0.812278,0.897143,0.175714,0.788234,1.006051,0.974118,0.033491,0.95336,0.994875,2.5,1.354006,1.660778,3.339222,0.8,0.219427,0.663998,0.936002,0.7,1.05935,0.043408,1.356592,0.25,0.362178,0.02552,0.47448,0.92,0.113287,0.849784,0.990216,0.07978,0.154281,-0.015844,0.175404,0.913333,0.213265,0.78115,1.045516,0.0,0.0,0.0,0.0,2.0,0.816497,1.49393,2.50607,2.0,0.816497,1.49393,2.50607,0.980784,0.031014,0.961562,1.000007,0.6,0.516398,0.279933,0.920067,8.7,4.270051,6.053395,11.346605,2.049544,0.52046,1.726959,2.372129,0.1,0.316228,-0.096,0.296,2743.6,859.411452,2210.931263,3276.268737,479.8,258.65713,319.48265,640.11735,3223.4,1027.969541,2586.257877,3860.542123,0.001269,0.000576,0.000912,0.001626,3.0,0.816497,2.49393,3.50607,0.0,0.0,0.0,0.0,14.8507,12.854322,6.883509,22.817891
