run_id,timestamp_utc,study,arm,selector,inferencer,model,model_tag,level,seed,runtime_seed,d,k,n_obs,n_int,budget,opt_set_size,true_edges,cpdag_undirected,status,error,wall_sec,skeleton_precision,skeleton_recall,skeleton_f1,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency,interventions_used,optimal_interventions,submit_directed,submit_undirected,steps_taken,pc_skeleton_f1_ceiling,pc_truth_in_class,pc_undirected_edges,pc_directed_edges,mec_size_initial,mec_entropy_initial,belief_undirected_final,selection_regret_total,selection_regret_mean,eig_regret_total,selection_quality_mean,wasted_steps,orientations_correct,orientations_wrong,orientation_accuracy,select_wasted_targets,select_repeat_targets,infer_rule,infer_repairs,infer_dropped_malformed,infer_dropped_self_loop,infer_dropped_out_of_range,infer_dropped_cycle,infer_dropped_overlap,infer_dropped_duplicate,llm_calls,llm_failed_calls,llm_repair_calls,prompt_tokens,completion_tokens,cached_tokens,total_tokens,cost_usd,llm_latency_sec
20260816T141522Z,2026-08-16T14:15:22.246240+00:00,study1,random+meek,random,meek,,none,1,123393401,1233934010108,6,6,60,40,2,1,6,3,success,,5.517,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.9090909090909091,1,0.5,2,1,5,1,2,1.0,1,3,3,4,1.38629,1,3.0,1.5,0.93948,0.41667,0,2,0,1.0,,,pc_meanshift_meek,,,,,,,,,,,,,,,,
20260816T141522Z,2026-08-16T14:15:22.293608+00:00,study1,maxdeg+meek,maxdeg,meek,,none,1,123393401,1233934010108,6,6,60,40,2,1,6,3,success,,5.535,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,1.0,1,3,3,4,1.38629,0,1.0,0.5,0.0,0.83333,0,3,0,1.0,,,pc_meanshift_meek,,,,,,,,,,,,,,,,
20260816T141522Z,2026-08-16T14:15:27.834687+00:00,study1,eig+meek,eig,meek,,none,1,123393401,1233934010108,6,6,60,40,2,1,6,3,success,,0.013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,1.0,1,3,3,4,1.38629,0,1.0,0.5,0.0,0.83333,0,3,0,1.0,,,pc_meanshift_meek,,,,,,,,,,,,,,,,
20260816T141522Z,2026-08-16T14:15:22.248267+00:00,study1,random+llm,random,llm,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,123393401,1233934010108,6,6,60,40,2,1,6,3,success,,7.439,1.0,1.0,1.0,1.0,0.6,0.5,0.5454545454545454,3,0.5,2,1,5,1,2,1.0,1,3,3,4,1.38629,1,3.0,1.5,0.93948,0.41667,0,2,0,1.0,,,llm,0,0,0,0,0,1,0,1,0,0,655,96,0,751,0.00015585,1.9023
20260816T141522Z,2026-08-16T14:15:27.908990+00:00,study1,eig+llm,eig,llm,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,123393401,1233934010108,6,6,60,40,2,1,6,3,success,,1.802,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.5,0.3333333333333333,0.4,6,0.5,2,1,4,2,2,1.0,1,3,3,4,1.38629,0,1.0,0.5,0.0,0.83333,0,3,0,1.0,,,llm,0,0,0,0,0,0,0,1,0,0,654,100,0,754,0.0001581,1.7893
20260816T141522Z,2026-08-16T14:15:22.294265+00:00,study1,maxdeg+llm,maxdeg,llm,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,123393401,1233934010108,6,6,60,40,2,1,6,3,success,,7.759,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8,0.5,0.3333333333333333,0.4,6,0.5,2,1,4,2,2,1.0,1,3,3,4,1.38629,0,1.0,0.5,0.0,0.83333,0,3,0,1.0,,,llm,0,0,0,0,0,0,0,1,0,0,654,132,0,786,0.0001773,2.2471
20260816T141522Z,2026-08-16T14:15:29.747353+00:00,study1,llm+meek,llm,meek,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,123393401,1233934010108,6,6,60,40,2,1,6,3,success,,0.924,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1,1,6,0,1,1.0,1,3,3,4,1.38629,0,0.0,0.0,0.0,1.0,0,3,0,1.0,0,0,pc_meanshift_meek,,,,,,,,1,0,0,450,35,0,485,8.85e-05,0.9121
20260816T141522Z,2026-08-16T14:15:30.697287+00:00,study1,llm+llm,llm,llm,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,123393401,1233934010108,6,6,60,40,2,1,6,3,success,,2.523,1.0,1.0,1.0,1.0,0.75,0.5,0.6,3,1.0,1,1,4,2,1,1.0,1,3,3,4,1.38629,0,0.0,0.0,0.0,1.0,0,3,0,1.0,0,0,llm,0,0,0,0,0,0,0,2,0,0,1032,144,0,1176,0.0002412,2.5099
20260816T141522Z,2026-08-16T14:15:33.248135+00:00,study1,oracle+meek,oracle,meek,,none,1,123393401,1233934010108,6,6,60,40,2,1,6,3,success,,0.012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1,1,6,0,1,1.0,1,3,3,4,1.38629,0,0.0,0.0,0.0,1.0,0,3,0,1.0,,,pc_meanshift_meek,,,,,,,,,,,,,,,,
20260816T141522Z,2026-08-16T14:15:22.293947+00:00,study1,maxdeg+llm,maxdeg,llm,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,123393401,1233934010108,6,6,60,40,2,1,6,3,success,,11.246,1.0,1.0,1.0,1.0,0.8,0.6666666666666666,0.7272727272727272,2,0.5,2,1,5,1,2,1.0,1,3,3,4,1.38629,0,1.0,0.5,0.0,0.83333,0,3,0,1.0,,,llm,0,0,0,0,0,0,0,1,0,0,1016,184,640,1200,0.0005396,5.7412
