arm,selector,inferencer,model_tag,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,selection_regret_total_mean,selection_regret_total_sd,selection_regret_total_ci95_lo,selection_regret_total_ci95_hi,selection_regret_mean_mean,selection_regret_mean_sd,selection_regret_mean_ci95_lo,selection_regret_mean_ci95_hi,selection_quality_mean_mean,selection_quality_mean_sd,selection_quality_mean_ci95_lo,selection_quality_mean_ci95_hi,eig_regret_total_mean,eig_regret_total_sd,eig_regret_total_ci95_lo,eig_regret_total_ci95_hi,orientation_accuracy_mean,orientation_accuracy_sd,orientation_accuracy_ci95_lo,orientation_accuracy_ci95_hi,wasted_steps_mean,wasted_steps_sd,wasted_steps_ci95_lo,wasted_steps_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,pc_truth_in_class_mean,pc_truth_in_class_sd,pc_truth_in_class_ci95_lo,pc_truth_in_class_ci95_hi,mec_size_initial_mean,mec_size_initial_sd,mec_size_initial_ci95_lo,mec_size_initial_ci95_hi,mec_entropy_initial_mean,mec_entropy_initial_sd,mec_entropy_initial_ci95_lo,mec_entropy_initial_ci95_hi,belief_undirected_final_mean,belief_undirected_final_sd,belief_undirected_final_ci95_lo,belief_undirected_final_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi
eig+llm,eig,llm,gpt-4o-mini-2024-07-18,20,20,0,0.383662,0.200328,0.295864,0.47146,0.642381,0.316754,0.503557,0.781205,0.649787,0.242301,0.543593,0.75598,6.6,3.733208,4.963849,8.236151,0.85,0.215618,0.755501,0.944499,0.25,0.444262,0.055294,0.444706,0.12037,0.204568,0.025864,0.214876,0.968981,0.055049,0.94355,0.994413,0.0,0.0,0.0,0.0,0.942593,0.112926,0.890424,0.994762,0.0,0.0,0.0,0.0,1.65,0.875094,1.266473,2.033527,1.65,0.875094,1.266473,2.033527,0.830798,0.113656,0.780986,0.88061,0.1,0.307794,-0.034896,0.234896,6.85,4.368247,4.935531,8.764469,1.679248,0.799293,1.328942,2.029553,0.05,0.223607,-0.048,0.148,649.7,78.981743,615.084725,684.315275,118.35,36.699742,102.265629,134.434371,768.05,98.602592,724.835509,811.264491,0.000168,2.9e-05,0.000156,0.000181,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.1094,0.557608,1.865018,2.353782
eig+llm,eig,llm,qwen3-coder-30b-a3b-instruct,20,20,0,0.541033,0.171075,0.466056,0.61601,0.653889,0.343612,0.503294,0.804484,0.816342,0.104594,0.770502,0.862183,4.0,1.486784,3.348388,4.651612,0.85,0.215618,0.755501,0.944499,0.25,0.444262,0.055294,0.444706,0.12037,0.204568,0.025864,0.214876,0.968981,0.055049,0.94355,0.994413,0.0,0.0,0.0,0.0,0.942593,0.112926,0.890424,0.994762,0.0,0.0,0.0,0.0,1.65,0.875094,1.266473,2.033527,1.65,0.875094,1.266473,2.033527,0.830798,0.113656,0.780986,0.88061,0.1,0.307794,-0.034896,0.234896,6.85,4.368247,4.935531,8.764469,1.679248,0.799293,1.328942,2.029553,0.05,0.223607,-0.048,0.148,1013.75,106.37168,967.130556,1060.369444,198.25,102.562369,153.30006,243.19994,1212.0,156.505591,1143.408401,1280.591599,0.000518,0.000203,0.000429,0.000607,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.9973,5.991681,2.37133,7.62327
eig+meek,eig,meek,none,20,20,0,0.761166,0.177793,0.683244,0.839087,0.784683,0.221201,0.687737,0.881628,0.830798,0.113656,0.780985,0.88061,2.45,1.605091,1.746538,3.153462,0.85,0.215618,0.755501,0.944499,0.25,0.444262,0.055294,0.444706,0.12037,0.204568,0.025864,0.214876,0.968981,0.055049,0.94355,0.994413,0.0,0.0,0.0,0.0,0.942593,0.112926,0.890424,0.994762,0.0,0.0,0.0,0.0,1.65,0.875094,1.266473,2.033527,1.65,0.875094,1.266473,2.033527,0.830798,0.113656,0.780986,0.88061,0.1,0.307794,-0.034896,0.234896,6.85,4.368247,4.935531,8.764469,1.679248,0.799293,1.328942,2.029553,0.05,0.223607,-0.048,0.148,,,,,,,,,,,,,,,,,,,,,,,,,0.0181,0.009256,0.014043,0.022157
llm+llm,llm,llm,gpt-4o-mini-2024-07-18,20,20,0,0.415048,0.205571,0.324953,0.505144,0.607937,0.350754,0.454212,0.761661,0.705992,0.236945,0.602147,0.809838,5.25,2.244877,4.266139,6.233861,0.866667,0.213574,0.773064,0.96027,0.35,0.933302,-0.059038,0.759038,0.185185,0.484697,-0.038733,0.409103,0.958487,0.112583,0.906477,1.010498,0.095342,0.246752,-0.012802,0.203486,0.928704,0.120565,0.873005,0.984402,0.0,0.0,0.0,0.0,1.6,0.820783,1.240276,1.959724,1.6,0.820783,1.240276,1.959724,0.830798,0.113656,0.780986,0.88061,0.1,0.307794,-0.034896,0.234896,6.85,4.368247,4.935531,8.764469,1.679248,0.799293,1.328942,2.029553,0.1,0.307794,-0.034896,0.234896,1450.85,536.375092,1215.773251,1685.926749,172.1,46.476819,151.730636,192.469364,1622.95,575.665608,1370.653423,1875.246577,0.000321,0.000105,0.000275,0.000367,2.6,0.820783,2.240276,2.959724,0.0,0.0,0.0,0.0,3.55575,0.937263,3.144976,3.966524
llm+llm,llm,llm,qwen3-coder-30b-a3b-instruct,20,20,0,0.507333,0.203761,0.418031,0.596635,0.653889,0.343612,0.503294,0.804484,0.810899,0.114851,0.760563,0.861234,4.3,1.809333,3.507025,5.092975,0.891667,0.197017,0.80532,0.978013,0.35,0.812728,-0.006194,0.706194,0.185185,0.419652,-0.008684,0.379054,0.951234,0.10356,0.903392,0.999077,0.029551,0.104532,-0.016262,0.075364,0.910053,0.132201,0.848979,0.971127,0.0,0.0,0.0,0.0,1.55,0.825578,1.188175,1.911825,1.55,0.825578,1.188175,1.911825,0.830798,0.113656,0.780986,0.88061,0.1,0.307794,-0.034896,0.234896,6.85,4.368247,4.935531,8.764469,1.679248,0.799293,1.328942,2.029553,0.1,0.447214,-0.096,0.296,2186.6,765.969863,1850.898906,2522.301094,268.1,94.58658,226.645604,309.554396,2454.7,817.657508,2096.345797,2813.054203,0.000762,0.000241,0.000657,0.000868,2.55,0.825578,2.188175,2.911825,0.0,0.0,0.0,0.0,6.46135,3.212434,5.053439,7.869261
llm+meek,llm,meek,gpt-4o-mini-2024-07-18,20,20,0,0.749023,0.183029,0.668807,0.829239,0.784683,0.221201,0.687737,0.881628,0.830798,0.113656,0.780985,0.88061,2.55,1.637553,1.832311,3.267689,0.866667,0.213574,0.773064,0.96027,0.35,0.933302,-0.059038,0.759038,0.185185,0.484697,-0.038733,0.409103,0.958487,0.112583,0.906477,1.010498,0.095342,0.246752,-0.012802,0.203486,0.928704,0.120565,0.873005,0.984402,0.0,0.0,0.0,0.0,1.6,0.820783,1.240276,1.959724,1.6,0.820783,1.240276,1.959724,0.830798,0.113656,0.780986,0.88061,0.1,0.307794,-0.034896,0.234896,6.85,4.368247,4.935531,8.764469,1.679248,0.799293,1.328942,2.029553,0.1,0.307794,-0.034896,0.234896,803.85,458.750049,602.793926,1004.906074,67.8,33.672728,53.042276,82.557724,871.65,491.178741,656.381426,1086.918574,0.000161,8.8e-05,0.000123,0.0002,1.6,0.820783,1.240276,1.959724,0.0,0.0,0.0,0.0,1.7075,0.802981,1.355578,2.059422
llm+meek,llm,meek,qwen3-coder-30b-a3b-instruct,20,20,0,0.733135,0.184715,0.65218,0.81409,0.784683,0.221201,0.687737,0.881628,0.830798,0.113656,0.780985,0.88061,2.65,1.663066,1.921129,3.378871,0.891667,0.197017,0.80532,0.978013,0.35,0.812728,-0.006194,0.706194,0.185185,0.419652,-0.008684,0.379054,0.951234,0.10356,0.903392,0.999077,0.029551,0.104532,-0.016262,0.075364,0.910053,0.132201,0.848979,0.971127,0.0,0.0,0.0,0.0,1.55,0.825578,1.188175,1.911825,1.55,0.825578,1.188175,1.911825,0.830798,0.113656,0.780986,0.88061,0.1,0.307794,-0.034896,0.234896,6.85,4.368247,4.935531,8.764469,1.679248,0.799293,1.328942,2.029553,0.1,0.447214,-0.096,0.296,1185.05,676.193874,888.694968,1481.405032,81.9,45.779678,61.836171,101.963829,1266.95,720.984376,950.964665,1582.935335,0.000393,0.000234,0.00029,0.000495,1.55,0.825578,1.188175,1.911825,0.0,0.0,0.0,0.0,2.9391,2.248837,1.953504,3.924696
llm_e2e,llm_e2e,llm_e2e,gpt-4o-mini-2024-07-18,20,20,0,0.0,0.0,0.0,0.0,0.15,0.366348,-0.010559,0.310559,0.17795,0.204858,0.088167,0.267733,10.25,4.677775,8.199875,12.300125,0.625,0.119392,0.572674,0.677326,,,,,,,,,,,,,,,,,,,,,,,,,2.55,0.604805,2.284932,2.815068,2.55,0.604805,2.284932,2.815068,,,,,,,,,,,,,,,,,,,,,8036.65,1756.683576,7266.749477,8806.550523,229.35,38.117926,212.644082,246.055918,8266.0,1787.884077,7482.425255,9049.574745,0.001004,0.000231,0.000903,0.001105,3.55,0.604805,3.284932,3.815068,0.0,0.0,0.0,0.0,4.47775,0.962883,4.055748,4.899752
llm_e2e,llm_e2e,llm_e2e,qwen3-coder-30b-a3b-instruct,20,20,0,0.203031,0.148764,0.137833,0.26823,0.371429,0.350268,0.217917,0.52494,0.391136,0.177226,0.313463,0.468809,10.1,2.826566,8.861203,11.338797,0.6,0.083771,0.563286,0.636714,,,,,,,,,,,,,,,,,,,,,,,,,2.6,0.502625,2.379715,2.820285,2.6,0.502625,2.379715,2.820285,,,,,,,,,,,,,,,,,,,,,12421.35,2325.88673,11401.985196,13440.714804,361.05,58.950001,335.214023,386.885977,12782.4,2360.589766,11747.82592,13816.97408,0.003591,0.000958,0.003171,0.004011,3.6,0.502625,3.379715,3.820285,0.0,0.0,0.0,0.0,11.5718,10.032737,7.174759,15.968841
maxdeg+llm,maxdeg,llm,gpt-4o-mini-2024-07-18,20,20,0,0.396168,0.218896,0.300233,0.492104,0.616111,0.337592,0.468155,0.764067,0.694718,0.226833,0.595304,0.794132,5.8,2.820974,4.563654,7.036346,0.875,0.20142,0.786724,0.963276,0.2,0.410391,0.020138,0.379862,0.092592,0.182772,0.008156,0.177029,0.975926,0.050164,0.952751,0.9991,0.005233,0.0234,-0.005023,0.015488,0.942593,0.112926,0.890424,0.994762,0.0,0.0,0.0,0.0,1.6,0.88258,1.213192,1.986808,1.6,0.88258,1.213192,1.986808,0.830798,0.113656,0.780986,0.88061,0.1,0.307794,-0.034896,0.234896,6.85,4.368247,4.935531,8.764469,1.679248,0.799293,1.328942,2.029553,0.05,0.223607,-0.048,0.148,645.25,78.025552,611.053794,679.446206,119.6,29.921652,106.486258,132.713742,764.85,96.36459,722.616356,807.083644,0.000169,2.6e-05,0.000157,0.00018,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.3605,1.346952,1.770172,2.950828
