arm,model_tag,level,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,selection_regret_total_mean,selection_regret_total_sd,selection_regret_total_ci95_lo,selection_regret_total_ci95_hi,selection_regret_mean_mean,selection_regret_mean_sd,selection_regret_mean_ci95_lo,selection_regret_mean_ci95_hi,selection_quality_mean_mean,selection_quality_mean_sd,selection_quality_mean_ci95_lo,selection_quality_mean_ci95_hi,eig_regret_total_mean,eig_regret_total_sd,eig_regret_total_ci95_lo,eig_regret_total_ci95_hi,orientation_accuracy_mean,orientation_accuracy_sd,orientation_accuracy_ci95_lo,orientation_accuracy_ci95_hi,wasted_steps_mean,wasted_steps_sd,wasted_steps_ci95_lo,wasted_steps_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,pc_truth_in_class_mean,pc_truth_in_class_sd,pc_truth_in_class_ci95_lo,pc_truth_in_class_ci95_hi,mec_size_initial_mean,mec_size_initial_sd,mec_size_initial_ci95_lo,mec_size_initial_ci95_hi,mec_entropy_initial_mean,mec_entropy_initial_sd,mec_entropy_initial_ci95_lo,mec_entropy_initial_ci95_hi,belief_undirected_final_mean,belief_undirected_final_sd,belief_undirected_final_ci95_lo,belief_undirected_final_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi
eig+llm,gpt-4o-mini-2024-07-18,1,10,10,0,0.460519,0.207448,0.331942,0.589097,0.865714,0.312709,0.671895,1.059533,0.702208,0.141436,0.614545,0.789871,5.9,3.17805,3.930224,7.869776,0.916667,0.180021,0.805089,1.028245,0.4,0.966092,-0.19879,0.99879,0.2,0.421637,-0.061333,0.461333,0.942223,0.123593,0.865619,1.018827,0.0,0.0,0.0,0.0,0.966667,0.105408,0.901334,1.032,0.0,0.0,0.0,0.0,1.6,0.699206,1.166628,2.033372,1.6,0.699206,1.166628,2.033372,0.965151,0.05978,0.9281,1.002203,0.7,0.483046,0.400605,0.999395,5.1,2.726414,3.410151,6.789849,1.523794,0.472523,1.230921,1.816667,0.0,0.0,0.0,0.0,13856.3,2595.392372,12247.659142,15464.940858,119.1,18.039771,107.918834,130.281166,13975.4,2594.238754,12367.474162,15583.325838,0.001459,0.000689,0.001032,0.001886,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.7495,2.707268,2.071518,5.427482
eig+llm,gpt-4o-mini-2024-07-18,2,10,10,0,0.486925,0.163779,0.385414,0.588436,0.735411,0.256784,0.576255,0.894568,0.741232,0.160859,0.641531,0.840933,7.2,4.589844,4.355185,10.044815,0.883333,0.19325,0.763556,1.003111,0.4,0.699206,-0.033372,0.833372,0.1875,0.273681,-0.002151,0.377151,0.95382,0.064016,0.909459,0.998181,0.0,0.0,0.0,0.0,0.96875,0.088388,0.9075,1.03,0.0,0.0,0.0,0.0,1.3,1.05935,0.643408,1.956592,1.3,1.05935,0.643408,1.956592,0.931309,0.065451,0.890743,0.971876,0.2,0.421637,-0.061333,0.461333,5.3,3.945462,2.854578,7.745422,1.344619,0.914663,0.777705,1.911533,0.0,0.0,0.0,0.0,16729.9,5231.908223,13487.129687,19972.670313,143.5,26.328059,127.1817,159.8183,16873.4,5238.702876,13626.418318,20120.381682,0.001987,0.001215,0.001234,0.00274,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.2318,4.615045,2.371365,8.092235
eig+llm,qwen3-coder-30b-a3b-instruct,1,10,10,0,0.642554,0.247529,0.489134,0.795974,1.0,0.0,1.0,1.0,0.857684,0.145757,0.767343,0.948025,3.3,2.58414,1.698334,4.901666,0.916667,0.180021,0.805089,1.028245,0.4,0.966092,-0.19879,0.99879,0.2,0.421637,-0.061333,0.461333,0.942223,0.123593,0.865619,1.018827,0.0,0.0,0.0,0.0,0.966667,0.105408,0.901334,1.032,0.0,0.0,0.0,0.0,1.6,0.699206,1.166628,2.033372,1.6,0.699206,1.166628,2.033372,0.965151,0.05978,0.9281,1.002203,0.7,0.483046,0.400605,0.999395,5.1,2.726414,3.410151,6.789849,1.523794,0.472523,1.230921,1.816667,0.0,0.0,0.0,0.0,20152.6,3769.391351,17816.307036,22488.892964,790.4,791.963832,299.535731,1281.264269,20943.0,4023.681288,18449.0965,23436.9035,0.005505,0.004367,0.002798,0.008211,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,47.3186,46.767712,18.331672,76.305528
eig+llm,qwen3-coder-30b-a3b-instruct,2,10,10,0,0.621593,0.173975,0.513762,0.729424,0.836825,0.200295,0.712681,0.960969,0.842418,0.164154,0.740674,0.944161,4.7,3.917199,2.272095,7.127905,0.883333,0.19325,0.763556,1.003111,0.4,0.699206,-0.033372,0.833372,0.1875,0.273681,-0.002151,0.377151,0.95382,0.064016,0.909459,0.998181,0.0,0.0,0.0,0.0,0.96875,0.088388,0.9075,1.03,0.0,0.0,0.0,0.0,1.3,1.05935,0.643408,1.956592,1.3,1.05935,0.643408,1.956592,0.931309,0.065451,0.890743,0.971876,0.2,0.421637,-0.061333,0.461333,5.3,3.945462,2.854578,7.745422,1.344619,0.914663,0.777705,1.911533,0.0,0.0,0.0,0.0,24501.5,7689.281259,19735.6341,29267.3659,312.3,220.335628,175.734563,448.865437,24813.8,7769.802869,19998.026289,29629.573711,0.00873,0.006104,0.004946,0.012513,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,22.8441,16.158108,12.829201,32.858999
llm+llm,gpt-4o-mini-2024-07-18,1,10,10,0,0.524108,0.240845,0.374831,0.673386,0.9,0.316228,0.704,1.096,0.799126,0.188325,0.682401,0.915851,5.0,3.741657,2.680897,7.319103,0.916667,0.180021,0.805089,1.028245,0.3,0.948683,-0.288,0.888,0.1,0.316228,-0.096,0.296,0.975556,0.077299,0.927646,1.023466,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.6,0.699206,1.166628,2.033372,1.6,0.699206,1.166628,2.033372,0.965151,0.05978,0.9281,1.002203,0.7,0.483046,0.400605,0.999395,5.1,2.726414,3.410151,6.789849,1.523794,0.472523,1.230921,1.816667,0.0,0.0,0.0,0.0,14627.7,2971.74457,12785.793633,16469.606367,196.1,38.621957,172.161863,220.038137,14823.8,3002.329755,12962.936739,16684.663261,0.001364,0.00032,0.001166,0.001563,2.6,0.699206,2.166628,3.033372,0.0,0.0,0.0,0.0,4.6485,1.779387,3.545625,5.751375
llm+llm,gpt-4o-mini-2024-07-18,2,10,10,0,0.489241,0.159252,0.390536,0.587947,0.732237,0.254865,0.57427,0.890204,0.749299,0.12588,0.671278,0.827321,6.7,3.164034,4.738911,8.661089,0.883333,0.19325,0.763556,1.003111,0.8,1.316561,-0.016013,1.616013,0.4375,0.683929,-0.036438,0.911438,0.879861,0.166877,0.764221,0.995501,0.153716,0.248485,-0.000297,0.307729,0.90625,0.265165,0.7225,1.09,0.0,0.0,0.0,0.0,1.4,1.074968,0.733728,2.066272,1.4,1.074968,0.733728,2.066272,0.931309,0.065451,0.890743,0.971876,0.2,0.421637,-0.061333,0.461333,5.3,3.945462,2.854578,7.745422,1.344619,0.914663,0.777705,1.911533,0.1,0.316228,-0.096,0.296,17950.4,5933.283318,14272.912899,21627.887101,190.9,50.562283,159.561172,222.238828,18141.3,5978.582181,14435.736373,21846.863627,0.001824,0.000931,0.001247,0.002401,2.4,1.074968,1.733728,3.066272,0.0,0.0,0.0,0.0,4.8463,2.306191,3.416908,6.275692
llm+llm,qwen3-coder-30b-a3b-instruct,1,10,10,0,0.638182,0.219037,0.502421,0.773942,1.0,0.0,1.0,1.0,0.871775,0.148535,0.779712,0.963838,3.1,2.078995,1.811425,4.388575,0.916667,0.180021,0.805089,1.028245,0.4,0.966092,-0.19879,0.99879,0.2,0.421637,-0.061333,0.461333,0.942223,0.123593,0.865619,1.018827,0.0,0.0,0.0,0.0,0.966667,0.105408,0.901334,1.032,0.0,0.0,0.0,0.0,1.6,0.699206,1.166628,2.033372,1.6,0.699206,1.166628,2.033372,0.965151,0.05978,0.9281,1.002203,0.7,0.483046,0.400605,0.999395,5.1,2.726414,3.410151,6.789849,1.523794,0.472523,1.230921,1.816667,0.0,0.0,0.0,0.0,21316.1,4334.951274,18629.269364,24002.930636,568.5,414.781937,311.415492,825.584508,21884.6,4504.095623,19092.932611,24676.267389,0.006888,0.005006,0.003785,0.009991,2.6,0.699206,2.166628,3.033372,0.0,0.0,0.0,0.0,33.2207,23.148519,18.873099,47.568301
llm+llm,qwen3-coder-30b-a3b-instruct,2,10,10,0,0.632518,0.12997,0.551962,0.713074,0.851111,0.206891,0.722879,0.979343,0.863471,0.139043,0.777291,0.94965,3.8,1.619328,2.79633,4.80367,0.933333,0.140546,0.846222,1.020444,0.3,0.674949,-0.118337,0.718337,0.125,0.248009,-0.046861,0.296861,0.969445,0.056888,0.930024,1.008866,0.010465,0.033093,-0.010046,0.030976,0.9375,0.115728,0.857305,1.017695,0.0,0.0,0.0,0.0,1.2,1.032796,0.559867,1.840133,1.2,1.032796,0.559867,1.840133,0.931309,0.065451,0.890743,0.971876,0.2,0.421637,-0.061333,0.461333,5.3,3.945462,2.854578,7.745422,1.344619,0.914663,0.777705,1.911533,0.0,0.0,0.0,0.0,24743.8,8400.244623,19537.274441,29950.325559,486.5,444.577765,210.947847,762.052153,25230.3,8512.528428,19954.180218,30506.419782,0.006552,0.005042,0.003427,0.009677,2.2,1.032796,1.559867,2.840133,0.0,0.0,0.0,0.0,30.1389,26.14917,13.931476,46.346324
oracle+llm,gpt-4o-mini-2024-07-18,1,10,10,0,0.527143,0.203603,0.400948,0.653337,0.9,0.316228,0.704,1.096,0.801945,0.167782,0.697953,0.905937,4.7,3.335,2.632946,6.767054,0.95,0.158114,0.852,1.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.04621,0.146129,-0.044362,0.136782,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5,0.527046,1.173333,1.826667,1.5,0.527046,1.173333,1.826667,0.965151,0.05978,0.9281,1.002203,0.7,0.483046,0.400605,0.999395,5.1,2.726414,3.410151,6.789849,1.523794,0.472523,1.230921,1.816667,0.0,0.0,0.0,0.0,13501.4,1966.548539,12282.520588,14720.279412,114.9,15.694656,105.172352,124.627648,13616.3,1964.247555,12398.846752,14833.753248,0.002094,0.000294,0.001912,0.002276,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.982,6.225938,2.123124,9.840876
oracle+llm,gpt-4o-mini-2024-07-18,2,10,10,0,0.469836,0.121916,0.394271,0.5454,0.745014,0.224268,0.606011,0.884017,0.700002,0.148727,0.60782,0.792184,8.2,4.341019,5.509409,10.890591,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.150703,0.243679,-0.000331,0.301737,0.875,0.267261,0.689797,1.060203,0.0,0.0,0.0,0.0,1.0,0.666667,0.586796,1.413204,1.0,0.666667,0.586796,1.413204,0.931309,0.065451,0.890743,0.971876,0.2,0.421637,-0.061333,0.461333,5.3,3.945462,2.854578,7.745422,1.344619,0.914663,0.777705,1.911533,0.0,0.0,0.0,0.0,15227.1,3288.150323,13189.083316,17265.116684,126.0,29.776949,107.544056,144.455944,15353.1,3292.235898,13312.551049,17393.648951,0.00236,0.000496,0.002052,0.002667,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.1834,1.839172,3.043469,5.323331
