arm,model_tag,level,n,directed_f1,selection_regret_total,cost_usd
eig+meek,none,0,10,0.743 ±0.166,0.300 ±0.299,—
eig+meek,none,1,10,0.793 ±0.127,0.100 ±0.196,—
eig+meek,none,2,10,0.900 ±0.065,0.100 ±0.196,—
eig+meek,none,3,10,0.915 ±0.049,0.200 ±0.261,—
llm+meek,gpt-4o-mini-2024-07-18,0,10,0.743 ±0.166,0.300 ±0.299,0.000 ±0.000
llm+meek,gpt-4o-mini-2024-07-18,1,10,0.772 ±0.137,0.400 ±0.433,0.000 ±0.000
llm+meek,gpt-4o-mini-2024-07-18,2,10,0.899 ±0.068,0.200 ±0.392,0.000 ±0.000
llm+meek,gpt-4o-mini-2024-07-18,3,10,0.909 ±0.046,1.000 ±0.826,0.000 ±0.000
llm+meek,qwen3-coder-30b-a3b-instruct,0,10,0.743 ±0.166,0.300 ±0.299,0.000 ±0.000
llm+meek,qwen3-coder-30b-a3b-instruct,1,10,0.819 ±0.128,0.000 ±0.000,0.000 ±0.000
llm+meek,qwen3-coder-30b-a3b-instruct,2,10,0.907 ±0.068,0.000 ±0.000,0.000 ±0.000
llm+meek,qwen3-coder-30b-a3b-instruct,3,10,0.896 ±0.054,0.400 ±0.433,0.001 ±0.000
maxdeg+meek,none,0,10,0.743 ±0.166,0.300 ±0.299,—
maxdeg+meek,none,1,10,0.782 ±0.124,0.200 ±0.392,—
maxdeg+meek,none,2,10,0.907 ±0.068,0.000 ±0.000,—
maxdeg+meek,none,3,10,0.915 ±0.049,0.100 ±0.196,—
oracle+meek,none,0,10,0.700 ±0.153,0.000 ±0.000,—
oracle+meek,none,1,10,0.802 ±0.131,0.000 ±0.000,—
oracle+meek,none,2,10,0.919 ±0.070,0.000 ±0.000,—
oracle+meek,none,3,10,0.909 ±0.062,0.000 ±0.000,—
random+meek,none,0,10,0.719 ±0.162,0.300 ±0.299,—
random+meek,none,1,10,0.795 ±0.109,0.200 ±0.261,—
random+meek,none,2,10,0.866 ±0.069,1.100 ±0.898,—
random+meek,none,3,10,0.855 ±0.060,3.200 ±1.724,—
