arm,model_tag,level,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,selection_regret_total_mean,selection_regret_total_sd,selection_regret_total_ci95_lo,selection_regret_total_ci95_hi,selection_regret_mean_mean,selection_regret_mean_sd,selection_regret_mean_ci95_lo,selection_regret_mean_ci95_hi,selection_quality_mean_mean,selection_quality_mean_sd,selection_quality_mean_ci95_lo,selection_quality_mean_ci95_hi,eig_regret_total_mean,eig_regret_total_sd,eig_regret_total_ci95_lo,eig_regret_total_ci95_hi,orientation_accuracy_mean,orientation_accuracy_sd,orientation_accuracy_ci95_lo,orientation_accuracy_ci95_hi,wasted_steps_mean,wasted_steps_sd,wasted_steps_ci95_lo,wasted_steps_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,pc_truth_in_class_mean,pc_truth_in_class_sd,pc_truth_in_class_ci95_lo,pc_truth_in_class_ci95_hi,mec_size_initial_mean,mec_size_initial_sd,mec_size_initial_ci95_lo,mec_size_initial_ci95_hi,mec_entropy_initial_mean,mec_entropy_initial_sd,mec_entropy_initial_ci95_lo,mec_entropy_initial_ci95_hi,belief_undirected_final_mean,belief_undirected_final_sd,belief_undirected_final_ci95_lo,belief_undirected_final_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi
eig+meek,none,0,10,10,0,0.742857,0.268625,0.576362,0.909352,1.0,0.0,1.0,1.0,0.9,0.069007,0.857229,0.942771,1.3,1.159502,0.581333,2.018667,1.0,0.0,1.0,1.0,0.3,0.483046,0.000605,0.599395,0.277778,0.440959,-0.010315,0.565871,0.907408,0.146985,0.811378,1.003438,0.0,0.0,0.0,0.0,0.944444,0.166667,0.835556,1.053333,0.0,0.0,0.0,0.0,1.2,0.632456,0.808,1.592,1.2,0.632456,0.808,1.592,0.9,0.069006,0.857229,0.942771,0.3,0.483046,0.000605,0.599395,4.5,2.635231,2.866667,6.133333,1.316978,0.689284,0.889755,1.744201,0.2,0.421637,-0.061333,0.461333,,,,,,,,,,,,,,,,,,,,,,,,,0.5892,1.847403,-0.555832,1.734232
eig+meek,none,1,10,10,0,0.793333,0.204559,0.666546,0.92012,0.892381,0.204315,0.765745,1.019017,0.956061,0.060795,0.918379,0.993742,1.5,1.433721,0.611371,2.388629,1.0,0.0,1.0,1.0,0.1,0.316228,-0.096,0.296,0.1,0.316228,-0.096,0.296,0.975,0.079057,0.926,1.024,0.0,0.0,0.0,0.0,0.85,0.337474,0.640831,1.059169,0.0,0.0,0.0,0.0,1.5,0.527046,1.173333,1.826667,1.5,0.527046,1.173333,1.826667,0.956061,0.060795,0.918379,0.993742,0.5,0.527046,0.173333,0.826667,4.6,1.646545,3.579461,5.620539,1.47271,0.338733,1.262761,1.682659,0.2,0.421637,-0.061333,0.461333,,,,,,,,,,,,,,,,,,,,,,,,,0.0109,0.001663,0.009869,0.011931
eig+meek,none,2,10,10,0,0.899881,0.105535,0.834469,0.965292,0.882222,0.21031,0.751871,1.012574,0.945714,0.070136,0.902243,0.989185,1.2,1.229273,0.438089,1.961911,1.0,0.0,1.0,1.0,0.1,0.316228,-0.096,0.296,0.111111,0.333333,-0.106667,0.328889,0.972222,0.083333,0.917778,1.026667,0.0,0.0,0.0,0.0,0.95,0.1,0.884667,1.015333,0.0,0.0,0.0,0.0,1.7,0.674949,1.281663,2.118337,1.7,0.674949,1.281663,2.118337,0.945714,0.070136,0.902243,0.989185,0.5,0.527046,0.173333,0.826667,6.5,2.838231,4.740846,8.259154,1.725285,0.677652,1.305272,2.145298,0.1,0.316228,-0.096,0.296,,,,,,,,,,,,,,,,,,,,,,,,,0.0179,0.002726,0.01621,0.01959
eig+meek,none,3,10,10,0,0.91462,0.079622,0.86527,0.96397,0.924242,0.11428,0.853411,0.995074,0.951462,0.040801,0.926173,0.976751,1.3,0.948683,0.712,1.888,1.0,0.0,1.0,1.0,0.2,0.421637,-0.061333,0.461333,0.15,0.337474,-0.059169,0.359169,0.95,0.112491,0.880277,1.019723,0.0,0.0,0.0,0.0,0.98,0.063246,0.9408,1.0192,0.0,0.0,0.0,0.0,2.0,0.666667,1.586796,2.413204,2.0,0.666667,1.586796,2.413204,0.951462,0.040801,0.926173,0.97675,0.3,0.483046,0.000605,0.599395,11.4,7.167829,6.957333,15.842667,2.272903,0.593318,1.905161,2.640645,0.1,0.316228,-0.096,0.296,,,,,,,,,,,,,,,,,,,,,,,,,0.0316,0.008897,0.026086,0.037114
llm+meek,gpt-4o-mini-2024-07-18,0,10,10,0,0.742857,0.268625,0.576362,0.909352,1.0,0.0,1.0,1.0,0.9,0.069007,0.857229,0.942771,1.3,1.159502,0.581333,2.018667,1.0,0.0,1.0,1.0,0.3,0.483046,0.000605,0.599395,0.277778,0.440959,-0.010315,0.565871,0.907408,0.146985,0.811378,1.003438,0.0,0.0,0.0,0.0,0.944444,0.166667,0.835556,1.053333,0.0,0.0,0.0,0.0,1.2,0.632456,0.808,1.592,1.2,0.632456,0.808,1.592,0.9,0.069006,0.857229,0.942771,0.3,0.483046,0.000605,0.599395,4.5,2.635231,2.866667,6.133333,1.316978,0.689284,0.889755,1.744201,0.2,0.421637,-0.061333,0.461333,511.6,285.472785,334.662135,688.537865,52.6,26.750701,36.019744,69.180256,564.2,312.079691,370.771004,757.628996,0.000108,5.9e-05,7.2e-05,0.000145,1.2,0.632456,0.808,1.592,0.0,0.0,0.0,0.0,2.1313,1.492672,1.206132,3.056468
llm+meek,gpt-4o-mini-2024-07-18,1,10,10,0,0.771818,0.220619,0.635077,0.908559,0.892381,0.204315,0.765745,1.019017,0.956061,0.060795,0.918379,0.993742,1.7,1.418136,0.82103,2.57897,1.0,0.0,1.0,1.0,0.4,0.699206,-0.033372,0.833372,0.35,0.668747,-0.064494,0.764494,0.875,0.212459,0.743316,1.006684,0.149095,0.218395,0.013732,0.284458,0.85,0.337474,0.640831,1.059169,0.0,0.0,0.0,0.0,1.5,0.527046,1.173333,1.826667,1.5,0.527046,1.173333,1.826667,0.956061,0.060795,0.918379,0.993742,0.5,0.527046,0.173333,0.826667,4.6,1.646545,3.579461,5.620539,1.47271,0.338733,1.262761,1.682659,0.4,0.699206,-0.033372,0.833372,706.7,275.946875,535.666355,877.733645,62.1,20.79236,49.212762,74.987238,768.8,295.794148,585.464888,952.135112,0.000143,5.3e-05,0.00011,0.000176,1.5,0.527046,1.173333,1.826667,0.0,0.0,0.0,0.0,1.6417,0.558526,1.295522,1.987878
llm+meek,gpt-4o-mini-2024-07-18,2,10,10,0,0.898929,0.110475,0.830455,0.967402,0.882222,0.21031,0.751871,1.012574,0.945714,0.070136,0.902243,0.989185,1.2,1.316561,0.383987,2.016013,1.0,0.0,1.0,1.0,0.2,0.632456,-0.192,0.592,0.111111,0.333333,-0.106667,0.328889,0.972222,0.083333,0.917778,1.026667,0.094866,0.176493,-0.014525,0.204257,0.95,0.1,0.884667,1.015333,0.0,0.0,0.0,0.0,1.7,0.674949,1.281663,2.118337,1.7,0.674949,1.281663,2.118337,0.945714,0.070136,0.902243,0.989185,0.5,0.527046,0.173333,0.826667,6.5,2.838231,4.740846,8.259154,1.725285,0.677652,1.305272,2.145298,0.1,0.316228,-0.096,0.296,885.1,357.56412,663.479462,1106.720538,73.9,29.730082,55.473104,92.326896,959.0,387.032011,719.115074,1198.884926,0.000177,7.1e-05,0.000133,0.000221,1.7,0.674949,1.281663,2.118337,0.0,0.0,0.0,0.0,3.3146,5.053192,0.182599,6.446601
llm+meek,gpt-4o-mini-2024-07-18,3,10,10,0,0.909357,0.074954,0.8629,0.955814,0.924242,0.11428,0.853411,0.995074,0.951462,0.040801,0.926173,0.976751,1.4,0.843274,0.877333,1.922667,1.0,0.0,1.0,1.0,1.0,1.333333,0.173591,1.826409,0.433333,0.52234,0.109583,0.757083,0.880556,0.13228,0.798568,0.962544,0.258753,0.331964,0.052999,0.464507,0.98,0.063246,0.9408,1.0192,0.0,0.0,0.0,0.0,2.1,0.737865,1.642667,2.557333,2.1,0.737865,1.642667,2.557333,0.951462,0.040801,0.926173,0.97675,0.3,0.483046,0.000605,0.599395,11.4,7.167829,6.957333,15.842667,2.272903,0.593318,1.905161,2.640645,0.2,0.421637,-0.061333,0.461333,1222.3,503.99935,909.917967,1534.682033,89.0,33.152845,68.451654,109.548346,1311.3,536.517381,978.763082,1643.836918,0.000237,9.5e-05,0.000178,0.000296,2.1,0.737865,1.642667,2.557333,0.0,0.0,0.0,0.0,2.2312,0.860257,1.698007,2.764393
llm+meek,qwen3-coder-30b-a3b-instruct,0,10,10,0,0.742857,0.268625,0.576362,0.909352,1.0,0.0,1.0,1.0,0.9,0.069007,0.857229,0.942771,1.3,1.159502,0.581333,2.018667,1.0,0.0,1.0,1.0,0.3,0.483046,0.000605,0.599395,0.277778,0.440959,-0.010315,0.565871,0.907408,0.146985,0.811378,1.003438,0.0,0.0,0.0,0.0,0.944444,0.166667,0.835556,1.053333,0.0,0.0,0.0,0.0,1.2,0.632456,0.808,1.592,1.2,0.632456,0.808,1.592,0.9,0.069006,0.857229,0.942771,0.3,0.483046,0.000605,0.599395,4.5,2.635231,2.866667,6.133333,1.316978,0.689284,0.889755,1.744201,0.2,0.421637,-0.061333,0.461333,809.8,446.135455,533.28238,1086.31762,64.4,33.473704,43.652783,85.147217,874.2,478.641086,577.535182,1170.864818,0.000273,0.000175,0.000165,0.000382,1.2,0.632456,0.808,1.592,0.0,0.0,0.0,0.0,3.273,1.818263,2.146029,4.399971
llm+meek,qwen3-coder-30b-a3b-instruct,1,10,10,0,0.819091,0.206783,0.690926,0.947256,0.852381,0.318609,0.654905,1.049857,0.956061,0.060795,0.918379,0.993742,1.3,1.418136,0.42103,2.17897,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.010465,0.033093,-0.010046,0.030976,0.9,0.316228,0.704,1.096,0.0,0.0,0.0,0.0,1.5,0.527046,1.173333,1.826667,1.5,0.527046,1.173333,1.826667,0.956061,0.060795,0.918379,0.993742,0.5,0.527046,0.173333,0.826667,4.6,1.646545,3.579461,5.620539,1.47271,0.338733,1.262761,1.682659,0.1,0.316228,-0.096,0.296,1095.2,420.189058,834.764124,1355.635876,80.0,24.124676,65.047371,94.952629,1175.2,443.012114,900.618247,1449.781753,0.000378,0.00016,0.000278,0.000477,1.5,0.527046,1.173333,1.826667,0.0,0.0,0.0,0.0,4.1243,2.635269,2.490943,5.757657
llm+meek,qwen3-coder-30b-a3b-instruct,2,10,10,0,0.906548,0.109899,0.838432,0.974664,0.882222,0.21031,0.751871,1.012574,0.945714,0.070136,0.902243,0.989185,1.1,1.286684,0.302505,1.897495,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.010465,0.033093,-0.010046,0.030976,0.95,0.1,0.884667,1.015333,0.0,0.0,0.0,0.0,1.7,0.674949,1.281663,2.118337,1.7,0.674949,1.281663,2.118337,0.945714,0.070136,0.902243,0.989185,0.5,0.527046,0.173333,0.826667,6.5,2.838231,4.740846,8.259154,1.725285,0.677652,1.305272,2.145298,0.0,0.0,0.0,0.0,1348.5,543.392686,1011.701724,1685.298276,91.4,35.907907,69.144049,113.655951,1439.9,577.449651,1081.992998,1797.807002,0.000424,0.000182,0.000311,0.000536,1.7,0.674949,1.281663,2.118337,0.0,0.0,0.0,0.0,5.2628,3.012266,3.395778,7.129822
