arm,model_tag,level,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,selection_regret_total_mean,selection_regret_total_sd,selection_regret_total_ci95_lo,selection_regret_total_ci95_hi,selection_regret_mean_mean,selection_regret_mean_sd,selection_regret_mean_ci95_lo,selection_regret_mean_ci95_hi,selection_quality_mean_mean,selection_quality_mean_sd,selection_quality_mean_ci95_lo,selection_quality_mean_ci95_hi,eig_regret_total_mean,eig_regret_total_sd,eig_regret_total_ci95_lo,eig_regret_total_ci95_hi,orientation_accuracy_mean,orientation_accuracy_sd,orientation_accuracy_ci95_lo,orientation_accuracy_ci95_hi,wasted_steps_mean,wasted_steps_sd,wasted_steps_ci95_lo,wasted_steps_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,pc_truth_in_class_mean,pc_truth_in_class_sd,pc_truth_in_class_ci95_lo,pc_truth_in_class_ci95_hi,mec_size_initial_mean,mec_size_initial_sd,mec_size_initial_ci95_lo,mec_size_initial_ci95_hi,mec_entropy_initial_mean,mec_entropy_initial_sd,mec_entropy_initial_ci95_lo,mec_entropy_initial_ci95_hi,belief_undirected_final_mean,belief_undirected_final_sd,belief_undirected_final_ci95_lo,belief_undirected_final_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi
eig+meek,none,0,10,10,0,0.690476,0.260095,0.529268,0.851685,1.0,0.0,1.0,1.0,0.9,0.069007,0.857229,0.942771,1.5,1.080123,0.830533,2.169467,0.733333,0.238307,0.585629,0.881037,0.5,0.849837,-0.026734,1.026734,0.240741,0.382891,-0.009414,0.490896,0.919753,0.127629,0.836369,1.003138,0.0,0.0,0.0,0.0,0.870371,0.200308,0.739504,1.001239,0.0,0.0,0.0,0.0,1.8,0.918937,1.230437,2.369563,1.8,0.918937,1.230437,2.369563,0.9,0.069006,0.857229,0.942771,0.3,0.483046,0.000605,0.599395,4.5,2.635231,2.866667,6.133333,1.316978,0.689284,0.889755,1.744201,0.2,0.421637,-0.061333,0.461333,,,,,,,,,,,,,,,,,,,,,,,,,0.2131,0.654559,-0.1926,0.6188
eig+meek,none,1,10,10,0,0.825758,0.164626,0.723721,0.927794,0.892381,0.204315,0.765745,1.019017,0.956061,0.060795,0.918379,0.993742,1.3,1.159502,0.581333,2.018667,0.75,0.225668,0.61013,0.88987,0.1,0.316228,-0.096,0.296,0.05,0.158114,-0.048,0.148,0.9875,0.039528,0.963,1.012,0.0,0.0,0.0,0.0,0.925,0.168737,0.820416,1.029584,0.0,0.0,0.0,0.0,2.1,0.737865,1.642667,2.557333,2.1,0.737865,1.642667,2.557333,0.956061,0.060795,0.918379,0.993742,0.5,0.527046,0.173333,0.826667,4.6,1.646545,3.579461,5.620539,1.47271,0.338733,1.262761,1.682659,0.1,0.316228,-0.096,0.296,,,,,,,,,,,,,,,,,,,,,,,,,0.0112,0.002251,0.009805,0.012595
eig+meek,none,2,10,10,0,0.919048,0.112978,0.849023,0.989072,0.882222,0.21031,0.751871,1.012574,0.945714,0.070136,0.902243,0.989185,1.0,1.333333,0.173591,1.826409,0.883333,0.19325,0.763556,1.003111,0.1,0.316228,-0.096,0.296,0.055556,0.166667,-0.053333,0.164444,0.986111,0.041667,0.958889,1.013333,0.0,0.0,0.0,0.0,0.977778,0.066667,0.934222,1.021333,0.0,0.0,0.0,0.0,2.0,0.816497,1.49393,2.50607,2.0,0.816497,1.49393,2.50607,0.945714,0.070136,0.902243,0.989185,0.5,0.527046,0.173333,0.826667,6.5,2.838231,4.740846,8.259154,1.725285,0.677652,1.305272,2.145298,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0173,0.003653,0.015036,0.019564
eig+meek,none,3,10,10,0,0.907499,0.088187,0.85284,0.962158,0.924242,0.11428,0.853411,0.995074,0.951462,0.040801,0.926173,0.976751,1.4,1.173788,0.672479,2.127521,0.833333,0.188398,0.716563,0.950104,0.2,0.421637,-0.061333,0.461333,0.075,0.168737,-0.029584,0.179584,0.975,0.056246,0.940138,1.009862,0.0,0.0,0.0,0.0,0.98,0.063246,0.9408,1.0192,0.0,0.0,0.0,0.0,2.6,0.966092,2.00121,3.19879,2.6,0.966092,2.00121,3.19879,0.951462,0.040801,0.926173,0.97675,0.3,0.483046,0.000605,0.599395,11.4,7.167829,6.957333,15.842667,2.272903,0.593318,1.905161,2.640645,0.2,0.421637,-0.061333,0.461333,,,,,,,,,,,,,,,,,,,,,,,,,0.0451,0.053497,0.011943,0.078257
maxdeg+meek,none,0,10,10,0,0.690476,0.260095,0.529268,0.851685,1.0,0.0,1.0,1.0,0.9,0.069007,0.857229,0.942771,1.5,1.080123,0.830533,2.169467,0.733333,0.238307,0.585629,0.881037,0.5,0.849837,-0.026734,1.026734,0.240741,0.382891,-0.009414,0.490896,0.919753,0.127629,0.836369,1.003138,0.0,0.0,0.0,0.0,0.870371,0.200308,0.739504,1.001239,0.0,0.0,0.0,0.0,1.8,0.918937,1.230437,2.369563,1.8,0.918937,1.230437,2.369563,0.9,0.069006,0.857229,0.942771,0.3,0.483046,0.000605,0.599395,4.5,2.635231,2.866667,6.133333,1.316978,0.689284,0.889755,1.744201,0.2,0.421637,-0.061333,0.461333,,,,,,,,,,,,,,,,,,,,,,,,,0.2123,0.653785,-0.19292,0.61752
maxdeg+meek,none,1,10,10,0,0.825758,0.164626,0.723721,0.927794,0.892381,0.204315,0.765745,1.019017,0.956061,0.060795,0.918379,0.993742,1.3,1.159502,0.581333,2.018667,0.75,0.225668,0.61013,0.88987,0.2,0.632456,-0.192,0.592,0.1,0.316228,-0.096,0.296,0.975,0.079057,0.926,1.024,0.010465,0.033093,-0.010046,0.030976,0.925,0.168737,0.820416,1.029584,0.0,0.0,0.0,0.0,2.1,0.737865,1.642667,2.557333,2.1,0.737865,1.642667,2.557333,0.956061,0.060795,0.918379,0.993742,0.5,0.527046,0.173333,0.826667,4.6,1.646545,3.579461,5.620539,1.47271,0.338733,1.262761,1.682659,0.1,0.316228,-0.096,0.296,,,,,,,,,,,,,,,,,,,,,,,,,0.0117,0.002163,0.010359,0.013041
maxdeg+meek,none,2,10,10,0,0.919048,0.112978,0.849023,0.989072,0.882222,0.21031,0.751871,1.012574,0.945714,0.070136,0.902243,0.989185,1.0,1.333333,0.173591,1.826409,0.933333,0.140546,0.846222,1.020444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.010465,0.033093,-0.010046,0.030976,0.977778,0.066667,0.934222,1.021333,0.0,0.0,0.0,0.0,1.9,0.875595,1.357301,2.442699,1.9,0.875595,1.357301,2.442699,0.945714,0.070136,0.902243,0.989185,0.5,0.527046,0.173333,0.826667,6.5,2.838231,4.740846,8.259154,1.725285,0.677652,1.305272,2.145298,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0172,0.003795,0.014848,0.019552
maxdeg+meek,none,3,10,10,0,0.907499,0.088187,0.85284,0.962158,0.924242,0.11428,0.853411,0.995074,0.951462,0.040801,0.926173,0.976751,1.4,1.173788,0.672479,2.127521,0.858333,0.19265,0.738927,0.977739,0.1,0.316228,-0.096,0.296,0.05,0.158114,-0.048,0.148,0.983333,0.052706,0.950666,1.016,0.005889,0.018623,-0.005653,0.017431,0.98,0.063246,0.9408,1.0192,0.0,0.0,0.0,0.0,2.4,0.843274,1.877333,2.922667,2.4,0.843274,1.877333,2.922667,0.951462,0.040801,0.926173,0.97675,0.3,0.483046,0.000605,0.599395,11.4,7.167829,6.957333,15.842667,2.272903,0.593318,1.905161,2.640645,0.2,0.421637,-0.061333,0.461333,,,,,,,,,,,,,,,,,,,,,,,,,0.047,0.05775,0.011206,0.082794
oracle+meek,none,0,10,10,0,0.652381,0.203336,0.526352,0.77841,1.0,0.0,1.0,1.0,0.9,0.069007,0.857229,0.942771,1.7,0.823273,1.18973,2.21027,0.866667,0.219427,0.730664,1.002669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.295692,0.290361,0.115724,0.47566,0.851853,0.17568,0.737076,0.966631,0.0,0.0,0.0,0.0,1.4,0.843274,0.877333,1.922667,1.4,0.843274,0.877333,1.922667,0.9,0.069006,0.857229,0.942771,0.3,0.483046,0.000605,0.599395,4.5,2.635231,2.866667,6.133333,1.316978,0.689284,0.889755,1.744201,0.3,0.674949,-0.118337,0.718337,,,,,,,,,,,,,,,,,,,,,,,,,0.2124,0.654455,-0.193235,0.618035
oracle+meek,none,1,10,10,0,0.825758,0.164626,0.723721,0.927794,0.892381,0.204315,0.765745,1.019017,0.956061,0.060795,0.918379,0.993742,1.3,1.159502,0.581333,2.018667,0.8,0.219427,0.663998,0.936002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.056675,0.146199,-0.03394,0.14729,0.925,0.168737,0.820416,1.029584,0.0,0.0,0.0,0.0,2.0,0.816497,1.49393,2.50607,2.0,0.816497,1.49393,2.50607,0.956061,0.060795,0.918379,0.993742,0.5,0.527046,0.173333,0.826667,4.6,1.646545,3.579461,5.620539,1.47271,0.338733,1.262761,1.682659,0.1,0.316228,-0.096,0.296,,,,,,,,,,,,,,,,,,,,,,,,,0.0112,0.002486,0.009659,0.012741
oracle+meek,none,2,10,10,0,0.919048,0.112978,0.849023,0.989072,0.882222,0.21031,0.751871,1.012574,0.945714,0.070136,0.902243,0.989185,1.0,1.333333,0.173591,1.826409,0.966667,0.105409,0.901333,1.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.102885,0.290449,-0.077137,0.282907,0.977778,0.066667,0.934222,1.021333,0.0,0.0,0.0,0.0,1.8,0.788811,1.31109,2.28891,1.8,0.788811,1.31109,2.28891,0.945714,0.070136,0.902243,0.989185,0.5,0.527046,0.173333,0.826667,6.5,2.838231,4.740846,8.259154,1.725285,0.677652,1.305272,2.145298,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0179,0.005724,0.014352,0.021448
oracle+meek,none,3,10,10,0,0.896973,0.102052,0.83372,0.960225,0.924242,0.11428,0.853411,0.995074,0.951462,0.040801,0.926173,0.976751,1.5,1.269296,0.713282,2.286718,0.908333,0.14933,0.815778,1.000889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.147577,0.238338,-0.000146,0.2953,0.96,0.126491,0.8816,1.0384,0.0,0.0,0.0,0.0,2.3,0.948683,1.712,2.888,2.3,0.948683,1.712,2.888,0.951462,0.040801,0.926173,0.97675,0.3,0.483046,0.000605,0.599395,11.4,7.167829,6.957333,15.842667,2.272903,0.593318,1.905161,2.640645,0.2,0.421637,-0.061333,0.461333,,,,,,,,,,,,,,,,,,,,,,,,,0.0429,0.049095,0.012471,0.073329
random+meek,none,0,10,10,0,0.728571,0.246977,0.575493,0.881649,1.0,0.0,1.0,1.0,0.9,0.069007,0.857229,0.942771,1.3,1.05935,0.643408,1.956592,0.783333,0.236356,0.636838,0.929828,0.5,0.971825,-0.102344,1.102344,0.222222,0.363242,-0.015096,0.45954,0.930556,0.117851,0.85356,1.007551,0.237164,0.314449,0.042267,0.432061,0.88889,0.166665,0.780002,0.997778,0.0,0.0,0.0,0.0,1.7,0.948683,1.112,2.288,1.7,0.948683,1.112,2.288,0.9,0.069006,0.857229,0.942771,0.3,0.483046,0.000605,0.599395,4.5,2.635231,2.866667,6.133333,1.316978,0.689284,0.889755,1.744201,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.214,0.654593,-0.191721,0.619721
random+meek,none,1,10,10,0,0.85,0.172968,0.742793,0.957207,0.892381,0.204315,0.765745,1.019017,0.956061,0.060795,0.918379,0.993742,1.1,1.197219,0.357956,1.842044,0.883333,0.19325,0.763556,1.003111,0.2,0.421637,-0.061333,0.461333,0.066666,0.140544,-0.020444,0.153776,0.972222,0.060008,0.935029,1.009415,0.172964,0.213273,0.040776,0.305152,0.95,0.158114,0.852,1.048,0.0,0.0,0.0,0.0,1.8,0.788811,1.31109,2.28891,1.8,0.788811,1.31109,2.28891,0.956061,0.060795,0.918379,0.993742,0.5,0.527046,0.173333,0.826667,4.6,1.646545,3.579461,5.620539,1.47271,0.338733,1.262761,1.682659,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0134,0.003026,0.011525,0.015275
random+meek,none,2,10,10,0,0.86381,0.125792,0.785843,0.941776,0.882222,0.21031,0.751871,1.012574,0.945714,0.070136,0.902243,0.989185,1.7,1.494434,0.77374,2.62626,0.816667,0.199536,0.692993,0.940341,1.7,2.451757,0.180385,3.219615,0.740741,0.993419,0.091707,1.389775,0.748458,0.279546,0.565821,0.931095,0.656065,0.631505,0.264654,1.047476,0.977778,0.066667,0.934222,1.021333,0.0,0.0,0.0,0.0,2.2,0.918937,1.630437,2.769563,2.2,0.918937,1.630437,2.769563,0.945714,0.070136,0.902243,0.989185,0.5,0.527046,0.173333,0.826667,6.5,2.838231,4.740846,8.259154,1.725285,0.677652,1.305272,2.145298,0.7,1.159502,-0.018667,1.418667,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.004372,0.01729,0.02271
random+meek,none,3,10,10,0,0.880642,0.095337,0.821551,0.939732,0.924242,0.11428,0.853411,0.995074,0.951462,0.040801,0.926173,0.976751,1.9,1.37032,1.050667,2.749333,0.8,0.185093,0.685278,0.914722,3.6,3.169297,1.635649,5.564351,1.258333,0.931654,0.680888,1.835778,0.622224,0.220362,0.485642,0.758806,0.844322,0.486363,0.542871,1.145773,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.7,0.948683,2.112,3.288,2.7,0.948683,2.112,3.288,0.951462,0.040801,0.926173,0.97675,0.3,0.483046,0.000605,0.599395,11.4,7.167829,6.957333,15.842667,2.272903,0.593318,1.905161,2.640645,0.8,1.135292,0.096338,1.503662,,,,,,,,,,,,,,,,,,,,,,,,,0.0511,0.040228,0.026166,0.076034
