arm,model_tag,level,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,selection_regret_total_mean,selection_regret_total_sd,selection_regret_total_ci95_lo,selection_regret_total_ci95_hi,selection_regret_mean_mean,selection_regret_mean_sd,selection_regret_mean_ci95_lo,selection_regret_mean_ci95_hi,selection_quality_mean_mean,selection_quality_mean_sd,selection_quality_mean_ci95_lo,selection_quality_mean_ci95_hi,eig_regret_total_mean,eig_regret_total_sd,eig_regret_total_ci95_lo,eig_regret_total_ci95_hi,orientation_accuracy_mean,orientation_accuracy_sd,orientation_accuracy_ci95_lo,orientation_accuracy_ci95_hi,wasted_steps_mean,wasted_steps_sd,wasted_steps_ci95_lo,wasted_steps_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,pc_truth_in_class_mean,pc_truth_in_class_sd,pc_truth_in_class_ci95_lo,pc_truth_in_class_ci95_hi,mec_size_initial_mean,mec_size_initial_sd,mec_size_initial_ci95_lo,mec_size_initial_ci95_hi,mec_entropy_initial_mean,mec_entropy_initial_sd,mec_entropy_initial_ci95_lo,mec_entropy_initial_ci95_hi,belief_undirected_final_mean,belief_undirected_final_sd,belief_undirected_final_ci95_lo,belief_undirected_final_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi
eig+meek,none,0,10,10,0,0.757143,0.243277,0.606358,0.907927,1.0,0.0,1.0,1.0,0.9,0.069007,0.857229,0.942771,1.2,1.032796,0.559867,1.840133,0.9,0.210819,0.769333,1.030667,0.3,0.483046,0.000605,0.599395,0.222222,0.363242,-0.015096,0.45954,0.925926,0.12108,0.84682,1.005031,0.0,0.0,0.0,0.0,0.925927,0.146985,0.829897,1.021957,0.0,0.0,0.0,0.0,1.3,0.674949,0.881663,1.718337,1.3,0.674949,0.881663,1.718337,0.9,0.069006,0.857229,0.942771,0.3,0.483046,0.000605,0.599395,4.5,2.635231,2.866667,6.133333,1.316978,0.689284,0.889755,1.744201,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.2174,0.671317,-0.198686,0.633486
eig+meek,none,1,10,10,0,0.798485,0.191926,0.679528,0.917442,0.892381,0.204315,0.765745,1.019017,0.956061,0.060795,0.918379,0.993742,1.4,1.349897,0.563325,2.236675,0.9,0.210819,0.769333,1.030667,0.1,0.316228,-0.096,0.296,0.05,0.158114,-0.048,0.148,0.9875,0.039528,0.963,1.012,0.0,0.0,0.0,0.0,0.8,0.349603,0.583314,1.016686,0.0,0.0,0.0,0.0,1.7,0.483046,1.400605,1.999395,1.7,0.483046,1.400605,1.999395,0.956061,0.060795,0.918379,0.993742,0.5,0.527046,0.173333,0.826667,4.6,1.646545,3.579461,5.620539,1.47271,0.338733,1.262761,1.682659,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0113,0.002406,0.009809,0.012791
eig+meek,none,2,10,10,0,0.894048,0.105092,0.828911,0.959184,0.882222,0.21031,0.751871,1.012574,0.945714,0.070136,0.902243,0.989185,1.2,1.229273,0.438089,1.961911,0.95,0.158114,0.852,1.048,0.1,0.316228,-0.096,0.296,0.055556,0.166667,-0.053333,0.164444,0.986111,0.041667,0.958889,1.013333,0.0,0.0,0.0,0.0,0.922222,0.117556,0.845419,0.999026,0.0,0.0,0.0,0.0,1.8,0.632456,1.408,2.192,1.8,0.632456,1.408,2.192,0.945714,0.070136,0.902243,0.989185,0.5,0.527046,0.173333,0.826667,6.5,2.838231,4.740846,8.259154,1.725285,0.677652,1.305272,2.145298,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.019,0.005598,0.015531,0.022469
eig+meek,none,3,10,10,0,0.919883,0.083664,0.868027,0.971739,0.924242,0.11428,0.853411,0.995074,0.951462,0.040801,0.926173,0.976751,1.2,1.032796,0.559867,1.840133,0.95,0.158114,0.852,1.048,0.2,0.421637,-0.061333,0.461333,0.1,0.210819,-0.030667,0.230667,0.966666,0.070274,0.92311,1.010222,0.0,0.0,0.0,0.0,0.98,0.063246,0.9408,1.0192,0.0,0.0,0.0,0.0,2.1,0.567646,1.748169,2.451831,2.1,0.567646,1.748169,2.451831,0.951462,0.040801,0.926173,0.97675,0.3,0.483046,0.000605,0.599395,11.4,7.167829,6.957333,15.842667,2.272903,0.593318,1.905161,2.640645,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0306,0.010679,0.023981,0.037219
maxdeg+meek,none,0,10,10,0,0.757143,0.243277,0.606358,0.907927,1.0,0.0,1.0,1.0,0.9,0.069007,0.857229,0.942771,1.2,1.032796,0.559867,1.840133,0.9,0.210819,0.769333,1.030667,0.3,0.483046,0.000605,0.599395,0.222222,0.363242,-0.015096,0.45954,0.925926,0.12108,0.84682,1.005031,0.0,0.0,0.0,0.0,0.925927,0.146985,0.829897,1.021957,0.0,0.0,0.0,0.0,1.3,0.674949,0.881663,1.718337,1.3,0.674949,0.881663,1.718337,0.9,0.069006,0.857229,0.942771,0.3,0.483046,0.000605,0.599395,4.5,2.635231,2.866667,6.133333,1.316978,0.689284,0.889755,1.744201,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.2173,0.671703,-0.199026,0.633626
maxdeg+meek,none,1,10,10,0,0.798485,0.191926,0.679528,0.917442,0.892381,0.204315,0.765745,1.019017,0.956061,0.060795,0.918379,0.993742,1.4,1.349897,0.563325,2.236675,0.9,0.210819,0.769333,1.030667,0.2,0.632456,-0.192,0.592,0.1,0.316228,-0.096,0.296,0.975,0.079057,0.926,1.024,0.010465,0.033093,-0.010046,0.030976,0.8,0.349603,0.583314,1.016686,0.0,0.0,0.0,0.0,1.7,0.483046,1.400605,1.999395,1.7,0.483046,1.400605,1.999395,0.956061,0.060795,0.918379,0.993742,0.5,0.527046,0.173333,0.826667,4.6,1.646545,3.579461,5.620539,1.47271,0.338733,1.262761,1.682659,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0123,0.004029,0.009803,0.014797
maxdeg+meek,none,2,10,10,0,0.906548,0.109899,0.838432,0.974664,0.882222,0.21031,0.751871,1.012574,0.945714,0.070136,0.902243,0.989185,1.1,1.286684,0.302505,1.897495,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.010465,0.033093,-0.010046,0.030976,0.95,0.1,0.884667,1.015333,0.0,0.0,0.0,0.0,1.7,0.674949,1.281663,2.118337,1.7,0.674949,1.281663,2.118337,0.945714,0.070136,0.902243,0.989185,0.5,0.527046,0.173333,0.826667,6.5,2.838231,4.740846,8.259154,1.725285,0.677652,1.305272,2.145298,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.017,0.003801,0.014644,0.019356
maxdeg+meek,none,3,10,10,0,0.919883,0.083664,0.868027,0.971739,0.924242,0.11428,0.853411,0.995074,0.951462,0.040801,0.926173,0.976751,1.2,1.032796,0.559867,1.840133,0.95,0.158114,0.852,1.048,0.1,0.316228,-0.096,0.296,0.05,0.158114,-0.048,0.148,0.983333,0.052706,0.950666,1.016,0.005889,0.018623,-0.005653,0.017431,0.98,0.063246,0.9408,1.0192,0.0,0.0,0.0,0.0,2.1,0.567646,1.748169,2.451831,2.1,0.567646,1.748169,2.451831,0.951462,0.040801,0.926173,0.97675,0.3,0.483046,0.000605,0.599395,11.4,7.167829,6.957333,15.842667,2.272903,0.593318,1.905161,2.640645,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0298,0.008522,0.024518,0.035082
oracle+meek,none,0,10,10,0,0.7,0.246977,0.546922,0.853078,1.0,0.0,1.0,1.0,0.9,0.069007,0.857229,0.942771,1.4,1.074968,0.733728,2.066272,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.249482,0.297615,0.065018,0.433946,0.851853,0.17568,0.737076,0.966631,0.0,0.0,0.0,0.0,1.1,0.567646,0.748169,1.451831,1.1,0.567646,0.748169,1.451831,0.9,0.069006,0.857229,0.942771,0.3,0.483046,0.000605,0.599395,4.5,2.635231,2.866667,6.133333,1.316978,0.689284,0.889755,1.744201,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.2169,0.670087,-0.198424,0.632224
oracle+meek,none,1,10,10,0,0.798485,0.191926,0.679528,0.917442,0.892381,0.204315,0.765745,1.019017,0.956061,0.060795,0.918379,0.993742,1.4,1.349897,0.563325,2.236675,0.95,0.158114,0.852,1.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.056675,0.146199,-0.03394,0.14729,0.8,0.349603,0.583314,1.016686,0.0,0.0,0.0,0.0,1.6,0.516398,1.279933,1.920067,1.6,0.516398,1.279933,1.920067,0.956061,0.060795,0.918379,0.993742,0.5,0.527046,0.173333,0.826667,4.6,1.646545,3.579461,5.620539,1.47271,0.338733,1.262761,1.682659,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0114,0.002914,0.009594,0.013206
