run_id,arm,model_tag,prompt,level,seed,step,target,a,b,z,se,mu_obs,mu_int,truth,decision,correct,rationale
20260819T070424Z,local_mechanical,none,,0,295485567,1,1,1,0,34.12861,0.12316,0.04046,4.2438,a_to_b,a_to_b,1,
20260819T070424Z,local_mechanical,none,,0,295485567,1,1,1,2,37.07431,0.18801,0.0935,7.0638,a_to_b,a_to_b,1,
20260819T070424Z,local_mechanical,none,,0,295485567,1,1,1,3,37.14989,0.14615,0.13347,5.56281,a_to_b,a_to_b,1,
20260819T070424Z,local_mechanical,none,,0,295485567,2,2,2,3,1.28394,0.20975,0.13347,-0.13584,b_to_a,b_to_a,1,
20260819T070424Z,local_mechanical,none,,0,325160078,1,2,2,3,0.31525,0.10078,-0.04381,-0.01204,b_to_a,b_to_a,1,
20260819T070424Z,local_mechanical,none,,0,1719885688,1,1,1,0,19.69084,0.11495,0.00188,2.26542,a_to_b,a_to_b,1,
20260819T070424Z,local_mechanical,none,,0,1719885688,1,1,1,2,25.36119,0.11351,0.00581,-2.873,a_to_b,a_to_b,1,
20260819T070424Z,local_mechanical,none,,0,1719885688,1,1,1,3,26.33328,0.25666,-0.0381,-6.79675,a_to_b,a_to_b,1,
20260819T070424Z,local_mechanical,none,,0,1719885688,2,0,0,3,34.87396,0.21923,-0.0381,-7.68338,a_to_b,a_to_b,1,
20260819T070424Z,local_mechanical,none,,0,239607114,1,0,0,3,1.56733,0.23348,0.27663,-0.0893,b_to_a,b_to_a,1,
20260819T070424Z,local_mechanical,none,,0,1279549348,1,1,1,0,15.20735,0.15384,0.06653,-2.27301,a_to_b,a_to_b,1,
20260819T070424Z,local_mechanical,none,,0,1279549348,1,1,1,2,1.09761,0.10272,-0.10614,0.00661,b_to_a,b_to_a,1,
20260819T070424Z,local_mechanical,none,,0,1279549348,1,1,1,3,22.599,0.1074,0.04471,-2.38242,a_to_b,a_to_b,1,
20260819T070424Z,local_mechanical,none,,0,1943031107,1,1,1,0,1.63728,0.1594,-0.16544,0.09555,b_to_a,b_to_a,1,
20260819T070424Z,local_mechanical,none,,0,1943031107,1,1,1,3,1.65121,0.10353,-0.11405,0.05691,b_to_a,b_to_a,1,
20260819T070424Z,local_mechanical,none,,0,1943031107,2,2,2,3,0.9989,0.10545,-0.11405,-0.00872,b_to_a,b_to_a,1,
20260819T070424Z,local_mechanical,none,,0,1580201974,1,0,0,2,2.10835,0.09821,-0.10756,0.0995,b_to_a,a_to_b,0,
20260819T070424Z,local_mechanical,none,,0,1580201974,1,0,0,3,1.62711,0.16544,-0.04098,0.22821,b_to_a,b_to_a,1,
20260819T070424Z,local_mechanical,none,,0,1580201974,2,1,1,3,0.31206,0.16364,-0.04098,0.01009,b_to_a,b_to_a,1,
20260819T070424Z,local_mechanical,none,,0,1078156455,1,1,1,2,1.21961,0.10352,-0.00539,0.12086,b_to_a,b_to_a,1,
20260819T070424Z,local_mechanical,none,,0,1078156455,1,1,1,3,0.22459,0.14732,0.01561,-0.01748,b_to_a,b_to_a,1,
20260819T070424Z,local_mechanical,none,,0,1078156455,2,0,0,3,0.30914,0.1471,0.01561,0.06108,b_to_a,b_to_a,1,
20260819T070424Z,local_mechanical,none,,0,1158667886,1,1,1,0,0.57416,0.12238,-0.04925,-0.11952,b_to_a,b_to_a,1,
20260819T070424Z,local_mechanical,none,,0,1158667886,1,1,1,2,47.20413,0.24521,0.04086,11.61596,a_to_b,a_to_b,1,
20260819T070424Z,local_mechanical,none,,0,1158667886,1,1,1,3,0.17512,0.09992,-0.02324,-0.04074,b_to_a,b_to_a,1,
20260819T070424Z,local_mechanical,none,,1,1470120545,1,5,5,1,23.53367,0.11117,0.05535,2.67164,a_to_b,a_to_b,1,
20260819T070424Z,local_mechanical,none,,1,1470120545,1,5,5,4,37.51743,0.16422,-0.19433,-6.35542,a_to_b,a_to_b,1,
20260819T070424Z,local_mechanical,none,,1,1470120545,2,2,2,3,19.86779,0.11228,0.06731,-2.16344,a_to_b,a_to_b,1,
20260819T070424Z,local_mechanical,none,,1,1004126917,1,4,4,2,18.74531,0.20853,-0.27798,3.63096,a_to_b,a_to_b,1,
