arm,model_tag,n,directed_f1,compelled_f1,skeleton_f1,dag_shd,interventions_used,efficiency,prompt_tokens,completion_tokens,total_tokens,cost_usd,llm_calls,wall_sec
eig+llm,gpt-4o-mini-2024-07-18,40,0.526 ±0.086,0.885 ±0.067,0.862 ±0.045,4.000 ±0.733,1.750 ±0.195,0.925 ±0.056,666.925 ±30.523,120.025 ±7.261,786.950 ±32.837,0.000 ±0.000,1.000 ±0.000,2.189 ±0.138
eig+llm,qwen3-coder-30b-a3b-instruct,40,0.523 ±0.085,0.915 ±0.054,0.908 ±0.035,4.150 ±1.233,1.750 ±0.195,0.925 ±0.056,1067.075 ±80.055,376.550 ±168.634,1443.625 ±236.401,0.001 ±0.000,1.025 ±0.049,13.270 ±3.956
eig+meek,none,40,0.857 ±0.054,0.925 ±0.049,0.938 ±0.020,1.175 ±0.357,1.750 ±0.195,0.925 ±0.056,—,—,—,—,—,0.018 ±0.004
llm+llm,gpt-4o-mini-2024-07-18,40,0.533 ±0.088,0.856 ±0.081,0.845 ±0.045,3.925 ±0.741,1.825 ±0.232,0.912 ±0.056,1618.075 ±177.418,194.500 ±13.089,1812.575 ±188.140,0.000 ±0.000,2.825 ±0.232,4.449 ±0.828
llm+llm,qwen3-coder-30b-a3b-instruct,40,0.520 ±0.088,0.908 ±0.056,0.907 ±0.030,3.950 ±1.041,1.775 ±0.216,0.919 ±0.057,2497.450 ±298.019,543.150 ±245.758,3040.600 ±477.502,0.001 ±0.000,2.825 ±0.242,21.030 ±8.602
llm+meek,gpt-4o-mini-2024-07-18,40,0.856 ±0.056,0.925 ±0.049,0.938 ±0.020,1.175 ±0.364,1.825 ±0.232,0.912 ±0.056,944.100 ±145.991,78.150 ±9.681,1022.250 ±155.173,0.000 ±0.000,1.825 ±0.232,1.955 ±0.250
llm+meek,qwen3-coder-30b-a3b-instruct,40,0.861 ±0.053,0.925 ±0.049,0.938 ±0.020,1.150 ±0.348,1.775 ±0.216,0.919 ±0.057,1395.000 ±208.507,98.225 ±12.100,1493.225 ±219.915,0.000 ±0.000,1.775 ±0.216,7.025 ±1.062
llm_e2e,gpt-4o-mini-2024-07-18,40,0.000 ±0.000,0.275 ±0.140,0.204 ±0.074,10.500 ±2.398,2.775 ±0.192,0.621 ±0.027,35162.900 ±4467.090,240.625 ±14.017,35403.525 ±4476.822,0.004 ±0.000,3.775 ±0.192,5.557 ±0.725
llm_e2e,qwen3-coder-30b-a3b-instruct,40,0.152 ±0.047,0.427 ±0.127,0.360 ±0.057,10.475 ±1.485,2.775 ±0.192,0.621 ±0.027,51556.275 ±6566.570,476.525 ±32.067,52032.800 ±6576.500,0.007 ±0.002,3.775 ±0.192,30.378 ±2.136
maxdeg+llm,gpt-4o-mini-2024-07-18,40,0.552 ±0.089,0.891 ±0.068,0.860 ±0.058,3.625 ±0.676,1.725 ±0.198,0.938 ±0.052,664.675 ±30.490,115.100 ±6.355,779.775 ±32.228,0.000 ±0.000,1.000 ±0.000,2.639 ±0.796
maxdeg+llm,qwen3-coder-30b-a3b-instruct,40,0.524 ±0.082,0.915 ±0.054,0.898 ±0.054,3.850 ±1.109,1.725 ±0.198,0.938 ±0.052,1032.725 ±41.114,339.125 ±141.612,1371.850 ±155.673,0.001 ±0.000,1.000 ±0.000,11.465 ±3.566
maxdeg+meek,none,40,0.857 ±0.054,0.925 ±0.049,0.938 ±0.020,1.175 ±0.357,1.725 ±0.198,0.938 ±0.052,—,—,—,—,—,0.160 ±0.279
oracle+llm,gpt-4o-mini-2024-07-18,40,0.516 ±0.080,0.864 ±0.071,0.830 ±0.053,4.125 ±0.716,1.600 ±0.208,0.988 ±0.024,655.850 ±31.568,118.150 ±5.918,774.000 ±33.817,0.000 ±0.000,1.000 ±0.000,2.224 ±0.155
oracle+llm,qwen3-coder-30b-a3b-instruct,40,0.557 ±0.079,0.914 ±0.054,0.917 ±0.028,3.650 ±0.814,1.600 ±0.208,0.988 ±0.024,1045.675 ±61.668,342.650 ±146.304,1388.325 ±197.864,0.001 ±0.000,1.025 ±0.049,10.913 ±2.304
oracle+meek,none,40,0.836 ±0.059,0.925 ±0.049,0.938 ±0.020,1.250 ±0.376,1.600 ±0.208,0.988 ±0.024,—,—,—,—,—,0.017 ±0.003
random+llm,gpt-4o-mini-2024-07-18,40,0.522 ±0.078,0.805 ±0.097,0.818 ±0.053,4.350 ±0.774,1.975 ±0.285,0.867 ±0.060,689.475 ±40.544,107.725 ±5.542,797.200 ±41.939,0.000 ±0.000,1.000 ±0.000,2.189 ±0.286
random+llm,qwen3-coder-30b-a3b-instruct,40,0.540 ±0.069,0.903 ±0.065,0.914 ±0.025,3.625 ±0.509,1.975 ±0.285,0.867 ±0.060,1097.950 ±88.893,401.150 ±191.668,1499.100 ±266.255,0.001 ±0.000,1.025 ±0.049,16.709 ±5.479
random+meek,none,40,0.843 ±0.052,0.925 ±0.049,0.938 ±0.020,1.350 ±0.348,1.975 ±0.285,0.867 ±0.060,—,—,—,—,—,0.161 ±0.278
