arm,model_tag,level,n,directed_f1,selection_regret_total,cost_usd
eig+llm,gpt-4o-mini-2024-07-18,0,10,0.318 ±0.234,0.300 ±0.299,0.000 ±0.000
eig+llm,gpt-4o-mini-2024-07-18,1,10,0.567 ±0.092,0.100 ±0.196,0.000 ±0.000
eig+llm,gpt-4o-mini-2024-07-18,2,10,0.617 ±0.174,0.100 ±0.196,0.000 ±0.000
eig+llm,gpt-4o-mini-2024-07-18,3,10,0.604 ±0.094,0.200 ±0.261,0.000 ±0.000
eig+llm,qwen3-coder-30b-a3b-instruct,0,10,0.198 ±0.183,0.300 ±0.299,0.000 ±0.000
eig+llm,qwen3-coder-30b-a3b-instruct,1,10,0.597 ±0.078,0.100 ±0.196,0.000 ±0.000
eig+llm,qwen3-coder-30b-a3b-instruct,2,10,0.688 ±0.133,0.100 ±0.196,0.001 ±0.001
eig+llm,qwen3-coder-30b-a3b-instruct,3,10,0.608 ±0.081,0.200 ±0.261,0.001 ±0.001
eig+meek,none,0,10,0.786 ±0.146,0.300 ±0.299,—
eig+meek,none,1,10,0.815 ±0.125,0.100 ±0.196,—
eig+meek,none,2,10,0.907 ±0.068,0.100 ±0.196,—
eig+meek,none,3,10,0.920 ±0.052,0.200 ±0.261,—
llm+llm,gpt-4o-mini-2024-07-18,0,10,0.300 ±0.223,0.300 ±0.299,0.000 ±0.000
llm+llm,gpt-4o-mini-2024-07-18,1,10,0.574 ±0.104,0.400 ±0.433,0.000 ±0.000
llm+llm,gpt-4o-mini-2024-07-18,2,10,0.645 ±0.177,0.100 ±0.196,0.000 ±0.000
llm+llm,gpt-4o-mini-2024-07-18,3,10,0.611 ±0.105,1.000 ±0.826,0.000 ±0.000
llm+llm,qwen3-coder-30b-a3b-instruct,0,10,0.183 ±0.176,0.300 ±0.299,0.000 ±0.000
llm+llm,qwen3-coder-30b-a3b-instruct,1,10,0.585 ±0.122,0.200 ±0.392,0.000 ±0.000
llm+llm,qwen3-coder-30b-a3b-instruct,2,10,0.680 ±0.129,0.000 ±0.000,0.001 ±0.001
llm+llm,qwen3-coder-30b-a3b-instruct,3,10,0.631 ±0.071,0.400 ±0.433,0.002 ±0.001
llm+meek,gpt-4o-mini-2024-07-18,0,10,0.786 ±0.146,0.300 ±0.299,0.000 ±0.000
llm+meek,gpt-4o-mini-2024-07-18,1,10,0.814 ±0.143,0.400 ±0.433,0.000 ±0.000
llm+meek,gpt-4o-mini-2024-07-18,2,10,0.907 ±0.068,0.100 ±0.196,0.000 ±0.000
llm+meek,gpt-4o-mini-2024-07-18,3,10,0.920 ±0.052,1.000 ±0.826,0.000 ±0.000
llm+meek,qwen3-coder-30b-a3b-instruct,0,10,0.786 ±0.146,0.300 ±0.299,0.000 ±0.000
llm+meek,qwen3-coder-30b-a3b-instruct,1,10,0.832 ±0.121,0.200 ±0.392,0.000 ±0.000
