arm,selector,inferencer,model_tag,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,selection_regret_total_mean,selection_regret_total_sd,selection_regret_total_ci95_lo,selection_regret_total_ci95_hi,selection_regret_mean_mean,selection_regret_mean_sd,selection_regret_mean_ci95_lo,selection_regret_mean_ci95_hi,selection_quality_mean_mean,selection_quality_mean_sd,selection_quality_mean_ci95_lo,selection_quality_mean_ci95_hi,eig_regret_total_mean,eig_regret_total_sd,eig_regret_total_ci95_lo,eig_regret_total_ci95_hi,orientation_accuracy_mean,orientation_accuracy_sd,orientation_accuracy_ci95_lo,orientation_accuracy_ci95_hi,wasted_steps_mean,wasted_steps_sd,wasted_steps_ci95_lo,wasted_steps_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,pc_truth_in_class_mean,pc_truth_in_class_sd,pc_truth_in_class_ci95_lo,pc_truth_in_class_ci95_hi,mec_size_initial_mean,mec_size_initial_sd,mec_size_initial_ci95_lo,mec_size_initial_ci95_hi,mec_entropy_initial_mean,mec_entropy_initial_sd,mec_entropy_initial_ci95_lo,mec_entropy_initial_ci95_hi,belief_undirected_final_mean,belief_undirected_final_sd,belief_undirected_final_ci95_lo,belief_undirected_final_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi
eig+llm,eig,llm,gpt-4o-mini-2024-07-18,40,40,0,0.526473,0.277311,0.440533,0.612412,0.885227,0.216576,0.818109,0.952345,0.862131,0.145022,0.817188,0.907074,4.0,2.364264,3.267307,4.732693,0.925,0.18081,0.868966,0.981034,0.175,0.384808,0.055747,0.294253,0.092105,0.19643,0.02965,0.154561,0.971491,0.061349,0.951984,0.990997,0.0,0.0,0.0,0.0,0.934649,0.190399,0.874111,0.995187,0.0,0.0,0.0,0.0,1.75,0.630425,1.554629,1.945371,1.75,0.630425,1.554629,1.945371,0.938309,0.06314,0.918742,0.957877,0.4,0.496139,0.246245,0.553755,6.75,4.897671,5.232196,8.267804,1.696969,0.67713,1.487124,1.906814,0.0,0.0,0.0,0.0,666.925,98.492584,636.401832,697.448168,120.025,23.430735,112.76374,127.28626,786.95,105.957648,754.113385,819.786615,0.000172,2.2e-05,0.000165,0.000179,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.188525,0.446165,2.050257,2.326793
eig+llm,eig,llm,qwen3-coder-30b-a3b-instruct,40,40,0,0.522781,0.275229,0.437487,0.608075,0.915155,0.1728,0.861604,0.968706,0.907824,0.111406,0.873299,0.942349,4.15,3.977823,2.91726,5.38274,0.925,0.18081,0.868966,0.981034,0.175,0.384808,0.055747,0.294253,0.092105,0.19643,0.02965,0.154561,0.971491,0.061349,0.951984,0.990997,0.0,0.0,0.0,0.0,0.934649,0.190399,0.874111,0.995187,0.0,0.0,0.0,0.0,1.75,0.630425,1.554629,1.945371,1.75,0.630425,1.554629,1.945371,0.938309,0.06314,0.918742,0.957877,0.4,0.496139,0.246245,0.553755,6.75,4.897671,5.232196,8.267804,1.696969,0.67713,1.487124,1.906814,0.0,0.0,0.0,0.0,1067.075,258.323727,987.019648,1147.130352,376.55,544.150005,207.916166,545.183834,1443.625,762.821103,1207.224291,1680.025709,0.000613,0.001,0.000303,0.000923,1.025,0.158114,0.976,1.074,0.025,0.158114,-0.024,0.074,13.270425,12.765808,9.31426,17.22659
eig+meek,eig,meek,none,40,40,0,0.856824,0.173372,0.803096,0.910553,0.924711,0.158236,0.875674,0.973749,0.938309,0.06314,0.918742,0.957877,1.175,1.1522,0.81793,1.53207,0.925,0.18081,0.868966,0.981034,0.175,0.384808,0.055747,0.294253,0.092105,0.19643,0.02965,0.154561,0.971491,0.061349,0.951984,0.990997,0.0,0.0,0.0,0.0,0.934649,0.190399,0.874111,0.995187,0.0,0.0,0.0,0.0,1.75,0.630425,1.554629,1.945371,1.75,0.630425,1.554629,1.945371,0.938309,0.06314,0.918742,0.957877,0.4,0.496139,0.246245,0.553755,6.75,4.897671,5.232196,8.267804,1.696969,0.67713,1.487124,1.906814,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.01765,0.013511,0.013463,0.021837
llm+llm,llm,llm,gpt-4o-mini-2024-07-18,40,40,0,0.532606,0.28443,0.44446,0.620752,0.856147,0.260681,0.775361,0.936933,0.845067,0.144053,0.800424,0.88971,3.925,2.390017,3.184326,4.665674,0.9125,0.180958,0.856421,0.968579,0.45,0.845804,0.187883,0.712117,0.201754,0.346925,0.091448,0.31206,0.933479,0.112146,0.897822,0.969136,0.127683,0.231981,0.055791,0.199575,0.934649,0.190399,0.874111,0.995187,0.0,0.0,0.0,0.0,1.825,0.747217,1.593435,2.056565,1.825,0.747217,1.593435,2.056565,0.938309,0.06314,0.918742,0.957877,0.4,0.496139,0.246245,0.553755,6.75,4.897671,5.232196,8.267804,1.696969,0.67713,1.487124,1.906814,0.0,0.0,0.0,0.0,1618.075,572.494469,1440.657126,1795.492874,194.5,42.234389,181.411427,207.588573,1812.575,607.09366,1624.434726,2000.715274,0.000359,0.000107,0.000326,0.000393,2.825,0.747217,2.593435,3.056565,0.0,0.0,0.0,0.0,4.449025,2.672846,3.620702,5.277348
llm+llm,llm,llm,qwen3-coder-30b-a3b-instruct,40,40,0,0.51972,0.283706,0.431799,0.607642,0.907596,0.180823,0.851558,0.963634,0.906987,0.09527,0.877462,0.936511,3.95,3.358495,2.909192,4.990808,0.91875,0.182464,0.862204,0.975296,0.225,0.530481,0.060602,0.389398,0.111842,0.264431,0.027765,0.195919,0.967105,0.073877,0.943615,0.990595,0.039358,0.11727,0.003015,0.0757,0.947807,0.176305,0.89175,1.003864,0.0,0.0,0.0,0.0,1.775,0.697523,1.558835,1.991165,1.775,0.697523,1.558835,1.991165,0.938309,0.06314,0.918742,0.957877,0.4,0.496139,0.246245,0.553755,6.75,4.897671,5.232196,8.267804,1.696969,0.67713,1.487124,1.906814,0.0,0.0,0.0,0.0,2497.45,961.653303,2199.430554,2795.469446,543.15,793.014487,297.392264,788.907736,3040.6,1540.811371,2563.097609,3518.102391,0.000966,0.001338,0.000551,0.00138,2.825,0.780779,2.583034,3.066966,0.05,0.220721,-0.018402,0.118402,21.029875,27.757775,12.427651,29.632099
llm+meek,llm,meek,gpt-4o-mini-2024-07-18,40,40,0,0.856445,0.181371,0.800238,0.912653,0.924711,0.158236,0.875674,0.973749,0.938309,0.06314,0.918742,0.957877,1.175,1.174243,0.811098,1.538902,0.9125,0.180958,0.856421,0.968579,0.45,0.845804,0.187883,0.712117,0.201754,0.346925,0.091448,0.31206,0.933479,0.112146,0.897822,0.969136,0.127683,0.231981,0.055791,0.199575,0.934649,0.190399,0.874111,0.995187,0.0,0.0,0.0,0.0,1.825,0.747217,1.593435,2.056565,1.825,0.747217,1.593435,2.056565,0.938309,0.06314,0.918742,0.957877,0.4,0.496139,0.246245,0.553755,6.75,4.897671,5.232196,8.267804,1.696969,0.67713,1.487124,1.906814,0.0,0.0,0.0,0.0,944.1,471.085696,798.10903,1090.09097,78.15,31.237346,68.469446,87.830554,1022.25,500.715322,867.076714,1177.423286,0.000189,8.9e-05,0.000161,0.000216,1.825,0.747217,1.593435,2.056565,0.0,0.0,0.0,0.0,1.954725,0.806141,1.704899,2.204551
llm+meek,llm,meek,qwen3-coder-30b-a3b-instruct,40,40,0,0.860991,0.170666,0.808101,0.913881,0.924711,0.158236,0.875674,0.973749,0.938309,0.06314,0.918742,0.957877,1.15,1.12204,0.802276,1.497724,0.91875,0.182464,0.862204,0.975296,0.225,0.530481,0.060602,0.389398,0.111842,0.264431,0.027765,0.195919,0.967105,0.073877,0.943615,0.990595,0.027805,0.095251,-0.001714,0.057324,0.947807,0.176305,0.89175,1.003864,0.0,0.0,0.0,0.0,1.775,0.697523,1.558835,1.991165,1.775,0.697523,1.558835,1.991165,0.938309,0.06314,0.918742,0.957877,0.4,0.496139,0.246245,0.553755,6.75,4.897671,5.232196,8.267804,1.696969,0.67713,1.487124,1.906814,0.0,0.0,0.0,0.0,1395.0,672.814791,1186.492536,1603.507464,98.225,39.045987,86.124523,110.325477,1493.225,709.625199,1273.309873,1713.140127,0.000314,0.000298,0.000222,0.000407,1.775,0.697523,1.558835,1.991165,0.0,0.0,0.0,0.0,7.025375,3.425849,5.963693,8.087057
llm_e2e,llm_e2e,llm_e2e,gpt-4o-mini-2024-07-18,40,40,0,0.0,0.0,0.0,0.0,0.275,0.452203,0.134861,0.415139,0.203618,0.237269,0.130087,0.277148,10.5,7.739343,8.101553,12.898447,0.620833,0.088414,0.593434,0.648233,,,,,,,,,,,,,,,,,,,,,,,,,2.775,0.619657,2.582966,2.967034,2.775,0.619657,2.582966,2.967034,,,,,,,,,,,,,,,,,,,,,35162.9,14414.467177,30695.810341,39629.989659,240.625,45.22972,226.608165,254.641835,35403.525,14445.872091,30926.702858,39880.347142,0.003654,0.001446,0.003206,0.004102,3.775,0.619657,3.582966,3.967034,0.0,0.0,0.0,0.0,5.55715,2.339934,4.831997,6.282303
llm_e2e,llm_e2e,llm_e2e,qwen3-coder-30b-a3b-instruct,40,40,0,0.151513,0.15078,0.104786,0.19824,0.427202,0.409234,0.300379,0.554025,0.359693,0.183389,0.30286,0.416525,10.475,4.793091,8.989606,11.960394,0.620833,0.088414,0.593434,0.648233,,,,,,,,,,,,,,,,,,,,,,,,,2.775,0.619657,2.582966,2.967034,2.775,0.619657,2.582966,2.967034,,,,,,,,,,,,,,,,,,,,,51556.275,21189.098737,44989.70527,58122.84473,476.525,103.474508,444.457918,508.592082,52032.8,21221.14302,45456.299643,58609.300357,0.007492,0.005405,0.005817,0.009167,3.775,0.619657,3.582966,3.967034,0.0,0.0,0.0,0.0,30.37825,6.89214,28.242354,32.514146
maxdeg+llm,maxdeg,llm,gpt-4o-mini-2024-07-18,40,40,0,0.552146,0.287307,0.463109,0.641183,0.890722,0.217929,0.823185,0.958258,0.860468,0.187171,0.802463,0.918472,3.625,2.180185,2.949354,4.300646,0.9375,0.167466,0.885602,0.989398,0.15,0.426675,0.017772,0.282228,0.078947,0.218295,0.009539,0.148355,0.975877,0.06399,0.955531,0.996223,0.006705,0.024585,-0.000914,0.014324,0.934649,0.190399,0.874111,0.995187,0.0,0.0,0.0,0.0,1.725,0.640012,1.526658,1.923342,1.725,0.640012,1.526658,1.923342,0.938309,0.06314,0.918742,0.957877,0.4,0.496139,0.246245,0.553755,6.75,4.897671,5.232196,8.267804,1.696969,0.67713,1.487124,1.906814,0.0,0.0,0.0,0.0,664.675,98.38631,634.184767,695.165233,115.1,20.50741,108.744688,121.455312,779.775,103.994449,747.546786,812.003214,0.000169,2.1e-05,0.000162,0.000175,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.639,2.56908,1.842834,3.435166
