arm,model_tag,level,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,selection_regret_total_mean,selection_regret_total_sd,selection_regret_total_ci95_lo,selection_regret_total_ci95_hi,selection_regret_mean_mean,selection_regret_mean_sd,selection_regret_mean_ci95_lo,selection_regret_mean_ci95_hi,selection_quality_mean_mean,selection_quality_mean_sd,selection_quality_mean_ci95_lo,selection_quality_mean_ci95_hi,eig_regret_total_mean,eig_regret_total_sd,eig_regret_total_ci95_lo,eig_regret_total_ci95_hi,orientation_accuracy_mean,orientation_accuracy_sd,orientation_accuracy_ci95_lo,orientation_accuracy_ci95_hi,wasted_steps_mean,wasted_steps_sd,wasted_steps_ci95_lo,wasted_steps_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,pc_truth_in_class_mean,pc_truth_in_class_sd,pc_truth_in_class_ci95_lo,pc_truth_in_class_ci95_hi,mec_size_initial_mean,mec_size_initial_sd,mec_size_initial_ci95_lo,mec_size_initial_ci95_hi,mec_entropy_initial_mean,mec_entropy_initial_sd,mec_entropy_initial_ci95_lo,mec_entropy_initial_ci95_hi,belief_undirected_final_mean,belief_undirected_final_sd,belief_undirected_final_ci95_lo,belief_undirected_final_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi
eig+llm,gpt-4o-mini-2024-07-18,0,10,10,0,0.317857,0.378133,0.083488,0.552227,1.0,0.0,1.0,1.0,0.817857,0.20094,0.693313,0.942401,3.1,1.852926,1.951545,4.248455,0.9,0.210819,0.769333,1.030667,0.3,0.483046,0.000605,0.599395,0.166667,0.25,0.003333,0.33,0.944443,0.083335,0.889998,0.998889,0.0,0.0,0.0,0.0,0.962963,0.11111,0.890371,1.035555,0.0,0.0,0.0,0.0,1.4,0.699206,0.966628,1.833372,1.4,0.699206,0.966628,1.833372,0.9,0.069006,0.857229,0.942771,0.3,0.483046,0.000605,0.599395,4.5,2.635231,2.866667,6.133333,1.316978,0.689284,0.889755,1.744201,0.0,0.0,0.0,0.0,554.2,40.592282,529.040643,579.359357,117.3,24.317575,102.227811,132.372189,671.5,54.687496,637.604339,705.395661,0.000154,1.8e-05,0.000142,0.000165,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0593,0.287005,1.881413,2.237187
eig+llm,gpt-4o-mini-2024-07-18,1,10,10,0,0.567273,0.148081,0.475491,0.659054,0.892381,0.204315,0.765745,1.019017,0.922611,0.062039,0.884159,0.961063,3.2,1.229273,2.438089,3.961911,0.9,0.210819,0.769333,1.030667,0.1,0.316228,-0.096,0.296,0.05,0.158114,-0.048,0.148,0.9875,0.039528,0.963,1.012,0.0,0.0,0.0,0.0,0.85,0.337474,0.640831,1.059169,0.0,0.0,0.0,0.0,1.7,0.483046,1.400605,1.999395,1.7,0.483046,1.400605,1.999395,0.956061,0.060795,0.918379,0.993742,0.5,0.527046,0.173333,0.826667,4.6,1.646545,3.579461,5.620539,1.47271,0.338733,1.262761,1.682659,0.0,0.0,0.0,0.0,631.8,36.720566,609.040357,654.559643,121.5,13.95429,112.851041,130.148959,753.3,31.194907,733.965196,772.634804,0.000168,7e-06,0.000163,0.000172,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.3657,0.541893,2.029831,2.701569
eig+llm,gpt-4o-mini-2024-07-18,2,10,10,0,0.617134,0.281385,0.44273,0.791538,0.788687,0.331063,0.583492,0.993882,0.837918,0.153805,0.742589,0.933247,4.2,2.936362,2.380024,6.019976,0.95,0.158114,0.852,1.048,0.1,0.316228,-0.096,0.296,0.055556,0.166667,-0.053333,0.164444,0.986111,0.041667,0.958889,1.013333,0.0,0.0,0.0,0.0,0.95,0.1,0.884667,1.015333,0.0,0.0,0.0,0.0,1.8,0.632456,1.408,2.192,1.8,0.632456,1.408,2.192,0.945714,0.070136,0.902243,0.989185,0.5,0.527046,0.173333,0.826667,6.5,2.838231,4.740846,8.259154,1.725285,0.677652,1.305272,2.145298,0.0,0.0,0.0,0.0,695.9,57.981702,659.962569,731.837431,115.5,28.5939,97.777317,133.222683,811.4,75.833443,764.397945,858.402055,0.000174,2.3e-05,0.00016,0.000188,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.1098,0.447841,1.832225,2.387375
eig+llm,gpt-4o-mini-2024-07-18,3,10,10,0,0.603627,0.152305,0.509228,0.698027,0.85984,0.161691,0.759623,0.960057,0.870137,0.127629,0.791032,0.949242,5.5,2.54951,3.919797,7.080203,0.95,0.158114,0.852,1.048,0.2,0.421637,-0.061333,0.461333,0.1,0.210819,-0.030667,0.230667,0.966666,0.070274,0.92311,1.010222,0.0,0.0,0.0,0.0,0.98,0.063246,0.9408,1.0192,0.0,0.0,0.0,0.0,2.1,0.567646,1.748169,2.451831,2.1,0.567646,1.748169,2.451831,0.951462,0.040801,0.926173,0.97675,0.3,0.483046,0.000605,0.599395,11.4,7.167829,6.957333,15.842667,2.272903,0.593318,1.905161,2.640645,0.0,0.0,0.0,0.0,785.8,59.622516,748.845582,822.754418,125.8,26.548907,109.344817,142.255183,911.6,70.283869,868.037607,955.162393,0.000193,2e-05,0.000181,0.000206,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.2193,0.473976,1.925527,2.513073
eig+llm,qwen3-coder-30b-a3b-instruct,0,10,10,0,0.197619,0.295692,0.014347,0.380891,1.0,0.0,1.0,1.0,0.9,0.069007,0.857229,0.942771,3.3,1.05935,2.643408,3.956592,0.9,0.210819,0.769333,1.030667,0.3,0.483046,0.000605,0.599395,0.166667,0.25,0.003333,0.33,0.944443,0.083335,0.889998,0.998889,0.0,0.0,0.0,0.0,0.962963,0.11111,0.890371,1.035555,0.0,0.0,0.0,0.0,1.4,0.699206,0.966628,1.833372,1.4,0.699206,0.966628,1.833372,0.9,0.069006,0.857229,0.942771,0.3,0.483046,0.000605,0.599395,4.5,2.635231,2.866667,6.133333,1.316978,0.689284,0.889755,1.744201,0.0,0.0,0.0,0.0,884.9,53.54842,851.710345,918.089655,216.6,95.120041,157.643988,275.556012,1101.5,122.655117,1025.477571,1177.522429,0.000307,0.000234,0.000162,0.000452,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.4629,6.086868,8.69022,16.23558
eig+llm,qwen3-coder-30b-a3b-instruct,1,10,10,0,0.597273,0.125955,0.519205,0.67534,0.892381,0.204315,0.765745,1.019017,0.932984,0.082269,0.881993,0.983975,3.0,1.154701,2.284309,3.715691,0.9,0.210819,0.769333,1.030667,0.1,0.316228,-0.096,0.296,0.05,0.158114,-0.048,0.148,0.9875,0.039528,0.963,1.012,0.0,0.0,0.0,0.0,0.85,0.337474,0.640831,1.059169,0.0,0.0,0.0,0.0,1.7,0.483046,1.400605,1.999395,1.7,0.483046,1.400605,1.999395,0.956061,0.060795,0.918379,0.993742,0.5,0.527046,0.173333,0.826667,4.6,1.646545,3.579461,5.620539,1.47271,0.338733,1.262761,1.682659,0.0,0.0,0.0,0.0,984.9,49.45357,954.24836,1015.55164,292.1,99.167031,230.635638,353.564362,1277.0,115.850478,1205.19513,1348.80487,0.000151,2.8e-05,0.000133,0.000168,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17.6626,4.004218,15.18076,20.14444
eig+llm,qwen3-coder-30b-a3b-instruct,2,10,10,0,0.687976,0.214271,0.555169,0.820783,0.852222,0.242305,0.70204,1.002405,0.902857,0.134597,0.819433,0.986281,4.1,4.306326,1.430911,6.769089,0.95,0.158114,0.852,1.048,0.1,0.316228,-0.096,0.296,0.055556,0.166667,-0.053333,0.164444,0.986111,0.041667,0.958889,1.013333,0.0,0.0,0.0,0.0,0.95,0.1,0.884667,1.015333,0.0,0.0,0.0,0.0,1.8,0.632456,1.408,2.192,1.8,0.632456,1.408,2.192,0.945714,0.070136,0.902243,0.989185,0.5,0.527046,0.173333,0.826667,6.5,2.838231,4.740846,8.259154,1.725285,0.677652,1.305272,2.145298,0.0,0.0,0.0,0.0,1073.8,76.387608,1026.45447,1121.14553,418.6,547.547299,79.226668,757.973332,1492.4,571.81722,1137.984015,1846.815985,0.000797,0.000958,0.000203,0.00139,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.1961,7.186882,3.741624,12.650576
eig+llm,qwen3-coder-30b-a3b-instruct,3,10,10,0,0.608256,0.130232,0.527538,0.688975,0.916017,0.12633,0.837717,0.994317,0.895455,0.152208,0.801116,0.989795,6.2,6.373556,2.249629,10.150371,0.95,0.158114,0.852,1.048,0.2,0.421637,-0.061333,0.461333,0.1,0.210819,-0.030667,0.230667,0.966666,0.070274,0.92311,1.010222,0.0,0.0,0.0,0.0,0.98,0.063246,0.9408,1.0192,0.0,0.0,0.0,0.0,2.1,0.567646,1.748169,2.451831,2.1,0.567646,1.748169,2.451831,0.951462,0.040801,0.926173,0.97675,0.3,0.483046,0.000605,0.599395,11.4,7.167829,6.957333,15.842667,2.272903,0.593318,1.905161,2.640645,0.0,0.0,0.0,0.0,1324.7,399.808023,1076.89642,1572.50358,578.9,938.400821,-2.726854,1160.526854,1903.6,1329.464654,1079.58927,2727.61073,0.001198,0.001613,0.000198,0.002197,1.1,0.316228,0.904,1.296,0.1,0.316228,-0.096,0.296,14.7601,23.414006,0.247948,29.272252
eig+meek,none,0,10,10,0,0.785714,0.235702,0.639625,0.931804,1.0,0.0,1.0,1.0,0.9,0.069007,0.857229,0.942771,1.1,0.994429,0.483647,1.716353,0.9,0.210819,0.769333,1.030667,0.3,0.483046,0.000605,0.599395,0.166667,0.25,0.003333,0.33,0.944443,0.083335,0.889998,0.998889,0.0,0.0,0.0,0.0,0.962963,0.11111,0.890371,1.035555,0.0,0.0,0.0,0.0,1.4,0.699206,0.966628,1.833372,1.4,0.699206,0.966628,1.833372,0.9,0.069006,0.857229,0.942771,0.3,0.483046,0.000605,0.599395,4.5,2.635231,2.866667,6.133333,1.316978,0.689284,0.889755,1.744201,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0058,0.001135,0.005096,0.006504
eig+meek,none,1,10,10,0,0.815152,0.202247,0.689797,0.940506,0.892381,0.204315,0.765745,1.019017,0.956061,0.060795,0.918379,0.993742,1.3,1.418136,0.42103,2.17897,0.9,0.210819,0.769333,1.030667,0.1,0.316228,-0.096,0.296,0.05,0.158114,-0.048,0.148,0.9875,0.039528,0.963,1.012,0.0,0.0,0.0,0.0,0.85,0.337474,0.640831,1.059169,0.0,0.0,0.0,0.0,1.7,0.483046,1.400605,1.999395,1.7,0.483046,1.400605,1.999395,0.956061,0.060795,0.918379,0.993742,0.5,0.527046,0.173333,0.826667,4.6,1.646545,3.579461,5.620539,1.47271,0.338733,1.262761,1.682659,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0118,0.003259,0.00978,0.01382
