run_id,timestamp_utc,study,arm,model,model_tag,level,seed,runtime_seed,d,k,n_obs,n_int,budget,opt_set_size,true_edges,cpdag_undirected,status,error,wall_sec,skeleton_precision,skeleton_recall,skeleton_f1,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency,interventions_used,optimal_interventions,submit_directed,submit_undirected,steps_taken,n_hypotheses,n_hypotheses_from_llm,truth_in_hypotheses,best_f1_in_hypotheses,truth_rank_initial,truth_rank_final,entropy_initial_nats,entropy_final_nats,map_weight_final,proposed_raw,proposed_valid_unique,propose_repairs,propose_rounds,repair_remove,repair_add,propose_cached,pc_skeleton_f1_ceiling,pc_undirected_edges,pc_directed_edges,llm_calls,llm_failed_calls,llm_repair_calls,prompt_tokens,completion_tokens,cached_tokens,total_tokens,cost_usd,llm_latency_sec
20260816T142838Z,2026-08-16T14:28:38.539392+00:00,study2,probe_skel_only,,none,1,123393401,1233934010108,6,6,60,40,2,1,6,3,success,,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1,1,6,0,1,48,0,1,1.0,2,1,1.43599,0.0,1.0,,,,,,,,1.0,3,3,,,,,,,,,
20260816T142838Z,2026-08-16T14:28:44.063706+00:00,study2,probe,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,295485567,2954855670108,6,6,60,40,2,1,6,4,success,,2.257,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,2,0.5,2,1,6,0,2,48,48,0,0.909091,-1,-1,1.65656,0.0,1.0,,,0,,2,2,0,0.909091,5,0,1,0,0,828,109,0,937,0.0001896,1.8194
20260816T142838Z,2026-08-16T14:28:38.539104+00:00,study2,probe_repair_only,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,123393401,1233934010108,6,6,60,40,2,1,6,3,success,,7.987,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,48,1,1.0,2,1,2.45465,0.79282,0.66295,,,0,,2,2,1,1.0,3,3,1,0,0,832,116,0,948,0.0001944,0.0
20260816T142838Z,2026-08-16T14:28:38.536777+00:00,study2,probe,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,123393401,1233934010108,6,6,60,40,2,1,6,3,success,,8.043,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,48,1,1.0,2,1,2.45465,0.79282,0.66295,,,0,,2,2,0,1.0,3,3,1,0,0,832,116,0,948,0.0001944,2.1442
20260816T142838Z,2026-08-16T14:28:46.598216+00:00,study2,probe_repair_only,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,295485567,2954855670108,6,6,60,40,2,1,6,4,success,,0.325,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,2,0.5,2,1,6,0,2,48,48,0,0.909091,-1,-1,1.65656,0.0,1.0,,,0,,2,2,1,0.909091,5,0,1,0,0,828,109,0,937,0.0001896,0.0
20260816T142838Z,2026-08-16T14:28:46.710231+00:00,study2,probe_skel_only,,none,1,295485567,2954855670108,6,6,60,40,2,1,6,4,success,,0.262,1.0,0.8333333333333334,0.9090909090909091,0.6666666666666666,1.0,0.8333333333333334,0.9090909090909091,1,1.0,1,1,5,0,1,32,0,0,0.909091,-1,-1,1.79221,0.0,1.0,,,,,,,,0.909091,5,0,,,,,,,,,
20260816T142838Z,2026-08-16T14:28:46.530263+00:00,study2,probe_repair_only,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,295485567,2954855670108,6,6,60,40,2,1,6,4,success,,0.804,1.0,0.8333333333333334,0.9090909090909091,0.6666666666666666,1.0,0.8333333333333334,0.9090909090909091,1,1.0,1,1,5,0,1,32,32,0,0.909091,-1,-1,1.79221,0.0,1.0,,,0,,0,0,1,0.909091,5,0,1,0,0,1239,163,0,1402,0.00060425,0.0
20260816T142838Z,2026-08-16T14:28:38.539700+00:00,study2,probe,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,295485567,2954855670108,6,6,60,40,2,1,6,4,success,,8.794,1.0,0.8333333333333334,0.9090909090909091,0.6666666666666666,1.0,0.8333333333333334,0.9090909090909091,1,1.0,1,1,5,0,1,32,32,0,0.909091,-1,-1,1.79221,0.0,1.0,,,0,,0,0,0,0.909091,5,0,1,0,0,1239,163,640,1402,0.00060425,3.2375
20260816T142838Z,2026-08-16T14:28:47.392248+00:00,study2,probe_repair_only,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,325160078,3251600780108,6,6,60,40,2,1,6,4,success,,1.717,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,48,1,1.0,3,1,2.60643,0.03786,0.9945,,,0,,2,1,1,1.0,4,2,1,0,0,831,116,0,947,0.00019425,0.0
20260816T142838Z,2026-08-16T14:28:46.973929+00:00,study2,probe,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,325160078,3251600780108,6,6,60,40,2,1,6,4,success,,2.438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,48,1,1.0,3,1,3.07584,0.70736,0.73769,,,0,,2,2,0,1.0,4,2,1,0,0,1243,155,640,1398,0.00059245,2.0655
