arm,model_tag,level,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi
probe,gpt-4o-mini-2024-07-18,1,8,8,0,0.896824,0.080233,0.841225,0.952423,0.940476,0.121405,0.856347,1.024606,0.896824,0.080233,0.841225,0.952423,1.125,0.834523,0.546705,1.703295,0.729167,0.234648,0.566564,0.891769,2.0,0.755929,1.476168,2.523832,2.0,0.755929,1.476168,2.523832,48.0,0.0,48.0,48.0,0.25,0.46291,-0.07078,0.57078,0.906294,0.07603,0.853608,0.95898,-0.5,0.92582,-1.141561,0.141561,2.572345,0.593354,2.161172,2.983518,0.115835,0.30931,-0.098506,0.330176,0.962646,0.103071,0.891221,1.034071,,,,,,,,,0.864773,0.112838,0.78658,0.942965,830.875,1.246423,830.011273,831.738727,101.25,16.490257,89.822835,112.677165,932.125,16.128391,920.948595,943.301405,0.000185,1e-05,0.000179,0.000192,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.104875,2.02349,1.702668,4.507082,3.25,0.707107,2.76,3.74,3.25,1.035098,2.532713,3.967287
probe,gpt-4o-mini-2024-07-18,2,8,8,0,0.703892,0.201517,0.564248,0.843536,0.622917,0.147717,0.520554,0.72528,0.773832,0.138006,0.678199,0.869466,3.5,2.070197,2.065427,4.934573,0.770833,0.197956,0.633657,0.90801,2.25,0.886405,1.635752,2.864248,2.25,0.886405,1.635752,2.864248,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.800916,0.09567,0.73462,0.867212,-1.0,0.0,-1.0,-1.0,2.29442,0.940274,1.642843,2.945997,0.048334,0.136401,-0.046188,0.142855,0.987317,0.035847,0.962477,1.012158,,,,,,,,,0.767632,0.117793,0.686006,0.849259,1130.75,1.38873,1129.787659,1131.712341,99.125,20.314931,85.047471,113.202529,1229.875,21.087827,1215.261882,1244.488118,0.000152,1.2e-05,0.000144,0.000161,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.583875,0.660591,2.126109,3.041641,3.75,0.46291,3.42922,4.07078,2.625,1.767767,1.4,3.85
probe,qwen3-coder-30b-a3b-instruct,1,8,8,0,0.868939,0.110699,0.792229,0.94565,0.940476,0.121405,0.856347,1.024606,0.868939,0.110699,0.792229,0.94565,1.375,1.06066,0.64,2.11,0.666667,0.218218,0.515449,0.817884,2.125,0.64087,1.6809,2.5691,2.125,0.64087,1.6809,2.5691,48.0,0.0,48.0,48.0,0.25,0.46291,-0.07078,0.57078,0.878409,0.110458,0.801865,0.954953,-0.5,0.92582,-1.141561,0.141561,2.95595,0.440107,2.650971,3.260929,0.389467,0.482609,0.055037,0.723898,0.828415,0.22656,0.671417,0.985413,,,,,,,,,0.864773,0.112838,0.78658,0.942965,1240.875,2.948971,1238.831468,1242.918532,147.5,32.989176,124.639668,170.360332,1388.375,34.350868,1364.571063,1412.178937,0.000501,0.000113,0.000422,0.000579,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.4145,11.046761,4.759485,20.069515,0.75,1.488048,-0.281164,1.781164,3.0,1.069045,2.25919,3.74081
probe,qwen3-coder-30b-a3b-instruct,2,8,8,0,0.778297,0.115744,0.69809,0.858503,0.689583,0.202942,0.548952,0.830215,0.794963,0.106613,0.721084,0.868843,2.875,1.356203,1.935199,3.814801,0.75,0.218218,0.598783,0.901217,2.375,0.517549,2.016357,2.733643,2.375,0.517549,2.016357,2.733643,46.0,5.656854,42.08,49.92,0.125,0.353553,-0.12,0.37,0.814927,0.095931,0.74845,0.881404,-0.75,0.707107,-1.24,-0.26,2.567235,0.543032,2.190933,2.943537,9.4e-05,0.000167,-2.2e-05,0.000209,0.999992,1.5e-05,0.999982,1.000003,,,,,,,,,0.767633,0.117793,0.686006,0.849259,1647.0,5.398412,1643.259091,1650.740909,151.125,68.684449,103.529105,198.720895,1798.125,67.460968,1751.376935,1844.873065,0.000508,0.000171,0.00039,0.000627,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.84175,7.961231,3.324898,14.358602,1.125,1.807722,-0.127687,2.377687,2.0,1.414214,1.02,2.98
probe_repair_only,gpt-4o-mini-2024-07-18,1,8,8,0,0.896824,0.080233,0.841225,0.952423,0.940476,0.121405,0.856347,1.024606,0.896824,0.080233,0.841225,0.952423,1.125,0.834523,0.546705,1.703295,0.729167,0.234648,0.566564,0.891769,2.0,0.755929,1.476168,2.523832,2.0,0.755929,1.476168,2.523832,48.0,0.0,48.0,48.0,0.25,0.46291,-0.07078,0.57078,0.906294,0.07603,0.853608,0.95898,-0.5,0.92582,-1.141561,0.141561,2.572345,0.593354,2.161172,2.983518,0.115835,0.30931,-0.098506,0.330176,0.962646,0.103071,0.891221,1.034071,,,,,,,,,0.864773,0.112838,0.78658,0.942965,830.875,1.246423,830.011273,831.738727,101.25,16.490257,89.822835,112.677165,932.125,16.128391,920.948595,943.301405,0.000185,1e-05,0.000179,0.000192,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.651625,2.725818,-0.237271,3.540521,3.25,0.707107,2.76,3.74,3.25,1.035098,2.532713,3.967287
probe_repair_only,gpt-4o-mini-2024-07-18,2,8,8,0,0.703892,0.201517,0.564248,0.843536,0.622917,0.147717,0.520554,0.72528,0.773832,0.138006,0.678199,0.869466,3.5,2.070197,2.065427,4.934573,0.770833,0.197956,0.633657,0.90801,2.25,0.886405,1.635752,2.864248,2.25,0.886405,1.635752,2.864248,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.800916,0.09567,0.73462,0.867212,-1.0,0.0,-1.0,-1.0,2.29442,0.940274,1.642843,2.945997,0.048334,0.136401,-0.046188,0.142855,0.987317,0.035847,0.962477,1.012158,,,,,,,,,0.767632,0.117793,0.686006,0.849259,1130.75,1.38873,1129.787659,1131.712341,99.125,20.314931,85.047471,113.202529,1229.875,21.087827,1215.261882,1244.488118,0.000152,1.2e-05,0.000144,0.000161,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.50525,1.096912,0.745129,2.265371,3.75,0.46291,3.42922,4.07078,2.625,1.767767,1.4,3.85
probe_repair_only,qwen3-coder-30b-a3b-instruct,1,8,8,0,0.868939,0.110699,0.792229,0.94565,0.940476,0.121405,0.856347,1.024606,0.868939,0.110699,0.792229,0.94565,1.375,1.06066,0.64,2.11,0.666667,0.218218,0.515449,0.817884,2.125,0.64087,1.6809,2.5691,2.125,0.64087,1.6809,2.5691,48.0,0.0,48.0,48.0,0.25,0.46291,-0.07078,0.57078,0.878409,0.110458,0.801865,0.954953,-0.5,0.92582,-1.141561,0.141561,2.95595,0.440107,2.650971,3.260929,0.389467,0.482609,0.055037,0.723898,0.828415,0.22656,0.671417,0.985413,,,,,,,,,0.864773,0.112838,0.78658,0.942965,1240.875,2.948971,1238.831468,1242.918532,147.5,32.989176,124.639668,170.360332,1388.375,34.350868,1364.571063,1412.178937,0.000501,0.000113,0.000422,0.000579,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.73925,12.101392,1.353413,18.125087,0.75,1.488048,-0.281164,1.781164,3.0,1.069045,2.25919,3.74081
probe_repair_only,qwen3-coder-30b-a3b-instruct,2,8,8,0,0.778297,0.115744,0.69809,0.858503,0.689583,0.202942,0.548952,0.830215,0.794963,0.106613,0.721084,0.868843,2.875,1.356203,1.935199,3.814801,0.75,0.218218,0.598783,0.901217,2.375,0.517549,2.016357,2.733643,2.375,0.517549,2.016357,2.733643,46.0,5.656854,42.08,49.92,0.125,0.353553,-0.12,0.37,0.814927,0.095931,0.74845,0.881404,-0.75,0.707107,-1.24,-0.26,2.567235,0.543032,2.190933,2.943537,9.4e-05,0.000167,-2.2e-05,0.000209,0.999992,1.5e-05,0.999982,1.000003,,,,,,,,,0.767633,0.117793,0.686006,0.849259,1647.0,5.398412,1643.259091,1650.740909,151.125,68.684449,103.529105,198.720895,1798.125,67.460968,1751.376935,1844.873065,0.000508,0.000171,0.00039,0.000627,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.280375,7.755039,1.906407,12.654343,1.125,1.807722,-0.127687,2.377687,2.0,1.414214,1.02,2.98
probe_skel_only,none,1,8,8,0,0.839773,0.146402,0.738321,0.941224,0.875,0.248008,0.703139,1.046861,0.864773,0.112838,0.78658,0.942965,1.5,1.195229,0.671749,2.328251,0.9375,0.176777,0.815,1.06,1.5,0.534522,1.129595,1.870405,1.5,0.534522,1.129595,1.870405,31.0,16.248077,19.740657,42.259343,0.25,0.46291,-0.07078,0.57078,0.864773,0.112838,0.78658,0.942965,-0.5,0.92582,-1.141561,0.141561,1.76829,0.370178,1.51177,2.02481,0.086779,0.245011,-0.083005,0.256563,0.937486,0.176771,0.81499,1.059982,,,,,,,,,0.864773,0.112838,0.78658,0.942965,,,,,,,,,,,,,,,,,,,,,,,,,0.923625,2.016183,-0.473519,2.320769,,,,,,,,
probe_skel_only,none,2,8,8,0,0.710381,0.147928,0.607872,0.81289,0.63125,0.14812,0.528608,0.733892,0.767632,0.117793,0.686006,0.849259,3.375,1.187735,2.551942,4.198058,0.8125,0.207737,0.668545,0.956455,2.25,0.707107,1.76,2.74,2.25,0.707107,1.76,2.74,35.0,15.964246,23.937342,46.062658,0.0,0.0,0.0,0.0,0.767632,0.117793,0.686006,0.849259,-1.0,0.0,-1.0,-1.0,2.111735,0.751961,1.590653,2.632817,0.086644,0.245066,-0.083178,0.256466,0.9375,0.176777,0.815,1.06,,,,,,,,,0.767632,0.117793,0.686006,0.849259,,,,,,,,,,,,,,,,,,,,,,,,,0.511625,0.296382,0.306242,0.717008,,,,,,,,
