level,seed,model_tag,d,n_obs,n_remove,correct_remove,n_add,correct_add,pc_fp,pc_fn,n_pc_adj,n_non_adj,chance_remove,chance_add,pc_skeleton_f1
0,123393401,gpt-4o-mini-2024-07-18,4,300,2,0,3,1,0,1,3,3,0.0,0.333333,0.857143
0,123393401,qwen3-coder-30b-a3b-instruct,4,300,3,0,3,1,0,1,3,3,0.0,0.333333,0.857143
0,239607114,gpt-4o-mini-2024-07-18,4,300,2,0,3,1,0,1,3,3,0.0,0.333333,0.857143
0,239607114,qwen3-coder-30b-a3b-instruct,4,300,1,0,2,0,0,1,3,3,0.0,0.333333,0.857143
0,295485567,gpt-4o-mini-2024-07-18,4,300,4,0,2,0,0,0,4,2,0.0,0.0,1.0
0,295485567,qwen3-coder-30b-a3b-instruct,4,300,0,0,0,0,0,0,4,2,0.0,0.0,1.0
0,325160078,gpt-4o-mini-2024-07-18,4,300,2,0,2,1,0,1,3,3,0.0,0.333333,0.857143
0,325160078,qwen3-coder-30b-a3b-instruct,4,300,1,0,1,1,0,1,3,3,0.0,0.333333,0.857143
0,1078156455,gpt-4o-mini-2024-07-18,4,300,2,0,2,1,0,1,3,3,0.0,0.333333,0.857143
0,1078156455,qwen3-coder-30b-a3b-instruct,4,300,1,0,3,1,0,1,3,3,0.0,0.333333,0.857143
0,1158667886,gpt-4o-mini-2024-07-18,4,300,2,0,2,1,0,1,3,3,0.0,0.333333,0.857143
0,1158667886,qwen3-coder-30b-a3b-instruct,4,300,1,0,1,0,0,1,3,3,0.0,0.333333,0.857143
0,1279549348,gpt-4o-mini-2024-07-18,4,300,2,0,2,0,0,0,4,2,0.0,0.0,1.0
0,1279549348,qwen3-coder-30b-a3b-instruct,4,300,2,0,1,0,0,0,4,2,0.0,0.0,1.0
0,1580201974,gpt-4o-mini-2024-07-18,4,300,3,0,3,1,0,1,3,3,0.0,0.333333,0.857143
0,1580201974,qwen3-coder-30b-a3b-instruct,4,300,1,0,2,0,0,1,3,3,0.0,0.333333,0.857143
0,1719885688,gpt-4o-mini-2024-07-18,4,300,3,0,1,0,0,0,4,2,0.0,0.0,1.0
0,1719885688,qwen3-coder-30b-a3b-instruct,4,300,1,0,1,0,0,0,4,2,0.0,0.0,1.0
0,1943031107,gpt-4o-mini-2024-07-18,4,300,2,0,2,0,0,1,3,3,0.0,0.333333,0.857143
0,1943031107,qwen3-coder-30b-a3b-instruct,4,300,0,0,0,0,0,1,3,3,0.0,0.333333,0.857143
1,424836758,gpt-4o-mini-2024-07-18,6,300,3,0,2,0,0,0,6,9,0.0,0.0,1.0
1,424836758,qwen3-coder-30b-a3b-instruct,6,300,4,0,4,0,0,0,6,9,0.0,0.0,1.0
1,433882786,gpt-4o-mini-2024-07-18,6,300,4,1,0,0,1,1,6,9,0.166667,0.111111,0.833333
1,433882786,qwen3-coder-30b-a3b-instruct,6,300,2,1,4,0,1,1,6,9,0.166667,0.111111,0.833333
1,674912463,gpt-4o-mini-2024-07-18,6,300,4,0,0,0,0,0,6,9,0.0,0.0,1.0
1,674912463,qwen3-coder-30b-a3b-instruct,6,300,1,0,2,0,0,0,6,9,0.0,0.0,1.0
1,848528041,gpt-4o-mini-2024-07-18,6,300,4,0,0,0,0,0,6,9,0.0,0.0,1.0
1,848528041,qwen3-coder-30b-a3b-instruct,6,300,4,0,4,0,0,0,6,9,0.0,0.0,1.0
1,920829464,gpt-4o-mini-2024-07-18,6,300,4,0,4,0,0,0,6,9,0.0,0.0,1.0
1,920829464,qwen3-coder-30b-a3b-instruct,6,300,0,0,2,0,0,0,6,9,0.0,0.0,1.0
1,1004126917,gpt-4o-mini-2024-07-18,6,300,3,0,4,1,0,1,5,10,0.0,0.1,0.909091
1,1004126917,qwen3-coder-30b-a3b-instruct,6,300,4,0,4,1,0,1,5,10,0.0,0.1,0.909091
1,1036482875,gpt-4o-mini-2024-07-18,6,300,4,0,4,0,0,0,6,9,0.0,0.0,1.0
1,1036482875,qwen3-coder-30b-a3b-instruct,6,300,3,0,3,0,0,0,6,9,0.0,0.0,1.0
1,1343008841,gpt-4o-mini-2024-07-18,6,300,4,0,3,1,0,1,5,10,0.0,0.1,0.909091
1,1343008841,qwen3-coder-30b-a3b-instruct,6,300,4,0,4,1,0,1,5,10,0.0,0.1,0.909091
1,1470120545,gpt-4o-mini-2024-07-18,6,300,4,0,4,0,0,0,6,9,0.0,0.0,1.0
1,1470120545,qwen3-coder-30b-a3b-instruct,6,300,3,0,3,0,0,0,6,9,0.0,0.0,1.0
1,1761685205,gpt-4o-mini-2024-07-18,6,300,3,0,2,0,0,1,5,10,0.0,0.1,0.909091
1,1761685205,qwen3-coder-30b-a3b-instruct,6,300,0,0,4,0,0,1,5,10,0.0,0.1,0.909091
2,113229833,gpt-4o-mini-2024-07-18,8,300,4,0,2,0,0,0,8,20,0.0,0.0,1.0
2,113229833,qwen3-coder-30b-a3b-instruct,8,300,3,0,3,0,0,0,8,20,0.0,0.0,1.0
2,115210587,gpt-4o-mini-2024-07-18,8,300,4,0,4,0,0,1,7,21,0.0,0.047619,0.933333
2,115210587,qwen3-coder-30b-a3b-instruct,8,300,4,0,4,0,0,1,7,21,0.0,0.047619,0.933333
2,490919193,gpt-4o-mini-2024-07-18,8,300,4,0,4,2,1,2,7,21,0.142857,0.095238,0.8
2,490919193,qwen3-coder-30b-a3b-instruct,8,300,4,1,4,0,1,2,7,21,0.142857,0.095238,0.8
2,961883866,gpt-4o-mini-2024-07-18,8,300,4,0,2,0,0,1,7,21,0.0,0.047619,0.933333
2,961883866,qwen3-coder-30b-a3b-instruct,8,300,0,0,4,0,0,1,7,21,0.0,0.047619,0.933333
2,1013733486,gpt-4o-mini-2024-07-18,8,300,4,0,4,0,0,0,8,20,0.0,0.0,1.0
