arm,model_tag,n,directed_f1,compelled_f1,skeleton_f1,dag_shd,efficiency,interventions_used,prompt_tokens,completion_tokens,total_tokens,cost_usd,llm_calls,wall_sec
llm_e2e,gpt-4o-mini-2024-07-18,40,0.000 ±0.000,0.275 ±0.140,0.162 ±0.068,8.900 ±1.307,0.621 ±0.027,2.775 ±0.192,35162.875 ±4467.086,233.125 ±11.353,35396.000 ±4475.601,0.003 ±0.000,3.775 ±0.192,4.813 ±0.390
llm_e2e,qwen3-coder-30b-a3b-instruct,40,0.180 ±0.048,0.439 ±0.128,0.394 ±0.064,9.925 ±1.529,0.621 ±0.027,2.775 ±0.192,51562.200 ±6566.358,432.950 ±27.634,51995.150 ±6579.517,0.007 ±0.001,3.775 ±0.192,26.702 ±2.288
oracle,none,40,1.000 ±0.000,1.000 ±0.000,1.000 ±0.000,0.000 ±0.000,1.000 ±0.000,0.000 ±0.000,—,—,—,—,—,0.005 ±0.002
pc_greedy,none,40,0.858 ±0.054,0.925 ±0.049,0.938 ±0.020,1.175 ±0.350,0.846 ±0.065,2.000 ±0.263,—,—,—,—,—,0.190 ±0.290
pc_greedy_meek,none,40,0.857 ±0.054,0.925 ±0.049,0.938 ±0.020,1.175 ±0.357,0.938 ±0.052,1.725 ±0.198,—,—,—,—,—,0.186 ±0.290
probe,gpt-4o-mini-2024-07-18,40,0.950 ±0.024,0.949 ±0.037,0.956 ±0.020,0.650 ±0.286,0.698 ±0.057,2.550 ±0.210,1019.700 ±106.074,93.800 ±5.621,1113.500 ±105.770,0.000 ±0.000,1.000 ±0.000,3.143 ±0.846
probe,qwen3-coder-30b-a3b-instruct,40,0.916 ±0.039,0.942 ±0.045,0.946 ±0.021,0.850 ±0.348,0.787 ±0.066,2.200 ±0.224,1531.500 ±150.936,311.600 ±202.174,1843.100 ±288.698,0.001 ±0.000,1.025 ±0.049,12.040 ±7.235
probe_llm_graphs,gpt-4o-mini-2024-07-18,40,0.650 ±0.056,0.899 ±0.055,0.917 ±0.026,2.825 ±0.506,0.956 ±0.037,0.750 ±0.312,960.975 ±90.376,368.900 ±33.540,1329.875 ±122.215,0.000 ±0.000,1.000 ±0.000,4.210 ±0.423
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,40,0.680 ±0.073,0.922 ±0.048,0.924 ±0.024,2.775 ±0.660,0.867 ±0.062,1.200 ±0.359,1447.400 ±136.477,773.425 ±65.638,2220.825 ±185.965,0.001 ±0.000,1.025 ±0.049,33.891 ±5.546
probe_marginal,gpt-4o-mini-2024-07-18,40,0.950 ±0.024,0.949 ±0.037,0.956 ±0.020,0.650 ±0.286,0.698 ±0.057,2.550 ±0.210,1019.700 ±106.074,93.800 ±5.621,1113.500 ±105.770,0.000 ±0.000,1.000 ±0.000,0.676 ±0.115
probe_marginal,qwen3-coder-30b-a3b-instruct,40,0.916 ±0.039,0.942 ±0.045,0.946 ±0.021,0.850 ±0.348,0.787 ±0.066,2.200 ±0.224,1531.500 ±150.936,311.600 ±202.174,1843.100 ±288.698,0.001 ±0.000,1.025 ±0.049,0.754 ±0.159
probe_maxdeg_sel,gpt-4o-mini-2024-07-18,40,0.945 ±0.025,0.943 ±0.040,0.953 ±0.020,0.725 ±0.314,0.690 ±0.055,2.550 ±0.210,1019.700 ±106.074,93.800 ±5.621,1113.500 ±105.770,0.000 ±0.000,1.000 ±0.000,0.223 ±0.269
probe_maxdeg_sel,qwen3-coder-30b-a3b-instruct,40,0.903 ±0.051,0.921 ±0.064,0.945 ±0.019,0.925 ±0.380,0.733 ±0.065,2.375 ±0.181,1531.500 ±150.936,311.600 ±202.174,1843.100 ±288.698,0.001 ±0.000,1.025 ±0.049,3.282 ±5.931
probe_mec_only,none,40,0.843 ±0.060,0.925 ±0.049,0.938 ±0.020,1.200 ±0.366,0.963 ±0.041,1.650 ±0.205,—,—,—,—,—,0.080 ±0.028
probe_no_bic,gpt-4o-mini-2024-07-18,40,0.933 ±0.025,0.938 ±0.039,0.944 ±0.020,0.850 ±0.302,0.694 ±0.058,2.550 ±0.198,1019.700 ±106.074,93.800 ±5.621,1113.500 ±105.770,0.000 ±0.000,1.000 ±0.000,0.733 ±0.123
probe_no_bic,qwen3-coder-30b-a3b-instruct,40,0.913 ±0.029,0.926 ±0.052,0.934 ±0.021,1.000 ±0.314,0.733 ±0.062,2.425 ±0.209,1531.500 ±150.936,311.600 ±202.174,1843.100 ±288.698,0.001 ±0.000,1.025 ±0.049,3.853 ±5.906
probe_no_update,gpt-4o-mini-2024-07-18,40,0.609 ±0.073,0.894 ±0.077,0.940 ±0.019,2.725 ±0.449,0.621 ±0.027,2.775 ±0.192,1019.700 ±106.074,93.800 ±5.621,1113.500 ±105.770,0.000 ±0.000,1.000 ±0.000,1.096 ±0.228
probe_no_update,qwen3-coder-30b-a3b-instruct,40,0.623 ±0.072,0.906 ±0.075,0.938 ±0.019,2.650 ±0.447,0.621 ±0.027,2.775 ±0.192,1531.500 ±150.936,311.600 ±202.174,1843.100 ±288.698,0.001 ±0.000,1.025 ±0.049,3.451 ±4.830
probe_random_hyp,none,40,0.348 ±0.069,0.498 ±0.116,0.591 ±0.069,8.100 ±1.458,0.988 ±0.024,0.275 ±0.157,—,—,—,—,—,0.029 ±0.007
probe_random_sel,gpt-4o-mini-2024-07-18,40,0.901 ±0.039,0.935 ±0.043,0.956 ±0.018,0.975 ±0.361,0.671 ±0.047,2.650 ±0.228,1019.700 ±106.074,93.800 ±5.621,1113.500 ±105.770,0.000 ±0.000,1.000 ±0.000,0.269 ±0.394
probe_random_sel,qwen3-coder-30b-a3b-instruct,40,0.896 ±0.036,0.952 ±0.037,0.946 ±0.021,1.000 ±0.329,0.688 ±0.055,2.550 ±0.210,1531.500 ±150.936,311.600 ±202.174,1843.100 ±288.698,0.001 ±0.000,1.025 ±0.049,4.097 ±6.533
probe_repair_only,gpt-4o-mini-2024-07-18,40,0.950 ±0.024,0.949 ±0.037,0.956 ±0.020,0.650 ±0.286,0.698 ±0.057,2.550 ±0.210,1019.700 ±106.074,93.800 ±5.621,1113.500 ±105.770,0.000 ±0.000,1.000 ±0.000,1.275 ±0.790
probe_repair_only,qwen3-coder-30b-a3b-instruct,40,0.916 ±0.039,0.942 ±0.045,0.946 ±0.021,0.850 ±0.348,0.787 ±0.066,2.200 ±0.224,1531.500 ±150.936,311.600 ±202.174,1843.100 ±288.698,0.001 ±0.000,1.025 ±0.049,8.448 ±7.040
probe_skel_only,none,40,0.889 ±0.048,0.934 ±0.046,0.938 ±0.020,0.975 ±0.325,0.954 ±0.044,1.750 ±0.195,—,—,—,—,—,0.280 ±0.072
