arm,model_tag,n,directed_f1,compelled_f1,skeleton_f1,dag_shd,interventions_used,map_weight_final,entropy_final_nats
probe,gpt-4o-mini-2024-07-18,40,0.950 ±0.024,0.949 ±0.037,0.956 ±0.020,0.650 ±0.286,2.550 ±0.210,0.961 ±0.020,0.137 ±0.060
probe,qwen3-coder-30b-a3b-instruct,40,0.916 ±0.039,0.942 ±0.045,0.946 ±0.021,0.850 ±0.348,2.200 ±0.224,0.961 ±0.021,0.136 ±0.065
probe_marginal,gpt-4o-mini-2024-07-18,40,0.950 ±0.024,0.949 ±0.037,0.956 ±0.020,0.650 ±0.286,2.550 ±0.210,0.961 ±0.020,0.137 ±0.060
probe_marginal,qwen3-coder-30b-a3b-instruct,40,0.916 ±0.039,0.942 ±0.045,0.946 ±0.021,0.850 ±0.348,2.200 ±0.224,0.961 ±0.021,0.136 ±0.065
probe_maxdeg_sel,gpt-4o-mini-2024-07-18,40,0.945 ±0.025,0.943 ±0.040,0.953 ±0.020,0.725 ±0.314,2.550 ±0.210,0.916 ±0.036,0.236 ±0.076
probe_maxdeg_sel,qwen3-coder-30b-a3b-instruct,40,0.903 ±0.051,0.921 ±0.064,0.945 ±0.019,0.925 ±0.380,2.375 ±0.181,0.941 ±0.032,0.190 ±0.081
probe_no_bic,gpt-4o-mini-2024-07-18,40,0.933 ±0.025,0.938 ±0.039,0.944 ±0.020,0.850 ±0.302,2.550 ±0.198,0.792 ±0.065,0.415 ±0.124
probe_no_bic,qwen3-coder-30b-a3b-instruct,40,0.913 ±0.029,0.926 ±0.052,0.934 ±0.021,1.000 ±0.314,2.425 ±0.209,0.831 ±0.071,0.347 ±0.138
probe_no_update,gpt-4o-mini-2024-07-18,40,0.609 ±0.073,0.894 ±0.077,0.940 ±0.019,2.725 ±0.449,2.775 ±0.192,0.170 ±0.049,2.366 ±0.201
probe_no_update,qwen3-coder-30b-a3b-instruct,40,0.623 ±0.072,0.906 ±0.075,0.938 ±0.019,2.650 ±0.447,2.775 ±0.192,0.177 ±0.044,2.282 ±0.206
probe_random_sel,gpt-4o-mini-2024-07-18,40,0.901 ±0.039,0.935 ±0.043,0.956 ±0.018,0.975 ±0.361,2.650 ±0.228,0.811 ±0.079,0.421 ±0.153
probe_random_sel,qwen3-coder-30b-a3b-instruct,40,0.896 ±0.036,0.952 ±0.037,0.946 ±0.021,1.000 ±0.329,2.550 ±0.210,0.839 ±0.075,0.349 ±0.145
