arm,model_tag,n,directed_f1,total_tokens,cost_usd,llm_calls,f1_per_1k_tokens
llm_e2e,gpt-4o-mini-2024-07-18,40,0.000 ±0.000,35396.000 ±4475.601,0.003 ±0.000,3.775 ±0.192,0.0
llm_e2e,qwen3-coder-30b-a3b-instruct,40,0.180 ±0.048,51995.150 ±6579.517,0.007 ±0.001,3.775 ±0.192,0.0035
probe,gpt-4o-mini-2024-07-18,40,0.950 ±0.024,1113.500 ±105.770,0.000 ±0.000,1.000 ±0.000,0.853
probe,qwen3-coder-30b-a3b-instruct,40,0.916 ±0.039,1843.100 ±288.698,0.001 ±0.000,1.025 ±0.049,0.4971
probe_llm_graphs,gpt-4o-mini-2024-07-18,40,0.650 ±0.056,1329.875 ±122.215,0.000 ±0.000,1.000 ±0.000,0.4885
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,40,0.680 ±0.073,2220.825 ±185.965,0.001 ±0.000,1.025 ±0.049,0.3063
probe_marginal,gpt-4o-mini-2024-07-18,40,0.950 ±0.024,1113.500 ±105.770,0.000 ±0.000,1.000 ±0.000,0.853
probe_marginal,qwen3-coder-30b-a3b-instruct,40,0.916 ±0.039,1843.100 ±288.698,0.001 ±0.000,1.025 ±0.049,0.4971
probe_maxdeg_sel,gpt-4o-mini-2024-07-18,40,0.945 ±0.025,1113.500 ±105.770,0.000 ±0.000,1.000 ±0.000,0.8486
probe_maxdeg_sel,qwen3-coder-30b-a3b-instruct,40,0.903 ±0.051,1843.100 ±288.698,0.001 ±0.000,1.025 ±0.049,0.49
probe_no_bic,gpt-4o-mini-2024-07-18,40,0.933 ±0.025,1113.500 ±105.770,0.000 ±0.000,1.000 ±0.000,0.8375
probe_no_bic,qwen3-coder-30b-a3b-instruct,40,0.913 ±0.029,1843.100 ±288.698,0.001 ±0.000,1.025 ±0.049,0.4952
probe_no_update,gpt-4o-mini-2024-07-18,40,0.609 ±0.073,1113.500 ±105.770,0.000 ±0.000,1.000 ±0.000,0.5467
probe_no_update,qwen3-coder-30b-a3b-instruct,40,0.623 ±0.072,1843.100 ±288.698,0.001 ±0.000,1.025 ±0.049,0.3379
probe_random_sel,gpt-4o-mini-2024-07-18,40,0.901 ±0.039,1113.500 ±105.770,0.000 ±0.000,1.000 ±0.000,0.8091
probe_random_sel,qwen3-coder-30b-a3b-instruct,40,0.896 ±0.036,1843.100 ±288.698,0.001 ±0.000,1.025 ±0.049,0.4859
probe_repair_only,gpt-4o-mini-2024-07-18,40,0.950 ±0.024,1113.500 ±105.770,0.000 ±0.000,1.000 ±0.000,0.853
probe_repair_only,qwen3-coder-30b-a3b-instruct,40,0.916 ±0.039,1843.100 ±288.698,0.001 ±0.000,1.025 ±0.049,0.4971
