arm,model_tag,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
llm_e2e,gpt-4o-mini-2024-07-18,40,40,0,0.0,0.0,0.0,0.0,0.275,0.452203,0.134861,0.415139,0.162223,0.219893,0.094078,0.230369,8.9,4.217181,7.593082,10.206918,0.620833,0.088414,0.593434,0.648233,2.775,0.619657,2.582966,2.967034,2.775,0.619657,2.582966,2.967034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35162.875,14414.45607,30695.788783,39629.961217,233.125,36.634849,221.771743,244.478257,35396.0,14441.932485,30920.398754,39871.601246,0.002933,0.001191,0.002563,0.003302,3.775,0.619657,3.582966,3.967034,0.0,0.0,0.0,0.0,4.812875,1.259842,4.422446,5.203304,,,,,,,,,,,,,,,,
llm_e2e,qwen3-coder-30b-a3b-instruct,40,40,0,0.180465,0.15567,0.132222,0.228707,0.439425,0.412593,0.311561,0.567289,0.393597,0.207537,0.329281,0.457914,9.925,4.932298,8.396465,11.453535,0.620833,0.088414,0.593434,0.648233,2.775,0.619657,2.582966,2.967034,2.775,0.619657,2.582966,2.967034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51562.2,21188.414246,44995.842396,58128.557604,432.95,89.170522,405.315769,460.584231,51995.15,21230.877762,45415.632816,58574.667184,0.007351,0.004425,0.00598,0.008722,3.775,0.619657,3.582966,3.967034,0.0,0.0,0.0,0.0,26.7021,7.383257,24.414005,28.990195,,,,,,,,,,,,,,,,
oracle,none,40,40,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005375,0.005309,0.00373,0.00702,,,,,,,,,,,,,,,,
pc_greedy,none,40,40,0,0.85814,0.173047,0.804512,0.911768,0.924711,0.158236,0.875674,0.973749,0.938309,0.06314,0.918742,0.957877,1.175,1.129727,0.824894,1.525106,0.845833,0.210607,0.780565,0.911101,2.0,0.847319,1.737413,2.262587,2.0,0.847319,1.737413,2.262587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.938309,0.06314,0.918742,0.957877,,,,,,,,,,,,,,,,,,,,,,,,,0.270825,0.784618,0.027669,0.513981,,,,,,,,,,,,,,,,
pc_greedy_meek,none,40,40,0,0.856824,0.173372,0.803096,0.910553,0.924711,0.158236,0.875674,0.973749,0.938309,0.06314,0.918742,0.957877,1.175,1.1522,0.81793,1.53207,0.9375,0.167466,0.885602,0.989398,1.725,0.640012,1.526658,1.923342,1.725,0.640012,1.526658,1.923342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.938309,0.06314,0.918742,0.957877,,,,,,,,,,,,,,,,,,,,,,,,,0.26925,0.785436,0.025841,0.512659,,,,,,,,,,,,,,,,
probe,gpt-4o-mini-2024-07-18,40,40,0,0.949796,0.07712,0.925896,0.973695,0.9486,0.120649,0.911211,0.98599,0.955761,0.064294,0.935836,0.975685,0.65,0.921259,0.364499,0.935501,0.697917,0.183632,0.641009,0.754825,2.55,0.677476,2.340048,2.759952,2.55,0.677476,2.340048,2.759952,47.95,0.316228,47.852,48.048,0.575,0.500641,0.41985,0.73015,0.954368,0.069407,0.932859,0.975877,0.15,1.001281,-0.1603,0.4603,2.365895,0.648307,2.164982,2.566807,0.136845,0.192222,0.077275,0.196415,0.961108,0.065684,0.940752,0.981464,,,,,,,,,0.938309,0.06314,0.918742,0.957877,1019.7,342.280002,913.626328,1125.773672,93.8,18.139347,88.178558,99.421442,1113.5,341.30068,1007.729824,1219.270176,0.000209,5.2e-05,0.000193,0.000225,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.14295,2.731226,2.296534,3.989366,3.525,0.784056,3.282019,3.767981,2.375,1.294713,1.973764,2.776236,,,,,,,,
probe,qwen3-coder-30b-a3b-instruct,40,40,0,0.916168,0.124331,0.877638,0.954699,0.942182,0.145133,0.897205,0.98716,0.945998,0.067026,0.925226,0.966769,0.85,1.12204,0.502276,1.197724,0.7875,0.213463,0.721347,0.853653,2.2,0.723241,1.975865,2.424135,2.2,0.723241,1.975865,2.424135,45.2,8.930501,42.432409,47.967591,0.5,0.50637,0.343074,0.656926,0.94417,0.072885,0.921582,0.966757,0.0,1.012739,-0.313851,0.313851,2.282328,0.66542,2.076113,2.488544,0.135593,0.209818,0.070569,0.200616,0.961162,0.0691,0.939748,0.982576,,,,,,,,,0.938309,0.06314,0.918742,0.957877,1531.5,487.042566,1380.563945,1682.436055,311.6,652.377223,109.426204,513.773796,1843.1,931.574179,1554.402171,2131.797829,0.000661,0.000426,0.000529,0.000793,1.025,0.158114,0.976,1.074,0.025,0.158114,-0.024,0.074,12.03975,23.346185,4.804692,19.274808,1.625,1.659278,1.110784,2.139216,2.375,1.643753,1.865596,2.884404,,,,,,,,
probe_llm_graphs,gpt-4o-mini-2024-07-18,40,40,0,0.649701,0.180424,0.593787,0.705615,0.898942,0.177124,0.844051,0.953833,0.91676,0.083847,0.890775,0.942744,2.825,1.631226,2.319478,3.330522,0.95625,0.120817,0.918809,0.993691,0.75,1.00639,0.438117,1.061883,0.75,1.00639,0.438117,1.061883,8.0,3.312757,6.973366,9.026634,0.05,0.220721,-0.018402,0.118402,0.666595,0.169535,0.614055,0.719134,-0.9,0.441443,-1.036805,-0.763195,0.466306,0.569412,0.289843,0.642768,0.077872,0.267769,-0.00511,0.160855,0.980286,0.06916,0.958853,1.001719,12.0,0.0,12.0,12.0,8.0,3.312757,6.973366,9.026634,0.938309,0.06314,0.918742,0.957877,960.975,291.625461,870.599333,1051.350667,368.9,108.228107,335.359762,402.440238,1329.875,394.366625,1207.659517,1452.090483,0.000365,0.000107,0.000332,0.000399,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.2105,1.364991,3.787485,4.633515,,,,,,,,,,,,,,,,
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,40,40,0,0.680268,0.235012,0.607437,0.753099,0.92233,0.155896,0.874018,0.970643,0.924253,0.078283,0.899993,0.948513,2.775,2.130216,2.114839,3.435161,0.866667,0.200427,0.804554,0.92878,1.2,1.159133,0.840781,1.559219,1.2,1.159133,0.840781,1.559219,4.925,3.284677,3.907068,5.942932,0.125,0.334932,0.021203,0.228797,0.6927,0.227185,0.622294,0.763105,-0.75,0.669864,-0.957593,-0.542407,0.514119,0.601045,0.327854,0.700385,0.070927,0.167939,0.018882,0.122971,0.979238,0.054113,0.962468,0.996008,12.0,0.0,12.0,12.0,4.85,3.363072,3.807773,5.892227,0.938309,0.06314,0.918742,0.957877,1447.4,440.385134,1310.923233,1583.876767,773.425,211.800933,707.787211,839.062789,2220.825,600.073623,2034.860258,2406.789742,0.001246,0.000953,0.000951,0.001542,1.025,0.158114,0.976,1.074,0.025,0.158114,-0.024,0.074,33.891225,17.894792,28.345572,39.436878,,,,,,,,,,,,,,,,
probe_marginal,gpt-4o-mini-2024-07-18,40,40,0,0.949796,0.07712,0.925896,0.973695,0.9486,0.120649,0.911211,0.98599,0.955761,0.064294,0.935836,0.975685,0.65,0.921259,0.364499,0.935501,0.697917,0.183632,0.641009,0.754825,2.55,0.677476,2.340048,2.759952,2.55,0.677476,2.340048,2.759952,47.95,0.316228,47.852,48.048,0.575,0.500641,0.41985,0.73015,0.954368,0.069407,0.932859,0.975877,0.15,1.001281,-0.1603,0.4603,2.365895,0.648307,2.164982,2.566807,0.136845,0.192222,0.077275,0.196415,0.961108,0.065684,0.940752,0.981464,,,,,,,,,0.938309,0.06314,0.918742,0.957877,1019.7,342.280002,913.626328,1125.773672,93.8,18.139347,88.178558,99.421442,1113.5,341.30068,1007.729824,1219.270176,0.000209,5.2e-05,0.000193,0.000225,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.676425,0.37079,0.561516,0.791334,3.525,0.784056,3.282019,3.767981,2.375,1.294713,1.973764,2.776236,,,,,,,,
