arm,model_tag,level,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
llm_e2e,gpt-4o-mini-2024-07-18,0,10,10,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.228571,0.295084,0.045676,0.411467,4.4,0.516398,4.079933,4.720067,0.566667,0.086066,0.513322,0.620011,2.4,0.516398,2.079933,2.720067,2.4,0.516398,2.079933,2.720067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18471.5,2863.982746,16696.385104,20246.614896,216.6,24.613456,201.344422,231.855578,18688.1,2885.548954,16899.618229,20476.581771,0.001538,0.000227,0.001398,0.001679,3.4,0.516398,3.079933,3.720067,0.0,0.0,0.0,0.0,3.9771,0.504292,3.664537,4.289663,,,,,,,,,,,,,,,,
llm_e2e,gpt-4o-mini-2024-07-18,1,10,10,0,0.0,0.0,0.0,0.0,0.1,0.316228,-0.096,0.296,0.154146,0.244638,0.002518,0.305774,7.6,2.54733,6.021149,9.178851,0.616667,0.080508,0.566768,0.666566,2.7,0.483046,2.400605,2.999395,2.7,0.483046,2.400605,2.999395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29179.4,3873.278433,26778.717155,31580.082845,221.8,30.20596,203.078152,240.521848,29401.2,3901.924648,26982.762048,31819.637952,0.002479,0.000389,0.002237,0.00272,3.7,0.483046,3.400605,3.999395,0.0,0.0,0.0,0.0,5.4407,1.951929,4.230882,6.650518,,,,,,,,,,,,,,,,
llm_e2e,gpt-4o-mini-2024-07-18,2,10,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133939,0.175501,0.025163,0.242716,10.9,4.094712,8.362071,13.437929,0.633333,0.070273,0.589778,0.676889,2.8,0.421637,2.538667,3.061333,2.8,0.421637,2.538667,3.061333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39229.6,4423.206484,36488.068218,41971.131782,232.2,26.156792,215.987852,248.412148,39461.8,4446.211441,36706.009598,42217.590402,0.003337,0.000584,0.002975,0.003698,3.8,0.421637,3.538667,4.061333,0.0,0.0,0.0,0.0,4.6436,0.631768,4.252026,5.035174,,,,,,,,,,,,,,,,
llm_e2e,gpt-4o-mini-2024-07-18,3,10,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132237,0.157969,0.034326,0.230147,12.7,2.945807,10.87417,14.52583,0.666667,0.096225,0.607026,0.726308,3.2,0.788811,2.71109,3.68891,3.2,0.788811,2.71109,3.68891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53771.0,10254.076989,47415.457237,60126.542763,261.9,47.397726,232.522585,291.277415,54032.9,10299.741587,47649.054025,60416.745975,0.004377,0.000848,0.003851,0.004903,4.2,0.788811,3.71109,4.68891,0.0,0.0,0.0,0.0,5.1901,1.005173,4.567088,5.813112,,,,,,,,,,,,,,,,
llm_e2e,qwen3-coder-30b-a3b-instruct,0,10,10,0,0.221429,0.11761,0.148533,0.294324,1.0,0.0,1.0,1.0,0.582143,0.148738,0.489954,0.674332,4.3,0.823273,3.78973,4.81027,0.566667,0.086066,0.513322,0.620011,2.4,0.516398,2.079933,2.720067,2.4,0.516398,2.079933,2.720067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26993.5,4149.727093,24421.472501,29565.527499,400.1,84.669882,347.621064,452.578936,27393.6,4219.94832,24778.048933,30009.151067,0.00225,0.000677,0.00183,0.002669,3.4,0.516398,3.079933,3.720067,0.0,0.0,0.0,0.0,27.1055,9.377945,21.292989,32.918011,,,,,,,,,,,,,,,,
llm_e2e,qwen3-coder-30b-a3b-instruct,1,10,10,0,0.295105,0.159935,0.195976,0.394233,0.453333,0.300699,0.266958,0.639708,0.492308,0.166767,0.388945,0.595671,6.9,1.66333,5.869057,7.930943,0.616667,0.080508,0.566768,0.666566,2.7,0.483046,2.400605,2.999395,2.7,0.483046,2.400605,2.999395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42752.3,5619.215545,39269.474122,46235.125878,447.2,81.085414,396.942739,497.457261,43199.5,5681.975894,39677.774855,46721.225145,0.007148,0.003725,0.004839,0.009457,3.7,0.483046,3.400605,3.999395,0.0,0.0,0.0,0.0,23.5781,6.520593,19.536594,27.619606,,,,,,,,,,,,,,,,
llm_e2e,qwen3-coder-30b-a3b-instruct,2,10,10,0,0.110588,0.164455,0.008658,0.212518,0.157143,0.265654,-0.007511,0.321797,0.289412,0.172329,0.182601,0.396222,12.4,2.366432,10.93327,13.86673,0.633333,0.070273,0.589778,0.676889,2.8,0.421637,2.538667,3.061333,2.8,0.421637,2.538667,3.061333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57597.4,6487.169888,53576.610447,61618.189553,431.7,86.670577,377.98102,485.41898,58029.1,6545.659129,53972.05844,62086.14156,0.008728,0.003205,0.006741,0.010714,3.8,0.421637,3.538667,4.061333,0.0,0.0,0.0,0.0,25.7497,5.942567,22.066459,29.432941,,,,,,,,,,,,,,,,
llm_e2e,qwen3-coder-30b-a3b-instruct,3,10,10,0,0.094737,0.092168,0.037611,0.151863,0.147222,0.209534,0.017352,0.277092,0.210526,0.085947,0.157256,0.263797,16.1,1.37032,15.250667,16.949333,0.666667,0.096225,0.607026,0.726308,3.2,0.788811,2.71109,3.68891,3.2,0.788811,2.71109,3.68891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78905.6,15047.66171,69578.962645,88232.237355,452.8,106.471488,386.808288,518.791712,79358.4,15148.352314,69969.353962,88747.446038,0.011279,0.003469,0.009129,0.013429,4.2,0.788811,3.71109,4.68891,0.0,0.0,0.0,0.0,30.3751,6.589408,26.290943,34.459257,,,,,,,,,,,,,,,,
oracle,none,0,10,10,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0103,0.007775,0.005481,0.015119,,,,,,,,,,,,,,,,
oracle,none,1,10,10,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0027,0.000823,0.00219,0.00321,,,,,,,,,,,,,,,,
