arm,model_tag,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
oracle,none,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.002103,0.002078,0.003922,,,,,,,,,,,,,,,,
pc_greedy,none,20,20,0,0.927389,0.116058,0.876524,0.978254,0.933056,0.150896,0.866923,0.999189,0.981301,0.033939,0.966427,0.996176,0.65,1.03999,0.194204,1.105796,0.733333,0.231951,0.631676,0.83499,2.05,0.604805,1.784932,2.315068,2.05,0.604805,1.784932,2.315068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.981301,0.033939,0.966427,0.996176,,,,,,,,,,,,,,,,,,,,,,,,,0.4786,1.127401,-0.015505,0.972705,,,,,,,,,,,,,,,,
pc_greedy_meek,none,20,20,0,0.929294,0.121291,0.876135,0.982452,0.937778,0.153215,0.870628,1.004927,0.981301,0.033939,0.966427,0.996176,0.6,0.994723,0.164043,1.035957,0.883333,0.188096,0.800897,0.96577,1.75,0.786398,1.405346,2.094654,1.75,0.786398,1.405346,2.094654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.981301,0.033939,0.966427,0.996176,,,,,,,,,,,,,,,,,,,,,,,,,0.4542,1.127969,-0.040154,0.948554,,,,,,,,,,,,,,,,
probe,gpt-4o-mini-2024-07-18,20,20,0,0.950609,0.132568,0.892508,1.008709,0.934444,0.225528,0.835602,1.033286,0.971561,0.067306,0.942063,1.001059,0.55,1.394538,-0.061183,1.161183,0.683333,0.178525,0.605091,0.761576,2.4,0.680557,2.101733,2.698267,2.4,0.680557,2.101733,2.698267,48.0,0.0,48.0,48.0,0.75,0.444262,0.555294,0.944706,0.974635,0.052096,0.951803,0.997467,0.5,0.888523,0.110587,0.889413,2.201764,0.561422,1.95571,2.447818,0.228483,0.184564,0.147594,0.309372,0.941514,0.054124,0.917793,0.965235,,,,,,,,,0.981301,0.033939,0.966427,0.996176,980.65,153.45367,913.395964,1047.904036,104.8,20.636197,95.755788,113.844212,1085.45,155.101147,1017.473925,1153.426075,0.00021,2.6e-05,0.000198,0.000221,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.8654,1.452862,2.228655,3.502145,3.7,0.923381,3.295311,4.104689,2.8,1.507874,2.139145,3.460855,,,,,,,,
probe,qwen3-coder-30b-a3b-instruct,20,20,0,0.966214,0.085019,0.928952,1.003475,0.967778,0.086661,0.929797,1.005758,0.971477,0.063831,0.943501,0.999452,0.5,1.357242,-0.094837,1.094837,0.708333,0.186339,0.626667,0.79,2.35,0.74516,2.023419,2.676581,2.35,0.74516,2.023419,2.676581,47.2,3.577709,45.632,48.768,0.75,0.444262,0.555294,0.944706,0.974635,0.052096,0.951803,0.997467,0.5,0.888523,0.110587,0.889413,2.294185,0.495926,2.076836,2.511535,0.318512,0.354967,0.16294,0.474083,0.894946,0.137374,0.834739,0.955153,,,,,,,,,0.981301,0.033939,0.966427,0.996176,1444.85,207.142279,1354.065894,1535.634106,162.7,62.445007,135.332269,190.067731,1607.55,221.903363,1510.296563,1704.803437,0.000696,0.000148,0.000632,0.000761,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.37115,5.218956,6.083842,10.658458,1.05,1.571958,0.361059,1.738941,2.05,1.848897,1.239685,2.860315,,,,,,,,
probe_llm_graphs,gpt-4o-mini-2024-07-18,20,20,0,0.719302,0.182605,0.639272,0.799333,0.9075,0.239668,0.802461,1.012539,0.952604,0.071193,0.921402,0.983805,2.2,1.399248,1.586753,2.813247,0.975,0.111803,0.926,1.024,0.5,0.688247,0.198362,0.801638,0.5,0.688247,0.198362,0.801638,8.2,3.286335,6.7597,9.6403,0.05,0.223607,-0.048,0.148,0.735098,0.178675,0.65679,0.813405,-0.9,0.447214,-1.096,-0.704,0.33219,0.447477,0.136074,0.528306,0.007482,0.033458,-0.007182,0.022145,0.998282,0.007685,0.994913,1.00165,12.0,0.0,12.0,12.0,8.2,3.286335,6.7597,9.6403,0.981301,0.033939,0.966427,0.996176,931.95,131.207539,874.44576,989.45424,376.55,53.603294,353.05732,400.04268,1308.5,178.462881,1230.285194,1386.714806,0.000366,5e-05,0.000344,0.000388,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.20235,0.549466,3.961536,4.443164,,,,,,,,,,,,,,,,
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,20,20,0,0.709269,0.225954,0.61024,0.808297,0.911667,0.164823,0.83943,0.983904,0.95551,0.061204,0.928686,0.982333,2.45,2.012461,1.568,3.332,0.858333,0.204303,0.768794,0.947873,1.3,1.128576,0.80538,1.79462,1.3,1.128576,0.80538,1.79462,6.2,3.847077,4.513944,7.886056,0.25,0.444262,0.055294,0.444706,0.723112,0.213744,0.629434,0.816789,-0.5,0.888523,-0.889413,-0.110587,0.515793,0.503257,0.295231,0.736355,0.097901,0.149523,0.03237,0.163432,0.975733,0.038468,0.958873,0.992592,12.0,0.0,12.0,12.0,6.2,3.847077,4.513944,7.886056,0.981301,0.033939,0.966427,0.996176,1372.15,184.880979,1291.122338,1453.177662,797.1,189.602604,714.002995,880.197005,2169.25,356.056157,2013.201509,2325.298491,0.001763,0.00039,0.001592,0.001934,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,20.46285,14.794222,13.978996,26.946704,,,,,,,,,,,,,,,,
probe_mec_only,none,20,20,0,0.937627,0.120071,0.885004,0.99025,0.937778,0.153215,0.870628,1.004927,0.981301,0.033939,0.966427,0.996176,0.55,0.998683,0.112308,0.987692,0.883333,0.210124,0.791242,0.975424,1.7,0.571241,1.449643,1.950357,1.7,0.571241,1.449643,1.950357,6.9,3.945684,5.170728,8.629272,0.65,0.48936,0.435528,0.864472,0.937627,0.120071,0.885004,0.99025,0.3,0.978721,-0.128943,0.728943,1.786669,0.553908,1.543908,2.02943,0.034658,0.154993,-0.033271,0.102586,0.975,0.111803,0.926,1.024,,,,,,,,,0.981301,0.033939,0.966427,0.996176,,,,,,,,,,,,,,,,,,,,,,,,,0.1063,0.084418,0.069302,0.143298,,,,,,,,,,,,,,,,
probe_oracle_edits,none,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.875,0.20142,0.786724,0.963276,1.9,0.640723,1.619191,2.180809,1.9,0.640723,1.619191,2.180809,48.0,0.0,48.0,48.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.944646,0.494034,1.728126,2.161165,0.001169,0.005228,-0.001122,0.00346,0.999843,0.000702,0.999535,1.000151,,,,,,,,,0.981301,0.033939,0.966427,0.996176,,,,,,,,,,,,,,,,,,,,,,,,,2.8883,1.269643,2.331854,3.444746,0.05,0.223607,-0.048,0.148,0.2,0.410391,0.020138,0.379862,0.05,0.223607,-0.048,0.148,0.2,0.410391,0.020138,0.379862
probe_oracle_edits_noreserve,none,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.891667,0.197017,0.80532,0.978013,1.85,0.587143,1.592673,2.107327,1.85,0.587143,1.592673,2.107327,48.0,0.0,48.0,48.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.914141,0.463512,1.710998,2.117284,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,,,,,,,,0.981301,0.033939,0.966427,0.996176,,,,,,,,,,,,,,,,,,,,,,,,,2.69565,1.225487,2.158557,3.232743,0.05,0.223607,-0.048,0.148,0.2,0.410391,0.020138,0.379862,0.05,0.223607,-0.048,0.148,0.2,0.410391,0.020138,0.379862
