arm,model_tag,n,directed_f1,compelled_f1,skeleton_f1,dag_shd,efficiency,interventions_used,prompt_tokens,completion_tokens,total_tokens,cost_usd,llm_calls,wall_sec
oracle,none,20,1.000 ±0.000,1.000 ±0.000,1.000 ±0.000,0.000 ±0.000,1.000 ±0.000,0.000 ±0.000,—,—,—,—,—,0.002 ±0.000
pc_greedy,none,20,0.844 ±0.070,0.877 ±0.061,0.917 ±0.029,1.650 ±0.656,0.825 ±0.099,1.850 ±0.327,—,—,—,—,—,0.331 ±0.580
pc_greedy_meek,none,20,0.804 ±0.085,0.845 ±0.086,0.917 ±0.029,1.850 ±0.701,0.917 ±0.077,1.550 ±0.333,—,—,—,—,—,0.329 ±0.577
probe,gpt-4o-mini-2024-07-18,20,0.870 ±0.051,0.859 ±0.065,0.911 ±0.030,1.450 ±0.482,0.775 ±0.096,2.150 ±0.294,979.700 ±67.183,103.350 ±8.401,1083.050 ±67.699,0.000 ±0.000,1.000 ±0.000,3.114 ±0.689
probe,qwen3-coder-30b-a3b-instruct,20,0.861 ±0.067,0.845 ±0.090,0.912 ±0.035,1.600 ±0.731,0.717 ±0.089,2.300 ±0.288,1446.000 ±90.349,182.900 ±37.995,1628.900 ±91.474,0.001 ±0.000,1.000 ±0.000,6.226 ±2.099
probe_llm_graphs,gpt-4o-mini-2024-07-18,20,0.600 ±0.072,0.820 ±0.092,0.882 ±0.042,3.500 ±0.718,0.983 ±0.033,0.500 ±0.333,927.900 ±56.862,357.900 ±17.058,1285.800 ±70.487,0.000 ±0.000,1.000 ±0.000,4.363 ±0.348
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,20,0.640 ±0.082,0.880 ±0.066,0.870 ±0.053,3.750 ±1.072,0.800 ±0.094,1.600 ±0.521,1370.250 ±80.001,774.500 ±73.928,2144.750 ±132.117,0.002 ±0.000,1.000 ±0.000,18.388 ±4.434
probe_mec_only,none,20,0.782 ±0.090,0.832 ±0.085,0.917 ±0.029,2.000 ±0.739,0.892 ±0.086,1.600 ±0.330,—,—,—,—,—,0.104 ±0.038
probe_repair_only,gpt-4o-mini-2024-07-18,20,0.876 ±0.051,0.864 ±0.065,0.910 ±0.027,1.400 ±0.459,0.775 ±0.096,2.150 ±0.294,979.700 ±67.183,103.350 ±8.401,1083.050 ±67.699,0.000 ±0.000,1.000 ±0.000,1.561 ±0.856
probe_repair_only,qwen3-coder-30b-a3b-instruct,20,0.861 ±0.067,0.845 ±0.090,0.912 ±0.035,1.600 ±0.731,0.717 ±0.089,2.300 ±0.288,1446.000 ±90.349,182.900 ±37.995,1628.900 ±91.474,0.001 ±0.000,1.000 ±0.000,4.065 ±2.080
probe_skel_only,none,20,0.860 ±0.060,0.837 ±0.089,0.917 ±0.029,1.450 ±0.559,0.850 ±0.094,1.900 ±0.281,—,—,—,—,—,0.484 ±0.153
