run_id,timestamp_utc,study,arm,model,model_tag,level,seed,runtime_seed,d,k,n_obs,n_int,budget,opt_set_size,true_edges,cpdag_undirected,status,error,wall_sec,skeleton_precision,skeleton_recall,skeleton_f1,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency,interventions_used,optimal_interventions,submit_directed,submit_undirected,steps_taken,n_hypotheses,n_hypotheses_from_llm,truth_in_hypotheses,best_f1_in_hypotheses,truth_rank_initial,truth_rank_final,entropy_initial_nats,entropy_final_nats,map_weight_final,proposed_raw,proposed_valid_unique,propose_repairs,propose_rounds,repair_remove,repair_add,propose_cached,pc_skeleton_f1_ceiling,pc_undirected_edges,pc_directed_edges,reserve_frac,edits_correct_remove,edits_correct_add,llm_calls,llm_failed_calls,llm_repair_calls,prompt_tokens,completion_tokens,cached_tokens,total_tokens,cost_usd,llm_latency_sec
20260816T142001Z,2026-08-16T14:20:01.806174+00:00,study2,oracle,,none,1,123393401,1233934010108,6,6,120,120,2,1,6,3,success,,0.004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,1,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260816T142001Z,2026-08-16T14:20:07.844670+00:00,study2,probe_mec_only,,none,1,123393401,1233934010108,6,6,120,120,2,1,6,3,success,,0.097,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,4,0,1,1.0,4,1,1.38629,0.0,1.0,,,,,,,,1.0,3,3,,,,,,,,,,,,
20260816T142001Z,2026-08-16T14:20:07.784377+00:00,study2,probe_skel_only,,none,1,123393401,1233934010108,6,6,120,120,2,1,6,3,success,,0.308,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,0,1,1.0,4,1,1.38632,0.0,1.0,,,,,,,,1.0,3,3,,,,,,,,,,,,
20260816T142001Z,2026-08-16T14:20:01.832899+00:00,study2,probe_repair_only,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,123393401,1233934010108,6,6,120,120,2,1,6,3,success,,9.04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,48,1,1.0,4,1,1.93517,0.32515,0.9188,,,0,,4,4,0,1.0,3,3,,,,1,0,0,832,115,0,947,0.0001938,2.1442
20260816T142001Z,2026-08-16T14:20:01.811292+00:00,study2,probe,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,123393401,1233934010108,6,6,120,120,2,1,6,3,success,,9.071,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,48,1,1.0,4,1,1.93517,0.32515,0.9188,,,0,,4,4,1,1.0,3,3,,,,1,0,0,832,115,0,947,0.0001938,0.0
20260816T142001Z,2026-08-16T14:20:10.911870+00:00,study2,oracle,,none,1,295485567,2954855670108,6,6,120,120,2,1,6,4,success,,0.003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,1,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260816T142001Z,2026-08-16T14:20:01.810783+00:00,study2,probe,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,123393401,1233934010108,6,6,120,120,2,1,6,3,success,,9.126,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,48,1,1.0,4,1,2.5029,0.46345,0.8903,,,0,,0,2,1,1.0,3,3,,,,1,0,0,1249,129,0,1378,0.00055095,0.0
20260816T142001Z,2026-08-16T14:20:01.811606+00:00,study2,probe_repair_only,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,123393401,1233934010108,6,6,120,120,2,1,6,3,success,,9.169,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,48,1,1.0,4,1,2.5029,0.46345,0.8903,,,0,,0,2,0,1.0,3,3,,,,1,0,0,1249,129,640,1378,0.00055095,2.1922
20260816T142001Z,2026-08-16T14:20:08.122281+00:00,study2,probe_llm_graphs,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,123393401,1233934010108,6,6,120,120,2,1,6,3,success,,3.639,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1.0,0,1,6,0,0,1,1,0,0.666667,-1,-1,-0.0,-0.0,1.0,12,1,0,1,,,,1.0,3,3,,,,1,0,0,806,335,0,1141,0.0003219,3.623
20260816T142001Z,2026-08-16T14:20:11.783161+00:00,study2,probe_skel_only,,none,1,295485567,2954855670108,6,6,120,120,2,1,6,4,success,,0.136,1.0,0.8333333333333334,0.9090909090909091,0.6666666666666666,1.0,0.8333333333333334,0.9090909090909091,1,1.0,1,1,5,0,1,32,0,0,0.909091,-1,-1,1.79176,0.0,1.0,,,,,,,,0.909091,0,5,,,,,,,,,,,,
20260816T142001Z,2026-08-16T14:20:11.943757+00:00,study2,probe_mec_only,,none,1,295485567,2954855670108,6,6,120,120,2,1,6,4,success,,0.015,1.0,0.8333333333333334,0.9090909090909091,0.6666666666666666,0.8,0.6666666666666666,0.7272727272727272,2,1.0,0,1,5,0,0,1,0,0,0.727273,-1,-1,-0.0,-0.0,1.0,,,,,,,,0.909091,0,5,,,,,,,,,,,,
20260816T142001Z,2026-08-16T14:20:11.071432+00:00,study2,probe,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,295485567,2954855670108,6,6,120,120,2,1,6,4,success,,2.79,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,2,1.0,1,1,6,0,1,48,48,0,0.909091,-1,-1,1.61603,0.0,1.0,,,0,,4,4,0,0.909091,0,5,,,,1,0,0,828,114,0,942,0.0001926,2.3967
20260816T142001Z,2026-08-16T14:20:11.136907+00:00,study2,probe_repair_only,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,295485567,2954855670108,6,6,120,120,2,1,6,4,success,,2.726,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,2,1.0,1,1,6,0,1,48,48,0,0.909091,-1,-1,1.61603,0.0,1.0,,,0,,4,4,1,0.909091,0,5,,,,1,0,0,828,114,0,942,0.0001926,0.0
20260816T142001Z,2026-08-16T14:20:13.927814+00:00,study2,oracle,,none,1,325160078,3251600780108,6,6,120,120,2,1,6,4,success,,0.001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,1,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
