run_id,arm,model_tag,level,seed,step,target,value,n_hypotheses,entropy_before_nats,entropy_after_nats,entropy_drop_nats,map_weight_after,map_directed_f1_after,truth_rank_after,edges_resolved,undirected_after,selector_meta
20260816T141809Z,probe_skel_only,none,1,123393401,1,1,3.5703,48,1.43599,0.69315,0.74284,0.5,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.20494, ""eig_by_target"": {""0"": 0.52048, ""1"": 1.20494, ""2"": 0.03607, ""3"": 1.08941, ""4"": 0.70161}}"
20260816T141809Z,probe_skel_only,none,1,123393401,2,0,2.7078,48,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""0"": 0.69315, ""3"": 0.69315}}"
20260816T141809Z,probe_mec_only,none,1,123393401,1,1,3.5703,4,1.38629,0.69315,0.69315,0.5,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09748, ""eig_by_target"": {""0"": 0.47078, ""1"": 1.09748, ""3"": 1.03972, ""4"": 0.47078}}"
20260816T141809Z,probe_mec_only,none,1,123393401,2,0,2.7078,4,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""0"": 0.69315, ""3"": 0.69315}}"
20260816T141809Z,probe,qwen3-coder-30b-a3b-instruct,1,123393401,1,1,3.5703,48,2.62338,1.17374,1.44963,0.4252,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.72622, ""eig_by_target"": {""0"": 0.8865, ""1"": 1.72622, ""2"": 0.03898, ""3"": 1.44998, ""4"": 1.08213}}"
20260816T141809Z,probe,qwen3-coder-30b-a3b-instruct,1,123393401,2,3,3.0017,48,1.17374,0.78275,0.39099,0.71956,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.70015, ""eig_by_target"": {""0"": 0.6928, ""1"": 0.0023, ""3"": 0.70015}}"
20260816T141809Z,probe_repair_only,gpt-4o-mini-2024-07-18,1,123393401,1,3,3.0017,48,2.09374,0.70015,1.39359,0.76924,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.22708, ""eig_by_target"": {""0"": 0.64165, ""1"": 1.20772, ""2"": 0.04161, ""3"": 1.22708, ""4"": 0.59705}}"
20260816T141809Z,probe_repair_only,gpt-4o-mini-2024-07-18,1,123393401,2,1,3.5703,48,0.70015,0.85063,-0.15048,0.65472,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.01388, ""eig_by_target"": {""0"": -0.00916, ""1"": 0.01388}}"
20260816T141809Z,probe_repair_only,qwen3-coder-30b-a3b-instruct,1,123393401,1,1,3.5703,48,2.62338,1.17374,1.44963,0.4252,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.72622, ""eig_by_target"": {""0"": 0.8865, ""1"": 1.72622, ""2"": 0.03898, ""3"": 1.44998, ""4"": 1.08213}}"
20260816T141809Z,probe_repair_only,qwen3-coder-30b-a3b-instruct,1,123393401,2,3,3.0017,48,1.17374,0.78275,0.39099,0.71956,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.70015, ""eig_by_target"": {""0"": 0.6928, ""1"": 0.0023, ""3"": 0.70015}}"
