arm,model_tag,level,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
oracle,none,1,10,10,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016,0.000516,0.00128,0.00192,,,,,,,,,,,,,,,,
oracle,none,2,10,10,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0023,0.000675,0.001882,0.002718,,,,,,,,,,,,,,,,
pc_greedy,none,1,10,10,0,0.832121,0.13681,0.747326,0.916917,0.913333,0.144188,0.823965,1.002702,0.862727,0.102872,0.798966,0.926488,1.6,1.173788,0.872479,2.327521,0.7,0.219427,0.563998,0.836002,2.0,0.942809,1.415641,2.584359,2.0,0.942809,1.415641,2.584359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.862727,0.102872,0.798966,0.926488,,,,,,,,,,,,,,,,,,,,,,,,,0.7821,1.548478,-0.177657,1.741857,,,,,,,,,,,,,,,,
pc_greedy,none,2,10,10,0,0.677206,0.192486,0.557902,0.79651,0.697698,0.182231,0.58475,0.810647,0.798868,0.120094,0.724433,0.873303,3.5,1.509231,2.564569,4.435431,0.75,0.225668,0.61013,0.88987,1.9,0.994429,1.283647,2.516353,1.9,0.994429,1.283647,2.516353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.798868,0.120094,0.724433,0.873303,,,,,,,,,,,,,,,,,,,,,,,,,0.0607,0.023003,0.046443,0.074957,,,,,,,,,,,,,,,,
pc_greedy_meek,none,1,10,10,0,0.812121,0.155385,0.715813,0.90843,0.88,0.223993,0.741168,1.018832,0.862727,0.102872,0.798966,0.926488,1.7,1.251666,0.92421,2.47579,0.866667,0.219427,0.730664,1.002669,1.6,0.843274,1.077333,2.122667,1.6,0.843274,1.077333,2.122667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.862727,0.102872,0.798966,0.926488,,,,,,,,,,,,,,,,,,,,,,,,,0.8138,1.540847,-0.141227,1.768827,,,,,,,,,,,,,,,,
pc_greedy_meek,none,2,10,10,0,0.678159,0.202456,0.552675,0.803642,0.689365,0.181478,0.576884,0.801846,0.798868,0.120094,0.724433,0.873303,3.4,1.712698,2.338459,4.461541,0.883333,0.19325,0.763556,1.003111,1.6,0.966092,1.00121,2.19879,1.6,0.966092,1.00121,2.19879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.798868,0.120094,0.724433,0.873303,,,,,,,,,,,,,,,,,,,,,,,,,0.0705,0.048624,0.040363,0.100637,,,,,,,,,,,,,,,,
probe,gpt-4o-mini-2024-07-18,1,10,10,0,0.881096,0.089123,0.825857,0.936334,0.932381,0.118226,0.859104,1.005658,0.881096,0.089123,0.825857,0.936334,1.3,0.948683,0.712,1.888,0.75,0.225668,0.61013,0.88987,2.1,0.737865,1.642667,2.557333,2.1,0.737865,1.642667,2.557333,48.0,0.0,48.0,48.0,0.2,0.421637,-0.061333,0.461333,0.895944,0.075055,0.849425,0.942463,-0.6,0.843274,-1.122667,-0.077333,2.428559,0.647945,2.026959,2.830159,0.129731,0.269718,-0.037442,0.296904,0.954422,0.107794,0.887611,1.021233,,,,,,,,,0.862727,0.102872,0.798966,0.926488,830.5,1.649916,829.477372,831.522628,108.5,12.903488,100.502335,116.497665,939.0,12.675436,931.143684,946.856316,0.00019,8e-06,0.000185,0.000194,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.1853,2.037191,1.922636,4.447964,3.3,0.674949,2.881663,3.718337,3.6,0.843274,3.077333,4.122667,,,,,,,,
probe,gpt-4o-mini-2024-07-18,2,10,10,0,0.731209,0.145451,0.641057,0.82136,0.713175,0.14059,0.626036,0.800313,0.81478,0.097431,0.754392,0.875168,3.1,1.523884,2.155487,4.044513,0.75,0.225668,0.61013,0.88987,2.1,0.737865,1.642667,2.557333,2.1,0.737865,1.642667,2.557333,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,0.81978,0.094989,0.760906,0.878655,-1.0,0.0,-1.0,-1.0,2.1385,0.830763,1.623588,2.653412,0.124272,0.222254,-0.013482,0.262026,0.936316,0.155835,0.839729,1.032903,,,,,,,,,0.798868,0.120094,0.724433,0.873303,1130.0,1.563472,1129.03095,1130.96905,90.9,18.447824,79.46592,102.33408,1220.9,18.217513,1209.608668,1232.191332,0.000224,1.1e-05,0.000217,0.000231,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.4145,0.627455,2.025599,2.803401,3.7,0.483046,3.400605,3.999395,2.4,1.776388,1.298983,3.501017,,,,,,,,
probe,qwen3-coder-30b-a3b-instruct,1,10,10,0,0.846364,0.151286,0.752595,0.940132,0.9,0.224983,0.760554,1.039446,0.864545,0.118471,0.791116,0.937975,1.5,1.354006,0.660778,2.339222,0.833333,0.222222,0.695599,0.971068,2.0,0.666667,1.586796,2.413204,2.0,0.666667,1.586796,2.413204,46.4,5.059644,43.264,49.536,0.3,0.483046,0.000605,0.599395,0.882727,0.108604,0.815414,0.950041,-0.4,0.966092,-0.99879,0.19879,2.544789,0.688293,2.118181,2.971397,0.158665,0.307951,-0.032205,0.349535,0.919637,0.171464,0.813362,1.025912,,,,,,,,,0.862727,0.102872,0.798966,0.926488,1240.9,2.643651,1239.261448,1242.538552,145.6,34.24487,124.37481,166.82519,1386.5,34.725111,1364.977153,1408.022847,0.000576,5.8e-05,0.000539,0.000612,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.4643,4.886327,2.435723,8.492877,0.6,1.349897,-0.236675,1.436675,2.6,1.646545,1.579461,3.620539,,,,,,,,
probe,qwen3-coder-30b-a3b-instruct,2,10,10,0,0.799001,0.195995,0.677522,0.92048,0.768095,0.226,0.628019,0.908172,0.830516,0.146449,0.739746,0.921286,2.4,1.95505,1.188247,3.611753,0.783333,0.236356,0.636838,0.929828,2.1,0.567646,1.748169,2.451831,2.1,0.567646,1.748169,2.451831,42.4,13.091134,34.286031,50.513969,0.2,0.421637,-0.061333,0.461333,0.83623,0.146241,0.74559,0.926871,-0.6,0.843274,-1.122667,-0.077333,2.045287,0.903158,1.485504,2.60507,0.001863,0.003701,-0.000431,0.004157,0.999766,0.000473,0.999473,1.000059,,,,,,,,,0.798868,0.120094,0.724433,0.873303,1648.2,3.910101,1645.776494,1650.623506,149.5,41.62598,123.69995,175.30005,1797.7,41.177259,1772.17807,1823.22193,0.000765,7.1e-05,0.000722,0.000809,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.5416,4.709912,3.622366,9.460834,0.1,0.316228,-0.096,0.296,2.0,1.632993,0.98786,3.01214,,,,,,,,
