run_id,arm,model_tag,level,seed,step,target,value,n_hypotheses,entropy_before_nats,entropy_after_nats,entropy_drop_nats,map_weight_after,map_directed_f1_after,truth_rank_after,edges_resolved,undirected_after,selector_meta
20260816T143303Z,probe_skel_only,none,1,295485567,1,2,6.056,32,1.79221,0.0,1.79221,1.0,0.90909,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.15135, ""eig_by_target"": {""0"": 0.45101, ""1"": 0.63696, ""2"": 1.15135, ""3"": 0.89633, ""4"": 0.45101, ""5"": 0.45101}}"
20260816T143303Z,probe_skel_only,none,1,123393401,1,3,3.0017,48,1.43599,0.0,1.43599,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.03165, ""eig_by_target"": {""0"": 0.52047, ""1"": 1.03165, ""2"": 0.0423, ""3"": 1.03165, ""4"": 0.42506}}"
20260816T143303Z,probe_skel_only,none,1,325160078,1,4,2.7965,48,1.61243,0.0,1.61243,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.26586, ""eig_by_target"": {""0"": 0.3407, ""2"": 0.57265, ""3"": 0.34167, ""4"": 1.26586, ""5"": 1.15467}}"
20260816T143303Z,probe_llm_graphs,gpt-4o-mini-2024-07-18,1,295485567,1,1,9.6601,7,0.68761,0.69315,-0.00553,0.5,0.25,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.65004, ""eig_by_target"": {""1"": 0.65004, ""3"": 0.00124, ""4"": 0.10682}}"
20260816T143303Z,probe_llm_graphs,gpt-4o-mini-2024-07-18,1,295485567,2,4,3.2132,7,0.69315,0.0,0.69315,1.0,0.25,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""4"": 0.69315, ""5"": 0.69315}}"
20260816T143303Z,probe_llm_graphs,gpt-4o-mini-2024-07-18,1,123393401,1,2,6.294,10,0.37141,1.41342,-1.04201,0.38454,0.25,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.37092, ""eig_by_target"": {""0"": 0.21404, ""1"": 0.16367, ""2"": 0.37092, ""3"": 0.36985, ""4"": 0.11524, ""5"": 0.19439}}"
20260816T143303Z,probe_llm_graphs,gpt-4o-mini-2024-07-18,1,123393401,2,3,3.0017,10,1.41342,0.99279,0.42063,0.55277,0.25,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.62116, ""eig_by_target"": {""0"": 0.45189, ""1"": 0.51505, ""2"": 0.24957, ""3"": 0.62116, ""4"": 0.34547, ""5"": 0.0}}"
20260816T143303Z,probe_skel_only,none,1,1719885688,1,1,3.2164,32,1.33782,0.1566,1.18122,0.96352,0.90909,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.31126, ""eig_by_target"": {""0"": 0.64467, ""1"": 1.31126, ""2"": 1.22714, ""3"": 0.59777, ""4"": 0.62934, ""5"": 0.60375}}"
20260816T143303Z,probe_skel_only,none,1,1719885688,2,0,5.8847,32,0.1566,0.0,0.1566,1.0,0.90909,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.1566, ""eig_by_target"": {""0"": 0.1566, ""4"": 0.15625, ""5"": 0.1566}}"
20260816T143303Z,probe_llm_graphs,gpt-4o-mini-2024-07-18,1,1719885688,1,4,3.3834,8,0.89008,0.0,0.89008,1.0,0.15385,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.37997, ""eig_by_target"": {""3"": 0.22311, ""4"": 0.37997, ""5"": 0.12457}}"
20260816T143303Z,probe_skel_only,none,1,239607114,1,1,7.3146,48,2.48675,1.79176,0.69499,0.16667,0.66667,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.48514, ""eig_by_target"": {""0"": 1.30141, ""1"": 1.48514, ""2"": 1.45137, ""3"": 0.4524, ""4"": 0.58618, ""5"": 0.86938}}"
20260816T143303Z,probe_skel_only,none,1,239607114,2,2,2.7404,48,1.79176,0.69315,1.09861,0.5,0.83333,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09861, ""eig_by_target"": {""0"": 0.75204, ""2"": 1.09861, ""3"": 0.63652, ""4"": 0.69315, ""5"": 0.69315}}"
20260816T143303Z,probe_skel_only,none,1,1279549348,1,3,5.146,16,1.60992,0.0,1.60992,1.0,0.8,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.37887, ""eig_by_target"": {""0"": 0.5702, ""1"": 1.06061, ""2"": 0.5702, ""3"": 1.37887, ""4"": 0.33915}}"
20260816T143303Z,probe_llm_graphs,gpt-4o-mini-2024-07-18,1,1279549348,1,2,11.6559,10,0.87123,0.01897,0.85226,0.99725,0.28571,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.71846, ""eig_by_target"": {""0"": 0.44125, ""1"": 0.70695, ""2"": 0.71846, ""3"": 0.70519, ""4"": 0.62346, ""5"": 0.22763}}"
20260816T143303Z,probe_llm_graphs,gpt-4o-mini-2024-07-18,1,1279549348,2,4,2.4987,10,0.01897,0.0,0.01897,1.0,0.28571,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.01897, ""eig_by_target"": {""0"": 0.00613, ""1"": 0.01844, ""2"": 0.01612, ""3"": 0.01897, ""4"": 0.01897, ""5"": 0.0}}"
20260816T143303Z,probe_llm_graphs,qwen3-coder-30b-a3b-instruct,1,295485567,1,0,5.4827,12,1.30184,0.0,1.30184,1.0,0.18182,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.30184, ""eig_by_target"": {""0"": 1.30184, ""1"": 0.88165, ""2"": 0.83881, ""3"": 0.72337, ""4"": 1.01303, ""5"": 0.29478}}"
20260816T143303Z,probe_skel_only,none,1,1943031107,1,0,5.3993,16,2.07944,0.69315,1.38629,0.5,0.6,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09748, ""eig_by_target"": {""0"": 1.09748, ""1"": 0.74544, ""2"": 0.56234, ""3"": 0.69315, ""4"": 1.09748, ""5"": 0.69315}}"
