run_id,arm,model_tag,level,seed,step,target,value,n_hypotheses,entropy_before_nats,entropy_after_nats,entropy_drop_nats,map_weight_after,map_directed_f1_after,truth_rank_after,edges_resolved,undirected_after,selector_meta
20260820T061156Z,probe_skel_only,none,1,123393401,1,1,3.5703,48,1.43599,0.69315,0.74284,0.5,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.20494, ""eig_by_target"": {""0"": 0.52048, ""1"": 1.20494, ""2"": 0.03607, ""3"": 1.08941, ""4"": 0.70161}}"
20260820T061156Z,probe_skel_only,none,1,123393401,2,0,2.7078,48,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""0"": 0.69315, ""3"": 0.69315}}"
20260820T061156Z,probe_random_edits,none,1,123393401,1,3,3.0017,48,2.09374,0.70015,1.39359,0.76924,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.33063, ""eig_by_target"": {""0"": 0.66052, ""1"": 1.16157, ""2"": 0.0366, ""3"": 1.33063, ""4"": 0.49675}}"
20260820T061156Z,probe_random_edits,none,1,123393401,2,1,3.5703,48,0.70015,0.85063,-0.15048,0.65472,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.02723, ""eig_by_target"": {""0"": -0.0024, ""1"": 0.02723}}"
20260820T061156Z,probe_skel_only,none,1,295485567,1,2,6.056,32,1.79221,0.0,1.79221,1.0,0.90909,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.33445, ""eig_by_target"": {""0"": 0.45101, ""1"": 0.63696, ""2"": 1.33445, ""3"": 0.97807, ""4"": 0.71925, ""5"": 0.45101}}"
20260820T061156Z,probe_random_edits,none,1,295485567,1,2,6.056,48,1.65569,0.0,1.65569,1.0,0.83333,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.42464, ""eig_by_target"": {""0"": 1.2524, ""1"": 0.7315, ""2"": 1.42464, ""3"": 1.10639, ""4"": 0.6151, ""5"": 0.84696}}"
20260820T061156Z,probe,qwen3-coder-30b-a3b-instruct,1,123393401,1,1,3.5703,48,2.91122,1.17379,1.73743,0.4252,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 2.00009, ""eig_by_target"": {""0"": 1.02065, ""1"": 2.00009, ""2"": 0.18004, ""3"": 1.84051, ""4"": 1.33828}}"
20260820T061156Z,probe,qwen3-coder-30b-a3b-instruct,1,123393401,2,3,3.0017,48,1.17379,0.78339,0.3904,0.71951,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.70015, ""eig_by_target"": {""0"": 0.69282, ""1"": 0.00236, ""3"": 0.70015}}"
20260820T061156Z,probe_skel_only,none,1,325160078,1,4,2.7965,48,1.61243,0.0,1.61243,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.38139, ""eig_by_target"": {""0"": 0.34053, ""2"": 0.34165, ""3"": 0.45719, ""4"": 1.38139, ""5"": 0.88003}}"
20260820T061156Z,probe,gpt-4o-mini-2024-07-18,1,295485567,1,2,6.056,48,1.65656,0.0,1.65656,1.0,0.83333,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.54103, ""eig_by_target"": {""0"": 1.25297, ""1"": 0.96341, ""2"": 1.54103, ""3"": 1.1988, ""4"": 0.96256, ""5"": 0.96325}}"
20260820T061156Z,probe,gpt-4o-mini-2024-07-18,1,123393401,1,3,3.0017,48,2.09374,0.70015,1.39359,0.76924,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.22708, ""eig_by_target"": {""0"": 0.64165, ""1"": 1.20772, ""2"": 0.04161, ""3"": 1.22708, ""4"": 0.59705}}"
20260820T061156Z,probe,gpt-4o-mini-2024-07-18,1,123393401,2,1,3.5703,48,0.70015,0.85063,-0.15048,0.65472,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.01388, ""eig_by_target"": {""0"": -0.00916, ""1"": 0.01388}}"
20260820T061156Z,probe_random_edits,none,1,325160078,1,4,2.7965,48,2.4823,1.0966,1.3857,0.34817,0.92308,3,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.48561, ""eig_by_target"": {""0"": 0.95223, ""2"": 0.73643, ""3"": 1.38546, ""4"": 1.48561, ""5"": 1.08678}}"
20260820T061156Z,probe_random_edits,none,1,325160078,2,0,5.0109,48,1.0966,0.69081,0.40579,0.53414,0.92308,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.63606, ""eig_by_target"": {""0"": 0.63606, ""3"": 0.55063}}"
20260820T061156Z,probe,gpt-4o-mini-2024-07-18,1,325160078,1,4,2.7965,48,2.60643,0.80353,1.8029,0.5089,0.92308,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 2.01665, ""eig_by_target"": {""0"": 1.12198, ""2"": 1.32273, ""3"": 0.92619, ""4"": 2.01665, ""5"": 1.63139}}"
20260820T061156Z,probe,gpt-4o-mini-2024-07-18,1,325160078,2,0,5.0109,48,0.80353,0.22493,0.5786,0.94074,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.66648, ""eig_by_target"": {""0"": 0.66648, ""2"": 0.10855, ""5"": 0.55852}}"
20260820T061156Z,probe,qwen3-coder-30b-a3b-instruct,1,295485567,1,2,6.056,48,1.65569,0.0,1.65569,1.0,0.83333,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.54016, ""eig_by_target"": {""0"": 1.2524, ""1"": 0.96254, ""2"": 1.54016, ""3"": 1.19794, ""4"": 0.96169, ""5"": 0.96238}}"
20260820T061156Z,probe_skel_only,none,1,1719885688,1,1,3.2164,32,1.33782,0.00056,1.33726,0.99995,0.90909,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.33777, ""eig_by_target"": {""0"": 0.64467, ""1"": 1.33777, ""2"": 1.2804, ""3"": 0.64462, ""4"": 0.64451, ""5"": 0.63721}}"
20260820T061156Z,probe,qwen3-coder-30b-a3b-instruct,1,325160078,1,4,2.7965,48,3.01821,1.15773,1.86048,0.44762,0.92308,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 2.06757, ""eig_by_target"": {""0"": 1.06384, ""1"": 0.40458, ""2"": 1.07466, ""3"": 0.75271, ""4"": 2.06757, ""5"": 1.73712}}"
20260820T061156Z,probe,qwen3-coder-30b-a3b-instruct,1,325160078,2,0,5.0109,48,1.15773,0.88108,0.27665,0.71912,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.57512, ""eig_by_target"": {""0"": 0.57512, ""2"": 0.08766, ""3"": 0.10842}}"
