arm,model_tag,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
oracle,none,40,40,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00265,0.002045,0.002016,0.003284,,,,,,,,,,,,,,,,
pc_greedy_meek,none,40,40,0,0.921378,0.125961,0.882342,0.960414,0.936219,0.144696,0.891378,0.981061,0.968189,0.050794,0.952447,0.98393,0.725,1.109111,0.381283,1.068717,0.954167,0.141157,0.910422,0.997912,1.675,0.572332,1.497632,1.852368,1.675,0.572332,1.497632,1.852368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.968188,0.050794,0.952447,0.98393,,,,,,,,,,,,,,,,,,,,,,,,,0.181125,0.961736,-0.11692,0.47917,,,,,,,,,,,,,,,,
probe,gpt-4o-mini-2024-07-18,40,40,0,0.933915,0.138711,0.890928,0.976902,0.925159,0.228973,0.854199,0.996118,0.964562,0.067148,0.943752,0.985371,0.675,1.347124,0.257522,1.092478,0.670833,0.157832,0.621921,0.719746,2.5,0.640513,2.301503,2.698497,2.5,0.640513,2.301503,2.698497,47.6,2.529822,46.816,48.384,0.725,0.452203,0.584861,0.865139,0.969451,0.055526,0.952243,0.986658,0.45,0.904405,0.169722,0.730278,2.104342,0.600158,1.918351,2.290333,0.228142,0.210793,0.162817,0.293468,0.935803,0.091904,0.907322,0.964284,,,,,,,,,0.968188,0.050794,0.952447,0.98393,980.425,151.542985,933.461342,1027.388658,98.8,18.005982,93.219888,104.380112,1079.225,146.745111,1033.748219,1124.701781,0.000206,2.2e-05,0.0002,0.000213,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.013975,1.031592,2.694281,3.333669,3.575,0.957762,3.278187,3.871813,2.35,1.311683,1.943505,2.756495,0.075,0.266747,-0.007666,0.157666,0.05,0.220721,-0.018402,0.118402
probe,qwen3-coder-30b-a3b-instruct,40,40,0,0.964388,0.072307,0.94198,0.986796,0.97254,0.072686,0.950014,0.995065,0.971888,0.051672,0.955875,0.987902,0.425,0.780779,0.183034,0.666966,0.641667,0.128269,0.601916,0.681418,2.6,0.545377,2.430986,2.769014,2.6,0.545377,2.430986,2.769014,48.0,0.0,48.0,48.0,0.725,0.452203,0.584861,0.865139,0.970449,0.054738,0.953485,0.987412,0.45,0.904405,0.169722,0.730278,2.203883,0.552582,2.032636,2.37513,0.280035,0.221853,0.211282,0.348788,0.921781,0.095099,0.892309,0.951253,,,,,,,,,0.968188,0.050794,0.952447,0.98393,1463.975,205.068655,1400.423565,1527.526435,280.55,79.419028,255.937788,305.162212,1744.525,241.085578,1669.811805,1819.238195,0.000839,0.000146,0.000793,0.000884,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.7031,1.165907,3.341782,4.064418,3.025,1.386519,2.595313,3.454687,3.375,0.896932,3.097038,3.652962,0.025,0.158114,-0.024,0.074,0.075,0.266747,-0.007666,0.157666
probe_llm_graphs,gpt-4o-mini-2024-07-18,40,40,0,0.743741,0.176194,0.689138,0.798345,0.923124,0.203265,0.860132,0.986116,0.963943,0.052093,0.947799,0.980086,2.025,1.423025,1.584,2.466,0.991667,0.052705,0.975333,1.008,0.525,0.715667,0.303212,0.746788,0.525,0.715667,0.303212,0.746788,6.95,3.862708,5.752934,8.147066,0.125,0.334932,0.021203,0.228797,0.758437,0.170243,0.705678,0.811196,-0.75,0.669864,-0.957593,-0.542407,0.377184,0.474121,0.230252,0.524115,0.020553,0.129992,-0.019731,0.060838,0.995622,0.02769,0.98704,1.004203,12.0,0.0,12.0,12.0,6.95,3.862708,5.752934,8.147066,0.968188,0.050794,0.952447,0.98393,931.625,129.438172,891.511695,971.738305,381.35,55.141566,364.261452,398.438548,1312.975,181.211236,1256.817056,1369.132944,0.000369,5.1e-05,0.000353,0.000384,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.224225,1.765441,5.677109,6.771341,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,40,40,0,0.765502,0.190271,0.706536,0.824468,0.936219,0.144696,0.891378,0.981061,0.932775,0.075773,0.909293,0.956258,2.3,2.077967,1.656031,2.943969,0.816667,0.212836,0.750708,0.882625,1.8,1.01779,1.484583,2.115417,1.8,1.01779,1.484583,2.115417,6.025,3.11726,5.058951,6.991049,0.225,0.422902,0.093941,0.356059,0.794674,0.169701,0.742082,0.847265,-0.55,0.845804,-0.812117,-0.287883,0.734979,0.693806,0.519966,0.949991,0.075395,0.150859,0.028643,0.122146,0.980156,0.046715,0.965679,0.994633,11.225,1.832576,10.657079,11.792921,5.0,3.928854,3.782435,6.217565,0.968188,0.050794,0.952447,0.98393,1543.825,650.404051,1342.262696,1745.387304,921.875,343.435971,815.44309,1028.30691,2465.7,842.192353,2204.701886,2726.698114,0.0018,0.0006,0.001614,0.001986,1.1,0.378932,0.982568,1.217432,0.1,0.378932,-0.017432,0.217432,9.41095,3.981656,8.177022,10.644878,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probe_mec_only,none,40,40,0,0.929711,0.11954,0.892666,0.966757,0.936219,0.144696,0.891378,0.981061,0.968189,0.050794,0.952447,0.98393,0.675,1.071484,0.342944,1.007056,0.9,0.202548,0.83723,0.96277,1.775,0.479717,1.626334,1.923666,1.775,0.479717,1.626334,1.923666,5.575,2.427276,4.82278,6.32722,0.65,0.483046,0.500303,0.799697,0.929711,0.11954,0.892666,0.966757,0.3,0.966092,0.000605,0.599395,1.620574,0.470856,1.474654,1.766494,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,,,,,,,,0.968188,0.050794,0.952447,0.98393,,,,,,,,,,,,,,,,,,,,,,,,,0.063,0.033825,0.052517,0.073483,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probe_oracle_edits,none,40,40,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.866667,0.210819,0.801333,0.932,1.975,0.479717,1.826334,2.123666,1.975,0.479717,1.826334,2.123666,48.0,0.0,48.0,48.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.86875,0.460139,1.726152,2.011349,0.016102,0.070352,-0.0057,0.037904,0.995316,0.023243,0.988113,1.002519,,,,,,,,,0.968188,0.050794,0.952447,0.98393,,,,,,,,,,,,,,,,,,,,,,,,,0.500125,1.03991,0.177854,0.822396,0.125,0.334932,0.021203,0.228797,0.3,0.464095,0.156175,0.443825,0.125,0.334932,0.021203,0.228797,0.3,0.464095,0.156175,0.443825
probe_random_edits,none,40,40,0,0.956761,0.076948,0.932915,0.980608,0.959553,0.096438,0.929666,0.989439,0.967765,0.054441,0.950894,0.984637,0.5,0.847319,0.237413,0.762587,0.625,0.098058,0.594611,0.655389,2.65,0.533494,2.484669,2.815331,2.65,0.533494,2.484669,2.815331,48.0,0.0,48.0,48.0,0.7,0.464095,0.556175,0.843825,0.966326,0.057253,0.948583,0.984069,0.4,0.928191,0.112351,0.687649,2.058984,0.524634,1.896398,2.22157,0.241679,0.167348,0.189817,0.29354,0.930396,0.087545,0.903266,0.957527,,,,,,,,,0.968188,0.050794,0.952447,0.98393,,,,,,,,,,,,,,,,,,,,,,,,,0.7759,1.016482,0.460889,1.090911,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,0.025,0.158114,-0.024,0.074,0.1,0.303822,0.005845,0.194155
probe_skel_only,none,40,40,0,0.940139,0.127007,0.900779,0.979499,0.928124,0.19749,0.866921,0.989327,0.968189,0.050794,0.952447,0.98393,0.6,1.08131,0.264899,0.935101,0.891667,0.205168,0.828084,0.955249,1.825,0.500641,1.66985,1.98015,1.825,0.500641,1.66985,1.98015,46.4,4.861149,44.893514,47.906486,0.675,0.474342,0.528,0.822,0.968188,0.050794,0.952447,0.98393,0.35,0.948683,0.056,0.644,1.728803,0.452239,1.588653,1.868953,0.002508,0.01583,-0.002398,0.007414,0.999486,0.003248,0.99848,1.000492,,,,,,,,,0.968188,0.050794,0.952447,0.98393,,,,,,,,,,,,,,,,,,,,,,,,,0.6001,1.0305,0.280745,0.919455,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
