arm,model_tag,level,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
oracle,none,1,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00355,0.001538,0.002876,0.004224,,,,,,,,,,,,,,,,
oracle,none,2,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00415,0.001631,0.003435,0.004865,,,,,,,,,,,,,,,,
pc_greedy_meek,none,1,20,20,0,0.896212,0.150898,0.830078,0.962346,0.929524,0.162755,0.858193,1.000854,0.965152,0.058185,0.939651,0.990652,0.8,1.196486,0.275617,1.324383,0.933333,0.165787,0.860674,1.005993,1.65,0.587143,1.392673,1.907327,1.65,0.587143,1.392673,1.907327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.965151,0.058185,0.939651,0.990652,,,,,,,,,,,,,,,,,,,,,,,,,0.1042,0.370465,-0.058163,0.266563,,,,,,,,,,,,,,,,
pc_greedy_meek,none,2,20,20,0,0.946544,0.091999,0.906224,0.986865,0.942915,0.128033,0.886802,0.999028,0.971225,0.043485,0.952167,0.990284,0.65,1.03999,0.194204,1.105796,0.975,0.111803,0.926,1.024,1.7,0.571241,1.449643,1.950357,1.7,0.571241,1.449643,1.950357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.971225,0.043485,0.952167,0.990284,,,,,,,,,,,,,,,,,,,,,,,,,0.03515,0.00845,0.031447,0.038853,,,,,,,,,,,,,,,,
probe,gpt-4o-mini-2024-07-18,1,20,20,0,0.885298,0.218019,0.789747,0.980849,0.85,0.366348,0.689441,1.010559,0.948418,0.089958,0.908992,0.987844,1.05,1.986136,0.179537,1.920463,0.708333,0.186339,0.626667,0.79,2.25,0.910465,1.850971,2.649029,2.25,0.910465,1.850971,2.649029,47.2,3.577709,45.632,48.768,0.7,0.470162,0.493942,0.906058,0.965151,0.058185,0.939651,0.990652,0.4,0.940325,-0.012115,0.812115,2.195339,0.855285,1.820494,2.570184,0.281413,0.280602,0.158433,0.404392,0.923893,0.089417,0.884704,0.963082,,,,,,,,,0.965151,0.058185,0.939651,0.990652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92575,0.880859,1.539696,2.311804,3.25,1.208522,2.720342,3.779658,2.7,1.41793,2.078565,3.321435,0.05,0.223607,-0.048,0.148,0.0,0.0,0.0,0.0
probe,gpt-4o-mini-2024-07-18,2,20,20,0,0.965319,0.062853,0.937772,0.992865,0.966389,0.074196,0.933871,0.998907,0.977868,0.03705,0.96163,0.994106,0.45,0.759155,0.117286,0.782714,0.633333,0.115975,0.582505,0.684162,2.65,0.48936,2.435528,2.864472,2.65,0.48936,2.435528,2.864472,48.0,0.0,48.0,48.0,0.75,0.444262,0.555294,0.944706,0.977059,0.049347,0.955431,0.998686,0.6,1.046297,0.14144,1.05856,2.433103,0.449024,2.23631,2.629896,0.335717,0.27348,0.215859,0.455575,0.902439,0.127925,0.846374,0.958505,,,,,,,,,0.971225,0.043485,0.952167,0.990284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17185,0.425604,1.985321,2.358379,3.9,0.447214,3.704,4.096,2.0,1.123903,1.507428,2.492572,0.1,0.307794,-0.034896,0.234896,0.1,0.307794,-0.034896,0.234896
probe,qwen3-coder-30b-a3b-instruct,1,20,20,0,0.930536,0.165591,0.857963,1.003109,0.923333,0.233233,0.821114,1.025552,0.962704,0.071642,0.931305,0.994102,0.65,1.460894,0.009735,1.290265,0.666667,0.162221,0.59557,0.737763,2.4,0.820783,2.040276,2.759724,2.4,0.820783,2.040276,2.759724,48.0,0.0,48.0,48.0,0.75,0.444262,0.555294,0.944706,0.969697,0.057117,0.944665,0.994729,0.5,0.888523,0.110587,0.889413,2.355617,0.692052,2.052311,2.658922,0.435691,0.37131,0.272957,0.598424,0.859756,0.157757,0.790616,0.928896,,,,,,,,,0.965151,0.058185,0.939651,0.990652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98845,0.77054,1.650746,2.326154,2.85,1.308877,2.27636,3.42364,3.2,1.005249,2.75943,3.64057,0.05,0.223607,-0.048,0.148,0.05,0.223607,-0.048,0.148
probe,qwen3-coder-30b-a3b-instruct,2,20,20,0,0.968627,0.059501,0.94255,0.994705,0.978889,0.054182,0.955143,1.002635,0.975294,0.045415,0.95539,0.995198,0.45,0.825578,0.088175,0.811825,0.633333,0.115975,0.582505,0.684162,2.65,0.48936,2.435528,2.864472,2.65,0.48936,2.435528,2.864472,48.0,0.0,48.0,48.0,0.7,0.470162,0.493942,0.906058,0.971201,0.053728,0.947654,0.994748,0.4,0.940325,-0.012115,0.812115,2.554958,0.389439,2.384279,2.725637,0.421705,0.272845,0.302126,0.541285,0.88146,0.117809,0.829828,0.933092,,,,,,,,,0.971225,0.043485,0.952167,0.990284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31065,0.551155,2.069096,2.552204,3.2,1.472556,2.554624,3.845376,3.55,0.759155,3.217286,3.882714,0.0,0.0,0.0,0.0,0.1,0.307794,-0.034896,0.234896
probe_mec_only,none,1,20,20,0,0.912879,0.142378,0.850479,0.975279,0.929524,0.162755,0.858193,1.000854,0.965152,0.058185,0.939651,0.990652,0.7,1.128576,0.20538,1.19462,0.9,0.205196,0.810069,0.989931,1.7,0.470162,1.493942,1.906058,1.7,0.470162,1.493942,1.906058,5.15,2.134306,4.214599,6.085401,0.65,0.48936,0.435528,0.864472,0.912879,0.142378,0.850479,0.975279,0.3,0.978721,-0.128943,0.728943,1.567567,0.384706,1.398962,1.736172,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,,,,,,,,0.965151,0.058185,0.939651,0.990652,,,,,,,,,,,,,,,,,,,,,,,,,0.1686,0.110156,0.120322,0.216878,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probe_mec_only,none,2,20,20,0,0.946544,0.091999,0.906224,0.986865,0.942915,0.128033,0.886802,0.999028,0.971225,0.043485,0.952167,0.990284,0.65,1.03999,0.194204,1.105796,0.9,0.205196,0.810069,0.989931,1.85,0.48936,1.635528,2.064472,1.85,0.48936,1.635528,2.064472,6.0,2.675424,4.827444,7.172556,0.65,0.48936,0.435528,0.864472,0.946544,0.091999,0.906224,0.986864,0.3,0.978721,-0.128943,0.728943,1.67358,0.548786,1.433064,1.914097,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,,,,,,,,0.971225,0.043485,0.952167,0.990284,,,,,,,,,,,,,,,,,,,,,,,,,0.21315,0.105937,0.166721,0.259579,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
