run_id,arm,model_tag,level,seed,step,target,value,n_hypotheses,entropy_before_nats,entropy_after_nats,entropy_drop_nats,map_weight_after,map_directed_f1_after,truth_rank_after,edges_resolved,undirected_after,selector_meta
20260820T055606Z,pc_greedy_meek,none,1,123393401,1,1,4.1537,,,,,,0.90909,,2,1,
20260820T055606Z,pc_greedy_meek,none,1,123393401,2,0,3.1354,,,,,,1.0,,1,0,
20260820T055606Z,probe_oracle_edits,none,1,123393401,1,1,4.1537,48,1.38632,0.69315,0.69317,0.5,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09751, ""eig_by_target"": {""0"": 0.47081, ""1"": 1.09751, ""3"": 0.86646, ""4"": 0.56236}}"
20260820T055606Z,probe_oracle_edits,none,1,123393401,2,0,3.1354,48,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""0"": 0.69315, ""3"": 0.69315}}"
20260820T055606Z,probe_random_edits,none,1,123393401,1,1,4.1537,48,1.93517,1.02816,0.90701,0.45305,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.28323, ""eig_by_target"": {""0"": 0.59145, ""1"": 1.28323, ""3"": 1.05353, ""4"": 0.59526}}"
20260820T055606Z,probe_random_edits,none,1,123393401,2,0,3.1354,48,1.02816,0.32515,0.70301,0.9188,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.75033, ""eig_by_target"": {""0"": 0.75033, ""1"": 0.01654, ""3"": 0.69889}}"
20260820T055606Z,probe_skel_only,none,1,123393401,1,1,4.1537,48,1.38632,0.69315,0.69317,0.5,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09751, ""eig_by_target"": {""0"": 0.47081, ""1"": 1.09751, ""3"": 0.86646, ""4"": 0.56236}}"
20260820T055606Z,probe_skel_only,none,1,123393401,2,0,3.1354,48,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""0"": 0.69315, ""3"": 0.69315}}"
20260820T055606Z,probe_mec_only,none,1,123393401,1,1,4.1537,4,1.38629,0.69315,0.69315,0.5,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09748, ""eig_by_target"": {""0"": 0.47078, ""1"": 1.09748, ""3"": 0.86643, ""4"": 0.56234}}"
20260820T055606Z,probe_mec_only,none,1,123393401,2,0,3.1354,4,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""0"": 0.69315, ""3"": 0.69315}}"
20260820T055606Z,probe_skel_only,none,1,295485567,1,2,6.2088,32,1.79176,0.0,1.79176,1.0,0.90909,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.1509, ""eig_by_target"": {""0"": 0.45056, ""1"": 0.86756, ""2"": 1.1509, ""3"": 1.10296, ""4"": 0.31644, ""5"": 0.58468}}"
20260820T055606Z,probe_random_edits,none,1,295485567,1,2,6.2088,48,1.61603,0.0,1.61603,1.0,0.83333,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.44275, ""eig_by_target"": {""0"": 0.005, ""1"": 0.69184, ""2"": 1.44275, ""3"": 0.88363, ""4"": 0.57631, ""5"": 0.69182}}"
20260820T055606Z,probe,gpt-4o-mini-2024-07-18,1,123393401,1,1,4.1537,48,1.93517,1.02816,0.90701,0.45305,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.23922, ""eig_by_target"": {""0"": 0.53566, ""1"": 1.23922, ""3"": 1.08999, ""4"": 0.77555}}"
20260820T055606Z,probe,gpt-4o-mini-2024-07-18,1,123393401,2,0,3.1354,48,1.02816,0.32515,0.70301,0.9188,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.75455, ""eig_by_target"": {""0"": 0.75455, ""1"": -0.00266, ""3"": 0.71153}}"
20260820T055606Z,probe_oracle_edits,none,1,295485567,1,2,6.2088,48,1.60947,0.0,1.60947,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.37842, ""eig_by_target"": {""0"": 3e-05, ""1"": 0.45423, ""2"": 1.37842, ""3"": 1.06017, ""4"": 0.56975, ""5"": 0.68528}}"
20260820T055606Z,probe,qwen3-coder-30b-a3b-instruct,1,123393401,1,1,4.1537,48,1.93517,1.02816,0.90701,0.45305,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.23922, ""eig_by_target"": {""0"": 0.53566, ""1"": 1.23922, ""3"": 1.08999, ""4"": 0.77555}}"
20260820T055606Z,probe,qwen3-coder-30b-a3b-instruct,1,123393401,2,0,3.1354,48,1.02816,0.32515,0.70301,0.9188,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.75455, ""eig_by_target"": {""0"": 0.75455, ""1"": -0.00266, ""3"": 0.71153}}"
20260820T055606Z,probe,gpt-4o-mini-2024-07-18,1,295485567,1,2,6.2088,48,1.61603,0.0,1.61603,1.0,0.83333,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.38496, ""eig_by_target"": {""0"": 0.005, ""1"": 0.46079, ""2"": 1.38496, ""3"": 1.06673, ""4"": 0.57628, ""5"": 0.69183}}"
20260820T055606Z,pc_greedy_meek,none,1,325160078,1,4,2.8352,,,,,,1.0,,4,0,
20260820T055606Z,probe_skel_only,none,1,325160078,1,4,2.8352,48,1.60944,0.0,1.60944,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.43615, ""eig_by_target"": {""0"": 0.33867, ""2"": 0.33867, ""3"": 0.56972, ""4"": 1.43615, ""5"": 0.87703}}"
20260820T055606Z,probe_random_edits,none,1,325160078,1,4,2.8352,48,2.19829,0.3753,1.82299,0.90652,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.24493, ""eig_by_target"": {""0"": 0.82425, ""2"": 0.27197, ""3"": 0.81026, ""4"": 1.24493, ""5"": 0.97692}}"
20260820T055606Z,probe_random_edits,none,1,325160078,2,3,3.7152,48,0.3753,0.19738,0.17792,0.9508,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.14548, ""eig_by_target"": {""0"": 0.13317, ""3"": 0.14548}}"
