run_id,timestamp_utc,study,arm,model,model_tag,level,seed,runtime_seed,d,k,n_obs,n_int,budget,opt_set_size,true_edges,cpdag_undirected,status,error,wall_sec,skeleton_precision,skeleton_recall,skeleton_f1,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency,interventions_used,optimal_interventions,submit_directed,submit_undirected,steps_taken,n_hypotheses,n_hypotheses_from_llm,truth_in_hypotheses,best_f1_in_hypotheses,truth_rank_initial,truth_rank_final,entropy_initial_nats,entropy_final_nats,map_weight_final,proposed_raw,proposed_valid_unique,propose_repairs,propose_rounds,repair_remove,repair_add,propose_cached,pc_skeleton_f1_ceiling,pc_undirected_edges,pc_directed_edges,reserve_frac,edits_correct_remove,edits_correct_add,repair_evidence,llm_calls,llm_failed_calls,llm_repair_calls,prompt_tokens,completion_tokens,cached_tokens,total_tokens,cost_usd,llm_latency_sec
20260820T064435Z,2026-08-20T06:44:35.139475+00:00,study2,oracle,,none,1,123393401,1233934010108,6,6,120,120,2,1,6,3,success,,0.001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,1,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260820T064435Z,2026-08-20T06:44:35.140360+00:00,study2,pc_greedy_meek,,none,1,123393401,1233934010108,6,6,120,120,2,1,6,3,success,,2.175,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
20260820T064435Z,2026-08-20T06:44:37.336403+00:00,study2,probe_mec_only,,none,1,123393401,1233934010108,6,6,120,120,2,1,6,3,success,,0.209,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,4,0,1,1.0,4,1,1.38629,0.0,1.0,,,,,,,,1.0,3,3,0.5,0,0,,,,,,,,,,
20260820T064435Z,2026-08-20T06:44:37.550639+00:00,study2,oracle,,none,1,295485567,2954855670108,6,6,120,120,2,1,6,4,success,,0.001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,1,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260820T064435Z,2026-08-20T06:44:37.556364+00:00,study2,pc_greedy_meek,,none,1,295485567,2954855670108,6,6,120,120,2,1,6,4,success,,0.021,1.0,0.8333333333333334,0.9090909090909091,0.6666666666666666,0.8,0.6666666666666666,0.7272727272727272,2,1.0,0,1,5,0,0,,,,,,,,,,,,,,,,,0.909091,,,,,,,,,,,,,,,
20260820T064435Z,2026-08-20T06:44:37.582999+00:00,study2,probe_skel_only,,none,1,295485567,2954855670108,6,6,120,120,2,1,6,4,success,,0.715,1.0,0.8333333333333334,0.9090909090909091,0.6666666666666666,1.0,0.8333333333333334,0.9090909090909091,1,1.0,1,1,5,0,1,32,0,0,0.909091,-1,-1,1.79176,0.0,1.0,,,,,,,,0.909091,0,5,0.5,0,0,,,,,,,,,,
20260820T064435Z,2026-08-20T06:44:35.140484+00:00,study2,probe_skel_only,,none,1,123393401,1233934010108,6,6,120,120,2,1,6,3,success,,3.295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,0,1,1.0,4,1,1.38632,0.0,1.0,,,,,,,,1.0,3,3,0.5,0,0,,,,,,,,,,
20260820T064435Z,2026-08-20T06:44:35.142775+00:00,study2,probe_oracle_edits,,none,1,123393401,1233934010108,6,6,120,120,2,1,6,3,success,,3.453,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,0,1,1.0,4,1,1.38632,0.0,1.0,,,,,0,0,,1.0,3,3,0.5,0,0,,,,,,,,,,
20260820T064435Z,2026-08-20T06:44:35.140709+00:00,study2,probe_random_edits,,none,1,123393401,1233934010108,6,6,120,120,2,1,6,3,success,,3.494,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,0,1,1.0,4,1,2.89185,0.68118,0.8025,,,,,4,4,,1.0,3,3,0.5,0,0,,,,,,,,,,
20260820T064435Z,2026-08-20T06:44:35.140982+00:00,study2,probe,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,123393401,1233934010108,6,6,120,120,2,1,6,3,success,,3.675,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,48,1,1.0,4,1,2.89185,0.62485,0.80904,,,0,,4,4,1,1.0,3,3,0.5,0,0,,0,0,0,0,0,0,0,0.0,0.0
