run_id,arm,model_tag,level,seed,step,target,value,n_hypotheses,entropy_before_nats,entropy_after_nats,entropy_drop_nats,map_weight_after,map_directed_f1_after,truth_rank_after,edges_resolved,undirected_after,selector_meta
20260820T064435Z,pc_greedy_meek,none,1,123393401,1,1,4.1537,,,,,,0.90909,,2,1,
20260820T064435Z,pc_greedy_meek,none,1,123393401,2,0,3.1354,,,,,,1.0,,1,0,
20260820T064435Z,probe_mec_only,none,1,123393401,1,1,4.1537,4,1.38629,0.69315,0.69315,0.5,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09748, ""eig_by_target"": {""0"": 0.47078, ""1"": 1.09748, ""3"": 0.86643, ""4"": 0.56234}}"
20260820T064435Z,probe_mec_only,none,1,123393401,2,0,3.1354,4,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""0"": 0.69315, ""3"": 0.69315}}"
20260820T064435Z,probe_skel_only,none,1,295485567,1,2,6.2088,32,1.79176,0.0,1.79176,1.0,0.90909,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.1509, ""eig_by_target"": {""0"": 0.45056, ""1"": 0.86756, ""2"": 1.1509, ""3"": 1.10296, ""4"": 0.31644, ""5"": 0.58468}}"
20260820T064435Z,probe_skel_only,none,1,123393401,1,1,4.1537,48,1.38632,0.69315,0.69317,0.5,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09751, ""eig_by_target"": {""0"": 0.47081, ""1"": 1.09751, ""3"": 0.86646, ""4"": 0.56236}}"
20260820T064435Z,probe_skel_only,none,1,123393401,2,0,3.1354,48,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""0"": 0.69315, ""3"": 0.69315}}"
20260820T064435Z,probe_oracle_edits,none,1,123393401,1,1,4.1537,48,1.38632,0.69315,0.69317,0.5,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.09751, ""eig_by_target"": {""0"": 0.47081, ""1"": 1.09751, ""3"": 0.86646, ""4"": 0.56236}}"
20260820T064435Z,probe_oracle_edits,none,1,123393401,2,0,3.1354,48,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""0"": 0.69315, ""3"": 0.69315}}"
20260820T064435Z,probe_random_edits,none,1,123393401,1,1,4.1537,48,2.89185,1.16288,1.72897,0.42838,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 2.04079, ""eig_by_target"": {""0"": 1.59107, ""1"": 2.04079, ""3"": 1.98624, ""4"": 1.00465}}"
20260820T064435Z,probe_random_edits,none,1,123393401,2,0,3.1354,48,1.16288,0.68118,0.4817,0.8025,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.73624, ""eig_by_target"": {""0"": 0.73624, ""3"": 0.70157, ""4"": 0.10332}}"
20260820T064435Z,probe,qwen3-coder-30b-a3b-instruct,1,123393401,1,1,4.1537,48,2.89185,1.16288,1.72897,0.42838,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.99442, ""eig_by_target"": {""0"": 1.56059, ""1"": 1.99442, ""3"": 1.90658, ""4"": 0.82428}}"
20260820T064435Z,probe,qwen3-coder-30b-a3b-instruct,1,123393401,2,3,3.0607,48,1.16288,0.62485,0.53803,0.80904,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.83346, ""eig_by_target"": {""0"": 0.73216, ""3"": 0.83346, ""4"": 0.15664}}"
20260820T064435Z,pc_greedy_meek,none,1,325160078,1,4,2.8352,,,,,,1.0,,4,0,
20260820T064435Z,probe,gpt-4o-mini-2024-07-18,1,123393401,1,1,4.1537,48,2.93845,1.76431,1.17415,0.23469,0.76923,5,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.9634, ""eig_by_target"": {""0"": 1.07553, ""1"": 1.9634, ""3"": 1.85929, ""4"": 0.97945, ""5"": 0.66762}}"
20260820T064435Z,probe,gpt-4o-mini-2024-07-18,1,123393401,2,3,3.0607,48,1.76431,0.78105,0.98326,0.65589,0.92308,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.4479, ""eig_by_target"": {""0"": 0.92352, ""3"": 1.4479, ""5"": 0.5993}}"
20260820T064435Z,probe_random_edits,none,1,295485567,1,2,6.2088,48,2.05229,0.00066,2.05163,0.99994,0.83333,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.68046, ""eig_by_target"": {""0"": 0.27864, ""1"": 1.16473, ""2"": 1.68046, ""3"": 1.42818, ""4"": 0.65603, ""5"": 0.6899}}"
20260820T064435Z,probe,qwen3-coder-30b-a3b-instruct,1,295485567,1,2,6.2088,48,2.05166,0.00066,2.051,0.99994,0.83333,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.91006, ""eig_by_target"": {""0"": 0.24808, ""1"": 0.90378, ""2"": 1.91006, ""3"": 1.4387, ""4"": 0.94232, ""5"": 0.70075}}"
20260820T064435Z,probe_oracle_edits,none,1,295485567,1,2,6.2088,48,1.60947,0.0,1.60947,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.37842, ""eig_by_target"": {""0"": 3e-05, ""1"": 0.45423, ""2"": 1.37842, ""3"": 1.06017, ""4"": 0.56975, ""5"": 0.3387}}"
20260820T064435Z,probe_skel_only,none,1,325160078,1,4,2.8352,48,1.60944,0.0,1.60944,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.43615, ""eig_by_target"": {""0"": 0.33867, ""2"": 0.33867, ""3"": 0.56972, ""4"": 1.43615, ""5"": 0.87703}}"
20260820T064435Z,probe,gpt-4o-mini-2024-07-18,1,295485567,1,2,6.2088,48,1.61743,0.0,1.61743,1.0,0.83333,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.38635, ""eig_by_target"": {""0"": 0.00471, ""1"": 0.46219, ""2"": 1.38635, ""3"": 1.06812, ""4"": 0.57768, ""5"": 0.69323}}"
20260820T064435Z,pc_greedy_meek,none,1,1719885688,1,1,3.2879,,,,,,0.90909,,1,1,
20260820T064435Z,pc_greedy_meek,none,1,1719885688,2,3,3.4823,,,,,,1.0,,1,0,
20260820T064435Z,probe_mec_only,none,1,325160078,1,4,2.8352,5,1.60944,0.0,1.60944,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.43615, ""eig_by_target"": {""0"": 0.33867, ""2"": 0.33867, ""3"": 0.56972, ""4"": 1.43615, ""5"": 0.87703}}"
20260820T064435Z,probe_random_edits,none,1,325160078,1,4,2.8352,48,3.07123,1.36887,1.70235,0.37232,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 2.26837, ""eig_by_target"": {""0"": 0.89757, ""2"": 1.50225, ""3"": 1.38876, ""4"": 2.26837, ""5"": 1.73955}}"
20260820T064435Z,probe_random_edits,none,1,325160078,2,3,3.7152,48,1.36887,1.11593,0.25295,0.48661,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.72002, ""eig_by_target"": {""0"": 0.38242, ""3"": 0.72002, ""5"": 0.64458}}"
20260820T064435Z,probe_oracle_edits,none,1,325160078,1,4,2.8352,48,1.60944,0.0,1.60944,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.43615, ""eig_by_target"": {""0"": 0.33867, ""2"": 0.33867, ""3"": 0.56972, ""4"": 1.43615, ""5"": 0.87703}}"
20260820T064435Z,probe,gpt-4o-mini-2024-07-18,1,325160078,1,4,2.8352,48,1.60944,0.0,1.60944,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.43615, ""eig_by_target"": {""0"": 0.33867, ""2"": 0.33867, ""3"": 0.56972, ""4"": 1.43615, ""5"": 0.87703}}"
20260820T064435Z,probe_skel_only,none,1,1719885688,1,1,3.2879,48,1.38796,0.69315,0.69481,0.5,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69481, ""eig_by_target"": {""0"": 0.00166, ""1"": 0.69481, ""2"": 0.69481, ""3"": 0.69481, ""5"": 0.69481}}"
20260820T064435Z,probe_skel_only,none,1,1719885688,2,3,3.4823,48,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""3"": 0.69315, ""5"": 0.69315}}"
20260820T064435Z,probe,qwen3-coder-30b-a3b-instruct,1,325160078,1,4,2.8352,48,2.5714,1.3778,1.1936,0.45899,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.63265, ""eig_by_target"": {""0"": 0.56123, ""1"": 0.17604, ""2"": 0.679, ""3"": 0.56853, ""4"": 1.63265, ""5"": 1.35865}}"
20260820T064435Z,probe,qwen3-coder-30b-a3b-instruct,1,325160078,2,0,5.7491,48,1.3778,0.99223,0.38557,0.70104,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.4844, ""eig_by_target"": {""0"": 0.4844, ""2"": 0.32677, ""3"": 0.29174}}"
20260820T064435Z,probe_mec_only,none,1,1719885688,1,1,3.2879,4,1.38629,0.69315,0.69315,0.5,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""1"": 0.69315, ""2"": 0.69315, ""3"": 0.69315, ""5"": 0.69315}}"
20260820T064435Z,probe_mec_only,none,1,1719885688,2,3,3.4823,4,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""3"": 0.69315, ""5"": 0.69315}}"
20260820T064435Z,pc_greedy_meek,none,1,239607114,1,2,2.9602,,,,,,0.8,,2,1,
20260820T064435Z,pc_greedy_meek,none,1,239607114,2,4,3.9724,,,,,,0.90909,,1,0,
20260820T064435Z,probe_oracle_edits,none,1,1719885688,1,1,3.2879,48,1.38796,0.69315,0.69481,0.5,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69481, ""eig_by_target"": {""0"": 0.00166, ""1"": 0.69481, ""2"": 0.69481, ""3"": 0.69481, ""5"": 0.69481}}"
20260820T064435Z,probe_oracle_edits,none,1,1719885688,2,3,3.4823,48,0.69315,0.0,0.69315,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.69315, ""eig_by_target"": {""3"": 0.69315, ""5"": 0.69315}}"
20260820T064435Z,probe_skel_only,none,1,239607114,1,2,2.9602,32,1.79176,0.0,1.79176,1.0,0.54545,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.24245, ""eig_by_target"": {""0"": 0.58468, ""1"": 0.85228, ""2"": 1.24245, ""3"": 0.58468, ""4"": 0.45056, ""5"": 0.52099}}"
20260820T064435Z,probe_random_edits,none,1,239607114,1,2,2.9602,48,1.83338,0.0,1.83338,1.0,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.54298, ""eig_by_target"": {""0"": 1.09606, ""1"": 0.35806, ""2"": 1.54298, ""3"": 0.59535, ""4"": 1.05836, ""5"": 0.79361}}"
20260820T064435Z,probe_random_edits,none,1,1719885688,1,2,4.4732,48,2.82696,1.70518,1.12178,0.36087,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.15824, ""eig_by_target"": {""0"": 0.07569, ""1"": 0.98302, ""2"": 1.15824, ""3"": 0.89491, ""4"": 0.4767, ""5"": 0.82005}}"
20260820T064435Z,probe_random_edits,none,1,1719885688,2,3,3.4823,48,1.70518,1.00711,0.69806,0.69086,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.78892, ""eig_by_target"": {""2"": 0.0037, ""3"": 0.78892, ""4"": 0.2035, ""5"": 0.73873}}"
