arm,model_tag,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
oracle,none,40,40,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0019,0.000871,0.00163,0.00217,,,,,,,,,,,,,,,,
pc_greedy_meek,none,40,40,0,0.89403,0.140563,0.850469,0.937591,0.9261,0.166446,0.874518,0.977683,0.957136,0.057634,0.939275,0.974997,0.975,1.187272,0.607061,1.342939,0.920833,0.176978,0.865987,0.975679,1.7,0.607644,1.511689,1.888311,1.7,0.607644,1.511689,1.888311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.957136,0.057634,0.939275,0.974997,,,,,,,,,,,,,,,,,,,,,,,,,0.0699,0.263068,-0.011626,0.151426,,,,,,,,,,,,,,,,
probe,gpt-4o-mini-2024-07-18,40,40,0,0.953755,0.099841,0.922814,0.984696,0.957937,0.122543,0.91996,0.995913,0.9708,0.048789,0.95568,0.98592,0.525,1.03744,0.203494,0.846506,0.716667,0.200427,0.654554,0.77878,2.35,0.579567,2.17039,2.52961,2.35,0.579567,2.17039,2.52961,48.0,0.0,48.0,48.0,0.725,0.452203,0.584861,0.865139,0.97153,0.056392,0.954054,0.989006,0.475,0.933356,0.18575,0.76425,2.391766,0.64933,2.190536,2.592995,0.271572,0.33858,0.166645,0.376499,0.913796,0.123491,0.875526,0.952067,,,,,,,,,0.957136,0.057634,0.939275,0.974997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.092125,0.804272,1.842879,2.341371,3.825,0.384808,3.705747,3.944253,2.65,1.369072,2.22572,3.07428,0.075,0.266747,-0.007666,0.157666,0.175,0.384808,0.055747,0.294253
probe,qwen3-coder-30b-a3b-instruct,40,40,0,0.939377,0.135399,0.897416,0.981338,0.939315,0.194531,0.879029,0.9996,0.960611,0.062386,0.941277,0.979944,0.725,1.413987,0.286801,1.163199,0.683333,0.176222,0.628722,0.737945,2.425,0.635993,2.227904,2.622096,2.425,0.635993,2.227904,2.622096,48.0,0.0,48.0,48.0,0.7,0.464095,0.556175,0.843825,0.963813,0.074232,0.940809,0.986818,0.525,1.085747,0.188524,0.861476,2.610968,0.541089,2.443283,2.778653,0.38417,0.447187,0.245585,0.522755,0.866786,0.176628,0.812049,0.921524,,,,,,,,,0.957136,0.057634,0.939275,0.974997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2702,0.735382,2.042303,2.498097,2.975,1.187272,2.607061,3.342939,3.45,0.875595,3.17865,3.72135,0.1,0.303822,0.005845,0.194155,0.15,0.36162,0.037933,0.262067
probe_mec_only,none,40,40,0,0.903197,0.15181,0.85615,0.950243,0.9336,0.152967,0.886195,0.981005,0.957136,0.057634,0.939275,0.974997,0.9,1.215287,0.523379,1.276621,0.879167,0.213463,0.813014,0.945319,1.775,0.530481,1.610602,1.939398,1.775,0.530481,1.610602,1.939398,5.55,2.872951,4.659663,6.440337,0.55,0.503831,0.393861,0.706139,0.907742,0.137265,0.865203,0.950281,0.1,1.007663,-0.212278,0.412278,1.592088,0.513156,1.433059,1.751117,0.017329,0.109597,-0.016635,0.051294,0.9875,0.079057,0.963,1.012,,,,,,,,,0.957136,0.057634,0.939275,0.974997,,,,,,,,,,,,,,,,,,,,,,,,,0.214775,0.195442,0.154207,0.275343,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probe_oracle_edits,none,40,40,0,0.996154,0.016979,0.990892,1.001416,1.0,0.0,1.0,1.0,0.996154,0.016979,0.990892,1.001416,0.05,0.220721,-0.018402,0.118402,0.8625,0.216445,0.795423,0.929577,1.975,0.422902,1.843941,2.106059,1.975,0.422902,1.843941,2.106059,48.0,0.0,48.0,48.0,0.975,0.158114,0.926,1.024,0.998077,0.012163,0.994308,1.001846,0.975,0.357161,0.864315,1.085685,1.839646,0.437058,1.704201,1.975092,0.018749,0.109673,-0.015239,0.052737,0.987414,0.078029,0.963232,1.011595,,,,,,,,,0.957136,0.057634,0.939275,0.974997,,,,,,,,,,,,,,,,,,,,,,,,,1.475075,0.490366,1.323109,1.627041,0.125,0.334932,0.021203,0.228797,0.45,0.597001,0.264987,0.635013,0.125,0.334932,0.021203,0.228797,0.45,0.597001,0.264987,0.635013
probe_random_edits,none,40,40,0,0.937471,0.113456,0.902311,0.972632,0.945505,0.153474,0.897943,0.993067,0.954371,0.068036,0.933286,0.975455,0.8,1.362501,0.377756,1.222244,0.7375,0.195707,0.67685,0.79815,2.35,0.662164,2.144793,2.555207,2.35,0.662164,2.144793,2.555207,48.0,0.0,48.0,48.0,0.675,0.474342,0.528,0.822,0.96188,0.073646,0.939056,0.984703,0.4,1.007663,0.087722,0.712278,2.542465,0.553634,2.370892,2.714038,0.326056,0.383361,0.207251,0.444861,0.89015,0.147574,0.844416,0.935884,,,,,,,,,0.957136,0.057634,0.939275,0.974997,,,,,,,,,,,,,,,,,,,,,,,,,2.0871,0.694954,1.871732,2.302468,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,0.025,0.158114,-0.024,0.074,0.125,0.334932,0.021203,0.228797
probe_skel_only,none,40,40,0,0.935621,0.106089,0.902744,0.968498,0.929434,0.162404,0.879104,0.979763,0.957136,0.057634,0.939275,0.974997,0.7,0.992278,0.39249,1.00751,0.904167,0.195707,0.843516,0.964817,1.85,0.426675,1.717772,1.982228,1.85,0.426675,1.717772,1.982228,46.0,5.358913,44.339256,47.660744,0.575,0.500641,0.41985,0.73015,0.953803,0.069574,0.932241,0.975364,0.15,1.001281,-0.1603,0.4603,1.698077,0.442021,1.561093,1.83506,0.017329,0.109597,-0.016636,0.051293,0.9875,0.079057,0.963,1.012,,,,,,,,,0.957136,0.057634,0.939275,0.974997,,,,,,,,,,,,,,,,,,,,,,,,,1.451325,0.58775,1.269179,1.633471,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probe_stat_edits,none,40,40,0,0.978404,0.052021,0.962283,0.994526,0.987013,0.068909,0.965658,1.008368,0.981529,0.040407,0.969007,0.994051,0.275,0.640012,0.076658,0.473342,0.695833,0.180564,0.639876,0.751791,2.45,0.597001,2.264987,2.635013,2.45,0.597001,2.264987,2.635013,48.0,0.0,48.0,48.0,0.825,0.384808,0.705747,0.944253,0.985346,0.033322,0.97502,0.995673,0.675,0.79703,0.427998,0.922002,2.618805,0.494662,2.465507,2.772102,0.328245,0.393667,0.206247,0.450244,0.869561,0.175709,0.815108,0.924013,,,,,,,,,0.957136,0.057634,0.939275,0.974997,,,,,,,,,,,,,,,,,,,,,,,,,2.594075,0.917717,2.309671,2.878479,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,0.125,0.334932,0.021203,0.228797,0.375,0.540062,0.207633,0.542367
probe_true_skeleton,none,40,40,0,0.996154,0.016979,0.990892,1.001416,1.0,0.0,1.0,1.0,0.996154,0.016979,0.990892,1.001416,0.05,0.220721,-0.018402,0.118402,0.8625,0.216445,0.795423,0.929577,1.975,0.422902,1.843941,2.106059,1.975,0.422902,1.843941,2.106059,48.0,0.0,48.0,48.0,0.975,0.158114,0.926,1.024,0.998077,0.012163,0.994308,1.001846,0.975,0.357161,0.864315,1.085685,1.839646,0.437058,1.704201,1.975092,0.018749,0.109673,-0.015239,0.052737,0.987414,0.078029,0.963232,1.011595,,,,,,,,,0.957136,0.057634,0.939275,0.974997,,,,,,,,,,,,,,,,,,,,,,,,,1.831575,0.737502,1.603021,2.060129,0.125,0.334932,0.021203,0.228797,0.45,0.597001,0.264987,0.635013,0.125,0.334932,0.021203,0.228797,0.45,0.597001,0.264987,0.635013
