level,seed,model_tag,d,n_obs,n_remove,correct_remove,n_add,correct_add,pc_fp,pc_fn,n_pc_adj,n_non_adj,chance_remove,chance_add,pc_skeleton_f1
1,123393401,gpt-4o-mini-2024-07-18,6,60,4,0,4,0,0,0,6,9,0.0,0.0,1.0
1,123393401,qwen3-coder-30b-a3b-instruct,6,60,2,0,3,0,0,0,6,9,0.0,0.0,1.0
1,239607114,gpt-4o-mini-2024-07-18,6,60,3,0,4,1,1,1,6,9,0.166667,0.111111,0.833333
1,239607114,qwen3-coder-30b-a3b-instruct,6,60,4,1,4,0,1,1,6,9,0.166667,0.111111,0.833333
1,295485567,gpt-4o-mini-2024-07-18,6,60,3,0,4,0,0,1,5,10,0.0,0.1,0.909091
1,295485567,qwen3-coder-30b-a3b-instruct,6,60,4,0,4,0,0,1,5,10,0.0,0.1,0.909091
1,325160078,gpt-4o-mini-2024-07-18,6,60,4,0,2,0,0,0,6,9,0.0,0.0,1.0
1,325160078,qwen3-coder-30b-a3b-instruct,6,60,2,0,2,0,0,0,6,9,0.0,0.0,1.0
1,424836758,gpt-4o-mini-2024-07-18,6,60,4,0,4,0,0,0,6,9,0.0,0.0,1.0
1,424836758,qwen3-coder-30b-a3b-instruct,6,60,4,0,4,0,0,0,6,9,0.0,0.0,1.0
1,433882786,gpt-4o-mini-2024-07-18,6,60,4,1,0,0,1,1,6,9,0.166667,0.111111,0.833333
1,433882786,qwen3-coder-30b-a3b-instruct,6,60,4,1,4,0,1,1,6,9,0.166667,0.111111,0.833333
1,674912463,gpt-4o-mini-2024-07-18,6,60,3,0,4,1,0,1,5,10,0.0,0.1,0.909091
1,674912463,qwen3-coder-30b-a3b-instruct,6,60,2,0,2,0,0,1,5,10,0.0,0.1,0.909091
1,848528041,gpt-4o-mini-2024-07-18,6,60,4,0,3,0,0,1,5,10,0.0,0.1,0.909091
1,848528041,qwen3-coder-30b-a3b-instruct,6,60,4,0,4,1,0,1,5,10,0.0,0.1,0.909091
1,920829464,gpt-4o-mini-2024-07-18,6,60,3,0,2,0,0,1,5,10,0.0,0.1,0.909091
1,920829464,qwen3-coder-30b-a3b-instruct,6,60,2,0,1,1,0,1,5,10,0.0,0.1,0.909091
1,1004126917,gpt-4o-mini-2024-07-18,6,60,3,0,2,1,0,1,5,10,0.0,0.1,0.909091
1,1004126917,qwen3-coder-30b-a3b-instruct,6,60,4,0,4,0,0,1,5,10,0.0,0.1,0.909091
1,1036482875,gpt-4o-mini-2024-07-18,6,60,3,0,4,1,0,1,5,10,0.0,0.1,0.909091
1,1036482875,qwen3-coder-30b-a3b-instruct,6,60,4,0,3,0,0,1,5,10,0.0,0.1,0.909091
1,1078156455,gpt-4o-mini-2024-07-18,6,60,3,0,4,0,0,2,4,11,0.0,0.181818,0.8
1,1078156455,qwen3-coder-30b-a3b-instruct,6,60,2,0,4,1,0,2,4,11,0.0,0.181818,0.8
1,1158667886,gpt-4o-mini-2024-07-18,6,60,4,0,4,1,0,1,5,10,0.0,0.1,0.909091
1,1158667886,qwen3-coder-30b-a3b-instruct,6,60,2,0,3,1,0,1,5,10,0.0,0.1,0.909091
1,1279549348,gpt-4o-mini-2024-07-18,6,60,4,0,4,1,0,2,4,11,0.0,0.181818,0.8
1,1279549348,qwen3-coder-30b-a3b-instruct,6,60,2,0,3,1,0,2,4,11,0.0,0.181818,0.8
1,1343008841,gpt-4o-mini-2024-07-18,6,60,4,0,3,1,0,1,5,10,0.0,0.1,0.909091
1,1343008841,qwen3-coder-30b-a3b-instruct,6,60,4,0,4,0,0,1,5,10,0.0,0.1,0.909091
1,1470120545,gpt-4o-mini-2024-07-18,6,60,4,0,4,1,0,1,5,10,0.0,0.1,0.909091
1,1470120545,qwen3-coder-30b-a3b-instruct,6,60,4,0,4,0,0,1,5,10,0.0,0.1,0.909091
1,1580201974,gpt-4o-mini-2024-07-18,6,60,3,0,4,1,0,3,3,12,0.0,0.25,0.666667
1,1580201974,qwen3-coder-30b-a3b-instruct,6,60,1,0,4,1,0,3,3,12,0.0,0.25,0.666667
1,1719885688,gpt-4o-mini-2024-07-18,6,60,2,0,2,0,0,1,5,10,0.0,0.1,0.909091
1,1719885688,qwen3-coder-30b-a3b-instruct,6,60,2,0,2,0,0,1,5,10,0.0,0.1,0.909091
1,1761685205,gpt-4o-mini-2024-07-18,6,60,3,0,2,0,0,1,5,10,0.0,0.1,0.909091
1,1761685205,qwen3-coder-30b-a3b-instruct,6,60,3,0,3,1,0,1,5,10,0.0,0.1,0.909091
1,1943031107,gpt-4o-mini-2024-07-18,6,60,3,0,4,2,0,2,4,11,0.0,0.181818,0.8
1,1943031107,qwen3-coder-30b-a3b-instruct,6,60,3,0,3,1,0,2,4,11,0.0,0.181818,0.8
2,113229833,gpt-4o-mini-2024-07-18,8,60,4,0,1,0,0,0,8,20,0.0,0.0,1.0
2,113229833,qwen3-coder-30b-a3b-instruct,8,60,3,0,4,0,0,0,8,20,0.0,0.0,1.0
2,115210587,gpt-4o-mini-2024-07-18,8,60,4,0,4,2,0,2,6,22,0.0,0.090909,0.857143
2,115210587,qwen3-coder-30b-a3b-instruct,8,60,4,0,4,1,0,2,6,22,0.0,0.090909,0.857143
2,490919193,gpt-4o-mini-2024-07-18,8,60,4,0,4,2,1,2,7,21,0.142857,0.095238,0.8
2,490919193,qwen3-coder-30b-a3b-instruct,8,60,4,1,4,0,1,2,7,21,0.142857,0.095238,0.8
2,672264874,gpt-4o-mini-2024-07-18,8,60,4,0,1,0,1,2,7,21,0.142857,0.095238,0.8
2,672264874,qwen3-coder-30b-a3b-instruct,8,60,4,0,4,0,1,2,7,21,0.142857,0.095238,0.8
2,961883866,gpt-4o-mini-2024-07-18,8,60,4,0,1,0,0,1,7,21,0.0,0.047619,0.933333
2,961883866,qwen3-coder-30b-a3b-instruct,8,60,4,0,4,0,0,1,7,21,0.0,0.047619,0.933333
2,1013733486,gpt-4o-mini-2024-07-18,8,60,4,0,4,0,0,1,7,21,0.0,0.047619,0.933333
2,1013733486,qwen3-coder-30b-a3b-instruct,8,60,4,0,4,1,0,1,7,21,0.0,0.047619,0.933333
2,1160858884,gpt-4o-mini-2024-07-18,8,60,3,0,3,0,0,1,7,21,0.0,0.047619,0.933333
2,1160858884,qwen3-coder-30b-a3b-instruct,8,60,4,0,4,1,0,1,7,21,0.0,0.047619,0.933333
2,1170454109,gpt-4o-mini-2024-07-18,8,60,4,1,4,0,1,2,7,21,0.142857,0.095238,0.8
2,1170454109,qwen3-coder-30b-a3b-instruct,8,60,4,0,3,0,1,2,7,21,0.142857,0.095238,0.8
2,1205066770,gpt-4o-mini-2024-07-18,8,60,4,0,3,0,0,2,6,22,0.0,0.090909,0.857143
2,1205066770,qwen3-coder-30b-a3b-instruct,8,60,3,0,2,1,0,2,6,22,0.0,0.090909,0.857143
2,1209483262,gpt-4o-mini-2024-07-18,8,60,4,0,2,0,0,2,6,22,0.0,0.090909,0.857143
2,1209483262,qwen3-coder-30b-a3b-instruct,8,60,3,0,3,1,0,2,6,22,0.0,0.090909,0.857143
2,1221181939,gpt-4o-mini-2024-07-18,8,60,4,0,1,0,0,1,7,21,0.0,0.047619,0.933333
2,1221181939,qwen3-coder-30b-a3b-instruct,8,60,4,0,4,0,0,1,7,21,0.0,0.047619,0.933333
2,1409296086,gpt-4o-mini-2024-07-18,8,60,4,0,3,0,1,1,8,20,0.125,0.05,0.875
2,1409296086,qwen3-coder-30b-a3b-instruct,8,60,4,1,4,0,1,1,8,20,0.125,0.05,0.875
2,1511305649,gpt-4o-mini-2024-07-18,8,60,3,0,1,0,0,2,6,22,0.0,0.090909,0.857143
2,1511305649,qwen3-coder-30b-a3b-instruct,8,60,3,0,2,0,0,2,6,22,0.0,0.090909,0.857143
2,1528591101,gpt-4o-mini-2024-07-18,8,60,4,0,3,0,1,1,8,20,0.125,0.05,0.875
2,1528591101,qwen3-coder-30b-a3b-instruct,8,60,2,0,4,0,1,1,8,20,0.125,0.05,0.875
2,1851410617,gpt-4o-mini-2024-07-18,8,60,3,0,4,2,0,3,5,23,0.0,0.130435,0.769231
2,1851410617,qwen3-coder-30b-a3b-instruct,8,60,4,0,4,1,0,3,5,23,0.0,0.130435,0.769231
2,1868687150,gpt-4o-mini-2024-07-18,8,60,3,1,4,1,1,2,7,21,0.142857,0.095238,0.8
2,1868687150,qwen3-coder-30b-a3b-instruct,8,60,4,1,4,1,1,2,7,21,0.142857,0.095238,0.8
2,1871593145,gpt-4o-mini-2024-07-18,8,60,4,0,4,1,0,2,6,22,0.0,0.090909,0.857143
2,1871593145,qwen3-coder-30b-a3b-instruct,8,60,4,0,4,1,0,2,6,22,0.0,0.090909,0.857143
2,1922145947,gpt-4o-mini-2024-07-18,8,60,4,0,2,1,0,2,6,22,0.0,0.090909,0.857143
2,1922145947,qwen3-coder-30b-a3b-instruct,8,60,4,0,4,0,0,2,6,22,0.0,0.090909,0.857143
2,1971979182,gpt-4o-mini-2024-07-18,8,60,4,0,3,1,0,2,6,22,0.0,0.090909,0.857143
2,1971979182,qwen3-coder-30b-a3b-instruct,8,60,3,0,4,0,0,2,6,22,0.0,0.090909,0.857143
2,2139245632,gpt-4o-mini-2024-07-18,8,60,4,1,2,0,1,3,6,22,0.166667,0.136364,0.714286
2,2139245632,qwen3-coder-30b-a3b-instruct,8,60,2,0,3,0,1,3,6,22,0.166667,0.136364,0.714286
