arm,model_tag,n,directed_f1,compelled_f1,skeleton_f1,dag_shd,efficiency,interventions_used,prompt_tokens,completion_tokens,total_tokens,cost_usd,llm_calls,wall_sec
oracle,none,40,1.000 ±0.000,1.000 ±0.000,1.000 ±0.000,0.000 ±0.000,1.000 ±0.000,0.000 ±0.000,—,—,—,—,—,0.002 ±0.000
pc_greedy_meek,none,40,0.776 ±0.055,0.757 ±0.085,0.873 ±0.023,2.275 ±0.455,0.887 ±0.062,1.675 ±0.237,—,—,—,—,—,0.182 ±0.295
probe,gpt-4o-mini-2024-07-18,40,0.834 ±0.037,0.806 ±0.072,0.882 ±0.023,1.900 ±0.408,0.733 ±0.065,2.225 ±0.204,979.825 ±46.933,103.425 ±5.198,1083.250 ±47.142,0.000 ±0.000,1.000 ±0.000,2.516 ±0.318
probe,qwen3-coder-30b-a3b-instruct,40,0.847 ±0.043,0.841 ±0.056,0.890 ±0.025,1.750 ±0.448,0.742 ±0.066,2.250 ±0.182,1461.550 ±63.356,278.625 ±20.142,1740.175 ±66.607,0.001 ±0.000,1.000 ±0.000,3.514 ±0.353
probe_llm_graphs,gpt-4o-mini-2024-07-18,40,0.564 ±0.065,0.657 ±0.110,0.837 ±0.036,3.875 ±0.571,0.954 ±0.039,1.075 ±0.275,926.750 ±39.868,344.025 ±19.252,1270.775 ±52.359,0.000 ±0.000,1.000 ±0.000,4.198 ±0.342
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,40,0.617 ±0.066,0.685 ±0.104,0.845 ±0.036,3.700 ±0.750,0.867 ±0.059,1.600 ±0.335,1383.575 ±56.272,826.525 ±109.543,2210.100 ±115.115,0.002 ±0.000,1.000 ±0.000,8.019 ±0.948
probe_mec_only,none,40,0.757 ±0.057,0.740 ±0.086,0.873 ±0.023,2.350 ±0.452,0.892 ±0.060,1.675 ±0.247,—,—,—,—,—,0.102 ±0.032
probe_oracle_edits,none,40,0.983 ±0.019,0.984 ±0.023,0.990 ±0.009,0.175 ±0.184,0.896 ±0.062,1.875 ±0.144,—,—,—,—,—,0.447 ±0.305
probe_random_edits,none,40,0.793 ±0.051,0.798 ±0.069,0.864 ±0.026,2.200 ±0.450,0.712 ±0.060,2.325 ±0.215,—,—,—,—,—,0.667 ±0.309
probe_skel_only,none,40,0.828 ±0.036,0.804 ±0.064,0.873 ±0.023,1.925 ±0.367,0.829 ±0.068,1.975 ±0.192,—,—,—,—,—,0.532 ±0.316
