arm,model_tag,level,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
oracle,none,1,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0017,0.000733,0.001379,0.002021,,,,,,,,,,,,,,,,
oracle,none,2,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00215,0.000875,0.001766,0.002534,,,,,,,,,,,,,,,,
pc_greedy_meek,none,1,20,20,0,0.775,0.202764,0.686135,0.863865,0.754762,0.333081,0.608783,0.900741,0.886667,0.079699,0.851737,0.921596,1.85,1.348488,1.258999,2.441001,0.891667,0.197017,0.80532,0.978013,1.55,0.887041,1.161237,1.938763,1.55,0.887041,1.161237,1.938763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.886667,0.079699,0.851737,0.921596,,,,,,,,,,,,,,,,,,,,,,,,,0.3231,1.34751,-0.267472,0.913672,,,,,,,,,,,,,,,,
pc_greedy_meek,none,2,20,20,0,0.777816,0.149955,0.712095,0.843537,0.75873,0.208684,0.667271,0.85019,0.858342,0.067057,0.828954,0.887731,2.7,1.49032,2.046839,3.353161,0.883333,0.210124,0.791242,0.975424,1.8,0.615587,1.530207,2.069793,1.8,0.615587,1.530207,2.069793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.858343,0.067056,0.828954,0.887731,,,,,,,,,,,,,,,,,,,,,,,,,0.0409,0.015248,0.034217,0.047583,,,,,,,,,,,,,,,,
probe,gpt-4o-mini-2024-07-18,1,20,20,0,0.855093,0.118779,0.803036,0.90715,0.825238,0.274592,0.704893,0.945583,0.898275,0.072122,0.866666,0.929884,1.4,1.046297,0.94144,1.85856,0.75,0.219649,0.653735,0.846265,2.1,0.718185,1.785242,2.414758,2.1,0.718185,1.785242,2.414758,48.0,0.0,48.0,48.0,0.25,0.444262,0.055294,0.444706,0.921608,0.05721,0.896535,0.946682,-0.45,0.998683,-0.887692,-0.012308,2.381185,0.541982,2.143651,2.61872,0.117518,0.245927,0.009735,0.2253,0.952404,0.115044,0.901984,1.002825,,,,,,,,,0.886667,0.079699,0.851737,0.921596,830.3,1.838191,829.494377,831.105623,103.7,14.981041,97.134269,110.265731,934.0,14.998246,927.426729,940.573271,0.000187,9e-06,0.000183,0.000191,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.62065,1.399298,2.00738,3.23392,3.4,0.598243,3.137808,3.662192,3.2,1.151658,2.695264,3.704736,0.05,0.223607,-0.048,0.148,0.55,0.604805,0.284932,0.815068
probe,gpt-4o-mini-2024-07-18,2,20,20,0,0.813333,0.121387,0.760133,0.866534,0.787341,0.184069,0.706669,0.868013,0.865893,0.072407,0.834159,0.897627,2.4,1.391705,1.790059,3.009941,0.716667,0.203047,0.627677,0.805656,2.35,0.587143,2.092673,2.607327,2.35,0.587143,2.092673,2.607327,48.0,0.0,48.0,48.0,0.05,0.223607,-0.048,0.148,0.854583,0.095204,0.812858,0.896308,-0.9,0.447214,-1.096,-0.704,2.685953,0.685259,2.385625,2.986281,0.190136,0.301078,0.058183,0.322089,0.906676,0.168835,0.832681,0.980672,,,,,,,,,0.858343,0.067056,0.828954,0.887731,1129.35,2.254236,1128.362038,1130.337962,103.15,18.784862,94.917171,111.382829,1232.5,19.411066,1223.992725,1241.007275,0.000231,1.1e-05,0.000226,0.000236,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.4116,0.421452,2.22689,2.59631,3.8,0.410391,3.620138,3.979862,2.7,1.218282,2.166064,3.233936,0.15,0.366348,-0.010559,0.310559,0.5,0.760886,0.166527,0.833473
probe,qwen3-coder-30b-a3b-instruct,1,20,20,0,0.870455,0.133948,0.811749,0.92916,0.883571,0.154485,0.815865,0.951277,0.904545,0.08034,0.869335,0.939756,1.25,1.118034,0.76,1.74,0.733333,0.212201,0.640332,0.826334,2.2,0.695852,1.895029,2.504971,2.2,0.695852,1.895029,2.504971,48.0,0.0,48.0,48.0,0.3,0.470162,0.093942,0.506058,0.916667,0.079036,0.882028,0.951306,-0.3,1.174286,-0.814653,0.214653,2.464093,0.58745,2.206632,2.721555,0.188332,0.318044,0.048943,0.327721,0.938057,0.110556,0.889604,0.98651,,,,,,,,,0.886667,0.079699,0.851737,0.921596,1259.75,3.462202,1258.232623,1261.267377,278.35,68.412276,248.366998,308.333002,1538.1,68.057174,1508.272628,1567.927372,0.000776,0.0001,0.000732,0.000819,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.54395,1.477817,2.896268,4.191632,2.95,1.050063,2.48979,3.41021,3.25,0.910465,2.850971,3.649029,0.1,0.307794,-0.034896,0.234896,0.4,0.502625,0.179715,0.620285
probe,qwen3-coder-30b-a3b-instruct,2,20,20,0,0.82256,0.140277,0.76108,0.884039,0.797518,0.199699,0.709996,0.88504,0.876012,0.080592,0.840691,0.911333,2.25,1.585294,1.555214,2.944786,0.75,0.219649,0.653735,0.846265,2.3,0.470162,2.093942,2.506058,2.3,0.470162,2.093942,2.506058,48.0,0.0,48.0,48.0,0.05,0.223607,-0.048,0.148,0.861309,0.098217,0.818264,0.904355,-0.9,0.447214,-1.096,-0.704,2.618088,0.713196,2.305516,2.930661,0.218396,0.423037,0.032991,0.4038,0.901825,0.211018,0.809342,0.994307,,,,,,,,,0.858343,0.067056,0.828954,0.887731,1663.35,6.761151,1660.386795,1666.313205,278.9,63.16803,251.21539,306.58461,1942.25,64.959805,1913.78011,1970.71989,0.000894,9.3e-05,0.000854,0.000935,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.4834,0.691384,3.180388,3.786412,3.55,0.686333,3.249201,3.850799,3.65,0.67082,3.356,3.944,0.15,0.366348,-0.010559,0.310559,0.4,0.502625,0.179715,0.620285
probe_llm_graphs,gpt-4o-mini-2024-07-18,1,20,20,0,0.574592,0.238574,0.470033,0.679152,0.67381,0.390786,0.50254,0.845079,0.868124,0.094278,0.826804,0.909443,3.2,1.735087,2.439565,3.960435,0.966667,0.102598,0.921701,1.011632,1.1,0.852242,0.726489,1.473511,1.1,0.852242,0.726489,1.473511,8.8,3.088178,7.446546,10.153454,0.0,0.0,0.0,0.0,0.614546,0.209486,0.522734,0.706357,-1.0,0.0,-1.0,-1.0,0.672102,0.489133,0.45773,0.886474,0.021482,0.092239,-0.018944,0.061907,0.992739,0.032033,0.978699,1.006778,12.0,0.0,12.0,12.0,8.8,3.088178,7.446546,10.153454,0.886667,0.079699,0.851737,0.921596,799.8,4.047091,798.026284,801.573716,313.75,31.061696,300.136612,327.363388,1113.55,33.427809,1098.899617,1128.200383,0.000308,1.9e-05,0.0003,0.000317,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.7177,0.653381,3.431343,4.004057,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probe_llm_graphs,gpt-4o-mini-2024-07-18,2,20,20,0,0.553448,0.181604,0.473856,0.633039,0.639325,0.323027,0.497753,0.780898,0.805902,0.129128,0.749309,0.862495,4.55,1.731291,3.791228,5.308772,0.941667,0.145849,0.877746,1.005588,1.05,0.944513,0.636049,1.463951,1.05,0.944513,0.636049,1.463951,8.7,4.001316,6.946346,10.453654,0.0,0.0,0.0,0.0,0.601722,0.135866,0.542176,0.661267,-1.0,0.0,-1.0,-1.0,0.516652,0.541185,0.279467,0.753837,0.010606,0.032602,-0.003682,0.024894,0.998179,0.005644,0.995705,1.000652,12.0,0.0,12.0,12.0,8.7,4.001316,6.946346,10.453654,0.858343,0.067056,0.828954,0.887731,1053.7,5.016814,1051.501284,1055.898716,374.3,70.904012,343.224947,405.375053,1428.0,73.7121,1395.694248,1460.305752,0.000383,4.3e-05,0.000364,0.000401,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.67815,1.260199,4.125844,5.230456,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
