level,seed,model_tag,d,n_obs,n_remove,correct_remove,n_add,correct_add,pc_fp,pc_fn,n_pc_adj,n_non_adj,chance_remove,chance_add,pc_skeleton_f1
0,123393401,gpt-4o-mini-2024-07-18,4,300,2,0,3,1,0,1,3,3,0.0,0.333333,0.857143
0,123393401,qwen3-coder-30b-a3b-instruct,4,300,0,0,0,0,0,1,3,3,0.0,0.333333,0.857143
0,239607114,gpt-4o-mini-2024-07-18,4,300,2,0,2,1,0,1,3,3,0.0,0.333333,0.857143
0,239607114,qwen3-coder-30b-a3b-instruct,4,300,1,0,3,1,0,1,3,3,0.0,0.333333,0.857143
0,295485567,gpt-4o-mini-2024-07-18,4,300,2,0,2,0,0,0,4,2,0.0,0.0,1.0
0,295485567,qwen3-coder-30b-a3b-instruct,4,300,1,0,2,0,0,0,4,2,0.0,0.0,1.0
0,325160078,gpt-4o-mini-2024-07-18,4,300,2,0,2,1,0,1,3,3,0.0,0.333333,0.857143
0,325160078,qwen3-coder-30b-a3b-instruct,4,300,1,0,2,1,0,1,3,3,0.0,0.333333,0.857143
0,424836758,gpt-4o-mini-2024-07-18,4,300,3,0,3,1,0,1,3,3,0.0,0.333333,0.857143
0,424836758,qwen3-coder-30b-a3b-instruct,4,300,1,0,2,1,0,1,3,3,0.0,0.333333,0.857143
0,433882786,gpt-4o-mini-2024-07-18,4,300,2,0,2,0,0,0,4,2,0.0,0.0,1.0
0,433882786,qwen3-coder-30b-a3b-instruct,4,300,1,0,2,0,0,0,4,2,0.0,0.0,1.0
0,674912463,gpt-4o-mini-2024-07-18,4,300,3,0,1,0,1,0,5,1,0.2,0.0,0.888889
0,674912463,qwen3-coder-30b-a3b-instruct,4,300,0,0,1,0,1,0,5,1,0.2,0.0,0.888889
0,848528041,gpt-4o-mini-2024-07-18,4,300,2,0,2,0,0,0,4,2,0.0,0.0,1.0
0,848528041,qwen3-coder-30b-a3b-instruct,4,300,2,0,2,0,0,0,4,2,0.0,0.0,1.0
0,920829464,gpt-4o-mini-2024-07-18,4,300,2,0,3,1,0,1,3,3,0.0,0.333333,0.857143
0,920829464,qwen3-coder-30b-a3b-instruct,4,300,0,0,2,0,0,1,3,3,0.0,0.333333,0.857143
0,1004126917,gpt-4o-mini-2024-07-18,4,300,1,0,1,1,0,1,3,3,0.0,0.333333,0.857143
0,1004126917,qwen3-coder-30b-a3b-instruct,4,300,1,0,2,1,0,1,3,3,0.0,0.333333,0.857143
0,1036482875,gpt-4o-mini-2024-07-18,4,300,2,0,0,0,0,0,4,2,0.0,0.0,1.0
0,1036482875,qwen3-coder-30b-a3b-instruct,4,300,0,0,2,0,0,0,4,2,0.0,0.0,1.0
0,1078156455,gpt-4o-mini-2024-07-18,4,300,2,0,2,1,0,1,3,3,0.0,0.333333,0.857143
0,1078156455,qwen3-coder-30b-a3b-instruct,4,300,2,0,2,1,0,1,3,3,0.0,0.333333,0.857143
0,1158667886,gpt-4o-mini-2024-07-18,4,300,2,0,2,1,0,1,3,3,0.0,0.333333,0.857143
0,1158667886,qwen3-coder-30b-a3b-instruct,4,300,1,0,1,0,0,1,3,3,0.0,0.333333,0.857143
0,1279549348,gpt-4o-mini-2024-07-18,4,300,2,0,2,0,0,0,4,2,0.0,0.0,1.0
0,1279549348,qwen3-coder-30b-a3b-instruct,4,300,2,0,2,0,0,0,4,2,0.0,0.0,1.0
0,1343008841,gpt-4o-mini-2024-07-18,4,300,2,0,2,1,0,1,3,3,0.0,0.333333,0.857143
0,1343008841,qwen3-coder-30b-a3b-instruct,4,300,0,0,0,0,0,1,3,3,0.0,0.333333,0.857143
0,1470120545,gpt-4o-mini-2024-07-18,4,300,2,0,2,1,0,1,3,3,0.0,0.333333,0.857143
0,1470120545,qwen3-coder-30b-a3b-instruct,4,300,0,0,1,1,0,1,3,3,0.0,0.333333,0.857143
0,1580201974,gpt-4o-mini-2024-07-18,4,300,3,0,3,1,0,1,3,3,0.0,0.333333,0.857143
0,1580201974,qwen3-coder-30b-a3b-instruct,4,300,0,0,0,0,0,1,3,3,0.0,0.333333,0.857143
0,1719885688,gpt-4o-mini-2024-07-18,4,300,3,0,1,0,0,0,4,2,0.0,0.0,1.0
0,1719885688,qwen3-coder-30b-a3b-instruct,4,300,2,0,2,0,0,0,4,2,0.0,0.0,1.0
