arm,model_tag,n,directed_f1,compelled_f1,skeleton_f1,dag_shd,efficiency,interventions_used,prompt_tokens,completion_tokens,total_tokens,cost_usd,llm_calls,wall_sec
llm_e2e,gpt-4o-mini-2024-07-18,80,0.000 ±0.000,0.312 ±0.102,0.138 ±0.049,8.850 ±0.971,0.642 ±0.027,2.650 ±0.152,33669.300 ±2943.325,223.550 ±9.176,33892.850 ±2949.309,0.004 ±0.000,3.650 ±0.152,9.170 ±1.680
llm_e2e,qwen3-coder-30b-a3b-instruct,80,0.202 ±0.038,0.471 ±0.089,0.385 ±0.044,9.863 ±1.076,0.613 ±0.019,2.712 ±0.131,50236.637 ±4191.556,687.663 ±31.496,50924.300 ±4207.950,0.016 ±0.001,3.712 ±0.131,10.834 ±0.569
oracle,none,80,1.000 ±0.000,1.000 ±0.000,1.000 ±0.000,0.000 ±0.000,1.000 ±0.000,0.000 ±0.000,—,—,—,—,—,0.006 ±0.001
pc_greedy,none,80,0.868 ±0.041,0.949 ±0.028,0.947 ±0.014,1.137 ±0.291,0.848 ±0.047,1.975 ±0.163,—,—,—,—,—,0.120 ±0.136
pc_greedy_meek,none,80,0.874 ±0.040,0.958 ±0.020,0.947 ±0.014,1.025 ±0.259,0.904 ±0.041,1.812 ±0.156,—,—,—,—,—,0.116 ±0.136
probe,gpt-4o-mini-2024-07-18,80,0.953 ±0.017,0.956 ±0.021,0.963 ±0.012,0.637 ±0.229,0.710 ±0.042,2.438 ±0.159,1019.837 ±74.510,93.875 ±4.142,1113.713 ±74.712,0.000 ±0.000,1.000 ±0.000,2.702 ±0.217
probe,qwen3-coder-30b-a3b-instruct,80,0.955 ±0.018,0.967 ±0.017,0.965 ±0.012,0.562 ±0.212,0.708 ±0.042,2.438 ±0.159,1518.963 ±100.538,288.512 ±20.669,1807.475 ±115.439,0.001 ±0.000,1.000 ±0.000,4.104 ±0.283
probe_llm_graphs,gpt-4o-mini-2024-07-18,80,0.649 ±0.050,0.930 ±0.036,0.928 ±0.018,2.737 ±0.425,0.982 ±0.018,0.625 ±0.172,961.925 ±63.549,376.750 ±23.498,1338.675 ±86.290,0.000 ±0.000,1.000 ±0.000,5.434 ±0.508
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,79,0.669 ±0.059,0.936 ±0.033,0.918 ±0.021,2.734 ±0.479,0.911 ±0.037,1.228 ±0.252,1501.608 ±113.522,813.582 ±65.921,2315.190 ±158.794,0.002 ±0.000,1.063 ±0.074,7.917 ±0.637
probe_marginal,gpt-4o-mini-2024-07-18,80,0.952 ±0.018,0.956 ±0.021,0.963 ±0.012,0.650 ±0.242,0.710 ±0.042,2.438 ±0.159,1019.837 ±74.510,93.875 ±4.142,1113.713 ±74.712,0.000 ±0.000,1.000 ±0.000,1.174 ±0.216
probe_marginal,qwen3-coder-30b-a3b-instruct,80,0.955 ±0.018,0.968 ±0.016,0.965 ±0.012,0.575 ±0.225,0.708 ±0.042,2.438 ±0.159,1518.963 ±100.538,288.512 ±20.669,1807.475 ±115.439,0.001 ±0.000,1.000 ±0.000,1.082 ±0.179
probe_maxdeg_sel,gpt-4o-mini-2024-07-18,80,0.947 ±0.024,0.956 ±0.021,0.964 ±0.012,0.650 ±0.237,0.719 ±0.044,2.400 ±0.150,1019.837 ±74.510,93.875 ±4.142,1113.713 ±74.712,0.000 ±0.000,1.000 ±0.000,0.075 ±0.013
probe_maxdeg_sel,qwen3-coder-30b-a3b-instruct,80,0.947 ±0.024,0.967 ±0.017,0.964 ±0.012,0.600 ±0.219,0.706 ±0.041,2.450 ±0.163,1518.963 ±100.538,288.512 ±20.669,1807.475 ±115.439,0.001 ±0.000,1.000 ±0.000,0.075 ±0.011
probe_mec_only,none,80,0.867 ±0.043,0.957 ±0.021,0.947 ±0.014,1.012 ±0.257,0.904 ±0.040,1.812 ±0.168,—,—,—,—,—,0.115 ±0.030
probe_no_bic,gpt-4o-mini-2024-07-18,80,0.928 ±0.020,0.952 ±0.023,0.949 ±0.013,0.887 ±0.242,0.692 ±0.041,2.475 ±0.148,1019.837 ±74.510,93.875 ±4.142,1113.713 ±74.712,0.000 ±0.000,1.000 ±0.000,0.850 ±0.125
probe_no_bic,qwen3-coder-30b-a3b-instruct,80,0.927 ±0.017,0.967 ±0.017,0.938 ±0.013,0.950 ±0.231,0.679 ±0.039,2.525 ±0.148,1518.963 ±100.538,288.512 ±20.669,1807.475 ±115.439,0.001 ±0.000,1.000 ±0.000,0.855 ±0.110
probe_no_update,gpt-4o-mini-2024-07-18,80,0.674 ±0.053,0.941 ±0.030,0.947 ±0.015,2.288 ±0.356,0.613 ±0.019,2.712 ±0.131,1019.837 ±74.510,93.875 ±4.142,1113.713 ±74.712,0.000 ±0.000,1.000 ±0.000,1.353 ±0.251
probe_no_update,qwen3-coder-30b-a3b-instruct,80,0.681 ±0.053,0.952 ±0.027,0.950 ±0.015,2.175 ±0.330,0.613 ±0.019,2.712 ±0.131,1518.963 ±100.538,288.512 ±20.669,1807.475 ±115.439,0.001 ±0.000,1.000 ±0.000,1.168 ±0.164
probe_noreserve,gpt-4o-mini-2024-07-18,80,0.894 ±0.018,0.940 ±0.024,0.913 ±0.013,1.488 ±0.261,0.742 ±0.045,2.325 ±0.159,1019.837 ±74.510,93.875 ±4.142,1113.713 ±74.712,0.000 ±0.000,1.000 ±0.000,1.293 ±0.196
probe_noreserve,qwen3-coder-30b-a3b-instruct,80,0.909 ±0.019,0.967 ±0.017,0.922 ±0.013,1.225 ±0.242,0.725 ±0.044,2.375 ±0.153,1518.963 ±100.538,288.512 ±20.669,1807.475 ±115.439,0.001 ±0.000,1.000 ±0.000,1.363 ±0.213
probe_oracle_edits,none,80,0.996 ±0.006,0.998 ±0.004,0.996 ±0.006,0.062 ±0.101,0.870 ±0.046,2.000 ±0.126,—,—,—,—,—,0.918 ±0.168
probe_oracle_edits_noreserve,none,80,0.996 ±0.006,0.998 ±0.004,0.996 ±0.006,0.062 ±0.101,0.884 ±0.045,1.962 ±0.123,—,—,—,—,—,0.806 ±0.120
probe_random_edits,none,80,0.936 ±0.025,0.953 ±0.022,0.957 ±0.013,0.713 ±0.247,0.681 ±0.038,2.513 ±0.152,—,—,—,—,—,1.282 ±0.227
probe_random_edits_noreserve,none,80,0.879 ±0.028,0.958 ±0.019,0.907 ±0.012,1.512 ±0.272,0.694 ±0.041,2.450 ±0.148,—,—,—,—,—,1.158 ±0.164
probe_random_hyp,none,80,0.298 ±0.050,0.485 ±0.091,0.547 ±0.052,8.825 ±1.106,0.994 ±0.012,0.250 ±0.107,—,—,—,—,—,0.028 ±0.004
probe_random_sel,gpt-4o-mini-2024-07-18,80,0.903 ±0.030,0.955 ±0.020,0.958 ±0.014,0.988 ±0.280,0.683 ±0.038,2.513 ±0.156,1019.837 ±74.510,93.875 ±4.142,1113.713 ±74.712,0.000 ±0.000,1.000 ±0.000,0.078 ±0.013
probe_random_sel,qwen3-coder-30b-a3b-instruct,80,0.886 ±0.032,0.963 ±0.018,0.956 ±0.015,1.038 ±0.269,0.667 ±0.035,2.562 ±0.159,1518.963 ±100.538,288.512 ±20.669,1807.475 ±115.439,0.001 ±0.000,1.000 ±0.000,0.096 ±0.027
probe_repair_only,gpt-4o-mini-2024-07-18,80,0.953 ±0.017,0.956 ±0.021,0.963 ±0.012,0.637 ±0.229,0.710 ±0.042,2.438 ±0.159,1019.837 ±74.510,93.875 ±4.142,1113.713 ±74.712,0.000 ±0.000,1.000 ±0.000,1.263 ±0.228
