arm,model_tag,n,directed_f1,compelled_f1,skeleton_f1,dag_shd,interventions_used,map_weight_final,entropy_final_nats
probe,gpt-4o-mini-2024-07-18,80,0.953 ±0.017,0.956 ±0.021,0.963 ±0.012,0.637 ±0.229,2.438 ±0.159,0.952 ±0.020,0.152 ±0.049
probe,qwen3-coder-30b-a3b-instruct,80,0.955 ±0.018,0.967 ±0.017,0.965 ±0.012,0.562 ±0.212,2.438 ±0.159,0.932 ±0.027,0.215 ±0.065
probe_marginal,gpt-4o-mini-2024-07-18,80,0.952 ±0.018,0.956 ±0.021,0.963 ±0.012,0.650 ±0.242,2.438 ±0.159,0.952 ±0.020,0.152 ±0.049
probe_marginal,qwen3-coder-30b-a3b-instruct,80,0.955 ±0.018,0.968 ±0.016,0.965 ±0.012,0.575 ±0.225,2.438 ±0.159,0.932 ±0.027,0.215 ±0.065
probe_maxdeg_sel,gpt-4o-mini-2024-07-18,80,0.947 ±0.024,0.956 ±0.021,0.964 ±0.012,0.650 ±0.237,2.400 ±0.150,0.955 ±0.015,0.155 ±0.045
probe_maxdeg_sel,qwen3-coder-30b-a3b-instruct,80,0.947 ±0.024,0.967 ±0.017,0.964 ±0.012,0.600 ±0.219,2.450 ±0.163,0.925 ±0.025,0.238 ±0.063
probe_no_bic,gpt-4o-mini-2024-07-18,80,0.928 ±0.020,0.952 ±0.023,0.949 ±0.013,0.887 ±0.242,2.475 ±0.148,0.789 ±0.054,0.426 ±0.109
probe_no_bic,qwen3-coder-30b-a3b-instruct,80,0.927 ±0.017,0.967 ±0.017,0.938 ±0.013,0.950 ±0.231,2.525 ±0.148,0.764 ±0.055,0.487 ±0.111
probe_no_update,gpt-4o-mini-2024-07-18,80,0.674 ±0.053,0.941 ±0.030,0.947 ±0.015,2.288 ±0.356,2.712 ±0.131,0.162 ±0.020,2.262 ±0.124
probe_no_update,qwen3-coder-30b-a3b-instruct,80,0.681 ±0.053,0.952 ±0.027,0.950 ±0.015,2.175 ±0.330,2.712 ±0.131,0.153 ±0.020,2.405 ±0.135
probe_noreserve,gpt-4o-mini-2024-07-18,80,0.894 ±0.018,0.940 ±0.024,0.913 ±0.013,1.488 ±0.261,2.325 ±0.159,0.881 ±0.042,0.224 ±0.074
probe_noreserve,qwen3-coder-30b-a3b-instruct,80,0.909 ±0.019,0.967 ±0.017,0.922 ±0.013,1.225 ±0.242,2.375 ±0.153,0.861 ±0.049,0.290 ±0.098
probe_random_sel,gpt-4o-mini-2024-07-18,80,0.903 ±0.030,0.955 ±0.020,0.958 ±0.014,0.988 ±0.280,2.513 ±0.156,0.740 ±0.064,0.559 ±0.133
probe_random_sel,qwen3-coder-30b-a3b-instruct,80,0.886 ±0.032,0.963 ±0.018,0.956 ±0.015,1.038 ±0.269,2.562 ±0.159,0.686 ±0.063,0.682 ±0.127
