arm,model_tag,n,directed_f1,total_tokens,cost_usd,llm_calls,f1_per_1k_tokens
llm_e2e,gpt-4o-mini-2024-07-18,80,0.000 ±0.000,33892.850 ±2949.309,0.004 ±0.000,3.650 ±0.152,0.0
llm_e2e,qwen3-coder-30b-a3b-instruct,80,0.202 ±0.038,50924.300 ±4207.950,0.016 ±0.001,3.712 ±0.131,0.004
probe,gpt-4o-mini-2024-07-18,80,0.953 ±0.017,1113.713 ±74.712,0.000 ±0.000,1.000 ±0.000,0.856
probe,qwen3-coder-30b-a3b-instruct,80,0.955 ±0.018,1807.475 ±115.439,0.001 ±0.000,1.000 ±0.000,0.5286
probe_llm_graphs,gpt-4o-mini-2024-07-18,80,0.649 ±0.050,1338.675 ±86.290,0.000 ±0.000,1.000 ±0.000,0.4848
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,79,0.669 ±0.059,2315.190 ±158.794,0.002 ±0.000,1.063 ±0.074,0.289
probe_marginal,gpt-4o-mini-2024-07-18,80,0.952 ±0.018,1113.713 ±74.712,0.000 ±0.000,1.000 ±0.000,0.8552
probe_marginal,qwen3-coder-30b-a3b-instruct,80,0.955 ±0.018,1807.475 ±115.439,0.001 ±0.000,1.000 ±0.000,0.5285
probe_maxdeg_sel,gpt-4o-mini-2024-07-18,80,0.947 ±0.024,1113.713 ±74.712,0.000 ±0.000,1.000 ±0.000,0.8502
probe_maxdeg_sel,qwen3-coder-30b-a3b-instruct,80,0.947 ±0.024,1807.475 ±115.439,0.001 ±0.000,1.000 ±0.000,0.5241
probe_no_bic,gpt-4o-mini-2024-07-18,80,0.928 ±0.020,1113.713 ±74.712,0.000 ±0.000,1.000 ±0.000,0.8334
probe_no_bic,qwen3-coder-30b-a3b-instruct,80,0.927 ±0.017,1807.475 ±115.439,0.001 ±0.000,1.000 ±0.000,0.513
probe_no_update,gpt-4o-mini-2024-07-18,80,0.674 ±0.053,1113.713 ±74.712,0.000 ±0.000,1.000 ±0.000,0.605
probe_no_update,qwen3-coder-30b-a3b-instruct,80,0.681 ±0.053,1807.475 ±115.439,0.001 ±0.000,1.000 ±0.000,0.3767
probe_noreserve,gpt-4o-mini-2024-07-18,80,0.894 ±0.018,1113.713 ±74.712,0.000 ±0.000,1.000 ±0.000,0.8029
probe_noreserve,qwen3-coder-30b-a3b-instruct,80,0.909 ±0.019,1807.475 ±115.439,0.001 ±0.000,1.000 ±0.000,0.503
probe_random_sel,gpt-4o-mini-2024-07-18,80,0.903 ±0.030,1113.713 ±74.712,0.000 ±0.000,1.000 ±0.000,0.8111
probe_random_sel,qwen3-coder-30b-a3b-instruct,80,0.886 ±0.032,1807.475 ±115.439,0.001 ±0.000,1.000 ±0.000,0.4902
probe_repair_only,gpt-4o-mini-2024-07-18,80,0.953 ±0.017,1113.713 ±74.712,0.000 ±0.000,1.000 ±0.000,0.856
probe_repair_only,qwen3-coder-30b-a3b-instruct,80,0.958 ±0.017,1807.475 ±115.439,0.001 ±0.000,1.000 ±0.000,0.5299
