arm,model_tag,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
llm_e2e,gpt-4o-mini-2024-07-18,80,80,0,0.0,0.0,0.0,0.0,0.3125,0.466437,0.210288,0.414712,0.137763,0.224959,0.088466,0.187059,8.85,4.429761,7.879286,9.820714,0.641667,0.125369,0.614194,0.669139,2.65,0.695373,2.49762,2.80238,2.65,0.695373,2.49762,2.80238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33669.3,13431.581901,30725.974843,36612.625157,223.55,41.873196,214.374131,232.725869,33892.85,13458.886453,30943.541469,36842.158531,0.003694,0.001396,0.003389,0.004,3.65,0.695373,3.49762,3.80238,0.0,0.0,0.0,0.0,9.169937,7.666279,7.48999,10.849885,,,,,,,,,,,,,,,,
llm_e2e,qwen3-coder-30b-a3b-instruct,80,80,0,0.202383,0.171826,0.16473,0.240036,0.471111,0.405744,0.382199,0.560024,0.384765,0.199782,0.340986,0.428544,9.8625,4.908643,8.786846,10.938154,0.6125,0.088052,0.593205,0.631795,2.7125,0.599446,2.581141,2.843859,2.7125,0.599446,2.581141,2.843859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50236.6375,19127.765297,46045.081121,54428.193879,687.6625,143.72873,656.166553,719.158447,50924.3,19202.574381,46716.350357,55132.249643,0.0157,0.005707,0.014449,0.01695,3.7125,0.599446,3.581141,3.843859,0.0,0.0,0.0,0.0,10.833713,2.596565,10.264715,11.40271,,,,,,,,,,,,,,,,
oracle,none,80,80,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006275,0.00609,0.00494,0.00761,,,,,,,,,,,,,,,,
pc_greedy,none,80,80,0,0.867804,0.185411,0.827174,0.908434,0.94868,0.1261,0.921048,0.976313,0.947241,0.061773,0.933704,0.960778,1.1375,1.328783,0.846318,1.428682,0.847917,0.215346,0.800727,0.895106,1.975,0.745875,1.811553,2.138447,1.975,0.745875,1.811553,2.138447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.947241,0.061773,0.933704,0.960778,,,,,,,,,,,,,,,,,,,,,,,,,0.119788,0.621605,-0.016428,0.256003,,,,,,,,,,,,,,,,
pc_greedy_meek,none,80,80,0,0.873698,0.183303,0.83353,0.913866,0.957752,0.090076,0.938014,0.977491,0.947241,0.061773,0.933704,0.960778,1.025,1.179734,0.766479,1.283521,0.904167,0.188962,0.862758,0.945575,1.8125,0.713234,1.656206,1.968794,1.8125,0.713234,1.656206,1.968794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.947241,0.061773,0.933704,0.960778,,,,,,,,,,,,,,,,,,,,,,,,,0.115925,0.622379,-0.02046,0.25231,,,,,,,,,,,,,,,,
probe,gpt-4o-mini-2024-07-18,80,80,0,0.953335,0.078062,0.936229,0.970441,0.955558,0.096,0.934521,0.976595,0.963297,0.056618,0.95089,0.975704,0.6375,1.046317,0.408216,0.866784,0.710417,0.189833,0.668818,0.752016,2.4375,0.726423,2.278316,2.596684,2.4375,0.726423,2.278316,2.596684,47.325,3.19721,46.62438,48.02562,0.625,0.487177,0.518243,0.731757,0.960979,0.063026,0.947168,0.974791,0.2625,0.990381,0.045473,0.479527,2.261565,0.565279,2.137693,2.385438,0.151856,0.222752,0.103044,0.200669,0.952398,0.089636,0.932756,0.97204,,,,,,,,,0.947241,0.061773,0.933704,0.960778,1019.8375,340.01945,945.327453,1094.347547,93.875,18.903067,89.732683,98.017317,1113.7125,340.940256,1039.000672,1188.424328,0.000196,5.1e-05,0.000185,0.000207,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.701937,0.991342,2.4847,2.919175,3.4,0.894427,3.204,3.596,2.1125,1.292566,1.829254,2.395746,0.025,0.15711,-0.009428,0.059428,0.225,0.420217,0.132916,0.317084
probe,qwen3-coder-30b-a3b-instruct,80,80,0,0.955463,0.079887,0.937957,0.972969,0.966511,0.077799,0.949463,0.98356,0.965142,0.056358,0.952792,0.977492,0.5625,0.965791,0.350862,0.774138,0.708333,0.192602,0.666127,0.750539,2.4375,0.726423,2.278316,2.596684,2.4375,0.726423,2.278316,2.596684,45.65,8.537483,43.779142,47.520858,0.6625,0.47584,0.558227,0.766773,0.965082,0.058602,0.95224,0.977924,0.3375,0.967101,0.125575,0.549425,2.405345,0.617346,2.270063,2.540627,0.215095,0.294974,0.150456,0.279734,0.931757,0.121103,0.905219,0.958295,,,,,,,,,0.947241,0.061773,0.933704,0.960778,1518.9625,458.793311,1418.424983,1619.500017,288.5125,94.321024,267.843494,309.181506,1807.475,526.794077,1692.036158,1922.913842,0.000866,0.000249,0.000812,0.000921,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.104075,1.289819,3.821431,4.386719,2.5875,1.548325,2.248208,2.926792,2.825,1.329081,2.533752,3.116248,0.05,0.21932,0.001939,0.098061,0.1875,0.392775,0.101429,0.273571
probe_llm_graphs,gpt-4o-mini-2024-07-18,80,80,0,0.648989,0.225952,0.599475,0.698503,0.930106,0.165392,0.893863,0.96635,0.927992,0.083223,0.909755,0.946229,2.7375,1.940532,2.312262,3.162738,0.982292,0.080319,0.964691,0.999892,0.625,0.78555,0.452859,0.797141,0.625,0.78555,0.452859,0.797141,7.775,3.295471,7.052848,8.497152,0.1,0.301893,0.033845,0.166155,0.686781,0.209105,0.640959,0.732603,-0.8,0.603786,-0.93231,-0.66769,0.357694,0.442004,0.260835,0.454552,0.011728,0.079824,-0.005764,0.02922,0.996725,0.023498,0.991575,1.001874,12.0,0.0,12.0,12.0,7.775,3.295471,7.052848,8.497152,0.947241,0.061773,0.933704,0.960778,961.925,290.001998,898.37551,1025.47449,376.75,107.229967,353.252197,400.247803,1338.675,393.77809,1252.384571,1424.965429,0.00037,0.000107,0.000347,0.000394,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.433925,2.318592,4.925841,5.942009,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,80,79,1,0.668992,0.266182,0.610294,0.72769,0.936109,0.149955,0.903041,0.969177,0.918287,0.092964,0.897786,0.938787,2.734177,2.170365,2.255574,3.21278,0.911392,0.170021,0.8739,0.948885,1.227848,1.142976,0.975802,1.479894,1.227848,1.142976,0.975802,1.479894,5.506329,3.765135,4.676052,6.336606,0.202532,0.404454,0.113343,0.291721,0.695237,0.239759,0.642366,0.748108,-0.594937,0.808909,-0.773315,-0.416558,0.635763,0.681962,0.485379,0.786147,0.074128,0.205284,0.02886,0.119397,0.977127,0.072339,0.961175,0.993079,11.227848,3.537163,10.447843,12.007853,4.64557,4.120113,3.737014,5.554126,0.948572,0.061003,0.93512,0.962024,1501.607595,514.796759,1388.08604,1615.12915,813.582278,298.937203,747.661475,879.503082,2315.189873,720.096825,2156.396117,2473.98363,0.001629,0.000533,0.001512,0.001747,1.063291,0.333658,0.989714,1.136868,0.063291,0.333658,-0.010286,0.136868,7.917101,2.888981,7.280031,8.554171,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probe_marginal,gpt-4o-mini-2024-07-18,80,80,0,0.952458,0.080869,0.934737,0.970179,0.955558,0.096,0.934521,0.976595,0.963297,0.056618,0.95089,0.975704,0.65,1.103504,0.408184,0.891816,0.710417,0.189833,0.668818,0.752016,2.4375,0.726423,2.278316,2.596684,2.4375,0.726423,2.278316,2.596684,47.325,3.19721,46.62438,48.02562,0.625,0.487177,0.518243,0.731757,0.960979,0.063026,0.947168,0.974791,0.2625,0.990381,0.045473,0.479527,2.261565,0.565279,2.137693,2.385438,0.151856,0.222752,0.103044,0.200669,0.952398,0.089636,0.932756,0.97204,,,,,,,,,0.947241,0.061773,0.933704,0.960778,1019.8375,340.01945,945.327453,1094.347547,93.875,18.903067,89.732683,98.017317,1113.7125,340.940256,1039.000672,1188.424328,0.000196,5.1e-05,0.000185,0.000207,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.174425,0.986232,0.958307,1.390543,3.4,0.894427,3.204,3.596,2.1125,1.292566,1.829254,2.395746,0.025,0.15711,-0.009428,0.059428,0.225,0.420217,0.132916,0.317084
