arm,model_tag,level,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
llm_e2e,gpt-4o-mini-2024-07-18,0,20,20,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.225714,0.323501,0.083934,0.367495,4.35,0.587143,4.092673,4.607327,0.608333,0.124193,0.553903,0.662763,2.45,0.604805,2.184932,2.715068,2.45,0.604805,2.184932,2.715068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18749.45,3346.293401,17282.872255,20216.027745,211.4,31.756309,197.482184,225.317816,18960.85,3376.370338,17481.090456,20440.609544,0.002051,0.000428,0.001863,0.002238,3.45,0.604805,3.184932,3.715068,0.0,0.0,0.0,0.0,5.4968,2.540223,4.383498,6.610102,,,,,,,,,,,,,,,,
llm_e2e,gpt-4o-mini-2024-07-18,1,20,20,0,0.0,0.0,0.0,0.0,0.2,0.410391,0.020138,0.379862,0.083117,0.175478,0.00621,0.160023,6.9,2.198085,5.936647,7.863353,0.658333,0.137596,0.598029,0.718638,2.6,0.598243,2.337808,2.862192,2.6,0.598243,2.337808,2.862192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28368.2,4787.367594,26270.043643,30466.356357,221.65,37.768373,205.097281,238.202719,28589.85,4821.870245,26476.572189,30703.127811,0.003256,0.000556,0.003013,0.0035,3.6,0.598243,3.337808,3.862192,0.0,0.0,0.0,0.0,6.6759,3.258506,5.247797,8.104003,,,,,,,,,,,,,,,,
llm_e2e,gpt-4o-mini-2024-07-18,2,20,20,0,0.0,0.0,0.0,0.0,0.05,0.223607,-0.048,0.148,0.140992,0.189156,0.058091,0.223893,11.7,4.193981,9.861907,13.538093,0.666667,0.140488,0.605095,0.728238,2.65,0.812728,2.293806,3.006194,2.65,0.812728,2.293806,3.006194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37704.35,8504.781666,33976.965092,41431.734908,221.8,54.518563,197.906186,245.693814,37926.15,8558.186209,34175.359519,41676.940481,0.004196,0.000906,0.003799,0.004593,3.65,0.812728,3.293806,4.006194,0.0,0.0,0.0,0.0,6.8655,1.653847,6.140669,7.590331,,,,,,,,,,,,,,,,
llm_e2e,gpt-4o-mini-2024-07-18,3,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101228,0.162756,0.029897,0.172559,12.45,3.363504,10.975879,13.924121,0.633333,0.095207,0.591607,0.67506,2.9,0.718185,2.585242,3.214758,2.9,0.718185,2.585242,3.214758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49855.2,9319.766321,45770.632319,53939.767681,239.35,38.182767,222.615665,256.084335,50094.55,9356.23489,45993.999263,54195.100737,0.005275,0.000923,0.00487,0.005679,3.9,0.718185,3.585242,4.214758,0.0,0.0,0.0,0.0,17.64155,11.075929,12.78731,22.49579,,,,,,,,,,,,,,,,
llm_e2e,qwen3-coder-30b-a3b-instruct,0,20,20,0,0.314286,0.205196,0.224355,0.404217,1.0,0.0,1.0,1.0,0.6,0.157859,0.530815,0.669185,3.8,1.105013,3.315707,4.284293,0.583333,0.085498,0.545862,0.620805,2.5,0.512989,2.275173,2.724827,2.5,0.512989,2.275173,2.724827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27882.35,4141.27367,26067.35679,29697.34321,648.1,123.094273,594.151556,702.048444,28530.45,4241.001216,26671.749266,30389.150734,0.009103,0.00136,0.008507,0.0097,3.5,0.512989,3.275173,3.724827,0.0,0.0,0.0,0.0,8.54775,1.420107,7.925361,9.170139,,,,,,,,,,,,,,,,
llm_e2e,qwen3-coder-30b-a3b-instruct,1,20,20,0,0.210956,0.161133,0.140336,0.281575,0.399524,0.377139,0.234235,0.564812,0.41486,0.159687,0.344874,0.484846,7.75,1.585294,7.055214,8.444786,0.616667,0.07836,0.582324,0.65101,2.7,0.470162,2.493942,2.906058,2.7,0.470162,2.493942,2.906058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42821.45,5495.833508,40412.794766,45230.105234,689.1,116.507014,638.03855,740.16145,43510.55,5562.382455,41072.728404,45948.371596,0.013533,0.001709,0.012784,0.014282,3.7,0.470162,3.493942,3.906058,0.0,0.0,0.0,0.0,10.2352,1.599801,9.534056,10.936344,,,,,,,,,,,,,,,,
llm_e2e,qwen3-coder-30b-a3b-instruct,2,20,20,0,0.157598,0.158738,0.088028,0.227168,0.283532,0.305865,0.149481,0.417583,0.273409,0.136934,0.213395,0.333423,12.2,2.462348,11.120828,13.279172,0.616667,0.091287,0.576658,0.656675,2.75,0.638666,2.470092,3.029908,2.75,0.638666,2.470092,3.029908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56933.7,9831.586947,52624.817039,61242.582961,660.2,136.69197,600.292103,720.107897,57593.9,9945.212124,53235.218609,61952.581391,0.017619,0.003044,0.016285,0.018953,3.75,0.638666,3.470092,4.029908,0.0,0.0,0.0,0.0,11.0263,1.866578,10.208236,11.844364,,,,,,,,,,,,,,,,
llm_e2e,qwen3-coder-30b-a3b-instruct,3,20,20,0,0.126692,0.089952,0.087268,0.166115,0.201389,0.187784,0.119089,0.283689,0.25079,0.122961,0.1969,0.30468,15.7,2.319256,14.683541,16.716459,0.633333,0.095207,0.591607,0.67506,2.9,0.718185,2.585242,3.214758,2.9,0.718185,2.585242,3.214758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73309.05,13630.163807,67335.367328,79282.732672,753.25,177.513491,675.451282,831.048718,74062.3,13756.450388,68033.269794,80091.330206,0.022545,0.004175,0.020715,0.024374,3.9,0.718185,3.585242,4.214758,0.0,0.0,0.0,0.0,13.5256,2.535462,12.414385,14.636815,,,,,,,,,,,,,,,,
oracle,none,0,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01025,0.010099,0.005824,0.014676,,,,,,,,,,,,,,,,
oracle,none,1,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0034,0.001429,0.002774,0.004026,,,,,,,,,,,,,,,,
