arm,model_tag,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
oracle,none,80,80,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00355,0.004441,0.002577,0.004523,,,,,,,,,,,,,,,,
pc_greedy,none,80,80,0,0.867804,0.185411,0.827174,0.908434,0.94868,0.1261,0.921048,0.976313,0.947241,0.061773,0.933704,0.960778,1.1375,1.328783,0.846318,1.428682,0.847917,0.215346,0.800727,0.895106,1.975,0.745875,1.811553,2.138447,1.975,0.745875,1.811553,2.138447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.947241,0.061773,0.933704,0.960778,,,,,,,,,,,,,,,,,,,,,,,,,0.055412,0.186664,0.014508,0.096317,,,,,,,,,,,,,,,,
pc_greedy_meek,none,80,80,0,0.873698,0.183303,0.83353,0.913866,0.957752,0.090076,0.938014,0.977491,0.947241,0.061773,0.933704,0.960778,1.025,1.179734,0.766479,1.283521,0.904167,0.188962,0.862758,0.945575,1.8125,0.713234,1.656206,1.968794,1.8125,0.713234,1.656206,1.968794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.947241,0.061773,0.933704,0.960778,,,,,,,,,,,,,,,,,,,,,,,,,0.058462,0.183945,0.018154,0.098771,,,,,,,,,,,,,,,,
probe,gpt-4o-mini-2024-07-18,80,80,0,0.955733,0.082647,0.937622,0.973844,0.959267,0.095539,0.938331,0.980203,0.968677,0.055509,0.956513,0.980841,0.6125,1.119378,0.367206,0.857794,0.716667,0.195141,0.673904,0.759429,2.4125,0.687939,2.261749,2.563251,2.4125,0.687939,2.261749,2.563251,47.375,3.191662,46.675596,48.074404,0.6875,0.466437,0.585288,0.789712,0.967003,0.060994,0.953637,0.980369,0.3875,0.947932,0.179775,0.595225,2.378151,0.558152,2.25584,2.500461,0.221027,0.296581,0.156035,0.286018,0.928994,0.115456,0.903694,0.954294,,,,,,,,,0.947241,0.061773,0.933704,0.960778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5571,1.093936,1.317381,1.796819,3.4,0.894427,3.204,3.596,2.1125,1.292566,1.829254,2.395746,0.025,0.15711,-0.009428,0.059428,0.225,0.420217,0.132916,0.317084
probe,qwen3-coder-30b-a3b-instruct,80,80,0,0.952888,0.08184,0.934954,0.970822,0.968694,0.072271,0.952857,0.984531,0.962671,0.060776,0.949353,0.975989,0.6125,1.037204,0.385213,0.839787,0.701042,0.185485,0.660395,0.741688,2.4625,0.728163,2.302934,2.622066,2.4625,0.728163,2.302934,2.622066,45.65,8.537483,43.779142,47.520858,0.675,0.47133,0.571715,0.778285,0.965915,0.058619,0.95307,0.978761,0.375,0.972729,0.161841,0.588159,2.518497,0.638982,2.378474,2.65852,0.240773,0.332341,0.167945,0.3136,0.921223,0.131257,0.89246,0.949986,,,,,,,,,0.947241,0.061773,0.933704,0.960778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.711325,1.258911,1.435454,1.987196,2.5875,1.548325,2.248208,2.926792,2.825,1.329081,2.533752,3.116248,0.05,0.21932,0.001939,0.098061,0.1875,0.392775,0.101429,0.273571
probe_marginal,gpt-4o-mini-2024-07-18,80,80,0,0.956245,0.081392,0.938409,0.97408,0.959267,0.095539,0.938331,0.980203,0.968677,0.055509,0.956513,0.980841,0.6125,1.119378,0.367206,0.857794,0.716667,0.195141,0.673904,0.759429,2.4125,0.687939,2.261749,2.563251,2.4125,0.687939,2.261749,2.563251,47.375,3.191662,46.675596,48.074404,0.6875,0.466437,0.585288,0.789712,0.967003,0.060994,0.953637,0.980369,0.3875,0.947932,0.179775,0.595225,2.378151,0.558152,2.25584,2.500461,0.221027,0.296581,0.156035,0.286018,0.928994,0.115456,0.903694,0.954294,,,,,,,,,0.947241,0.061773,0.933704,0.960778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.407975,0.987889,1.191494,1.624456,3.4,0.894427,3.204,3.596,2.1125,1.292566,1.829254,2.395746,0.025,0.15711,-0.009428,0.059428,0.225,0.420217,0.132916,0.317084
probe_marginal,qwen3-coder-30b-a3b-instruct,80,80,0,0.952566,0.080447,0.934938,0.970195,0.968694,0.072271,0.952857,0.984531,0.962671,0.060776,0.949353,0.975989,0.625,1.035753,0.398031,0.851969,0.701042,0.185485,0.660395,0.741688,2.4625,0.728163,2.302934,2.622066,2.4625,0.728163,2.302934,2.622066,45.65,8.537483,43.779142,47.520858,0.675,0.47133,0.571715,0.778285,0.965915,0.058619,0.95307,0.978761,0.375,0.972729,0.161841,0.588159,2.518497,0.638982,2.378474,2.65852,0.240773,0.332341,0.167945,0.3136,0.921223,0.131257,0.89246,0.949986,,,,,,,,,0.947241,0.061773,0.933704,0.960778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5393,1.103552,1.297474,1.781126,2.5875,1.548325,2.248208,2.926792,2.825,1.329081,2.533752,3.116248,0.05,0.21932,0.001939,0.098061,0.1875,0.392775,0.101429,0.273571
probe_maxdeg_sel,gpt-4o-mini-2024-07-18,80,80,0,0.951934,0.088133,0.932621,0.971247,0.953989,0.106927,0.930558,0.977421,0.967841,0.053332,0.956154,0.979528,0.65,1.159441,0.395926,0.904074,0.725,0.199947,0.681185,0.768815,2.3875,0.665492,2.241668,2.533332,2.3875,0.665492,2.241668,2.533332,47.375,3.191662,46.675596,48.074404,0.6875,0.466437,0.585288,0.789712,0.967003,0.060994,0.953637,0.980369,0.4125,0.976869,0.198434,0.626566,2.378151,0.558152,2.25584,2.500461,0.224578,0.30574,0.157579,0.291576,0.92481,0.12724,0.896927,0.952692,,,,,,,,,0.947241,0.061773,0.933704,0.960778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.120887,0.107699,0.097287,0.144488,3.4,0.894427,3.204,3.596,2.1125,1.292566,1.829254,2.395746,0.025,0.15711,-0.009428,0.059428,0.225,0.420217,0.132916,0.317084
probe_maxdeg_sel,qwen3-coder-30b-a3b-instruct,80,80,0,0.943659,0.112887,0.918922,0.968397,0.966194,0.0811,0.948422,0.983966,0.963217,0.060873,0.949877,0.976556,0.65,1.137397,0.400757,0.899243,0.708333,0.191228,0.666429,0.750238,2.4375,0.708783,2.282181,2.592819,2.4375,0.708783,2.282181,2.592819,45.65,8.537483,43.779142,47.520858,0.675,0.47133,0.571715,0.778285,0.965915,0.058619,0.95307,0.978761,0.375,0.972729,0.161841,0.588159,2.518497,0.638982,2.378474,2.65852,0.286044,0.372215,0.204478,0.367609,0.900748,0.154575,0.866876,0.934621,,,,,,,,,0.947241,0.061773,0.933704,0.960778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113875,0.100037,0.091953,0.135797,2.5875,1.548325,2.248208,2.926792,2.825,1.329081,2.533752,3.116248,0.05,0.21932,0.001939,0.098061,0.1875,0.392775,0.101429,0.273571
probe_mec_only,none,80,80,0,0.868262,0.195661,0.825386,0.911138,0.960133,0.084638,0.941586,0.97868,0.947241,0.061773,0.933704,0.960778,1.0,1.169226,0.743782,1.256218,0.904167,0.183295,0.864,0.944333,1.8125,0.764625,1.644944,1.980056,1.8125,0.764625,1.644944,1.980056,6.8,4.76113,5.756671,7.843329,0.45,0.500633,0.340294,0.559706,0.868262,0.195661,0.825386,0.911138,-0.1,1.001265,-0.319412,0.119412,1.697815,0.685541,1.547589,1.84804,0.008664,0.077497,-0.008318,0.025647,0.99375,0.055902,0.9815,1.006,,,,,,,,,0.947241,0.061773,0.933704,0.960778,,,,,,,,,,,,,,,,,,,,,,,,,0.2476,0.302887,0.181227,0.313973,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
