arm,model_tag,level,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
oracle,none,0,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0039,0.004973,0.001721,0.006079,,,,,,,,,,,,,,,,
oracle,none,1,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0019,0.000852,0.001526,0.002274,,,,,,,,,,,,,,,,
oracle,none,2,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00205,0.00051,0.001826,0.002274,,,,,,,,,,,,,,,,
oracle,none,3,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00635,0.006532,0.003487,0.009213,,,,,,,,,,,,,,,,
pc_greedy,none,0,20,20,0,0.717262,0.275504,0.596517,0.838007,1.0,0.0,1.0,1.0,0.90873,0.069069,0.878459,0.939001,1.35,1.136708,0.851816,1.848184,0.925,0.183174,0.844721,1.005279,1.4,0.680557,1.101733,1.698267,1.4,0.680557,1.101733,1.698267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.90873,0.069069,0.878459,0.939001,,,,,,,,,,,,,,,,,,,,,,,,,0.09395,0.37555,-0.070642,0.258542,,,,,,,,,,,,,,,,
pc_greedy,none,1,20,20,0,0.931002,0.098624,0.887778,0.974226,0.97619,0.079532,0.941334,1.011047,0.973427,0.041749,0.955129,0.991724,0.55,0.686333,0.249201,0.850799,0.9,0.205196,0.810069,0.989931,1.8,0.523148,1.57072,2.02928,1.8,0.523148,1.57072,2.02928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.973427,0.041749,0.955129,0.991724,,,,,,,,,,,,,,,,,,,,,,,,,0.0277,0.025905,0.016347,0.039053,,,,,,,,,,,,,,,,
pc_greedy,none,2,20,20,0,0.940417,0.083126,0.903985,0.976848,0.956566,0.083043,0.92017,0.992961,0.967083,0.03941,0.949811,0.984356,0.8,1.005249,0.35943,1.24057,0.8,0.233208,0.697792,0.902208,2.2,0.523148,1.97072,2.42928,2.2,0.523148,1.97072,2.42928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.967083,0.039411,0.949811,0.984356,,,,,,,,,,,,,,,,,,,,,,,,,0.03785,0.012381,0.032424,0.043276,,,,,,,,,,,,,,,,
pc_greedy,none,3,20,20,0,0.882535,0.128685,0.826136,0.938934,0.861966,0.203333,0.772851,0.951081,0.939724,0.071011,0.908602,0.970846,1.85,1.871532,1.029765,2.670235,0.766667,0.210471,0.674423,0.85891,2.5,0.760886,2.166527,2.833473,2.5,0.760886,2.166527,2.833473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.939724,0.071011,0.908602,0.970846,,,,,,,,,,,,,,,,,,,,,,,,,0.06215,0.016384,0.054969,0.069331,,,,,,,,,,,,,,,,
pc_greedy_meek,none,0,20,20,0,0.717262,0.275504,0.596517,0.838007,1.0,0.0,1.0,1.0,0.90873,0.069069,0.878459,0.939001,1.35,1.136708,0.851816,1.848184,0.95,0.153897,0.882552,1.017448,1.35,0.67082,1.056,1.644,1.35,0.67082,1.056,1.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.90873,0.069069,0.878459,0.939001,,,,,,,,,,,,,,,,,,,,,,,,,0.09155,0.368132,-0.069791,0.252891,,,,,,,,,,,,,,,,
pc_greedy_meek,none,1,20,20,0,0.921911,0.108623,0.874305,0.969518,0.97619,0.079532,0.941334,1.011047,0.973427,0.041749,0.955129,0.991724,0.6,0.753937,0.269573,0.930427,0.975,0.111803,0.926,1.024,1.55,0.604805,1.284932,1.815068,1.55,0.604805,1.284932,1.815068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.973427,0.041749,0.955129,0.991724,,,,,,,,,,,,,,,,,,,,,,,,,0.02655,0.020467,0.01758,0.03552,,,,,,,,,,,,,,,,
