level,seed,model_tag,d,n_obs,n_remove,correct_remove,n_add,correct_add,pc_fp,pc_fn,n_pc_adj,n_non_adj,chance_remove,chance_add,pc_skeleton_f1
1,123393401,claude-haiku-4.5,6,300,2,0,3,0,0,0,6,9,0.0,0.0,1.0
1,123393401,gemini-3-flash-preview,6,300,0,0,3,0,0,0,6,9,0.0,0.0,1.0
1,123393401,gpt-4o-mini-2024-07-18,6,300,4,0,4,0,0,0,6,9,0.0,0.0,1.0
1,123393401,gpt-5.4-mini,6,300,2,0,2,0,0,0,6,9,0.0,0.0,1.0
1,123393401,qwen3-coder-30b-a3b-instruct,6,300,2,0,4,0,0,0,6,9,0.0,0.0,1.0
1,239607114,claude-haiku-4.5,6,300,1,0,1,0,0,1,5,10,0.0,0.1,0.909091
1,239607114,gemini-3-flash-preview,6,300,0,0,0,0,0,1,5,10,0.0,0.1,0.909091
1,239607114,gpt-4o-mini-2024-07-18,6,300,3,0,2,1,0,1,5,10,0.0,0.1,0.909091
1,239607114,gpt-5.4-mini,6,300,2,0,1,1,0,1,5,10,0.0,0.1,0.909091
1,239607114,qwen3-coder-30b-a3b-instruct,6,300,3,0,4,1,0,1,5,10,0.0,0.1,0.909091
1,295485567,claude-haiku-4.5,6,300,2,0,2,0,0,0,6,9,0.0,0.0,1.0
1,295485567,gemini-3-flash-preview,6,300,0,0,1,0,0,0,6,9,0.0,0.0,1.0
1,295485567,gpt-4o-mini-2024-07-18,6,300,4,0,4,0,0,0,6,9,0.0,0.0,1.0
1,295485567,gpt-5.4-mini,6,300,4,0,4,0,0,0,6,9,0.0,0.0,1.0
1,295485567,qwen3-coder-30b-a3b-instruct,6,300,4,0,4,0,0,0,6,9,0.0,0.0,1.0
1,325160078,claude-haiku-4.5,6,300,2,0,1,0,0,0,6,9,0.0,0.0,1.0
1,325160078,gemini-3-flash-preview,6,300,2,0,1,0,0,0,6,9,0.0,0.0,1.0
1,325160078,gpt-4o-mini-2024-07-18,6,300,4,0,2,0,0,0,6,9,0.0,0.0,1.0
1,325160078,gpt-5.4-mini,6,300,2,0,2,0,0,0,6,9,0.0,0.0,1.0
1,325160078,qwen3-coder-30b-a3b-instruct,6,300,2,0,3,0,0,0,6,9,0.0,0.0,1.0
1,424836758,claude-haiku-4.5,6,300,1,0,1,0,0,0,6,9,0.0,0.0,1.0
1,424836758,gemini-3-flash-preview,6,300,0,0,1,0,0,0,6,9,0.0,0.0,1.0
1,424836758,gpt-4o-mini-2024-07-18,6,300,4,0,4,0,0,0,6,9,0.0,0.0,1.0
1,424836758,gpt-5.4-mini,6,300,2,0,2,0,0,0,6,9,0.0,0.0,1.0
