arm,model_tag,n,directed_f1,compelled_f1,skeleton_f1,dag_shd,efficiency,interventions_used,prompt_tokens,completion_tokens,total_tokens,cost_usd,llm_calls,wall_sec
oracle,none,60,1.000 ±0.000,1.000 ±0.000,1.000 ±0.000,0.000 ±0.000,1.000 ±0.000,0.000 ±0.000,—,—,—,—,—,0.003 ±0.000
pc_greedy_meek,none,60,0.894 ±0.034,0.905 ±0.044,0.956 ±0.014,1.150 ±0.339,0.900 ±0.047,1.883 ±0.169,—,—,—,—,—,0.143 ±0.195
probe,claude-haiku-4.5,60,0.943 ±0.025,0.947 ±0.035,0.965 ±0.013,0.750 ±0.308,0.706 ±0.045,2.500 ±0.171,1852.550 ±70.991,301.233 ±27.460,2153.783 ±73.227,0.003 ±0.000,1.000 ±0.000,4.703 ±0.312
probe,gemini-3-flash-preview,60,0.937 ±0.029,0.953 ±0.032,0.964 ±0.014,0.833 ±0.376,0.711 ±0.046,2.483 ±0.171,1388.667 ±98.377,145.550 ±8.248,1534.217 ±100.985,0.001 ±0.000,1.000 ±0.000,6.474 ±1.124
probe,gpt-4o-mini-2024-07-18,60,0.938 ±0.022,0.929 ±0.035,0.959 ±0.014,0.817 ±0.278,0.697 ±0.045,2.533 ±0.158,1156.033 ±70.971,99.000 ±4.507,1255.033 ±70.273,0.000 ±0.000,1.000 ±0.000,3.223 ±0.301
probe,gpt-5.4-mini,60,0.948 ±0.021,0.950 ±0.029,0.965 ±0.013,0.700 ±0.261,0.707 ±0.045,2.500 ±0.177,1146.033 ±70.971,208.783 ±14.108,1354.817 ±75.375,0.002 ±0.000,1.000 ±0.000,3.591 ±0.320
probe,qwen3-coder-30b-a3b-instruct,60,0.929 ±0.026,0.919 ±0.038,0.959 ±0.012,0.867 ±0.277,0.662 ±0.039,2.617 ±0.133,1701.733 ±95.724,359.667 ±56.283,2061.400 ±121.065,0.001 ±0.000,1.000 ±0.000,5.128 ±0.835
probe_llm_graphs,claude-haiku-4.5,60,0.824 ±0.046,0.871 ±0.057,0.948 ±0.016,1.800 ±0.458,0.914 ±0.041,1.450 ±0.244,1770.550 ±59.973,736.200 ±25.761,2506.750 ±82.999,0.005 ±0.000,1.000 ±0.000,5.629 ±0.163
probe_llm_graphs,gemini-3-flash-preview,60,0.847 ±0.041,0.917 ±0.048,0.958 ±0.014,1.567 ±0.415,0.925 ±0.041,1.150 ±0.246,1327.367 ±86.186,563.100 ±20.777,1890.467 ±104.753,0.002 ±0.000,1.000 ±0.000,7.838 ±1.105
probe_llm_graphs,gpt-4o-mini-2024-07-18,60,0.712 ±0.047,0.877 ±0.056,0.942 ±0.018,2.667 ±0.460,0.944 ±0.035,0.850 ±0.271,1078.983 ±59.959,421.850 ±21.120,1500.833 ±79.789,0.000 ±0.000,1.000 ±0.000,6.237 ±0.661
probe_llm_graphs,gpt-5.4-mini,60,0.818 ±0.047,0.870 ±0.056,0.939 ±0.019,1.867 ±0.487,0.936 ±0.037,1.333 ±0.241,1070.983 ±59.959,572.250 ±23.425,1643.233 ±81.024,0.003 ±0.000,1.000 ±0.000,4.020 ±0.211
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,60,0.742 ±0.049,0.878 ±0.056,0.932 ±0.018,2.717 ±0.563,0.835 ±0.052,1.617 ±0.299,1626.917 ±99.741,880.383 ±76.648,2507.300 ±150.804,0.002 ±0.000,1.017 ±0.033,8.639 ±0.844
probe_noreserve,claude-haiku-4.5,60,0.892 ±0.024,0.941 ±0.035,0.917 ±0.014,1.567 ±0.303,0.706 ±0.045,2.500 ±0.171,1852.550 ±70.991,301.233 ±27.460,2153.783 ±73.227,0.003 ±0.000,1.000 ±0.000,1.190 ±0.243
probe_noreserve,gemini-3-flash-preview,60,0.880 ±0.031,0.946 ±0.030,0.927 ±0.012,1.633 ±0.376,0.690 ±0.042,2.550 ±0.177,1388.667 ±98.377,145.550 ±8.248,1534.217 ±100.985,0.001 ±0.000,1.000 ±0.000,2.254 ±0.488
probe_noreserve,gpt-4o-mini-2024-07-18,60,0.889 ±0.020,0.929 ±0.034,0.910 ±0.013,1.650 ±0.271,0.715 ±0.047,2.433 ±0.177,1156.033 ±70.971,99.000 ±4.507,1255.033 ±70.273,0.000 ±0.000,1.000 ±0.000,0.704 ±0.138
probe_noreserve,gpt-5.4-mini,60,0.894 ±0.028,0.932 ±0.036,0.924 ±0.013,1.500 ±0.296,0.722 ±0.046,2.467 ±0.183,1146.033 ±70.971,208.783 ±14.108,1354.817 ±75.375,0.002 ±0.000,1.000 ±0.000,1.008 ±0.221
probe_noreserve,qwen3-coder-30b-a3b-instruct,60,0.882 ±0.024,0.922 ±0.038,0.907 ±0.012,1.683 ±0.261,0.694 ±0.045,2.533 ±0.143,1701.733 ±95.724,359.667 ±56.283,2061.400 ±121.065,0.001 ±0.000,1.000 ±0.000,1.016 ±0.526
probe_oracle_edits,none,60,0.992 ±0.010,1.000 ±0.000,0.996 ±0.004,0.083 ±0.097,0.911 ±0.044,1.967 ±0.154,—,—,—,—,—,0.662 ±0.148
probe_random_edits,none,60,0.920 ±0.030,0.917 ±0.043,0.954 ±0.014,0.967 ±0.312,0.665 ±0.039,2.600 ±0.149,—,—,—,—,—,0.989 ±0.215
probe_skel_only,none,60,0.937 ±0.022,0.926 ±0.035,0.956 ±0.014,0.833 ±0.260,0.883 ±0.049,2.017 ±0.158,—,—,—,—,—,0.920 ±0.227
