arm,model_tag,n,directed_f1,compelled_f1,skeleton_f1,dag_shd,interventions_used,map_weight_final,entropy_final_nats
probe,claude-haiku-4.5,60,0.943 ±0.025,0.947 ±0.035,0.965 ±0.013,0.750 ±0.308,2.500 ±0.171,0.913 ±0.030,0.269 ±0.082
probe,gemini-3-flash-preview,60,0.937 ±0.029,0.953 ±0.032,0.964 ±0.014,0.833 ±0.376,2.483 ±0.171,0.890 ±0.043,0.290 ±0.094
probe,gpt-4o-mini-2024-07-18,60,0.938 ±0.022,0.929 ±0.035,0.959 ±0.014,0.817 ±0.278,2.533 ±0.158,0.925 ±0.032,0.199 ±0.059
probe,gpt-5.4-mini,60,0.948 ±0.021,0.950 ±0.029,0.965 ±0.013,0.700 ±0.261,2.500 ±0.177,0.913 ±0.032,0.250 ±0.073
probe,qwen3-coder-30b-a3b-instruct,60,0.929 ±0.026,0.919 ±0.038,0.959 ±0.012,0.867 ±0.277,2.617 ±0.133,0.868 ±0.043,0.360 ±0.094
probe_noreserve,claude-haiku-4.5,60,0.892 ±0.024,0.941 ±0.035,0.917 ±0.014,1.567 ±0.303,2.500 ±0.171,0.810 ±0.062,0.431 ±0.137
probe_noreserve,gemini-3-flash-preview,60,0.880 ±0.031,0.946 ±0.030,0.927 ±0.012,1.633 ±0.376,2.550 ±0.177,0.765 ±0.071,0.535 ±0.163
probe_noreserve,gpt-4o-mini-2024-07-18,60,0.889 ±0.020,0.929 ±0.034,0.910 ±0.013,1.650 ±0.271,2.433 ±0.177,0.892 ±0.052,0.203 ±0.094
probe_noreserve,gpt-5.4-mini,60,0.894 ±0.028,0.932 ±0.036,0.924 ±0.013,1.500 ±0.296,2.467 ±0.183,0.803 ±0.058,0.418 ±0.119
probe_noreserve,qwen3-coder-30b-a3b-instruct,60,0.882 ±0.024,0.922 ±0.038,0.907 ±0.012,1.683 ±0.261,2.533 ±0.143,0.781 ±0.058,0.448 ±0.116
