run_id,timestamp_utc,study,arm,model,model_tag,level,seed,runtime_seed,d,k,n_obs,n_int,budget,opt_set_size,true_edges,cpdag_undirected,status,error,wall_sec,skeleton_precision,skeleton_recall,skeleton_f1,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency,interventions_used,optimal_interventions,submit_directed,submit_undirected,steps_taken,n_hypotheses,n_hypotheses_from_llm,truth_in_hypotheses,best_f1_in_hypotheses,truth_rank_initial,truth_rank_final,entropy_initial_nats,entropy_final_nats,map_weight_final,proposed_raw,proposed_valid_unique,propose_repairs,propose_rounds,repair_remove,repair_add,propose_cached,pc_skeleton_f1_ceiling,pc_undirected_edges,pc_directed_edges,reserve_frac,edits_correct_remove,edits_correct_add,llm_calls,llm_failed_calls,llm_repair_calls,prompt_tokens,completion_tokens,cached_tokens,total_tokens,cost_usd,llm_latency_sec
20260820T060906Z,2026-08-20T06:09:06.719668+00:00,study2,oracle,,none,1,123393401,1233934010108,6,6,300,150,2,1,6,3,success,,0.004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,1,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260820T060906Z,2026-08-20T06:09:06.721011+00:00,study2,pc_greedy_meek,,none,1,123393401,1233934010108,6,6,300,150,2,1,6,3,success,,6.023,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,1,1.0,1,1,6,0,1,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
20260820T060906Z,2026-08-20T06:09:06.722459+00:00,study2,probe_skel_only,,none,1,123393401,1233934010108,6,6,300,150,2,1,6,3,success,,6.401,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,0,1,1.0,4,1,1.38704,0.0,1.0,,,,,,,,1.0,3,3,0.5,0,0,,,,,,,,,
20260820T060906Z,2026-08-20T06:09:06.724115+00:00,study2,probe_random_edits,,none,1,123393401,1233934010108,6,6,300,150,2,1,6,3,success,,6.403,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,0,1,1.0,4,1,1.87706,0.73346,0.72183,,,,,4,4,,1.0,3,3,0.5,0,0,,,,,,,,,
20260820T060906Z,2026-08-20T06:09:13.189788+00:00,study2,probe_oracle_edits,,none,1,123393401,1233934010108,6,6,300,150,2,1,6,3,success,,0.211,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,0,1,1.0,4,1,1.38704,0.0,1.0,,,,,0,0,,1.0,3,3,0.5,0,0,,,,,,,,,
20260820T060906Z,2026-08-20T06:09:06.749162+00:00,study2,probe,openai/gpt-5.4-mini,gpt-5.4-mini,1,123393401,1233934010108,6,6,300,150,2,1,6,3,success,,8.183,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,48,1,1.0,4,1,2.22664,0.84398,0.76474,,,0,,2,2,0,1.0,3,3,0.5,0,0,1,0,0,823,152,0,975,0.00130125,1.9741
20260820T060906Z,2026-08-20T06:09:06.725024+00:00,study2,probe,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,123393401,1233934010108,6,6,300,150,2,1,6,3,success,,9.166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,48,1,1.0,4,1,1.87706,0.73346,0.72183,,,0,,4,4,0,1.0,3,3,0.5,0,0,1,0,0,833,116,0,949,0.00019455,2.4618
20260820T060906Z,2026-08-20T06:09:06.724579+00:00,study2,probe,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,123393401,1233934010108,6,6,300,150,2,1,6,3,success,,9.242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,48,1,1.0,4,1,2.46535,1.07004,0.50978,,,0,,2,4,0,1.0,3,3,0.5,0,0,1,0,0,1253,221,0,1474,0.00068972,2.4178
20260820T060906Z,2026-08-20T06:09:13.150907+00:00,study2,probe,google/gemini-3-flash-preview,gemini-3-flash-preview,1,123393401,1233934010108,6,6,300,150,2,1,6,3,success,,2.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,48,1,1.0,4,1,2.55343,1.23884,0.58892,,,0,,0,3,0,1.0,3,3,0.5,0,0,1,0,0,928,156,0,1084,0.000932,2.1512
20260820T060906Z,2026-08-20T06:09:12.772548+00:00,study2,probe,anthropic/claude-haiku-4.5,claude-haiku-4.5,1,123393401,1233934010108,6,6,300,150,2,1,6,3,success,,4.027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,48,1,1.0,4,1,2.3564,0.70727,0.81549,,,0,,2,3,0,1.0,3,3,0.5,0,0,1,0,0,1529,262,0,1791,0.002839,3.7235
20260820T060906Z,2026-08-20T06:09:16.828119+00:00,study2,probe_noreserve,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,123393401,1233934010108,6,6,300,150,2,1,6,3,success,,0.298,0.8571428571428571,1.0,0.923076923076923,1.0,0.8571428571428571,1.0,0.923076923076923,1,0.5,2,1,7,0,2,48,48,0,0.923077,-1,-1,2.73518,0.76922,0.64488,,,0,,2,4,1,1.0,3,3,0.0,0,0,1,0,0,1253,221,0,1474,0.00068972,0.0
20260820T060906Z,2026-08-20T06:09:17.152797+00:00,study2,probe_noreserve,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,123393401,1233934010108,6,6,300,150,2,1,6,3,success,,0.239,0.8571428571428571,1.0,0.923076923076923,1.0,0.8571428571428571,1.0,0.923076923076923,1,0.5,2,1,7,0,2,48,48,0,0.923077,-1,-1,2.09228,0.01534,0.99785,,,0,,4,4,1,1.0,3,3,0.0,0,0,1,0,0,833,116,0,949,0.00019455,0.0
20260820T060906Z,2026-08-20T06:09:17.418371+00:00,study2,probe_noreserve,openai/gpt-5.4-mini,gpt-5.4-mini,1,123393401,1233934010108,6,6,300,150,2,1,6,3,success,,0.294,0.8571428571428571,1.0,0.923076923076923,1.0,0.8571428571428571,1.0,0.923076923076923,1,0.5,2,1,7,0,2,48,48,0,0.923077,-1,-1,2.51531,1.30056,0.38935,,,0,,2,2,1,1.0,3,3,0.0,0,0,1,0,0,823,152,0,975,0.00130125,0.0
20260820T060906Z,2026-08-20T06:09:17.739189+00:00,study2,probe_noreserve,anthropic/claude-haiku-4.5,claude-haiku-4.5,1,123393401,1233934010108,6,6,300,150,2,1,6,3,success,,0.295,0.8571428571428571,1.0,0.923076923076923,1.0,0.8571428571428571,1.0,0.923076923076923,1,0.5,2,1,7,0,2,48,48,0,0.923077,-1,-1,2.88166,0.8901,0.6731,,,0,,2,3,1,1.0,3,3,0.0,0,0,1,0,0,1529,262,0,1791,0.002839,0.0
20260820T060906Z,2026-08-20T06:09:18.068152+00:00,study2,probe_noreserve,google/gemini-3-flash-preview,gemini-3-flash-preview,1,123393401,1233934010108,6,6,300,150,2,1,6,3,success,,0.358,0.8571428571428571,1.0,0.923076923076923,1.0,0.8571428571428571,1.0,0.923076923076923,1,0.5,2,1,7,0,2,48,48,0,0.923077,-1,-1,3.04326,1.5746,0.40838,,,0,,0,3,1,1.0,3,3,0.0,0,0,1,0,0,928,156,0,1084,0.000932,0.0
20260820T060906Z,2026-08-20T06:09:18.460996+00:00,study2,oracle,,none,1,295485567,2954855670108,6,6,300,150,2,1,6,4,success,,0.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,1,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260820T060906Z,2026-08-20T06:09:18.489580+00:00,study2,pc_greedy_meek,,none,1,295485567,2954855670108,6,6,300,150,2,1,6,4,success,,0.025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1,1,6,0,1,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
20260820T060906Z,2026-08-20T06:09:15.919474+00:00,study2,probe_llm_graphs,openai/gpt-5.4-mini,gpt-5.4-mini,1,123393401,1233934010108,6,6,300,150,2,1,6,3,success,,2.797,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,1,1.0,1,1,6,0,1,11,11,0,0.909091,-1,-1,0.69463,0.0,1.0,12,11,0,1,,,,1.0,3,3,0.5,0,0,1,0,0,799,456,0,1255,0.00265125,2.6955
20260820T060906Z,2026-08-20T06:09:18.547441+00:00,study2,probe_skel_only,,none,1,295485567,2954855670108,6,6,300,150,2,1,6,4,success,,0.302,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1,1,6,0,1,48,0,1,1.0,4,1,1.60944,0.0,1.0,,,,,,,,1.0,4,2,0.5,0,0,,,,,,,,,
