arm,model_tag,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
oracle,none,60,60,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0032,0.001505,0.002819,0.003581,,,,,,,,,,,,,,,,
pc_greedy_meek,none,60,60,0,0.893603,0.134449,0.859583,0.927623,0.904603,0.172489,0.860957,0.948249,0.955615,0.054283,0.94188,0.96935,1.15,1.338162,0.811398,1.488602,0.9,0.187158,0.852642,0.947358,1.883333,0.666172,1.714769,2.051898,1.883333,0.666172,1.714769,2.051898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.955615,0.054283,0.94188,0.96935,,,,,,,,,,,,,,,,,,,,,,,,,0.1428,0.772307,-0.052621,0.338221,,,,,,,,,,,,,,,,
probe,claude-haiku-4.5,60,60,0,0.942737,0.097471,0.918073,0.9674,0.94708,0.13751,0.912285,0.981875,0.965327,0.051873,0.952201,0.978453,0.75,1.216065,0.442293,1.057707,0.705556,0.179234,0.660203,0.750908,2.5,0.676481,2.328827,2.671173,2.5,0.676481,2.328827,2.671173,48.0,0.0,48.0,48.0,0.633333,0.485961,0.510368,0.756298,0.959965,0.067618,0.942855,0.977075,0.266667,0.971922,0.020736,0.512597,2.451905,0.511411,2.3225,2.58131,0.268781,0.322263,0.187237,0.350325,0.913404,0.119675,0.883122,0.943686,,,,,,,,,0.955615,0.054283,0.94188,0.96935,1852.55,280.558549,1781.558892,1923.541108,301.233333,108.524209,273.77292,328.693747,2153.783333,289.39382,2080.556594,2227.010073,0.003359,0.000583,0.003211,0.003506,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.70335,1.231476,4.391744,5.014956,1.75,0.704104,1.571837,1.928163,1.916667,0.84956,1.701698,2.131635,0.083333,0.278718,0.012808,0.153859,0.166667,0.375823,0.07157,0.261763
probe,gemini-3-flash-preview,60,60,0,0.937426,0.114767,0.908386,0.966466,0.95295,0.126079,0.921048,0.984853,0.964318,0.05644,0.950036,0.978599,0.833333,1.486284,0.457252,1.209415,0.711111,0.183132,0.664772,0.75745,2.483333,0.676273,2.312213,2.654454,2.483333,0.676273,2.312213,2.654454,47.466667,2.896325,46.733795,48.199538,0.666667,0.475383,0.546378,0.786955,0.963919,0.063171,0.947934,0.979903,0.35,0.971195,0.104254,0.595746,2.512562,0.496687,2.386883,2.638241,0.289718,0.372562,0.195447,0.383989,0.890251,0.171364,0.84689,0.933612,,,,,,,,,0.955615,0.054283,0.94188,0.96935,1388.666667,388.789633,1290.289316,1487.044017,145.55,32.595843,137.302114,153.797886,1534.216667,399.094445,1433.231839,1635.201494,0.001131,0.000241,0.00107,0.001192,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.473767,4.440814,5.350086,7.597448,0.433333,0.647464,0.269502,0.597164,2.216667,1.194502,1.914416,2.518917,0.083333,0.278718,0.012808,0.153859,0.25,0.436667,0.139508,0.360492
probe,gpt-4o-mini-2024-07-18,60,60,0,0.938393,0.088904,0.915898,0.960889,0.929451,0.138942,0.894294,0.964609,0.959445,0.053599,0.945883,0.973007,0.816667,1.096863,0.539122,1.094211,0.697222,0.176921,0.652455,0.741989,2.533333,0.623459,2.375577,2.69109,2.533333,0.623459,2.375577,2.69109,48.0,0.0,48.0,48.0,0.583333,0.497167,0.457533,0.709134,0.954218,0.071498,0.936127,0.972309,0.183333,1.016669,-0.073919,0.440586,2.334196,0.662927,2.166452,2.501939,0.198583,0.233764,0.139433,0.257733,0.924608,0.12482,0.893024,0.956191,,,,,,,,,0.955615,0.054283,0.94188,0.96935,1156.033333,280.478282,1085.062536,1227.004131,99.0,17.811632,94.493035,103.506965,1255.033333,277.719586,1184.760582,1325.306084,0.00021,5.7e-05,0.000195,0.000224,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.222517,1.188922,2.921678,3.523355,3.883333,0.323732,3.801418,3.965249,2.45,1.39521,2.096963,2.803037,0.083333,0.278718,0.012808,0.153859,0.15,0.404425,0.047666,0.252334
probe,gpt-5.4-mini,60,60,0,0.948115,0.084837,0.926649,0.969582,0.949514,0.113756,0.92073,0.978298,0.965411,0.049663,0.952845,0.977978,0.7,1.030057,0.43936,0.96064,0.706944,0.179251,0.661588,0.752301,2.5,0.701089,2.3226,2.6774,2.5,0.701089,2.3226,2.6774,48.0,0.0,48.0,48.0,0.633333,0.485961,0.510368,0.756298,0.961273,0.067658,0.944153,0.978393,0.283333,0.993055,0.032056,0.534611,2.339143,0.644346,2.176101,2.502184,0.2502,0.289839,0.176861,0.323539,0.912534,0.125099,0.88088,0.944188,,,,,,,,,0.955615,0.054283,0.94188,0.96935,1146.033333,280.478282,1075.062536,1217.004131,208.783333,55.754635,194.675464,222.891203,1354.816667,297.882043,1279.44211,1430.191223,0.001799,0.000361,0.001708,0.001891,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.590567,1.264068,3.270713,3.91042,2.55,1.267922,2.229171,2.870829,2.566667,1.198398,2.26343,2.869903,0.1,0.302532,0.023449,0.176551,0.2,0.443407,0.087802,0.312198
probe,qwen3-coder-30b-a3b-instruct,60,60,0,0.929197,0.102972,0.903142,0.955253,0.919492,0.150807,0.881333,0.957651,0.958939,0.049136,0.946505,0.971372,0.866667,1.096476,0.58922,1.144113,0.6625,0.153755,0.623595,0.701405,2.616667,0.523731,2.484145,2.749189,2.616667,0.523731,2.484145,2.749189,48.0,0.0,48.0,48.0,0.533333,0.503098,0.406032,0.660635,0.951106,0.068442,0.933788,0.968425,0.083333,1.02992,-0.177272,0.343939,2.449983,0.603207,2.297351,2.602616,0.360126,0.372562,0.265855,0.454398,0.868464,0.169713,0.82552,0.911407,,,,,,,,,0.955615,0.054283,0.94188,0.96935,1701.733333,378.304194,1606.009165,1797.457502,359.666667,222.432291,303.383531,415.949802,2061.4,478.450401,1940.335345,2182.464655,0.001024,0.000366,0.000931,0.001116,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.127967,3.301178,4.292653,5.96328,3.05,1.358277,2.706309,3.393691,3.416667,1.07816,3.143854,3.689479,0.05,0.219784,-0.005613,0.105613,0.15,0.360085,0.058886,0.241114
probe_llm_graphs,claude-haiku-4.5,60,60,0,0.82357,0.180708,0.777844,0.869295,0.871454,0.226423,0.814162,0.928747,0.94811,0.062891,0.932196,0.964023,1.8,1.811451,1.34164,2.25836,0.913889,0.160893,0.873177,0.954601,1.45,0.964189,1.206026,1.693974,1.45,0.964189,1.206026,1.693974,10.333333,1.74343,9.892185,10.774482,0.333333,0.475383,0.213045,0.453622,0.849876,0.156109,0.810375,0.889377,-0.316667,0.982761,-0.56534,-0.067994,1.137859,0.584037,0.990077,1.28564,0.045131,0.149218,0.007374,0.082888,0.985797,0.051595,0.972742,0.998852,12.0,0.0,12.0,12.0,10.333333,1.74343,9.892185,10.774482,0.955615,0.054283,0.94188,0.96935,1770.55,237.016586,1710.576529,1830.523471,736.2,101.807029,710.439267,761.960733,2506.75,328.013622,2423.751102,2589.748898,0.005452,0.000721,0.005269,0.005634,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.628633,0.644986,5.465429,5.791837,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probe_llm_graphs,gemini-3-flash-preview,60,60,0,0.846999,0.161846,0.806047,0.887952,0.916811,0.188189,0.869193,0.964429,0.957758,0.056668,0.943419,0.972097,1.566667,1.640243,1.151628,1.981705,0.925,0.163602,0.883603,0.966397,1.15,0.971195,0.904254,1.395746,1.15,0.971195,0.904254,1.395746,11.766667,0.532556,11.631911,11.901422,0.35,0.480995,0.228292,0.471708,0.883783,0.119532,0.853537,0.914029,-0.3,0.961989,-0.543417,-0.056583,0.888932,0.670767,0.719205,1.05866,0.036327,0.158944,-0.003891,0.076546,0.987487,0.057179,0.973019,1.001955,12.0,0.0,12.0,12.0,11.766667,0.532556,11.631911,11.901422,0.955615,0.054283,0.94188,0.96935,1327.366667,340.609124,1241.180667,1413.552666,563.1,82.112304,542.32272,583.87728,1890.466667,413.986427,1785.713648,1995.219686,0.002353,0.000403,0.002251,0.002455,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.838167,4.367832,6.732953,8.943381,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probe_llm_graphs,gpt-4o-mini-2024-07-18,60,60,0,0.712252,0.184696,0.665518,0.758987,0.876786,0.222068,0.820595,0.932977,0.941615,0.069425,0.924048,0.959182,2.666667,1.819542,2.206259,3.127074,0.944444,0.138653,0.90936,0.979529,0.85,1.070799,0.579051,1.120949,0.85,1.070799,0.579051,1.120949,7.95,3.614589,7.035383,8.864617,0.116667,0.323732,0.034751,0.198582,0.733031,0.174733,0.688817,0.777244,-0.766667,0.647464,-0.930498,-0.602836,0.461524,0.505778,0.333544,0.589504,0.071139,0.224306,0.014382,0.127896,0.98019,0.062064,0.964486,0.995894,12.0,0.0,12.0,12.0,7.95,3.614589,7.035383,8.864617,0.955615,0.054283,0.94188,0.96935,1078.983333,236.958445,1019.024574,1138.942093,421.85,83.468623,400.729524,442.970476,1500.833333,315.326259,1421.044781,1580.621886,0.000415,8.4e-05,0.000394,0.000436,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.2367,2.613446,5.575407,6.897993,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
