arm,model_tag,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
oracle,none,60,60,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002867,0.002046,0.002349,0.003384,,,,,,,,,,,,,,,,
pc_greedy_meek,none,60,60,0,0.893603,0.134449,0.859583,0.927623,0.904603,0.172489,0.860957,0.948249,0.955615,0.054283,0.94188,0.96935,1.15,1.338162,0.811398,1.488602,0.9,0.187158,0.852642,0.947358,1.883333,0.666172,1.714769,2.051898,1.883333,0.666172,1.714769,2.051898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.955615,0.054283,0.94188,0.96935,,,,,,,,,,,,,,,,,,,,,,,,,0.0629,0.172355,0.019288,0.106512,,,,,,,,,,,,,,,,
probe,claude-haiku-4.5,60,60,0,0.942737,0.097471,0.918073,0.9674,0.94708,0.13751,0.912285,0.981875,0.965327,0.051873,0.952201,0.978453,0.75,1.216065,0.442293,1.057707,0.697222,0.176921,0.652455,0.741989,2.516667,0.650728,2.35201,2.681323,2.516667,0.650728,2.35201,2.681323,48.0,0.0,48.0,48.0,0.633333,0.485961,0.510368,0.756298,0.959965,0.067618,0.942855,0.977075,0.266667,0.971922,0.020736,0.512597,2.453715,0.512384,2.324063,2.583366,0.263955,0.305322,0.186698,0.341212,0.916615,0.111915,0.888297,0.944934,,,,,,,,,0.955615,0.054283,0.94188,0.96935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.90595,0.823297,1.697627,2.114273,1.75,0.704104,1.571837,1.928163,1.916667,0.84956,1.701698,2.131635,0.083333,0.278718,0.012808,0.153859,0.166667,0.375823,0.07157,0.261763
probe,gemini-3-flash-preview,60,60,0,0.924584,0.137332,0.889834,0.959334,0.943405,0.140392,0.907881,0.978929,0.962995,0.059823,0.947857,0.978132,0.95,1.681656,0.524482,1.375518,0.713889,0.181129,0.668057,0.759721,2.483333,0.700887,2.305984,2.660682,2.483333,0.700887,2.305984,2.660682,47.466667,2.896325,46.733795,48.199538,0.666667,0.475383,0.546378,0.786955,0.963919,0.063171,0.947934,0.979903,0.35,0.971195,0.104254,0.595746,2.522776,0.489749,2.398852,2.646699,0.264824,0.333591,0.180414,0.349235,0.900153,0.157699,0.86025,0.940057,,,,,,,,,0.955615,0.054283,0.94188,0.96935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.052667,0.829624,1.842743,2.262591,0.433333,0.647464,0.269502,0.597164,2.216667,1.194502,1.914416,2.518917,0.083333,0.278718,0.012808,0.153859,0.25,0.436667,0.139508,0.360492
probe,gpt-4o-mini-2024-07-18,60,60,0,0.950168,0.079567,0.930034,0.970301,0.944054,0.121312,0.913357,0.97475,0.965808,0.048702,0.953484,0.978131,0.666667,1.002821,0.412918,0.920415,0.718056,0.192302,0.669396,0.766715,2.466667,0.595653,2.315946,2.617388,2.466667,0.595653,2.315946,2.617388,48.0,0.0,48.0,48.0,0.633333,0.485961,0.510368,0.756298,0.960848,0.063807,0.944703,0.976994,0.283333,0.993055,0.032056,0.534611,2.456488,0.639072,2.29478,2.618195,0.224,0.306618,0.146416,0.301585,0.917582,0.139564,0.882267,0.952896,,,,,,,,,0.955615,0.054283,0.94188,0.96935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.841667,0.799453,1.639377,2.043956,3.883333,0.323732,3.801418,3.965249,2.45,1.39521,2.096963,2.803037,0.083333,0.278718,0.012808,0.153859,0.15,0.404425,0.047666,0.252334
probe,gpt-5.4-mini,60,60,0,0.93877,0.107802,0.911492,0.966047,0.943959,0.147495,0.906637,0.98128,0.962316,0.052718,0.948976,0.975655,0.8,1.246011,0.484716,1.115284,0.718056,0.186712,0.670811,0.7653,2.45,0.723105,2.267029,2.632971,2.45,0.723105,2.267029,2.632971,48.0,0.0,48.0,48.0,0.633333,0.485961,0.510368,0.756298,0.961872,0.062634,0.946024,0.977721,0.316667,1.033206,0.05523,0.578104,2.442341,0.673987,2.271799,2.612884,0.277259,0.345618,0.189805,0.364712,0.900029,0.149412,0.862222,0.937835,,,,,,,,,0.955615,0.054283,0.94188,0.96935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9776,0.93527,1.740944,2.214256,2.55,1.267922,2.229171,2.870829,2.566667,1.198398,2.26343,2.869903,0.1,0.302532,0.023449,0.176551,0.2,0.443407,0.087802,0.312198
probe,qwen3-coder-30b-a3b-instruct,60,60,0,0.9374,0.101452,0.911729,0.963071,0.937746,0.147527,0.900417,0.975075,0.959494,0.052388,0.946238,0.97275,0.85,1.176392,0.552332,1.147668,0.681944,0.169115,0.639153,0.724736,2.55,0.594466,2.399579,2.700421,2.55,0.594466,2.399579,2.700421,48.0,0.0,48.0,48.0,0.616667,0.490301,0.492603,0.74073,0.958044,0.068688,0.940664,0.975425,0.333333,1.114871,0.051232,0.615435,2.635451,0.543174,2.498009,2.772893,0.394991,0.441804,0.2832,0.506783,0.855156,0.179914,0.809632,0.900681,,,,,,,,,0.955615,0.054283,0.94188,0.96935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.023567,0.675562,1.852626,2.194507,3.05,1.358277,2.706309,3.393691,3.416667,1.07816,3.143854,3.689479,0.05,0.219784,-0.005613,0.105613,0.15,0.360085,0.058886,0.241114
probe_mec_only,none,60,60,0,0.900796,0.140445,0.865258,0.936333,0.909603,0.164736,0.867919,0.951287,0.955615,0.054283,0.94188,0.96935,1.083333,1.318598,0.749682,1.416985,0.861111,0.210744,0.807786,0.914437,1.95,0.648989,1.785783,2.114217,1.95,0.648989,1.785783,2.114217,6.866667,4.597223,5.703409,8.029925,0.483333,0.503939,0.355819,0.610848,0.907335,0.12703,0.875192,0.939478,-0.033333,1.007879,-0.288362,0.221695,1.765453,0.566049,1.622223,1.908683,0.034658,0.152343,-0.00389,0.073206,0.975,0.109892,0.947193,1.002807,,,,,,,,,0.955615,0.054283,0.94188,0.96935,,,,,,,,,,,,,,,,,,,,,,,,,0.27935,0.325852,0.196898,0.361802,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probe_noreserve,claude-haiku-4.5,60,60,0,0.894094,0.094401,0.870207,0.91798,0.940803,0.137932,0.905902,0.975705,0.917159,0.053659,0.903581,0.930736,1.55,1.199223,1.246555,1.853445,0.697222,0.176921,0.652455,0.741989,2.516667,0.650728,2.35201,2.681323,2.516667,0.650728,2.35201,2.681323,48.0,0.0,48.0,48.0,0.116667,0.323732,0.034751,0.198582,0.909292,0.071036,0.891318,0.927267,-0.766667,0.647464,-0.930498,-0.602836,2.750597,0.756929,2.559068,2.942127,0.419306,0.524572,0.286571,0.552041,0.810828,0.245361,0.748743,0.872913,,,,,,,,,0.955615,0.054283,0.94188,0.96935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.993283,0.910627,1.762863,2.223704,1.75,0.704104,1.571837,1.928163,1.916667,0.84956,1.701698,2.131635,0.083333,0.278718,0.012808,0.153859,0.166667,0.375823,0.07157,0.261763
probe_noreserve,gemini-3-flash-preview,60,60,0,0.882452,0.121723,0.851652,0.913252,0.947968,0.118686,0.917937,0.978,0.926781,0.049239,0.914322,0.93924,1.616667,1.485428,1.240801,1.992532,0.690278,0.166024,0.648268,0.732288,2.55,0.699273,2.373059,2.726941,2.55,0.699273,2.373059,2.726941,47.466667,2.896325,46.733795,48.199538,0.166667,0.375823,0.07157,0.261763,0.912734,0.084839,0.891267,0.934202,-0.65,0.798834,-0.852133,-0.447867,2.89013,0.690244,2.715474,3.064786,0.536545,0.634124,0.37609,0.697001,0.766059,0.27745,0.695854,0.836264,,,,,,,,,0.955615,0.054283,0.94188,0.96935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.299233,0.946096,2.059838,2.538629,0.433333,0.647464,0.269502,0.597164,2.216667,1.194502,1.914416,2.518917,0.083333,0.278718,0.012808,0.153859,0.25,0.436667,0.139508,0.360492
