arm,model_tag,level,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
oracle,none,1,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016,0.000598,0.001338,0.001862,,,,,,,,,,,,,,,,
oracle,none,2,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0026,0.002479,0.001513,0.003687,,,,,,,,,,,,,,,,
oracle,none,3,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0044,0.001501,0.003742,0.005058,,,,,,,,,,,,,,,,
pc_greedy_meek,none,1,20,20,0,0.864394,0.172227,0.788912,0.939876,0.94619,0.151068,0.879982,1.012399,0.960606,0.058867,0.934807,0.986405,1.0,1.256562,0.449288,1.550712,0.908333,0.190989,0.824629,0.992038,1.65,0.587143,1.392673,1.907327,1.65,0.587143,1.392673,1.907327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.960606,0.058867,0.934807,0.986405,,,,,,,,,,,,,,,,,,,,,,,,,0.0897,0.29998,-0.041772,0.221172,,,,,,,,,,,,,,,,
pc_greedy_meek,none,2,20,20,0,0.923666,0.095102,0.881986,0.965346,0.90601,0.182197,0.826159,0.985861,0.953666,0.057685,0.928384,0.978947,0.95,1.145931,0.447774,1.452226,0.933333,0.165787,0.860674,1.005993,1.75,0.638666,1.470092,2.029908,1.75,0.638666,1.470092,2.029908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.953666,0.057685,0.928384,0.978947,,,,,,,,,,,,,,,,,,,,,,,,,0.03395,0.008757,0.030112,0.037788,,,,,,,,,,,,,,,,
pc_greedy_meek,none,3,20,20,0,0.892749,0.124803,0.838051,0.947446,0.861608,0.180565,0.782472,0.940744,0.952573,0.048137,0.931476,0.97367,1.5,1.572795,0.810692,2.189308,0.858333,0.204303,0.768794,0.947873,2.25,0.638666,1.970092,2.529908,2.25,0.638666,1.970092,2.529908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.952573,0.048137,0.931476,0.97367,,,,,,,,,,,,,,,,,,,,,,,,,0.06505,0.0232,0.054882,0.075218,,,,,,,,,,,,,,,,
probe,claude-haiku-4.5,1,20,20,0,0.95979,0.085492,0.922322,0.997259,1.0,0.0,1.0,1.0,0.977972,0.03925,0.96077,0.995174,0.35,0.67082,0.056,0.644,0.625,0.119392,0.572674,0.677326,2.6,0.502625,2.379715,2.820285,2.6,0.502625,2.379715,2.820285,48.0,0.0,48.0,48.0,0.75,0.444262,0.555294,0.944706,0.968881,0.067169,0.939443,0.998319,0.5,0.888523,0.110587,0.889413,2.38644,0.407208,2.207974,2.564907,0.271836,0.277422,0.150251,0.393421,0.904291,0.129688,0.847453,0.96113,,,,,,,,,0.960606,0.058867,0.934807,0.986405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.459,0.280137,1.336224,1.581776,1.2,0.695852,0.895029,1.504971,1.55,0.604805,1.284932,1.815068,0.1,0.307794,-0.034896,0.234896,0.15,0.366348,-0.010559,0.310559
probe,claude-haiku-4.5,2,20,20,0,0.943186,0.105719,0.896853,0.98952,0.912929,0.198389,0.825981,0.999877,0.961985,0.062685,0.934513,0.989458,0.75,1.332785,0.165881,1.334119,0.716667,0.203047,0.627677,0.805656,2.35,0.587143,2.092673,2.607327,2.35,0.587143,2.092673,2.607327,48.0,0.0,48.0,48.0,0.65,0.48936,0.435528,0.864472,0.960809,0.078558,0.926379,0.995238,0.3,0.978721,-0.128943,0.728943,2.371381,0.566048,2.123299,2.619463,0.319239,0.344659,0.168185,0.470292,0.902438,0.113752,0.852585,0.952292,,,,,,,,,0.953666,0.057685,0.928384,0.978947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7258,0.537247,1.490341,1.961259,1.85,0.366348,1.689441,2.010559,2.1,0.91191,1.700338,2.499662,0.05,0.223607,-0.048,0.148,0.2,0.410391,0.020138,0.379862
probe,claude-haiku-4.5,3,20,20,0,0.925234,0.101919,0.880566,0.969902,0.928312,0.121708,0.874971,0.981653,0.956023,0.051133,0.933613,0.978434,1.15,1.424411,0.525724,1.774276,0.75,0.181369,0.670512,0.829488,2.6,0.820783,2.240276,2.959724,2.6,0.820783,2.240276,2.959724,48.0,0.0,48.0,48.0,0.5,0.512989,0.275173,0.724827,0.950205,0.057707,0.924913,0.975496,0.0,1.025978,-0.449655,0.449655,2.603322,0.54181,2.365863,2.840781,0.200791,0.293672,0.072084,0.329498,0.943116,0.089577,0.903857,0.982375,,,,,,,,,0.952573,0.048137,0.931476,0.97367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53305,1.038893,2.077735,2.988365,2.2,0.615587,1.930207,2.469793,2.1,0.91191,1.700338,2.499662,0.1,0.307794,-0.034896,0.234896,0.15,0.366348,-0.010559,0.310559
probe,gemini-3-flash-preview,1,20,20,0,0.938578,0.131955,0.880746,0.99641,0.975,0.111803,0.926,1.024,0.974184,0.048752,0.952817,0.995551,0.5,1.0,0.061731,0.938269,0.741667,0.205729,0.651502,0.831832,2.25,0.71635,1.936046,2.563954,2.25,0.71635,1.936046,2.563954,46.4,4.924696,44.241657,48.558343,0.8,0.410391,0.620138,0.979862,0.972727,0.066609,0.943535,1.00192,0.65,0.875094,0.266473,1.033527,2.424697,0.372085,2.261624,2.58777,0.215002,0.307402,0.080278,0.349727,0.918078,0.14982,0.852416,0.983739,,,,,,,,,0.960606,0.058867,0.934807,0.986405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3856,0.417114,1.202792,1.568408,0.3,0.571241,0.049643,0.550357,1.4,1.142481,0.899286,1.900714,0.1,0.307794,-0.034896,0.234896,0.15,0.366348,-0.010559,0.310559
