arm,model_tag,n,directed_f1,total_tokens,cost_usd,llm_calls,f1_per_1k_tokens
llm_e2e,claude-haiku-4.5,60,0.188 ±0.047,8651.000 ±667.916,0.012 ±0.001,2.433 ±0.150,0.0218
llm_e2e,gemini-3-flash-preview,60,0.407 ±0.054,12512.183 ±952.246,0.008 ±0.001,3.400 ±0.204,0.0326
llm_e2e,gpt-4o-mini-2024-07-18,60,0.000 ±0.000,9522.567 ±709.704,0.001 ±0.000,3.650 ±0.185,0.0
llm_e2e,gpt-5.4-mini,60,0.161 ±0.038,7222.850 ±647.521,0.005 ±0.000,2.700 ±0.170,0.0223
llm_e2e,qwen3-coder-30b-a3b-instruct,60,0.172 ±0.035,15065.117 ±960.544,0.005 ±0.000,3.733 ±0.146,0.0114
probe,claude-haiku-4.5,60,0.838 ±0.035,2137.900 ±73.770,0.003 ±0.000,1.000 ±0.000,0.392
probe,gemini-3-flash-preview,60,0.832 ±0.037,1560.367 ±100.096,0.001 ±0.000,1.000 ±0.000,0.5331
probe,gpt-4o-mini-2024-07-18,60,0.826 ±0.030,1254.250 ±70.716,0.000 ±0.000,1.000 ±0.000,0.6584
probe,gpt-5.4-mini,60,0.844 ±0.034,1365.867 ±75.422,0.002 ±0.000,1.000 ±0.000,0.6179
probe,qwen3-coder-30b-a3b-instruct,60,0.839 ±0.032,2114.533 ±194.817,0.001 ±0.000,1.017 ±0.033,0.3967
probe_llm_graphs,claude-haiku-4.5,60,0.671 ±0.051,2473.150 ±84.438,0.005 ±0.000,1.000 ±0.000,0.2715
probe_llm_graphs,gemini-3-flash-preview,60,0.668 ±0.055,1885.050 ±112.547,0.002 ±0.000,1.000 ±0.000,0.3546
probe_llm_graphs,gpt-4o-mini-2024-07-18,60,0.582 ±0.047,1462.000 ±74.799,0.000 ±0.000,1.000 ±0.000,0.3981
probe_llm_graphs,gpt-5.4-mini,60,0.648 ±0.056,1597.883 ±78.118,0.003 ±0.000,1.000 ±0.000,0.4053
probe_llm_graphs,qwen3-coder-30b-a3b-instruct,60,0.599 ±0.052,2504.000 ±142.564,0.002 ±0.000,1.033 ±0.046,0.2393
probe_noreserve,claude-haiku-4.5,60,0.815 ±0.039,2137.900 ±73.770,0.003 ±0.000,1.000 ±0.000,0.3812
probe_noreserve,gemini-3-flash-preview,60,0.809 ±0.036,1560.367 ±100.096,0.001 ±0.000,1.000 ±0.000,0.5183
probe_noreserve,gpt-4o-mini-2024-07-18,60,0.778 ±0.034,1254.250 ±70.716,0.000 ±0.000,1.000 ±0.000,0.6201
probe_noreserve,gpt-5.4-mini,60,0.797 ±0.039,1365.867 ±75.422,0.002 ±0.000,1.000 ±0.000,0.5834
probe_noreserve,qwen3-coder-30b-a3b-instruct,60,0.796 ±0.036,2114.533 ±194.817,0.001 ±0.000,1.017 ±0.033,0.3764
