arm,model_tag,n,repair_remove,repair_add,directed_f1,best_f1_in_hypotheses
probe,claude-haiku-4.5,60,1.683 ±0.158,2.117 ±0.187,0.838 ±0.035,0.886 ±0.025
probe,gemini-3-flash-preview,60,0.400 ±0.149,2.550 ±0.265,0.832 ±0.037,0.885 ±0.024
probe,gpt-4o-mini-2024-07-18,60,3.683 ±0.136,2.667 ±0.311,0.826 ±0.030,0.864 ±0.024
probe,gpt-5.4-mini,60,2.300 ±0.317,2.917 ±0.243,0.844 ±0.034,0.877 ±0.025
probe,qwen3-coder-30b-a3b-instruct,60,3.250 ±0.274,3.517 ±0.206,0.839 ±0.032,0.868 ±0.025
probe_noreserve,claude-haiku-4.5,60,1.683 ±0.158,2.117 ±0.187,0.815 ±0.039,0.865 ±0.026
probe_noreserve,gemini-3-flash-preview,60,0.400 ±0.149,2.550 ±0.265,0.809 ±0.036,0.853 ±0.028
probe_noreserve,gpt-4o-mini-2024-07-18,60,3.683 ±0.136,2.667 ±0.311,0.778 ±0.034,0.817 ±0.026
probe_noreserve,gpt-5.4-mini,60,2.300 ±0.317,2.917 ±0.243,0.797 ±0.039,0.825 ±0.032
probe_noreserve,qwen3-coder-30b-a3b-instruct,60,3.250 ±0.274,3.517 ±0.206,0.796 ±0.036,0.826 ±0.027
probe_oracle_edits,none,60,0.250 ±0.120,1.733 ±0.255,0.975 ±0.019,0.985 ±0.015
probe_random_edits,none,60,3.983 ±0.033,4.000 ±0.000,0.794 ±0.037,0.852 ±0.023
