arm,model_tag,level,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
llm_e2e,claude-haiku-4.5,1,20,20,0,0.225571,0.255977,0.113384,0.337758,0.47119,0.414775,0.289407,0.652974,0.560779,0.163401,0.489165,0.632393,7.8,2.948684,6.507682,9.092318,1.0,0.0,1.0,1.0,1.5,0.512989,1.275173,1.724827,1.5,0.512989,1.275173,1.724827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6784.5,1439.38779,6153.660487,7415.339513,758.75,248.402025,649.883013,867.616987,7543.25,1669.188989,6811.695671,8274.804329,0.010578,0.002623,0.009429,0.011728,2.5,0.512989,2.275173,2.724827,0.0,0.0,0.0,0.0,9.5718,3.809002,7.902431,11.241169,,,,,,,,,,,,,,,,
llm_e2e,claude-haiku-4.5,2,20,20,0,0.19269,0.161478,0.121919,0.263461,0.27369,0.311362,0.13723,0.410151,0.314505,0.138308,0.253889,0.375121,12.25,2.672964,11.078522,13.421478,1.0,0.0,1.0,1.0,1.15,0.48936,0.935528,1.364472,1.15,0.48936,0.935528,1.364472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6903.75,1622.174884,6192.800511,7614.699489,704.4,236.849586,600.596092,808.203908,7608.15,1836.014685,6803.481086,8412.818914,0.010426,0.00273,0.009229,0.011622,2.15,0.48936,1.935528,2.364472,0.0,0.0,0.0,0.0,8.0494,2.64405,6.890594,9.208206,,,,,,,,,,,,,,,,
llm_e2e,claude-haiku-4.5,3,20,20,0,0.146405,0.112082,0.097283,0.195528,0.224455,0.227967,0.124544,0.324366,0.290206,0.095447,0.248374,0.332037,18.75,6.323515,15.978597,21.521403,1.0,0.0,1.0,1.0,1.65,0.67082,1.356,1.944,1.65,0.67082,1.356,1.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9946.5,2619.31149,8798.536125,11094.463875,855.1,246.148842,747.220513,962.979487,10801.6,2859.033907,9548.573143,12054.626857,0.014222,0.003826,0.012545,0.015899,2.65,0.67082,2.356,2.944,0.0,0.0,0.0,0.0,10.19235,2.772329,8.977323,11.407377,,,,,,,,,,,,,,,,
llm_e2e,gemini-3-flash-preview,1,20,20,0,0.522629,0.247797,0.414027,0.631231,0.668333,0.337766,0.520301,0.816366,0.676322,0.151717,0.60983,0.742815,5.0,3.077935,3.651035,6.348965,0.658333,0.137596,0.598029,0.718638,2.55,0.686333,2.249201,2.850799,2.55,0.686333,2.249201,2.850799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9682.1,1949.649682,8827.628352,10536.571648,726.25,212.984772,632.905308,819.594692,10408.35,2067.341269,9502.29774,11314.40226,0.00702,0.001414,0.0064,0.00764,3.55,0.686333,3.249201,3.850799,0.0,0.0,0.0,0.0,18.1752,8.181951,14.589302,21.761098,,,,,,,,,,,,,,,,
llm_e2e,gemini-3-flash-preview,2,20,20,0,0.34646,0.173499,0.270421,0.422499,0.455224,0.264085,0.339483,0.570964,0.548786,0.172474,0.473196,0.624376,9.75,3.878076,8.050358,11.449642,0.808333,0.18157,0.728757,0.88791,2.25,0.850696,1.877166,2.622834,2.25,0.850696,1.877166,2.622834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11312.75,3077.607373,9963.929098,12661.570902,633.75,222.883466,536.067014,731.432986,11946.5,3222.42902,10534.208213,13358.791787,0.007558,0.002027,0.006669,0.008446,3.25,0.850696,2.877166,3.622834,0.0,0.0,0.0,0.0,17.6239,7.110066,14.507776,20.740024,,,,,,,,,,,,,,,,
llm_e2e,gemini-3-flash-preview,3,20,20,0,0.353003,0.16887,0.278992,0.427014,0.445071,0.239633,0.340047,0.550095,0.512332,0.12712,0.45662,0.568045,14.4,6.946411,11.355601,17.444399,0.829167,0.180308,0.750143,0.90819,2.4,0.88258,2.013192,2.786808,2.4,0.88258,2.013192,2.786808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14520.55,3932.991341,12796.840545,16244.259455,661.15,281.870682,537.614727,784.685273,15181.7,4101.562784,13384.110853,16979.289147,0.009152,0.002407,0.008097,0.010207,3.4,0.88258,3.013192,3.786808,0.0,0.0,0.0,0.0,20.2826,6.4592,17.451731,23.113469,,,,,,,,,,,,,,,,
llm_e2e,gpt-4o-mini-2024-07-18,1,20,20,0,0.0,0.0,0.0,0.0,0.2,0.410391,0.020138,0.379862,0.038761,0.097148,-0.003816,0.081338,6.75,1.860249,5.93471,7.56529,0.658333,0.137596,0.598029,0.718638,2.55,0.686333,2.249201,2.850799,2.55,0.686333,2.249201,2.850799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7102.45,1440.258729,6471.228781,7733.671219,215.85,41.35886,197.723681,233.976319,7318.3,1479.644804,6669.817072,7966.782928,0.000872,0.000173,0.000796,0.000948,3.55,0.686333,3.249201,3.850799,0.0,0.0,0.0,0.0,4.6026,0.819909,4.243259,4.961941,,,,,,,,,,,,,,,,
llm_e2e,gpt-4o-mini-2024-07-18,2,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138254,0.156504,0.069663,0.206845,11.65,3.990449,9.901109,13.398891,0.716667,0.153897,0.649218,0.784115,2.5,0.82717,2.137477,2.862523,2.5,0.82717,2.137477,2.862523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8830.5,2177.950497,7875.971109,9785.028891,224.6,45.12019,204.825205,244.374795,9055.1,2220.064245,8082.113945,10028.086055,0.001164,0.000251,0.001054,0.001274,3.5,0.82717,3.137477,3.862523,0.0,0.0,0.0,0.0,5.2891,1.027758,4.838665,5.739535,,,,,,,,,,,,,,,,
llm_e2e,gpt-4o-mini-2024-07-18,3,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081791,0.146846,0.017433,0.14615,13.5,8.159592,9.923901,17.076099,0.6375,0.086666,0.599517,0.675483,2.9,0.640723,2.619191,3.180809,2.9,0.640723,2.619191,3.180809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11944.95,2087.659744,11029.992776,12859.907224,249.35,45.079199,229.59317,269.10683,12194.3,2109.923274,11269.585354,13119.014646,0.001394,0.000234,0.001292,0.001497,3.9,0.640723,3.619191,4.180809,0.0,0.0,0.0,0.0,7.696,4.016397,5.935736,9.456264,,,,,,,,,,,,,,,,
llm_e2e,gpt-5.4-mini,1,20,20,0,0.184567,0.192813,0.100063,0.26907,0.286667,0.423353,0.101124,0.472209,0.483342,0.173144,0.407459,0.559226,8.25,2.359193,7.216038,9.283962,1.0,0.0,1.0,1.0,1.5,0.512989,1.275173,1.724827,1.5,0.512989,1.275173,1.724827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4876.3,1045.426385,4418.121685,5334.478315,407.4,135.636666,347.95461,466.84539,5283.7,1170.948518,4770.509185,5796.890815,0.004065,0.00089,0.003675,0.004455,2.5,0.512989,2.275173,2.724827,0.0,0.0,0.0,0.0,4.30995,1.199154,3.784398,4.835502,,,,,,,,,,,,,,,,
