run_id,timestamp_utc,study,arm,model,model_tag,level,seed,runtime_seed,d,k,n_obs,n_int,budget,opt_set_size,true_edges,cpdag_undirected,status,error,wall_sec,skeleton_precision,skeleton_recall,skeleton_f1,compelled_f1,directed_precision,directed_recall,directed_f1,dag_shd,efficiency,interventions_used,optimal_interventions,submit_directed,submit_undirected,steps_taken,n_hypotheses,n_hypotheses_from_llm,truth_in_hypotheses,best_f1_in_hypotheses,truth_rank_initial,truth_rank_final,entropy_initial_nats,entropy_final_nats,map_weight_final,proposed_raw,proposed_valid_unique,propose_repairs,propose_rounds,repair_remove,repair_add,propose_cached,pc_skeleton_f1_ceiling,pc_undirected_edges,pc_directed_edges,reserve_frac,edits_correct_remove,edits_correct_add,llm_calls,llm_failed_calls,llm_repair_calls,prompt_tokens,completion_tokens,cached_tokens,total_tokens,cost_usd,llm_latency_sec
20260820T063148Z,2026-08-20T06:31:48.296996+00:00,study2,probe,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,123393401,1233934010108,6,6,60,60,2,1,6,3,success,,2.219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,48,1,1.0,4,1,2.45352,0.78275,0.71956,,,0,,2,2,1,1.0,3,3,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
20260820T063148Z,2026-08-20T06:31:48.298192+00:00,study2,probe,anthropic/claude-haiku-4.5,claude-haiku-4.5,1,123393401,1233934010108,6,6,60,60,2,1,6,3,success,,2.225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,48,1,1.0,5,1,2.75688,0.67608,0.80599,,,0,,2,2,1,1.0,3,3,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
20260820T063148Z,2026-08-20T06:31:48.298441+00:00,study2,probe_noreserve,qwen/qwen3-coder-30b-a3b-instruct,qwen3-coder-30b-a3b-instruct,1,123393401,1233934010108,6,6,60,60,2,1,6,3,success,,2.239,0.8571428571428571,1.0,0.923076923076923,1.0,0.8571428571428571,1.0,0.923076923076923,1,0.5,2,1,7,0,2,48,48,0,0.923077,-1,-1,2.46458,0.70602,0.66808,,,0,,2,2,1,1.0,3,3,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
20260820T063148Z,2026-08-20T06:31:48.298082+00:00,study2,probe,openai/gpt-5.4-mini,gpt-5.4-mini,1,123393401,1233934010108,6,6,60,60,2,1,6,3,success,,2.241,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,48,1,1.0,4,1,2.63416,0.45437,0.87263,,,0,,2,2,1,1.0,3,3,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
20260820T063148Z,2026-08-20T06:31:48.298347+00:00,study2,probe,google/gemini-3-flash-preview,gemini-3-flash-preview,1,123393401,1233934010108,6,6,60,60,2,1,6,3,success,,2.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,48,1,1.0,4,1,2.93841,1.21192,0.60885,,,0,,0,3,1,1.0,3,3,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
20260820T063148Z,2026-08-20T06:31:48.297950+00:00,study2,probe,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,123393401,1233934010108,6,6,60,60,2,1,6,3,success,,2.272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,48,1,1.0,5,1,3.11336,0.42059,0.86053,,,0,,4,4,1,1.0,3,3,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0
20260820T063148Z,2026-08-20T06:31:50.570419+00:00,study2,probe_noreserve,openai/gpt-4o-mini-2024-07-18,gpt-4o-mini-2024-07-18,1,123393401,1233934010108,6,6,60,60,2,1,6,3,success,,0.132,0.8571428571428571,1.0,0.923076923076923,1.0,0.8571428571428571,1.0,0.923076923076923,1,0.5,2,1,7,0,2,48,48,0,0.923077,-1,-1,3.12915,0.73513,0.66524,,,0,,4,4,1,1.0,3,3,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
20260820T063148Z,2026-08-20T06:31:50.702919+00:00,study2,probe_noreserve,openai/gpt-5.4-mini,gpt-5.4-mini,1,123393401,1233934010108,6,6,60,60,2,1,6,3,success,,0.106,0.8571428571428571,1.0,0.923076923076923,1.0,0.8571428571428571,1.0,0.923076923076923,1,0.5,2,1,7,0,2,48,48,0,0.923077,-1,-1,2.75017,0.57316,0.7399,,,0,,2,2,1,1.0,3,3,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
20260820T063148Z,2026-08-20T06:31:50.809374+00:00,study2,probe_noreserve,anthropic/claude-haiku-4.5,claude-haiku-4.5,1,123393401,1233934010108,6,6,60,60,2,1,6,3,success,,0.109,0.8571428571428571,1.0,0.923076923076923,1.0,0.8571428571428571,1.0,0.923076923076923,1,0.5,2,1,7,0,2,48,48,0,0.923077,-1,-1,2.4745,0.94886,0.55411,,,0,,2,2,1,1.0,3,3,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
20260820T063148Z,2026-08-20T06:31:50.918712+00:00,study2,probe_noreserve,google/gemini-3-flash-preview,gemini-3-flash-preview,1,123393401,1233934010108,6,6,60,60,2,1,6,3,success,,0.141,0.8571428571428571,1.0,0.923076923076923,1.0,0.8571428571428571,1.0,0.923076923076923,1,0.5,2,1,7,0,2,48,48,0,0.923077,-1,-1,3.29086,1.57101,0.36738,,,0,,0,3,1,1.0,3,3,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
20260820T063148Z,2026-08-20T06:31:51.060151+00:00,study2,probe_skel_only,,none,1,123393401,1233934010108,6,6,60,60,2,1,6,3,success,,0.068,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1,1,6,0,1,48,0,1,1.0,4,1,1.43599,0.0,1.0,,,,,,,,1.0,3,3,0.5,0,0,,,,,,,,,
20260820T063148Z,2026-08-20T06:31:51.129057+00:00,study2,probe_random_edits,,none,1,123393401,1233934010108,6,6,60,60,2,1,6,3,success,,0.11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5,2,1,6,0,2,48,0,1,1.0,4,1,3.02208,0.7475,0.76767,,,,,4,4,,1.0,3,3,0.5,0,0,,,,,,,,,
20260820T063148Z,2026-08-20T06:31:51.239391+00:00,study2,probe_oracle_edits,,none,1,123393401,1233934010108,6,6,60,60,2,1,6,3,success,,0.068,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1,1,6,0,1,48,0,1,1.0,4,1,1.43599,0.0,1.0,,,,,0,0,,1.0,3,3,0.5,0,0,,,,,,,,,
