run_id,arm,model_tag,level,seed,step,target,value,n_hypotheses,entropy_before_nats,entropy_after_nats,entropy_drop_nats,map_weight_after,map_directed_f1_after,truth_rank_after,edges_resolved,undirected_after,selector_meta
20260820T063148Z,probe,qwen3-coder-30b-a3b-instruct,1,123393401,1,1,3.5703,48,2.45352,1.17372,1.2798,0.42521,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.64591, ""eig_by_target"": {""0"": 0.94704, ""1"": 1.64591, ""2"": 0.04157, ""3"": 1.50188, ""4"": 0.98161}}"
20260820T063148Z,probe,qwen3-coder-30b-a3b-instruct,1,123393401,2,3,3.0017,48,1.17372,0.78275,0.39097,0.71956,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.71301, ""eig_by_target"": {""0"": 0.69137, ""1"": 0.0023, ""3"": 0.71301}}"
20260820T063148Z,probe,claude-haiku-4.5,1,123393401,1,3,3.0017,48,2.75688,1.05626,1.70062,0.50016,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.66877, ""eig_by_target"": {""0"": 0.72188, ""1"": 1.56275, ""2"": 0.52874, ""3"": 1.66877, ""4"": 1.46646, ""5"": 1.37814}}"
20260820T063148Z,probe,claude-haiku-4.5,1,123393401,2,0,2.7078,48,1.05626,0.67608,0.38018,0.80599,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.45837, ""eig_by_target"": {""0"": 0.45837, ""4"": 0.35404}}"
20260820T063148Z,probe_noreserve,qwen3-coder-30b-a3b-instruct,1,123393401,1,1,3.5703,48,2.46458,1.08471,1.37986,0.37269,0.76923,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.82174, ""eig_by_target"": {""0"": 1.26303, ""1"": 1.82174, ""2"": 0.04585, ""3"": 1.46565, ""4"": 1.23904}}"
20260820T063148Z,probe_noreserve,qwen3-coder-30b-a3b-instruct,1,123393401,2,0,2.7078,48,1.08471,0.70602,0.37869,0.66808,0.92308,-1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.77188, ""eig_by_target"": {""0"": 0.77188, ""1"": 0.08309, ""3"": 0.69063}}"
20260820T063148Z,probe,gpt-5.4-mini,1,123393401,1,3,3.0017,48,2.63416,1.22856,1.40561,0.58861,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.54842, ""eig_by_target"": {""0"": 0.90576, ""1"": 1.43452, ""2"": 0.23518, ""3"": 1.54842, ""4"": 1.15858}}"
20260820T063148Z,probe,gpt-5.4-mini,1,123393401,2,1,3.5703,48,1.22856,0.45437,0.77419,0.87263,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.75762, ""eig_by_target"": {""0"": 0.16658, ""1"": 0.75762, ""4"": 0.34123}}"
20260820T063148Z,probe,gemini-3-flash-preview,1,123393401,1,3,3.0017,48,2.93841,1.23907,1.69935,0.58727,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.31077, ""eig_by_target"": {""0"": 0.76958, ""1"": 1.23799, ""2"": 0.17908, ""3"": 1.31077, ""4"": 0.8321, ""5"": 0.38984}}"
20260820T063148Z,probe,gemini-3-flash-preview,1,123393401,2,5,3.1287,48,1.23907,1.21192,0.02715,0.60885,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.36865, ""eig_by_target"": {""0"": 0.06999, ""4"": 0.02412, ""5"": 0.36865}}"
20260820T063148Z,probe,gpt-4o-mini-2024-07-18,1,123393401,1,1,3.5703,48,3.11336,0.88025,2.23312,0.47569,0.83333,2,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 1.95372, ""eig_by_target"": {""0"": 1.72252, ""1"": 1.95372, ""2"": 0.64801, ""3"": 1.83139, ""4"": 1.5173, ""5"": 1.29621}}"
20260820T063148Z,probe,gpt-4o-mini-2024-07-18,1,123393401,2,3,3.0017,48,0.88025,0.42059,0.45966,0.86053,1.0,1,,,"{""rule"": ""max_expected_information_gain"", ""eig_nats"": 0.72504, ""eig_by_target"": {""0"": 0.58593, ""3"": 0.72504, ""5"": 0.01964}}"
