arm,model_tag,level,n_total,n_success,n_failed,directed_f1_mean,directed_f1_sd,directed_f1_ci95_lo,directed_f1_ci95_hi,compelled_f1_mean,compelled_f1_sd,compelled_f1_ci95_lo,compelled_f1_ci95_hi,skeleton_f1_mean,skeleton_f1_sd,skeleton_f1_ci95_lo,skeleton_f1_ci95_hi,dag_shd_mean,dag_shd_sd,dag_shd_ci95_lo,dag_shd_ci95_hi,efficiency_mean,efficiency_sd,efficiency_ci95_lo,efficiency_ci95_hi,interventions_used_mean,interventions_used_sd,interventions_used_ci95_lo,interventions_used_ci95_hi,steps_taken_mean,steps_taken_sd,steps_taken_ci95_lo,steps_taken_ci95_hi,n_hypotheses_mean,n_hypotheses_sd,n_hypotheses_ci95_lo,n_hypotheses_ci95_hi,truth_in_hypotheses_mean,truth_in_hypotheses_sd,truth_in_hypotheses_ci95_lo,truth_in_hypotheses_ci95_hi,best_f1_in_hypotheses_mean,best_f1_in_hypotheses_sd,best_f1_in_hypotheses_ci95_lo,best_f1_in_hypotheses_ci95_hi,truth_rank_final_mean,truth_rank_final_sd,truth_rank_final_ci95_lo,truth_rank_final_ci95_hi,entropy_initial_nats_mean,entropy_initial_nats_sd,entropy_initial_nats_ci95_lo,entropy_initial_nats_ci95_hi,entropy_final_nats_mean,entropy_final_nats_sd,entropy_final_nats_ci95_lo,entropy_final_nats_ci95_hi,map_weight_final_mean,map_weight_final_sd,map_weight_final_ci95_lo,map_weight_final_ci95_hi,proposed_raw_mean,proposed_raw_sd,proposed_raw_ci95_lo,proposed_raw_ci95_hi,proposed_valid_unique_mean,proposed_valid_unique_sd,proposed_valid_unique_ci95_lo,proposed_valid_unique_ci95_hi,pc_skeleton_f1_ceiling_mean,pc_skeleton_f1_ceiling_sd,pc_skeleton_f1_ceiling_ci95_lo,pc_skeleton_f1_ceiling_ci95_hi,prompt_tokens_mean,prompt_tokens_sd,prompt_tokens_ci95_lo,prompt_tokens_ci95_hi,completion_tokens_mean,completion_tokens_sd,completion_tokens_ci95_lo,completion_tokens_ci95_hi,total_tokens_mean,total_tokens_sd,total_tokens_ci95_lo,total_tokens_ci95_hi,cost_usd_mean,cost_usd_sd,cost_usd_ci95_lo,cost_usd_ci95_hi,llm_calls_mean,llm_calls_sd,llm_calls_ci95_lo,llm_calls_ci95_hi,llm_repair_calls_mean,llm_repair_calls_sd,llm_repair_calls_ci95_lo,llm_repair_calls_ci95_hi,wall_sec_mean,wall_sec_sd,wall_sec_ci95_lo,wall_sec_ci95_hi,repair_remove_mean,repair_remove_sd,repair_remove_ci95_lo,repair_remove_ci95_hi,repair_add_mean,repair_add_sd,repair_add_ci95_lo,repair_add_ci95_hi,edits_correct_remove_mean,edits_correct_remove_sd,edits_correct_remove_ci95_lo,edits_correct_remove_ci95_hi,edits_correct_add_mean,edits_correct_add_sd,edits_correct_add_ci95_lo,edits_correct_add_ci95_hi
probe,gpt-4o-mini-2024-07-18,1,20,20,0,0.965093,0.072633,0.933261,0.996926,0.982857,0.053573,0.959378,1.006336,0.974184,0.048752,0.952817,0.995551,0.35,0.67082,0.056,0.644,0.7,0.191943,0.615877,0.784123,2.4,0.598243,2.137808,2.662192,2.4,0.598243,2.137808,2.662192,48.0,0.0,48.0,48.0,0.8,0.410391,0.620138,0.979862,0.972727,0.066609,0.943535,1.00192,0.65,0.875094,0.266473,1.033527,2.438169,0.757038,2.106382,2.769956,0.253789,0.352397,0.099344,0.408234,0.906647,0.1618,0.835736,0.977559,,,,,,,,,0.960606,0.058867,0.934807,0.986405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5058,0.468319,1.30055,1.71105,3.65,0.48936,3.435528,3.864472,2.7,1.341641,2.112,3.288,0.1,0.307794,-0.034896,0.234896,0.15,0.366348,-0.010559,0.310559
probe,gpt-4o-mini-2024-07-18,2,20,20,0,0.961225,0.070213,0.930453,0.991998,0.93847,0.160356,0.868191,1.008749,0.974142,0.038344,0.957337,0.990947,0.5,0.82717,0.137477,0.862523,0.733333,0.212201,0.640332,0.826334,2.35,0.48936,2.135528,2.564472,2.35,0.48936,2.135528,2.564472,48.0,0.0,48.0,48.0,0.65,0.48936,0.435528,0.864472,0.974142,0.038344,0.957337,0.990947,0.3,0.978721,-0.128943,0.728943,2.426165,0.494466,2.209456,2.642875,0.295456,0.370194,0.133211,0.457701,0.8999,0.143558,0.836983,0.962816,,,,,,,,,0.953666,0.057685,0.928384,0.978947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6889,0.504497,1.467794,1.910006,4.0,0.0,4.0,4.0,2.55,1.145931,2.047774,3.052226,0.05,0.223607,-0.048,0.148,0.3,0.571241,0.049643,0.550357
probe,qwen3-coder-30b-a3b-instruct,1,20,20,0,0.948019,0.137877,0.887591,1.008446,0.964286,0.159719,0.894286,1.034286,0.971737,0.064579,0.943434,1.000039,0.5,1.277333,-0.059816,1.059816,0.683333,0.178525,0.605091,0.761576,2.4,0.680557,2.101733,2.698267,2.4,0.680557,2.101733,2.698267,48.0,0.0,48.0,48.0,0.85,0.366348,0.689441,1.010559,0.973485,0.071215,0.942273,1.004696,0.8,0.894427,0.408,1.192,2.599646,0.605116,2.334442,2.86485,0.252338,0.341221,0.102791,0.401885,0.903018,0.160669,0.832602,0.973434,,,,,,,,,0.960606,0.058867,0.934807,0.986405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61315,0.406574,1.434961,1.791339,2.85,1.182103,2.33192,3.36808,3.5,0.82717,3.137477,3.862523,0.1,0.307794,-0.034896,0.234896,0.2,0.410391,0.020138,0.379862
probe,qwen3-coder-30b-a3b-instruct,2,20,20,0,0.94826,0.076172,0.914876,0.981644,0.93101,0.15597,0.862653,0.999367,0.954926,0.052335,0.93199,0.977863,0.75,0.966546,0.326393,1.173607,0.666667,0.162221,0.59557,0.737763,2.55,0.510418,2.3263,2.7737,2.55,0.510418,2.3263,2.7737,48.0,0.0,48.0,48.0,0.55,0.510418,0.3263,0.7737,0.954142,0.077732,0.920074,0.98821,0.2,1.151658,-0.304736,0.704736,2.609128,0.471822,2.402343,2.815913,0.4595,0.523243,0.230178,0.688821,0.855571,0.188602,0.772913,0.93823,,,,,,,,,0.953666,0.057685,0.928384,0.978947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88105,0.567598,1.632289,2.129811,2.8,1.43637,2.170483,3.429517,3.15,1.182103,2.63192,3.66808,0.1,0.307794,-0.034896,0.234896,0.1,0.307794,-0.034896,0.234896
probe_noreserve,gpt-4o-mini-2024-07-18,1,20,20,0,0.908858,0.081072,0.873326,0.944389,0.982857,0.053573,0.959378,1.006336,0.91655,0.054805,0.892531,0.940569,1.1,0.852242,0.726489,1.473511,0.7,0.191943,0.615877,0.784123,2.35,0.67082,2.056,2.644,2.35,0.67082,2.056,2.644,48.0,0.0,48.0,48.0,0.15,0.366348,-0.010559,0.310559,0.914452,0.061174,0.887642,0.941263,-0.7,0.732695,-1.021118,-0.378882,2.746599,0.860379,2.369521,3.123676,0.500918,0.524403,0.271088,0.730747,0.801497,0.230935,0.700285,0.902709,,,,,,,,,0.960606,0.058867,0.934807,0.986405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60575,0.623409,1.332529,1.878971,3.65,0.48936,3.435528,3.864472,2.7,1.341641,2.112,3.288,0.1,0.307794,-0.034896,0.234896,0.15,0.366348,-0.010559,0.310559
probe_noreserve,gpt-4o-mini-2024-07-18,2,20,20,0,0.920539,0.060651,0.893958,0.947121,0.952915,0.105703,0.906589,0.999241,0.932672,0.040363,0.914982,0.950361,1.2,0.767772,0.863509,1.536491,0.7,0.191943,0.615877,0.784123,2.45,0.510418,2.2263,2.6737,2.45,0.510418,2.2263,2.6737,48.0,0.0,48.0,48.0,0.15,0.366348,-0.010559,0.310559,0.932671,0.040363,0.914982,0.950361,-0.7,0.732695,-1.021118,-0.378882,2.765603,0.776355,2.42535,3.105856,0.542669,0.549777,0.301719,0.783619,0.768414,0.248035,0.659708,0.877121,,,,,,,,,0.953666,0.057685,0.928384,0.978947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9002,0.722941,1.583357,2.217043,4.0,0.0,4.0,4.0,2.55,1.145931,2.047774,3.052226,0.05,0.223607,-0.048,0.148,0.3,0.571241,0.049643,0.550357
probe_noreserve,qwen3-coder-30b-a3b-instruct,1,20,20,0,0.884873,0.136994,0.824833,0.944914,0.964286,0.159719,0.894286,1.034286,0.91844,0.053107,0.895165,0.941715,1.25,1.118034,0.76,1.74,0.666667,0.162221,0.59557,0.737763,2.45,0.686333,2.149201,2.750799,2.45,0.686333,2.149201,2.750799,48.0,0.0,48.0,48.0,0.2,0.410391,0.020138,0.379862,0.901107,0.119962,0.848532,0.953683,-0.5,1.100239,-0.982201,-0.017799,2.931673,0.843859,2.561836,3.301511,0.527247,0.544003,0.288828,0.765667,0.773574,0.23897,0.668841,0.878307,,,,,,,,,0.960606,0.058867,0.934807,0.986405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67745,0.456846,1.477228,1.877672,2.85,1.182103,2.33192,3.36808,3.5,0.82717,3.137477,3.862523,0.1,0.307794,-0.034896,0.234896,0.2,0.410391,0.020138,0.379862
probe_noreserve,qwen3-coder-30b-a3b-instruct,2,20,20,0,0.902876,0.07699,0.869133,0.936618,0.93101,0.15597,0.862653,0.999367,0.909126,0.055249,0.884912,0.93334,1.55,1.050063,1.08979,2.01021,0.675,0.157419,0.606008,0.743992,2.55,0.604805,2.284932,2.815068,2.55,0.604805,2.284932,2.815068,48.0,0.0,48.0,48.0,0.05,0.223607,-0.048,0.148,0.902876,0.07699,0.869133,0.936618,-0.9,0.447214,-1.096,-0.704,3.066019,0.755694,2.734822,3.397217,0.719255,0.662043,0.429102,1.009408,0.705051,0.277494,0.583434,0.826668,,,,,,,,,0.953666,0.057685,0.928384,0.978947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00675,0.666711,1.714551,2.298949,2.8,1.43637,2.170483,3.429517,3.15,1.182103,2.63192,3.66808,0.1,0.307794,-0.034896,0.234896,0.1,0.307794,-0.034896,0.234896
probe_oracle_edits,none,1,20,20,0,0.992308,0.023676,0.981931,1.002684,1.0,0.0,1.0,1.0,0.992308,0.023676,0.981931,1.002684,0.1,0.307794,-0.034896,0.234896,0.891667,0.197017,0.80532,0.978013,1.9,0.552506,1.657853,2.142147,1.9,0.552506,1.657853,2.142147,48.0,0.0,48.0,48.0,0.95,0.223607,0.852,1.048,0.996154,0.017201,0.988615,1.003692,0.95,0.510418,0.7263,1.1737,1.837408,0.472897,1.630152,2.044664,0.034653,0.154975,-0.033267,0.102574,0.975317,0.110386,0.926938,1.023696,,,,,,,,,0.960606,0.058867,0.934807,0.986405,,,,,,,,,,,,,,,,,,,,,,,,,1.0408,0.316056,0.902282,1.179318,0.1,0.307794,-0.034896,0.234896,0.35,0.48936,0.135528,0.564472,0.1,0.307794,-0.034896,0.234896,0.35,0.48936,0.135528,0.564472
probe_oracle_edits,none,2,20,20,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.833333,0.235702,0.730032,0.936634,2.05,0.223607,1.952,2.148,2.05,0.223607,1.952,2.148,48.0,0.0,48.0,48.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.841885,0.410428,1.662007,2.021762,0.002844,0.011813,-0.002333,0.008021,0.99951,0.002083,0.998597,1.000424,,,,,,,,,0.953666,0.057685,0.928384,0.978947,,,,,,,,,,,,,,,,,,,,,,,,,1.16765,0.33006,1.022995,1.312305,0.15,0.366348,-0.010559,0.310559,0.55,0.686333,0.249201,0.850799,0.15,0.366348,-0.010559,0.310559,0.55,0.686333,0.249201,0.850799
