arm,model_tag,level,n,directed_f1,truth_in_hypotheses
probe,gpt-4o-mini-2024-07-18,1,20,0.839 ±0.062,0.300 ±0.206
probe,gpt-4o-mini-2024-07-18,2,20,0.796 ±0.057,0.050 ±0.098
probe,qwen3-coder-30b-a3b-instruct,1,20,0.796 ±0.085,0.300 ±0.206
probe,qwen3-coder-30b-a3b-instruct,2,20,0.818 ±0.061,0.050 ±0.098
probe_noreserve,gpt-4o-mini-2024-07-18,1,20,0.840 ±0.048,0.150 ±0.161
probe_noreserve,gpt-4o-mini-2024-07-18,2,20,0.768 ±0.054,0.000 ±0.000
probe_noreserve,qwen3-coder-30b-a3b-instruct,1,20,0.794 ±0.075,0.150 ±0.161
probe_noreserve,qwen3-coder-30b-a3b-instruct,2,20,0.791 ±0.057,0.000 ±0.000
probe_oracle_edits,none,1,20,0.978 ±0.028,0.950 ±0.098
probe_oracle_edits,none,2,20,0.988 ±0.024,1.000 ±0.000
probe_oracle_edits_noreserve,none,1,20,1.000 ±0.000,1.000 ±0.000
probe_oracle_edits_noreserve,none,2,20,0.981 ±0.027,1.000 ±0.000
probe_random_edits,none,1,20,0.771 ±0.088,0.150 ±0.161
probe_random_edits,none,2,20,0.815 ±0.052,0.100 ±0.135
probe_random_edits_noreserve,none,1,20,0.748 ±0.071,0.000 ±0.000
probe_random_edits_noreserve,none,2,20,0.782 ±0.046,0.050 ±0.098
probe_skel_only,none,1,20,0.858 ±0.048,0.150 ±0.161
probe_skel_only,none,2,20,0.797 ±0.051,0.050 ±0.098
